,Mixed_corr,Mixed_pval,Mixed_qval,Mixed_ci_low,Mixed_ci_high,gene_annotation
ENSMUSG00000028557,0.15088102927253003,2.2014014303222882e-206,5.494998771581214e-206,0.14136799287723012,0.16036620252605283,Rnf11
ENSMUSG00000089762,0.15079657826212478,3.7571622698859183e-206,9.37172082192818e-206,0.14128330167831551,0.16028200657376085,Ier5l
ENSMUSG00000109076,0.15068340682180495,7.687033716430683e-206,1.9158669353954534e-205,0.14116980858357497,0.16016917671629044,Gm45145
ENSMUSG00000085632,0.1506658261930353,8.59079188601457e-206,2.1406792082150585e-205,0.14115217800980764,0.16015164912849866,Gm12381
ENSMUSG00000046145,0.1506646759305703,8.653493672873041e-206,2.156084601749329e-205,0.14115102447975997,0.16015050233618147,1700018M17Rik
ENSMUSG00000105053,0.15063478260230315,1.04534777984886e-205,2.6035076781141423e-205,0.14112104624173996,0.16012069918206273,Gm43064
ENSMUSG00000045316,0.15062552220156167,1.1083600390114817e-205,2.76016387846738e-205,0.14111175954106558,0.16011146671209758,Fahd1
ENSMUSG00000073433,0.15059555508492367,1.3394610175395565e-205,3.3353394424575244e-205,0.14108170732801464,0.16008158996946328,Arhgdig
ENSMUSG00000066487,0.15053319175963076,1.9862775203949376e-205,4.944948862374417e-205,0.14101916696831257,0.16001941466204656,Gm5786
ENSMUSG00000092310,0.15037130234489854,5.519182443516039e-205,1.3715280096478319e-204,0.14085681834306535,0.15985801297298954,Gm20509
ENSMUSG00000087561,0.1503490092395388,6.352632420562483e-205,1.5773647976299564e-204,0.14083446204185493,0.15983578699053244,Gm11608
ENSMUSG00000078763,0.15034303970924537,6.596407921977565e-205,1.6377288633875335e-204,0.1408284755909566,0.15982983543242354,Slfn1
ENSMUSG00000030131,0.15033949850653835,6.745411557537556e-205,1.6745535344859665e-204,0.1408249243510563,0.15982630489072333,Mug2
ENSMUSG00000110259,0.15032226644581598,7.519887895294906e-205,1.8664404327262487e-204,0.14080764345123517,0.1598091247047071,Olfr65
ENSMUSG00000023942,0.15030291300690976,8.496076808776741e-205,2.107878716745014e-204,0.14078823516773328,0.1597898295197672,Slc29a1
ENSMUSG00000028035,0.15028353186729138,9.600505862013435e-205,2.381406546010849e-204,0.14076879911234838,0.1597705067102297,Dnajb4
ENSMUSG00000099933,0.1501953483934587,1.6737669832735642e-204,4.1496846383250074e-204,0.1406803658663923,0.15968258854433376,4930452N14Rik
ENSMUSG00000074594,0.15016855163053594,1.9816227532222456e-204,4.9119436483707796e-204,0.1406534932340159,0.15965587237207404,Wfdc9
ENSMUSG00000087147,0.15014738624297444,2.2642668809837945e-204,5.6119806644371214e-204,0.14063226793097722,0.15963477062911702,Gm14228
ENSMUSG00000024925,0.15009959899935701,3.0594087287221143e-204,7.578148013275359e-204,0.14058434544227283,0.15958712705049632,Rnaseh2c
ENSMUSG00000111465,0.15009913167307318,3.0684251685838153e-204,7.599714994357897e-204,0.14058387679360546,0.15958666112893885,RP24-93F20.9
ENSMUSG00000028640,0.15004801972492884,4.233212507341354e-204,1.0481427337660842e-203,0.14053262024077343,0.15953570279162488,Tfap2c
ENSMUSG00000021961,0.149934826074639,8.629668246622615e-204,2.135197166089675e-203,0.1404191065273044,0.15942284915129876,4930578I06Rik
ENSMUSG00000032398,0.14988319445804352,1.194003487304724e-203,2.9527773590154696e-203,0.14036732900168045,0.15937137254288714,Snapc5
ENSMUSG00000026798,0.14987066979513017,1.2918260681166134e-203,3.194049710412799e-203,0.1403547689523796,0.1593588854736789,Coq4
ENSMUSG00000103168,0.1497745438999904,2.3635998322727796e-203,5.839314055339231e-203,0.14025837157119428,0.1592630480064776,Gm30948
ENSMUSG00000058216,0.1496712317811258,4.522301165060146e-203,1.1160070178365333e-202,0.14015476787154618,0.15916004567858844,Gstp3
ENSMUSG00000039771,0.1496481798468026,5.226439434491618e-203,1.2896436280968664e-202,0.14013165090551757,0.15913706283944054,Polr2j
ENSMUSG00000014767,0.14964499299885367,5.33204016951302e-203,1.3155687894873246e-202,0.14012845506798294,0.15913388554284472,Tbp
ENSMUSG00000054156,0.14959488445497326,7.302402999421184e-203,1.801352340417853e-202,0.1400782052020258,0.15908392715424136,Gm4894
ENSMUSG00000097915,0.14952507637367005,1.1314859101877325e-202,2.7900212982755057e-202,0.14000820032138572,0.15901432817884564,A330009N23Rik
ENSMUSG00000111059,0.14929978360640064,4.642906626453189e-202,1.1427833934103127e-201,0.13978227306939806,0.15878970961912528,RP23-456L15.4
ENSMUSG00000050936,0.14924824672491582,6.410789544329382e-202,1.5774474332769592e-201,0.13973059118553685,0.15873832682802705,Gm42743
ENSMUSG00000111830,0.1492189611170824,7.700380287390387e-202,1.8941963412083838e-201,0.139701223203842,0.15870912875847737,CH36-165I3.2
ENSMUSG00000022960,0.1490638819846487,2.0312072006298325e-201,4.993011532825755e-201,0.13954570814761422,0.15855451289995956,Donson
ENSMUSG00000030978,0.14903751164004583,2.3951790292658894e-201,5.8859408994631286e-201,0.13951926372330212,0.15852822128620656,Rrm1
ENSMUSG00000027404,0.1490019022124139,2.9921300352415452e-201,7.349217349464827e-201,0.1394835542830258,0.1584927181521143,Snrpb
ENSMUSG00000000730,0.14872647104474676,1.66979636549547e-200,4.0943613667876536e-200,0.1392073503756298,0.15821810831276545,Dnmt3l
ENSMUSG00000109446,0.14866464409926586,2.4551217341553564e-200,6.016383752568351e-200,0.13914535017425375,0.15815646553177987,Gm9195
ENSMUSG00000004371,0.14866069639020466,2.516284752977619e-200,6.165651023463722e-200,0.13914139140517418,0.1581525295792834,Il11
ENSMUSG00000060019,0.14860760438371498,3.5031182804870604e-200,8.580263370163438e-200,0.1390881506841119,0.15809959565534404,Gm10073
ENSMUSG00000045777,0.14860199642700242,3.627686289120756e-200,8.883598022191581e-200,0.13908252702231802,0.1580940043932532,Ifitm10
ENSMUSG00000044220,0.14859904904165608,3.694919626508571e-200,9.047338852103165e-200,0.13907957138306593,0.15809106578188947,Nkx2-3
ENSMUSG00000090470,0.1484909001722913,7.246481337155138e-200,1.7725974871957054e-199,0.13897111976913878,0.15798323874136214,Prr23a3
ENSMUSG00000097627,0.14844841742291526,9.440028953811886e-200,2.307792401413815e-199,0.1389285181589214,0.15794088234999998,4930519A11Rik
ENSMUSG00000053896,0.14842851244100635,1.0684930233006865e-199,2.611611817628517e-199,0.13890855749775577,0.15792103656019774,4933409G03Rik
ENSMUSG00000049285,0.14842451201187878,1.0954257982864278e-199,2.6771744176317317e-199,0.13890454587935208,0.1579170480263538,Mblac1
ENSMUSG00000092148,0.14841870245200922,1.1357504494643356e-199,2.775449889046319e-199,0.13889872007058976,0.1579112557406701,Gm8005
ENSMUSG00000106070,0.14836203472583723,1.6158074935694656e-199,3.9470008538570807e-199,0.13884189388370047,0.15785475647644767,Gm43135
ENSMUSG00000032370,0.1483123751467297,2.2004455894077896e-199,5.3719141007397885e-199,0.13879209549239357,0.1578052444743547,Lactb
ENSMUSG00000020075,0.1482990934774385,2.3898675412613916e-199,5.833766939058429e-199,0.13877877670533942,0.15779200226708448,Ddx21
ENSMUSG00000029521,0.14821206256433656,4.104789215296188e-199,1.0014984081680613e-198,0.13869150265556207,0.1577052298526323,Chek2
ENSMUSG00000032101,0.14815268395048348,5.935866031511951e-199,1.4479620745720955e-198,0.13863195824162117,0.1576460275206176,Ddx25
ENSMUSG00000096879,0.14798010719522178,1.732530839474837e-198,4.2199501161494245e-198,0.138458899999225,0.15747396271979072,Gm4858
ENSMUSG00000044309,0.14796993695574565,1.8453464825547875e-198,4.493845153708108e-198,0.13844870140304194,0.15746382263266695,Apol7c
ENSMUSG00000002835,0.1479270911039165,2.406997922069372e-198,5.8592715628244315e-198,0.13840573611039164,0.15742110378666213,Chaf1a
ENSMUSG00000004730,0.14791372548675805,2.614968322185672e-198,6.3636338830709305e-198,0.13839233324141073,0.15740777778126602,Adgre1
ENSMUSG00000006289,0.14769709310092943,1.0007627033559978e-197,2.4315414045320593e-197,0.13817509755754517,0.1571917869479912,Osgep
ENSMUSG00000073774,0.14768049987684842,1.1090193144233975e-197,2.6937714886944255e-197,0.13815845816088534,0.15717524282696493,Kncn
ENSMUSG00000030523,0.14763696036033183,1.451985702688978e-197,3.525081872087391e-197,0.1381147975161494,0.15713183212826087,Trpm1
ENSMUSG00000111700,0.1474927035060082,3.5434614915186105e-197,8.589107171464599e-197,0.1379701395994469,0.15698800181604802,RP23-263O15.4
ENSMUSG00000100211,0.14746674709924487,4.1600886817507214e-197,1.0078793893264624e-196,0.1379441110719034,0.1569621221150503,1700064M15Rik
ENSMUSG00000030433,0.14741824309889398,5.613933991711634e-197,1.3595709939288227e-196,0.13789547233675278,0.15691376141763333,Sbk2
ENSMUSG00000062074,0.14741194234768293,5.836770207994297e-197,1.4132582065747136e-196,0.13788915408663535,0.1569074792783725,Wisp3
ENSMUSG00000025577,0.14736044621575828,8.02252688445731e-197,1.941921325714245e-196,0.13783751496494565,0.15685613523338562,Cbx2
ENSMUSG00000109441,0.14734299646796492,8.935289539154612e-197,2.162650125841128e-196,0.13782001677602695,0.15683873700944517,Gm44983
ENSMUSG00000049928,0.14733725093856326,9.257973736639392e-197,2.240530026436376e-196,0.13781425529813066,0.15683300844357267,Glp2r
ENSMUSG00000079053,0.14728990969750522,1.2400605545217773e-196,2.999602633952579e-196,0.1377667826713416,0.15678580695200045,Gm14010
ENSMUSG00000004393,0.1472615067515725,1.477656708400019e-196,3.5736236706695493e-196,0.13773830091996228,0.15675748782962906,Ddx56
ENSMUSG00000029538,0.1472534396528851,1.5530791932066443e-196,3.7556584607120584e-196,0.137730211441563,0.1567494445359396,Srsf9
ENSMUSG00000004642,0.1472087768374999,2.0458253552662766e-196,4.946691149802646e-196,0.13768542474576836,0.15670491349213744,Slbp
ENSMUSG00000026032,0.1472087621716187,2.0460104523560554e-196,4.946691149802646e-196,0.1376854100392151,0.1567048988695196,Ndufb3
ENSMUSG00000097265,0.14715665683176127,2.8214782314474965e-196,6.818873268874785e-196,0.13763316022499103,0.15665294721059303,Gm26803
ENSMUSG00000094127,0.14715475956523408,2.8546818797650287e-196,6.898439912597538e-196,0.13763125769884418,0.15665105553892464,G530012D18Rik
ENSMUSG00000061904,0.14714368783854875,3.0563790041000554e-196,7.384394539329321e-196,0.13762015528041843,0.15664001646032025,Slc25a3
ENSMUSG00000042248,0.14710733803691337,3.8241370577150654e-196,9.232076011899732e-196,0.13758370473095805,0.15660377382955323,Cyp2c37
ENSMUSG00000075195,0.14703246873726927,6.06617885412434e-196,1.4641842629420055e-195,0.13750862800337177,0.15652912518801973,Olfr1048
ENSMUSG00000100830,0.14702592804639264,6.315616248729117e-196,1.5239411315852313e-195,0.13750206919648614,0.15652260376900318,Gm28441
ENSMUSG00000096257,0.14700583369486692,7.147856138433119e-196,1.7245888749096886e-195,0.1374819191940684,0.1565025686194272,Ccer2
ENSMUSG00000019738,0.1469693645240838,8.947978677302905e-196,2.1580625980858637e-195,0.13744534904280478,0.1564662068740991,Polr2i
ENSMUSG00000030007,0.14695291920134165,9.901594921564856e-196,2.3871166389852745e-195,0.13742885819265468,0.15644980998511918,Cct7
ENSMUSG00000005107,0.14694074731065157,1.0672187705660129e-195,2.572641654878424e-195,0.1374166526085719,0.15643767393896865,Slc2a9
ENSMUSG00000060373,0.146931246355931,1.1315077869615388e-195,2.727349223000167e-195,0.13740712535597024,0.15642820096125673,Hnrnpc
ENSMUSG00000027811,0.14689965794618187,1.37438251142234e-195,3.311466086402482e-195,0.13737544952470462,0.15639670555583113,4930579G24Rik
ENSMUSG00000065987,0.1468373052943361,2.0171959584824725e-195,4.856461578021344e-195,0.13731292436790132,0.1563345364293847,Cd209b
ENSMUSG00000084843,0.14681994797038664,2.2445179133907955e-195,5.402686647997138e-195,0.13729551903665363,0.1563172301806472,B230312C02Rik
ENSMUSG00000047888,0.14675318234107815,3.3841710180856166e-195,8.141907578249687e-195,0.13722856880020817,0.15625066095979415,Tnrc6b
ENSMUSG00000067288,0.14667080974729155,5.614993359275377e-195,1.3501059343544125e-194,0.13714596856590247,0.15616853056751323,Rps28
ENSMUSG00000026180,0.14663214666547172,7.120605469334283e-195,1.7111197561230824e-194,0.13710719868252447,0.15612998112210583,Cxcr2
ENSMUSG00000027242,0.14659438502681488,8.979485992676775e-195,2.157396419338489e-194,0.13706933276059466,0.15609233044245904,Wdr76
ENSMUSG00000051146,0.14647550063694137,1.8630031521794985e-194,4.4712075652307964e-194,0.13695012023906564,0.15597379520290944,Camk2n2
ENSMUSG00000049758,0.14646186386334403,2.0256002295456106e-194,4.860015326473549e-194,0.13693644584438114,0.15596019846152037,Olfr1318
ENSMUSG00000027489,0.1464139342283687,2.7180118677242486e-194,6.520041756362067e-194,0.13688838401008652,0.1559124095005593,Necab3
ENSMUSG00000027164,0.14631378559040115,5.022641112432038e-194,1.2037864563884362e-193,0.13678795928731835,0.155812554656439,Traf6
ENSMUSG00000061477,0.146263278903684,6.844642703805397e-194,1.639508952817855e-193,0.13673731344054377,0.1557621960613884,Rps7
ENSMUSG00000004980,0.1461142324062889,1.7050529160370745e-193,4.079764077043393e-193,0.13658785656865294,0.15561358629835656,Hnrnpa2b1
ENSMUSG00000067541,0.14603644421470297,2.7443848199479885e-193,6.560231340605882e-193,0.1365098543725805,0.15553602587007948,A630073D07Rik
ENSMUSG00000109659,0.1459297393610005,5.269914589319359e-193,1.2591177792620564e-192,0.13640285615340195,0.15542963325695316,Olfr605
ENSMUSG00000106644,0.14591822729575193,5.654070396267744e-193,1.3505081853211951e-192,0.13639131245111966,0.15541815486522853,Gm42954
ENSMUSG00000039018,0.14589186641063243,6.642384008214377e-193,1.5864184063198383e-192,0.13636487913173165,0.15539187107771435,Mtg1
