,Neural Crest/Mid-HindBrain_corr,Neural Crest/Mid-HindBrain_pval,Neural Crest/Mid-HindBrain_qval,Neural Crest/Mid-HindBrain_ci_low,Neural Crest/Mid-HindBrain_ci_high,gene_annotation
ENSMUSG00000021621,-0.021626607829856627,1.2934058377260039e-05,1.3518241082903601e-05,-0.03134038892493405,-0.011908741840791732,Zcchc9
ENSMUSG00000022594,-0.021644330919058253,1.272432677133439e-05,1.3299602847586288e-05,-0.03135810288811445,-0.011926470711564503,Lynx1
ENSMUSG00000060924,-0.02166774456471461,1.2452224970051759e-05,1.3016307368218272e-05,-0.031381504468197305,-0.01194989200451497,Csmd1
ENSMUSG00000022248,-0.02167879177696239,1.2325776131450817e-05,1.2885227607058693e-05,-0.03139254598387255,-0.011960942828672291,Rad1
ENSMUSG00000023011,-0.021730368693938833,1.1751456019106516e-05,1.228536292020878e-05,-0.03144409627347614,-0.012012536640244745,Faim2
ENSMUSG00000027331,-0.021779973394193672,1.1223256373446412e-05,1.17336650690196e-05,-0.031493675315793355,-0.012062157637887613,Knstrn
ENSMUSG00000030122,-0.021868452609368698,1.0336891809451276e-05,1.080883167400544e-05,-0.03158210864658875,-0.012150666041310845,Ptms
ENSMUSG00000025082,-0.021876173503021956,1.0262800342136383e-05,1.0731814557695494e-05,-0.03158982552905417,-0.01215838948921947,Vwa2
ENSMUSG00000031068,-0.021913741989915254,9.909464026677491e-06,1.0362771990075208e-05,-0.0316273744816986,-0.012195970421210067,Glrx3
ENSMUSG00000086072,-0.02192472939564994,9.80834189708023e-06,1.0257460930149245e-05,-0.031638356169199265,-0.012206961471868342,Gm11861
ENSMUSG00000105686,-0.02192997246834917,9.760435600462195e-06,1.0207795828188269e-05,-0.0316435965123917,-0.012212206284713823,Gm43252
ENSMUSG00000026938,-0.02195942040090398,9.495493390301301e-06,9.931133278750907e-06,-0.03167302910463699,-0.012241664000806838,Fcna
ENSMUSG00000025209,-0.021994159906997098,9.191773354972575e-06,9.614707711796467e-06,-0.0317077504922226,-0.012276415070153616,Twnk
