,Endothelial_corr,Endothelial_pval,Endothelial_qval,Endothelial_ci_low,Endothelial_ci_high,gene_annotation
ENSMUSG00000111809,-0.09738736345237876,2.2215068880787614e-86,5.0380969070856966e-86,-0.10700643618483972,-0.08775006184355871,RP23-203D1.5
ENSMUSG00000040133,-0.09738945888322785,2.202871728153958e-86,4.996296228141892e-86,-0.10700852745641665,-0.0877521610489698,Gpr176
ENSMUSG00000066513,-0.09739019767540828,2.19633871952666e-86,4.981939046731205e-86,-0.10700926478213006,-0.08775290117197901,Klk1b4
ENSMUSG00000044224,-0.09739125329486129,2.1870375814067067e-86,4.961299704213015e-86,-0.10701031830621073,-0.0877539586929984,Dnajc21
ENSMUSG00000050671,-0.09739415348193606,2.1616855678626775e-86,4.904241735553914e-86,-0.10701321273639167,-0.08775686410450921,Ism2
ENSMUSG00000061356,-0.09740100021294215,2.1029915581510158e-86,4.7715228477704226e-86,-0.1070200458759368,-0.08776372316995916,Nuggc
ENSMUSG00000043336,-0.09740288886586713,2.087082538280417e-86,4.735864184830018e-86,-0.10702193077953277,-0.08776561522546919,Filip1l
ENSMUSG00000075142,-0.09740338130797443,2.0829542312139023e-86,4.726933384302037e-86,-0.1070224222440391,-0.08776610855476848,Olfr74
ENSMUSG00000026241,-0.09740348474710056,2.0820881020117147e-86,4.725404610888484e-86,-0.10702252547781624,-0.08776621218025286,Nppc
ENSMUSG00000045629,-0.09740465382479034,2.0723239739969194e-86,4.7036792280273976e-86,-0.10702369223462017,-0.08776738336419397,Sh3tc2
ENSMUSG00000075184,-0.09740467976132337,2.0721078709138805e-86,4.7036235620079135e-86,-0.10702371811966296,-0.08776740934745546,F930017D23Rik
ENSMUSG00000071490,-0.09740656182903717,2.056486334364582e-86,4.6685947740470844e-86,-0.10702559645098651,-0.08776929480602531,Vmn1r212
ENSMUSG00000097767,-0.09740756933962937,2.0481721240799112e-86,4.6501499898659126e-86,-0.10702660196138188,-0.08777030413184271,Miat
ENSMUSG00000028397,-0.09743233597053427,1.854007985024732e-86,4.209710908011396e-86,-0.10705131941725071,-0.08779511539084602,Kdm4c
ENSMUSG00000039753,-0.09743318598572633,1.8476804004065382e-86,4.195731519680108e-86,-0.10705216774449601,-0.08779596693793065,Fbxl5
ENSMUSG00000044293,-0.09743405991850176,1.841197227719098e-86,4.181396201550208e-86,-0.10705303994181493,-0.0877968424457175,Olfr794
ENSMUSG00000006315,-0.09743657871307,1.822638487085868e-86,4.139631834868847e-86,-0.10705555373447574,-0.08779936577976868,Tmem147
ENSMUSG00000049350,-0.0974409364150904,1.7909700500414323e-86,4.0680818455562256e-86,-0.10705990278253369,-0.08780373133572447,Zg16
ENSMUSG00000059248,-0.09744342887909545,1.77310407684268e-86,4.0278729917321866e-86,-0.10706239029658784,-0.08780622829209186,Sept9
ENSMUSG00000041406,-0.09744489555347079,1.762674152507025e-86,4.0045503647961954e-86,-0.1070638540581402,-0.08780769761002545,BC055324
ENSMUSG00000087454,-0.09745017607674836,1.7256271005303065e-86,3.920747415530269e-86,-0.10706912409392565,-0.08781298765135316,Gm13174
ENSMUSG00000003555,-0.09745037386414332,1.7242546576039988e-86,3.917991703238628e-86,-0.10706932148849038,-0.08781318579526698,Cyp17a1
ENSMUSG00000097222,-0.09745068352323996,1.7221081253069523e-86,3.913476369172186e-86,-0.10706963053256421,-0.08781349601253675,1010001N08Rik
ENSMUSG00000038467,-0.09745600753768477,1.685616552482517e-86,3.830904155933607e-86,-0.10707494397254082,-0.08781882962402675,Chmp4b
ENSMUSG00000091383,-0.09745673928098425,1.680661734730425e-86,3.8199969367803544e-86,-0.10707567426242108,-0.0878195626864067,Hist1h2al
ENSMUSG00000032402,-0.09745813746292248,1.6712346545841986e-86,3.798921696079182e-86,-0.10707706966720286,-0.08782096338881315,Smad3
ENSMUSG00000070933,-0.09745956894327922,1.6616377013482503e-86,3.777456374398356e-86,-0.1070784983042245,-0.08782239744970381,Speer4d
ENSMUSG00000025858,-0.09747030817025226,1.5913711111924798e-86,3.6183870644561736e-86,-0.10708921619871171,-0.08783315603758754,Get4
ENSMUSG00000097504,-0.09747374902464513,1.5694907099209268e-86,3.569297509260707e-86,-0.10709265021769121,-0.08783660309570271,4930516B21Rik
