,Mesenchyme_2_corr,Mesenchyme_2_pval,Mesenchyme_2_qval,Mesenchyme_2_ci_low,Mesenchyme_2_ci_high,gene_annotation
ENSMUSG00000100213,-0.006473606216783759,0.053094488093381645,0.05431661186023697,-0.013033050474734381,8.639518259390037e-05,Gm28151
ENSMUSG00000028772,-0.006473768800298985,0.05308851750409983,0.054316060470738524,-0.013033213037445542,8.623259226594792e-05,Zcchc17
ENSMUSG00000020523,-0.006476953612436996,0.05297167403435113,0.054202060814848185,-0.013036397441987436,8.304764660501751e-05,Fam114a2
ENSMUSG00000041272,-0.006481336608356325,0.05281122335829348,0.05404341317876943,-0.013040779876748084,7.866446671142438e-05,Tox
ENSMUSG00000026544,-0.006483576021457487,0.052729400866603375,0.05396520403909874,-0.013043019003038017,7.642495951462047e-05,Dusp23
ENSMUSG00000044367,-0.006532438909192015,0.050970285483626754,0.052186224514822105,-0.013091875616315677,2.7560002277903974e-05,Slc16a13
ENSMUSG00000025515,-0.006644705774276607,0.047114064147355514,0.04824788955182336,-0.013204127946626228,-8.471173635098436e-05,Muc2
ENSMUSG00000053141,-0.006679224225150142,0.04597890196858003,0.04709023143033596,-0.013238641895291689,-0.00011923171892378058,Ptprt
ENSMUSG00000022221,-0.0066887179888219656,0.04567076287843763,0.04678422749276545,-0.013248134417960562,-0.00012872590660697282,Ripk3
ENSMUSG00000004446,-0.006848736879996003,0.0407332854459473,0.041743477603963214,-0.013408132213923016,-0.0002887521225171899,Bid
ENSMUSG00000001524,-0.00693196574927513,0.03834924335035601,0.039316427466020105,-0.013491349978396155,-0.0003719849343517611,Gtf2h4
ENSMUSG00000021646,-0.0069407638445157524,0.03810430306505206,0.03906931514923825,-0.013500146894441113,-0.0003807834516704429,Mccc2
ENSMUSG00000004667,-0.0069449397204666774,0.037988512390429836,0.038954586126363655,-0.013504322210350233,-0.0003849595283094434,Polr2e
ENSMUSG00000091694,-0.007012045769846588,0.03616841747521188,0.03709961788410286,-0.013571419228521732,-0.0004520688341157662,Apol11b
ENSMUSG00000046404,-0.007024536689992002,0.035837967833037096,0.03676443150701385,-0.013583908461103883,-0.0004645603669255185,Yod1
ENSMUSG00000096983,-0.007096071543927032,0.03399469022505108,0.03488065896270376,-0.013655433611027864,-0.0005360987689919545,2010015M23Rik
ENSMUSG00000029363,-0.007115065660086502,0.03351909635270336,0.03440326013825655,-0.01367442513927569,-0.0005550938385414094,Rfc5
ENSMUSG00000074575,-0.007165561649827451,0.03228231791481022,0.033140661035633116,-0.01372491422602093,-0.0006055923858973376,Kcng1
ENSMUSG00000003309,-0.007246651296115477,0.03037805149712696,0.031195370196269213,-0.013805992717059111,-0.0006866862093684415,Ap1m2
ENSMUSG00000049299,-0.007282421234938687,0.029569216812867217,0.03037413129210808,-0.013841757707707241,-0.0007224580182377675,Trappc1
ENSMUSG00000039193,-0.00731039228897346,0.028949701739751064,0.029743862878609948,-0.013869724880719051,-0.000750430546291341,Nlrc4
ENSMUSG00000078945,-0.00750253334262254,0.02498852581094807,0.025684577871259193,-0.014061838997140528,-0.0009425820028584617,Naip2
ENSMUSG00000108929,-0.007545777065081345,0.02416468322665306,0.02484034048792461,-0.014105076590281844,-0.0009858281334033127,Cc2d2b
ENSMUSG00000016503,-0.0075550044950420895,0.023991970679224962,0.024665334305772554,-0.01411430270918128,-0.0009950560803826751,Gtf3a
ENSMUSG00000028971,-0.00764070557529282,0.022438365385073274,0.023075242066097564,-0.014199991559403463,-0.0010807620158924001,Cort
ENSMUSG00000022075,-0.007695102507423411,0.021498271998955026,0.022115288549485676,-0.014254380678800936,-0.0011351620797935003,Rhobtb2
ENSMUSG00000030669,-0.007733272503301751,0.02085926150066671,0.021460145576817604,-0.014292545169358246,-0.0011733342963969415,Calca
ENSMUSG00000060579,-0.007781584282386852,0.02007424847771989,0.020654643973371634,-0.014340849952953415,-0.0012216489136659377,Fhit
ENSMUSG00000026442,-0.007870607773696792,0.018695052286966884,0.01924349180336272,-0.014429860473577201,-0.0013106777150724944,Nfasc
ENSMUSG00000021340,-0.00789814127009793,0.018285619158894373,0.01882398513371873,-0.014457389937310886,-0.0013382128748536965,Gpld1
ENSMUSG00000028278,-0.007990029680225979,0.016975475419489107,0.017478866782834748,-0.01454926481711829,-0.001430106908226938,Rragd
ENSMUSG00000030887,-0.00802904060979371,0.0164446493034334,0.016935787130209472,-0.014588269968939856,-0.0014691202586278411,Pdzd9
ENSMUSG00000026616,-0.008119245968090839,0.015272705668231258,0.015733703171145832,-0.014678461890849438,-0.0015593312911136186,Cr2
ENSMUSG00000025362,-0.00813752034725172,0.015044450507725758,0.015500155066686337,-0.014696733534978974,-0.0015776068327940241,Rps26
ENSMUSG00000043923,-0.008209554694021893,0.014173712674683724,0.014606051808206639,-0.014768757058076617,-0.001649645804689008,Ccdc84
ENSMUSG00000038500,-0.008399705204759154,0.012085231577911946,0.012461571022800521,-0.014958878670369484,-0.0018398088515460273,Prr3
ENSMUSG00000109995,-0.008418415221102149,0.011895266132552422,0.012266954864960732,-0.014977585817596463,-0.0018585201270290242,B020031H02Rik
ENSMUSG00000063458,-0.008573215211906312,0.01042244651454648,0.010749222890415099,-0.015132361894199428,-0.0020133307117267524,1700112E06Rik
ENSMUSG00000096014,-0.008599854618990271,0.010186040752829,0.01050648865686333,-0.015158997154206901,-0.002039971973616717,Sox1
ENSMUSG00000097927,-0.008717529862247003,0.00919790290550892,0.009490201099369502,-0.01527665396704861,-0.0021576555215946907,Gm6999
ENSMUSG00000085525,-0.008727490020799217,0.009118329133063822,0.009409069376807163,-0.015286612557293033,-0.0021676163914079874,Gm13166
ENSMUSG00000021919,-0.008863283631611317,0.008093125433888843,0.008357213376589057,-0.015422384656488802,-0.0023034198291809423,Chat
ENSMUSG00000025188,-0.008929821909918244,0.0076294926415704034,0.00788007915882091,-0.015488912305900472,-0.002369963010983525,Hps1
ENSMUSG00000022544,-0.008955294661983929,0.0074583996397942,0.007704162421024895,-0.01551438097354989,-0.0023954376556244907,Eef2kmt
ENSMUSG00000028601,-0.009020771339450952,0.007034294801990294,0.007266833473130469,-0.015579847113133679,-0.0024609192369500574,Echdc2
ENSMUSG00000035266,-0.009125135779025309,0.006402936456358937,0.0066152871746657065,-0.015684194639935985,-0.0025652916091657547,Helq
ENSMUSG00000005936,-0.009162848962562063,0.0061876418120449,0.006394834448165461,-0.01572190167672342,-0.0026030076944001195,Kctd20
ENSMUSG00000029917,-0.009377824990738026,0.005080221590502898,0.0052530468312510575,-0.01593684231038162,-0.002818000619492082,C130060K24Rik
ENSMUSG00000024981,-0.009417694080552649,0.004895734431198759,0.005063854397185311,-0.015976704769351577,-0.0028578729096419464,Acsl5
ENSMUSG00000008301,-0.009454783862280797,0.004729571965960276,0.004892491947822775,-0.016013788363756366,-0.002894965687334691,Phax
ENSMUSG00000021694,-0.009548589797122682,0.004331861699070507,0.004482936664669882,-0.016107578569346716,-0.0029887792800061736,Ercc8
ENSMUSG00000025889,-0.009819318813669198,0.0033481812267511938,0.0034678210530825412,-0.016378261543162888,-0.003259531044966285,Snca
