,Pharyngeal Mesoderm/Neural Crest_corr,Pharyngeal Mesoderm/Neural Crest_pval,Pharyngeal Mesoderm/Neural Crest_qval,Pharyngeal Mesoderm/Neural Crest_ci_low,Pharyngeal Mesoderm/Neural Crest_ci_high,gene_annotation
ENSMUSG00000045094,-0.04020979930740132,4.0028515395807654e-11,7.200381786195835e-11,-0.0521243360833805,-0.028283816999743788,Arhgef37
ENSMUSG00000027656,-0.04021051333539856,3.9996811951383344e-11,7.195206089026698e-11,-0.05212504932458419,-0.028284531611948056,Wisp2
ENSMUSG00000035158,-0.04021278906586068,3.9895931447066806e-11,7.17758414954484e-11,-0.052127322547318354,-0.028286809204460146,Mitf
ENSMUSG00000002767,-0.040217304912198014,3.96964857945907e-11,7.142225701515395e-11,-0.05213183341707947,-0.028291328746123477,Mrpl2
ENSMUSG00000050530,-0.040217400178410696,3.969228881742516e-11,7.141993954162129e-11,-0.05213192857830115,-0.028291424090297942,Fam171a1
ENSMUSG00000031603,-0.04021922111354987,3.961215046700467e-11,7.128096733112714e-11,-0.05213374750658233,-0.028293246515654045,Fgf20
ENSMUSG00000029417,-0.04021973955195478,3.958936324574282e-11,7.124518408044255e-11,-0.052134265373600275,-0.028293765378353077,Cxcl9
ENSMUSG00000090487,-0.04022275158565466,3.945722709479544e-11,7.101259636647249e-11,-0.05213727408751816,-0.02829677987725251,Gm2888
ENSMUSG00000049122,-0.04022308792425128,3.9442498928012355e-11,7.099129343014145e-11,-0.05213761005539805,-0.028297116491138977,Frmd3
ENSMUSG00000063767,-0.04022536957733802,3.934272793926066e-11,7.081691029066918e-11,-0.05213988919354625,-0.02829940001180787,S100a7a
ENSMUSG00000023236,-0.040226156406439374,3.930837916186658e-11,7.076027019445328e-11,-0.052140675155341126,-0.028300187484974634,Scg5
ENSMUSG00000060480,-0.040229587806534836,3.915892515921529e-11,7.049640200242366e-11,-0.05214410277289819,-0.028303621694043834,Olfr171
ENSMUSG00000028799,-0.0402306642059252,3.91121574446622e-11,7.04173710919811e-11,-0.052145177985682384,-0.028304698974642033,Zfp362
ENSMUSG00000111830,-0.040230738831914734,3.910891709946759e-11,7.041670083793843e-11,-0.05214525252940435,-0.028304773661726092,CH36-165I3.2
ENSMUSG00000097142,-0.0402310503043761,3.909539544736304e-11,7.03975173468029e-11,-0.05214556365849754,-0.028305085389184012,Gm26778
ENSMUSG00000041809,-0.04023227850057486,3.904212152233519e-11,7.030674546108065e-11,-0.05214679050070662,-0.02830631459090615,Efhc1
ENSMUSG00000097495,-0.040234943585408155,3.8926765652243204e-11,7.010415537987789e-11,-0.052149452647369865,-0.028308981857766587,Gm26651
ENSMUSG00000020153,-0.04023533214580386,3.8909975034231386e-11,7.007905714792027e-11,-0.05214984077937613,-0.02830937073630869,Ndufs7
ENSMUSG00000079038,-0.040238542746649404,3.877150825708838e-11,6.983479353884776e-11,-0.052153047840383195,-0.028312583966075704,D130040H23Rik
ENSMUSG00000037646,-0.040239170082392285,3.87445088871891e-11,6.97912826264319e-11,-0.05215367448443021,-0.028313211815525798,Vps13b
ENSMUSG00000104237,-0.040239880930141934,3.871393754750625e-11,6.974133059405485e-11,-0.052154384548392906,-0.028313923245379614,Gm33533
ENSMUSG00000097284,-0.04024635293739257,3.843668025540533e-11,6.924694552617491e-11,-0.05216084941899758,-0.028320400553030336,4930480K23Rik
ENSMUSG00000053580,-0.040248706671696055,3.833633009713624e-11,6.907122452079614e-11,-0.05216320055760386,-0.028322756215227323,Tanc2
ENSMUSG00000032023,-0.04025057612242936,3.82568098014548e-11,6.893300999892253e-11,-0.05216506794661357,-0.028324627197282206,Jhy
ENSMUSG00000109008,-0.040255899305417245,3.8031262112757566e-11,6.853163650586596e-11,-0.05217038525847308,-0.02832995474110211,Gm44899
ENSMUSG00000026198,-0.04025651922127451,3.800508049770404e-11,6.848948446708966e-11,-0.05217100449055912,-0.028330575164847868,Abcb6
ENSMUSG00000038670,-0.04026132139307,3.780286146885643e-11,6.81300634796567e-11,-0.05217580136521747,-0.028335381271307605,Mybpc2
ENSMUSG00000060336,-0.04026171842918107,3.7786189513016224e-11,6.810501577768127e-11,-0.05217619796334485,-0.028335778632755288,Zfp937
ENSMUSG00000029413,-0.04026286797210123,3.773795957951768e-11,6.802308080143294e-11,-0.05217734623814494,-0.028336929117647288,Naaa
ENSMUSG00000030209,-0.040268008009639825,3.7523041249806336e-11,6.764065409436456e-11,-0.052182480605057736,-0.028342073367481797,Grin2b
ENSMUSG00000029122,-0.0402704470948978,3.7421476196295334e-11,6.746252173958756e-11,-0.05218491699923177,-0.028344514451807818,Evc
ENSMUSG00000021504,-0.04027146040732376,3.737936036041756e-11,6.73915446885719e-11,-0.05218592919361132,-0.028345528594783877,B4galt7
ENSMUSG00000051586,-0.04027307258263874,3.731244983857008e-11,6.72758513943286e-11,-0.052187539590069255,-0.028347142091550776,Mical3
ENSMUSG00000032245,-0.04027411705105557,3.7269163573566435e-11,6.720273972225346e-11,-0.052188582905997684,-0.02834818741612031,Cln6
