,Neural Crest/Mid-HindBrain_corr,Neural Crest/Mid-HindBrain_pval,Neural Crest/Mid-HindBrain_qval,Neural Crest/Mid-HindBrain_ci_low,Neural Crest/Mid-HindBrain_ci_high,gene_annotation
ENSMUSG00000067028,-0.0009536636748572925,0.8756047966993437,0.8810593839574706,-0.012893077880540964,0.010986022426038206,Cntnap5b
ENSMUSG00000068335,-0.0009637306991478958,0.8743025210078238,0.8798211122134638,-0.012903143239319835,0.010975956606399346,Dok1
ENSMUSG00000024578,-0.0009689037439219399,0.8736334653160078,0.8791838685264017,-0.012908315427312295,0.010970784179706901,Il17b
ENSMUSG00000002797,-0.0009828977856613935,0.871824000188395,0.8774641800606724,-0.012922307148097365,0.010956791806790208,Ggct
ENSMUSG00000040502,-0.000987579728379793,0.8712187623261602,0.8768975957295899,-0.012926988313257518,0.010952110421360732,March9
ENSMUSG00000038754,-0.0009979510015674248,0.8698783299030562,0.8755843209158674,-0.012937357862162055,0.010941740380795909,Elovl3
ENSMUSG00000079056,-0.0010046418463784022,0.8690137715532756,0.8747499536376542,-0.012944047593219293,0.01093505032982702,Kcnip3
ENSMUSG00000028069,-0.0010195883096267646,0.8670830294542728,0.8728828560564229,-0.012958991564628378,0.01092010563605614,Gpatch4
ENSMUSG00000025407,-0.0010279407395121412,0.8660044305341891,0.8718994824274342,-0.012967342599693192,0.010911754192672547,Gli1
ENSMUSG00000038762,-0.0010308712442517907,0.8656260560580794,0.8715542722303861,-0.012970272614656208,0.010908824033658773,Abcf1
ENSMUSG00000022466,-0.0010334702178724758,0.8652905132536125,0.8712521604905961,-0.012972871153737651,0.010906225366480067,Rpap3
ENSMUSG00000004032,-0.0010477437041291563,0.863448156544038,0.8694327662498142,-0.012987142250642816,0.010891953560318567,Gstm5
ENSMUSG00000033594,-0.0010507437479980782,0.8630610185852997,0.8690785878232417,-0.012990141791692106,0.010888953868958396,Spata2l
ENSMUSG00000061983,-0.0010699402672628012,0.8605846032164416,0.8666204494553166,-0.013009335088455124,0.01086975960022083,Rps12
ENSMUSG00000026766,-0.0011037387389710672,0.8562278312499014,0.8623038563045071,-0.01304312786506394,0.010835965069533961,Mmadhc
ENSMUSG00000000325,-0.0011150322444157604,0.8547730177839662,0.8608740312015727,-0.013054419461454858,0.010824672874872413,Arvcf
ENSMUSG00000039914,-0.0011218413205220906,0.8538961203528055,0.8600614353012012,-0.013061227385083772,0.010817864587591429,Coq10a
ENSMUSG00000074213,-0.001172374185833124,0.8473940251165124,0.8537926011433279,-0.013111751662810587,0.010767337541874238,Gm10642
ENSMUSG00000035296,-0.0012132538839093176,0.8421415768752445,0.8485353139672919,-0.013152624369158428,0.010726462507076722,Sgcg
