,Mesenchyme_2_corr,Mesenchyme_2_pval,Mesenchyme_2_qval,Mesenchyme_2_ci_low,Mesenchyme_2_ci_high,gene_annotation
ENSMUSG00000018428,-0.08953531783189865,1.7723609624196707e-158,3.815631781312531e-158,-0.09603890696803029,-0.0830240844204587,Akap1
ENSMUSG00000016496,-0.08955385143883299,1.5255658558628034e-158,3.285025529420335e-158,-0.09605741802376744,-0.08304263902182452,Cd274
ENSMUSG00000039699,-0.08960983457996961,9.697070996028233e-159,2.0903364940780843e-158,-0.09611333301879847,-0.08309868560675238,Batf2
ENSMUSG00000037716,-0.08977401772213416,2.5632205285049304e-159,5.532528660705656e-159,-0.09627731607049421,-0.08326305504962882,Ccdc33
ENSMUSG00000035960,-0.0898234227787167,1.7166837801503066e-159,3.706939710970215e-159,-0.09632666084789358,-0.08331251623610385,Apex1
ENSMUSG00000044763,-0.08987364492598861,1.1418664281077476e-159,2.4667669650199774e-159,-0.09637682168628525,-0.08336279547445791,Trmt10c
ENSMUSG00000032113,-0.08992585192566643,7.471970186577678e-160,1.6145138691827308e-159,-0.09642896491905036,-0.08341506185668092,Chek1
ENSMUSG00000040464,-0.09012571947606716,1.4700039136483508e-160,3.182515509089307e-160,-0.09662858801640806,-0.08361515707632741,Gtpbp10
ENSMUSG00000049969,-0.09015419320991885,1.1657165907896358e-160,2.5242888496960498e-160,-0.0966570268821682,-0.08364366328735147,Plekhf2
ENSMUSG00000041975,-0.09019366923229015,8.450712982245591e-161,1.830347191302922e-160,-0.09669645454580664,-0.08368318435374456,Mettl8
ENSMUSG00000063802,-0.0902239603094567,6.60169696553582e-161,1.4304868831063532e-160,-0.09672670850210088,-0.08371351000836037,Hspbp1
ENSMUSG00000035900,-0.09028433268754549,4.0347185831139145e-161,8.748305687584376e-161,-0.09678700685967861,-0.08377395133785567,Gramd4
ENSMUSG00000020034,-0.0902975636467075,3.6218376257108015e-161,7.854776893755804e-161,-0.09680022159043665,-0.08378719741452052,Tcp11l2
ENSMUSG00000039016,-0.0905002201415117,6.917274444411312e-162,1.503755314002459e-161,-0.09700262923087662,-0.08399008574921352,Timm8b
ENSMUSG00000038172,-0.09051264829607518,6.248681174871171e-162,1.358704321563638e-161,-0.09701504210664169,-0.08400252813920454,Ttc39b
ENSMUSG00000075467,-0.09078704491819349,6.599585485007434e-163,1.4371919610207827e-162,-0.09728910087847353,-0.08427723957725154,Dnlz
ENSMUSG00000039763,-0.09098976853662336,1.2482862610511696e-163,2.7237317500571014e-163,-0.09749157426051093,-0.08448019641660785,Dnajc28
ENSMUSG00000002325,-0.09101131790792169,1.0455422790100239e-163,2.282345075332949e-163,-0.09751309700021904,-0.0845017706108784,Irf9
ENSMUSG00000032058,-0.09101443558836766,1.0190698689384635e-163,2.2250433819617105e-163,-0.09751621082720505,-0.08450489188312221,Ppp2r1b
ENSMUSG00000039954,-0.09101582963837489,1.0074504945120091e-163,2.2001539517624136e-163,-0.09751760315412218,-0.08450628753921922,Stk32a
ENSMUSG00000006019,-0.09103812943296459,8.385849801026358e-164,1.8317714724828218e-163,-0.09753987538199761,-0.08452861302895055,Dhx34
