,Notochord_2_corr,Notochord_2_pval,Notochord_2_qval,Notochord_2_ci_low,Notochord_2_ci_high,gene_annotation
ENSMUSG00000027748,0.07427872494443559,1.6377874214331187e-109,2.5554492454877807e-109,0.06775174048716572,0.08079935171479335,Trpc4
ENSMUSG00000002265,0.07427256818146158,1.7066825432765375e-109,2.662531268762149e-109,0.06774557798526791,0.08079320121186845,Peg3
ENSMUSG00000058183,0.07424863688731644,2.0030743992538207e-109,3.1244336285350503e-109,0.06772162438869668,0.0807692942457734,Mmel1
ENSMUSG00000019809,0.07420157523779039,2.7440507949274977e-109,4.279555201072205e-109,0.06767451890269024,0.08072228041624578,Pex3
ENSMUSG00000038957,0.0741916070174204,2.933151896970726e-109,4.573759390255303e-109,0.06766454140096385,0.08071232232099987,Edc3
ENSMUSG00000001383,0.07416547968869461,3.492816450364999e-109,5.44561342432959e-109,0.06763838975141809,0.08068622152467987,Zmat2
ENSMUSG00000039656,0.07412998883293141,4.427450791456825e-109,6.9017159648586525e-109,0.06760286587309183,0.08065076669569689,Rxrb
ENSMUSG00000100975,0.07412346437284442,4.624654307458159e-109,7.208002349529549e-109,0.06759633534410406,0.08064424885679605,Gm28875
ENSMUSG00000024887,0.07411795826411542,4.797881972886222e-109,7.47683025227711e-109,0.06759082411415616,0.08063874833537077,Asah2
ENSMUSG00000000247,0.07407720574559931,6.29815880785139e-109,9.813273306094405e-109,0.06755003370420165,0.08059803715797577,Lhx2
ENSMUSG00000029622,0.07407349843357465,6.455946039939811e-109,1.005755731412963e-108,0.0675463229462241,0.08059433360572947,Arpc1b
ENSMUSG00000029390,0.0740678338527688,6.704688549462722e-109,1.0443440108197385e-108,0.06754065310052942,0.08058867476932252,Tmed2
ENSMUSG00000053475,0.07398376269595634,1.1746503914082541e-108,1.8293885553780626e-108,0.06745650385416843,0.0805046888188757,Tnfaip6
ENSMUSG00000037029,0.07397042093742581,1.283896973827089e-108,1.999216714149936e-108,0.06744314971167467,0.08049136057374383,Zfp146
ENSMUSG00000032338,0.073917364853642,1.8282962729704695e-108,2.8464833768806936e-108,0.06739004440380764,0.08043835820552898,Hcn4
ENSMUSG00000025911,0.07388862779793326,2.2138593303619823e-108,3.446231834311928e-108,0.06736128070203154,0.08040965022868032,Adhfe1
ENSMUSG00000000374,0.07387945658886155,2.3532332213585953e-108,3.662619799779915e-108,0.06735210099135742,0.08040048829762465,Trappc10
ENSMUSG00000020910,0.07384637162665073,2.9328476373745865e-108,4.564033049135678e-108,0.06731898536896183,0.08036743679652268,Adprm
ENSMUSG00000022091,0.07380394873352955,3.889017140583258e-108,6.0510613670192275e-108,0.06727652318313945,0.08032505678762324,Sorbs3
ENSMUSG00000029108,0.0737836008397075,4.4524102050132154e-108,6.926587126654037e-108,0.06725615645119253,0.08030472945460233,Pcdh7
ENSMUSG00000030881,0.07378140164115514,4.517981601927548e-108,7.027502880584147e-108,0.06725395521694304,0.08030253247793473,Arfip2
ENSMUSG00000039809,0.07376248758450288,5.123222112775704e-108,7.967686022979323e-108,0.06723502365504036,0.08028363752783459,Gabbr2
ENSMUSG00000015994,0.07370366581310321,7.57272344400407e-108,1.177534356088333e-107,0.06717614747322459,0.08022487514690639,Fnta
ENSMUSG00000024679,0.07333041997971865,8.972836202175932e-107,1.3948136487138087e-106,0.06680255744508498,0.07985200511162915,Ms4a6d
ENSMUSG00000036545,0.07332415625511067,9.351923811852865e-107,1.4535162903097398e-106,0.06679628795989676,0.07984574767800656,Adamts2
ENSMUSG00000026027,0.0733073785540517,1.0447927146278657e-106,1.6236095021412055e-106,0.06677949483137376,0.07982898682513588,Stradb
ENSMUSG00000022762,0.07329961771075653,1.0997385095949166e-106,1.708729816026906e-106,0.06677172685306403,0.07982123377404178,Ncam2
ENSMUSG00000010205,0.07325726703533833,1.4545068374552587e-106,2.259603600210127e-106,0.06672933725603941,0.07977892560651598,Raver1
ENSMUSG00000054150,0.07318969065331339,2.2715459413149174e-106,3.5283410085661966e-106,0.0666616988179871,0.0797114170030761,Syne3
ENSMUSG00000023015,0.0731778997868326,2.455182397506046e-106,3.8129871059264573e-106,0.06664989712999018,0.07969963795661279,Racgap1
ENSMUSG00000021606,0.07315240783115236,2.9044187271102423e-106,4.509966967562488e-106,0.06662438178434156,0.07967417154968749,Ndufs6
ENSMUSG00000062797,0.07314923989237174,2.965693383454502e-106,4.604398980677692e-106,0.06662121093943696,0.07967100678530949,Hikeshi
ENSMUSG00000045102,0.07314144630597451,3.1219844595671926e-106,4.846296894702255e-106,0.06661341020411672,0.07966322100784107,Poln
ENSMUSG00000020186,0.07313052958136351,3.354820651455988e-106,5.2069232522986e-106,0.06660248346712341,0.07965231522010732,Csrp2
ENSMUSG00000029782,0.073128987613159,3.389076104995521e-106,5.259273905952081e-106,0.06660094008481367,0.07965077479659172,Tmem209
ENSMUSG00000074218,0.07310069405205495,4.0833879196220887e-106,6.335745414464063e-106,0.06657262058185032,0.07962250957344126,Cox7a1
ENSMUSG00000047583,0.0730893162851868,4.401088160890135e-106,6.827626684595308e-106,0.0665612323858767,0.07961114319923504,Tyw3
ENSMUSG00000031987,0.07305853339491082,5.389777327666303e-106,8.360132352514817e-106,0.06653042128786799,0.07958039112364725,Egln1
ENSMUSG00000032604,0.07305289021606506,5.5937243658345735e-106,8.675130840314165e-106,0.06652477293927658,0.0795747535924631,Qars
ENSMUSG00000046179,0.07304386655826206,5.935964755272627e-106,9.204473182311407e-106,0.0665157410157229,0.07956573896461912,E2f8
ENSMUSG00000072847,0.07300941538563308,7.446044036196233e-106,1.1544254319684083e-105,0.06648125829535285,0.07953132225740923,A530017D24Rik
ENSMUSG00000022519,0.07300079560334646,7.880373554456827e-106,1.2215739504661025e-105,0.06647263062216975,0.07952271109603755,Srl
ENSMUSG00000071076,0.07294981842420575,1.1017827411955167e-105,1.707396158678935e-105,0.06642160679642008,0.07947178488087395,Jund
ENSMUSG00000025804,0.07293468500857977,1.216983981594379e-105,1.8856274893002465e-105,0.06640645953955188,0.07945666658819092,Ccr1
ENSMUSG00000019505,0.07292963958291088,1.258003562808949e-105,1.9488823591153355e-105,0.06640140949993202,0.07945162620378923,Ubb
ENSMUSG00000037443,0.07291982150731899,1.34182119121089e-105,2.078409527897909e-105,0.06639158244684538,0.07944181793722499,Cep85
ENSMUSG00000023951,0.07291362444489007,1.3975715268312448e-105,2.1644285687335366e-105,0.06638537971857147,0.07943562706549742,Vegfa
ENSMUSG00000038467,0.07288559088046556,1.6800845036489306e-105,2.6015554407694806e-105,0.06635732052994722,0.07940762149957611,Chmp4b
ENSMUSG00000091002,0.07285585742205093,2.0422207839150145e-105,3.1618219289596135e-105,0.06632755990482068,0.07937791772618173,Tcerg1l
ENSMUSG00000021068,0.07281879157264527,2.6045358850407224e-105,4.031789295728673e-105,0.06629046020554719,0.07934088886602385,Nin
ENSMUSG00000026941,0.07280813200341793,2.793168818680479e-105,4.323121527132764e-105,0.06627979090495946,0.07933023993100391,Mamdc4
ENSMUSG00000021379,0.07280804009938126,2.7948530662210295e-105,4.325058907801036e-105,0.06627969891702801,0.07933014811864614,Id4
ENSMUSG00000029428,0.07280082311644222,2.9303267577821388e-105,4.5340039575771916e-105,0.06627247534639924,0.07932293833466524,Stx2
ENSMUSG00000028670,0.07279363047797272,3.0718621980648934e-105,4.752262063838016e-105,0.06626527614314257,0.0793157528701913,Lypla2
ENSMUSG00000020814,0.07278003601573609,3.358266433834012e-105,5.194534313741705e-105,0.06625166927497181,0.07930217196532979,Mxra7
ENSMUSG00000021311,0.07277065126306609,3.571380900231429e-105,5.523323384211923e-105,0.06624227595945006,0.07929279657039728,Mtr
ENSMUSG00000044562,0.0727284654640122,4.708775549982313e-105,7.281236353768845e-105,0.06620005168345015,0.07925065282145477,Rasip1
ENSMUSG00000035275,0.07266952910399009,6.926893917482387e-105,1.0709483484048216e-104,0.0661410616077322,0.07919177516918949,Raver2
ENSMUSG00000085675,0.07266681289463434,7.051164451953504e-105,1.089992959028212e-104,0.06613834292387273,0.07918906166441049,Gm12022
ENSMUSG00000061411,0.07266139581264548,7.30568569976757e-105,1.1291631684339367e-104,0.06613292090713785,0.0791836499760155,Nol4l
ENSMUSG00000038173,0.07261476796052838,9.912213736230451e-105,1.531790099865624e-104,0.06608625059484532,0.07913706853367915,Enpp6
ENSMUSG00000048482,0.07260472259805953,1.0585390684299165e-104,1.635567163828672e-104,0.0660761960886254,0.079127033165863,Bdnf
ENSMUSG00000021038,0.07257470179992412,1.2881437265182793e-104,1.989718453071176e-104,0.06604614797207978,0.07909704222909955,Vipas39
ENSMUSG00000019815,0.07252530266670094,1.7790070305054418e-104,2.7475012054138098e-104,0.06599670391226693,0.07904769220697543,Zc2hc1b
ENSMUSG00000093445,0.0725004723371179,2.0922765073080913e-104,3.230816101464008e-104,0.06597185101257301,0.07902288655086921,Lrch4
ENSMUSG00000044018,0.07247335691494178,2.497556206531187e-104,3.856038608200072e-104,0.06594471095245018,0.0789957980636012,Mrpl50
ENSMUSG00000032334,0.07246314533429549,2.669725435245027e-104,4.1212186403905936e-104,0.06593449009573646,0.07898559662405776,Loxl1
ENSMUSG00000048406,0.0724619585204678,2.6904883952291622e-104,4.152629102066927e-104,0.06593330220391135,0.0789844109887642,B330016D10Rik
ENSMUSG00000037664,0.07244441419516055,3.016903480507882e-104,4.655715247697348e-104,0.06591574194503894,0.07896688408323313,Cdkn1c
ENSMUSG00000000120,0.07239544859287432,4.1523371014107064e-104,6.406938900494841e-104,0.0658667318941195,0.07891796707760429,Ngfr
ENSMUSG00000051331,0.07235806464478284,5.298420811647861e-104,8.17405247091617e-104,0.06582931403187241,0.07888062021063601,Cacna1c
ENSMUSG00000062963,0.07235271959848477,5.486262786652063e-104,8.462537076433848e-104,0.065823964138129,0.0788752804645912,Ufc1
ENSMUSG00000023921,0.07234948286804799,5.603227181964405e-104,8.641621193652692e-104,0.06582072447247002,0.07887204694357816,Mut
ENSMUSG00000042737,0.0723483229887786,5.645744110467544e-104,8.70585059439868e-104,0.06581956354140003,0.0788708882143693,Dpm3
ENSMUSG00000001865,0.07232884922211474,6.409621991742432e-104,9.882241738733323e-104,0.06580007211819378,0.07885143375398873,Cpa3
ENSMUSG00000041957,0.07231944578613349,6.81457857990709e-104,1.0504977000010929e-103,0.06579066015805629,0.07884203963879084,Pkp2
ENSMUSG00000036356,0.07227860134127709,8.891313608630772e-104,1.370424415633596e-103,0.06574977870144674,0.07880123566592853,Csgalnact1
ENSMUSG00000027170,0.0722502924324989,1.0690497340884468e-103,1.6474799415756614e-103,0.06572144415302308,0.07877295479509351,Eif3m
ENSMUSG00000028217,0.07223694697506146,1.1660463376704825e-103,1.796681568059295e-103,0.06570808661213075,0.07875962255173286,Cdh17
ENSMUSG00000002679,0.07223634286464035,1.170639094020319e-103,1.8034803482056984e-103,0.0657074819547818,0.07875901903941974,Med6
ENSMUSG00000013646,0.0721996449647421,1.4862920016409303e-103,2.289420828159166e-103,0.0656707508396466,0.07872235746382522,Sh3bp5l
ENSMUSG00000000416,0.07218744952563402,1.6089689120570505e-103,2.477623825157146e-103,0.06565854436637426,0.07871017409209702,Cttnbp2
ENSMUSG00000017713,0.0721626322761653,1.8906917686675688e-103,2.9109957947152714e-103,0.06563370466883975,0.07868538139326522,Tha1
ENSMUSG00000025353,0.07215720766606214,1.9585480225251796e-103,3.0150061923109295e-103,0.0656282751530656,0.07867996214842078,Ormdl2
ENSMUSG00000027502,0.07215711616845616,1.9597131614671546e-103,3.016335480171086e-103,0.06562818357271835,0.07867987074130801,Rtfdc1
ENSMUSG00000049717,0.07214755412062784,2.0853693339662913e-103,3.2092479747095893e-103,0.06561861287853746,0.07867031814995776,Lig4
ENSMUSG00000018486,0.0721015355520717,2.8120791877063025e-103,4.3269413566799545e-103,0.06557255271511428,0.07862434507514802,Wnt9b
ENSMUSG00000033628,0.07210000233577638,2.8402213111451163e-103,4.3695712479155635e-103,0.06557101811346755,0.07862281337410573,Pik3c3
ENSMUSG00000045667,0.07209236938181851,2.984561534325257e-103,4.590926833295273e-103,0.06556337826314497,0.07861518796321541,Smtnl2
ENSMUSG00000035139,0.0720800072659026,3.234017535730186e-103,4.973881168456146e-103,0.06555100497969592,0.07860283806221875,Secisbp2
ENSMUSG00000030450,0.0720034173128523,5.316130324556194e-103,8.174889012080877e-103,0.06547434588252882,0.0785263237425322,Oca2
ENSMUSG00000002608,0.07194589941223657,7.718729572626129e-103,1.1865841003268454e-102,0.06541677610639408,0.07846886259090552,Ccdc97
ENSMUSG00000052906,0.0719409451354908,7.970567001151428e-103,1.2251102061407053e-102,0.06541181736340854,0.07846391320017929,Ubxn8
ENSMUSG00000017176,0.0718614148055729,1.3340984972688944e-102,2.0499362281329046e-102,0.06533221538168947,0.07838446126085451,Nt5c3b
ENSMUSG00000092558,0.0717895659388206,2.1235661370500707e-102,3.2625075081426804e-102,0.06526030185509613,0.0783126831420686,Med20
ENSMUSG00000024824,0.07176552040890734,2.4807464033528825e-102,3.810085091925791e-102,0.06523623470073814,0.07828866127414467,Rad9a
ENSMUSG00000040896,0.07169704628993068,3.861208899474728e-102,5.9284644548974795e-102,0.06516769904374874,0.07822025449558535,Kcnd3
ENSMUSG00000022102,0.07167150752118294,4.553429622973389e-102,6.9902204835329896e-102,0.06514213733896139,0.07819474082704257,Dok2
ENSMUSG00000040771,0.07165476242339291,5.073187735597454e-102,7.786934360088187e-102,0.06512537720726563,0.07817801218215757,Oard1
ENSMUSG00000030934,0.07158054158812305,8.188688027461311e-102,1.256704731040717e-101,0.06505108978018513,0.07810386422838411,Oat
ENSMUSG00000029632,0.07155720744570576,9.517900342582576e-102,1.4604726626641977e-101,0.06502773471705284,0.07808055298412588,Ndufa4
ENSMUSG00000024349,0.07155562725863289,9.615332476386579e-102,1.4751967591878765e-101,0.06502615311348871,0.07807897434745742,Tmem173
ENSMUSG00000107667,0.0715208368908136,1.2031566183207322e-101,1.845615306520528e-101,0.06499133156764093,0.07804421810600394,C530044C16Rik
ENSMUSG00000024137,0.07151672104101389,1.2354832317209334e-101,1.8949129320873212e-101,0.06498721203039858,0.0780401062924508,E4f1
ENSMUSG00000000530,0.07151011453030642,1.289193584781789e-101,1.9769875552550055e-101,0.0649805996012987,0.07803350626001578,Acvrl1
ENSMUSG00000061723,0.07148459449485964,1.5194715567478665e-101,2.3297631964855357e-101,0.06495505670930789,0.07800801124386725,Tnnt3
ENSMUSG00000049225,0.07146640589421736,1.7082316386058802e-101,2.6187822146341872e-101,0.0649368518236068,0.07798984046973334,Pdp1
ENSMUSG00000049583,0.07146022911313897,1.77751667111003e-101,2.7245810409411865e-101,0.06493066951317167,0.07798366974148499,Grm5
ENSMUSG00000084927,0.07141819614524783,2.329565908387042e-101,3.5702159515510225e-101,0.06488859893134374,0.07794167794980156,Gm5724
