,NMP_corr,NMP_pval,NMP_qval,NMP_ci_low,NMP_ci_high,gene_annotation
ENSMUSG00000022095,0.3934361258773804,0.0,0.0,0.387877216004816,0.3989664151911673,Fam160b2
ENSMUSG00000060715,0.393399931650986,0.0,0.0,0.3878408357966662,0.39893040861524814,1700019A02Rik
ENSMUSG00000019942,0.3933457735522955,0.0,0.0,0.3877863994423409,0.39887653126962586,Cdk1
ENSMUSG00000059173,0.39321509464179755,0.0,0.0,0.38765504928421424,0.39874652963530555,Pde1a
ENSMUSG00000075600,0.39317790518742024,0.0,0.0,0.3876176688430909,0.3987095328839517,Zc3h3
ENSMUSG00000044288,0.39314006114518796,0.0,0.0,0.38757963047124305,0.39867188491810984,Cnr1
ENSMUSG00000005299,0.39304654759319807,0.0,0.0,0.3874856368072344,0.39857885579570856,Letm1
ENSMUSG00000031951,0.3930059959930036,0.0,0.0,0.38744487704523467,0.39853851423015985,Tmem231
ENSMUSG00000035671,0.3929822998655573,0.0,0.0,0.38742105928952913,0.3985149408255124,Zswim4
ENSMUSG00000028107,0.3929518754952135,0.0,0.0,0.38739047876686544,0.3984846740129769,Tars2
ENSMUSG00000002320,0.39287329003869914,0.0,0.0,0.3873114900290923,0.3984064954689353,Tm9sf1
ENSMUSG00000021254,0.3928642867182196,0.0,0.0,0.3873024405109969,0.39839753876217004,Gpatch2l
ENSMUSG00000091337,0.39286144816782514,0.0,0.0,0.3872995873957249,0.39839471490784323,Eid1
ENSMUSG00000051650,0.3927838399084091,0.0,0.0,0.3872215809620706,0.39831750841014185,B3gnt2
ENSMUSG00000037221,0.39269774061913815,0.0,0.0,0.38713504002795723,0.39823185474712114,Mospd3
ENSMUSG00000060429,0.39261603576113535,0.0,0.0,0.38705291615690757,0.39815057268175547,Sntb1
ENSMUSG00000039463,0.39257990935220277,0.0,0.0,0.38701660450638914,0.3981146331860142,Slc9a8
ENSMUSG00000033323,0.39246033408486364,0.0,0.0,0.38689641622861093,0.3979956764638695,Ctdp1
ENSMUSG00000027778,0.39230357388673026,0.0,0.0,0.3867388526754179,0.39783972688111174,Ift80
ENSMUSG00000029310,0.39212093145496363,0.0,0.0,0.38655527465869427,0.39765802849962717,Nudt9
ENSMUSG00000024186,0.39211905873579533,0.0,0.0,0.3865533923488155,0.3976561654580033,Rgs11
ENSMUSG00000040006,0.3921118852660688,0.0,0.0,0.38654618214220454,0.39764902905778626,Ginm1
ENSMUSG00000025591,0.39205841326891117,0.0,0.0,0.3864924363248624,0.397595833360572,Tma16
ENSMUSG00000061613,0.3920253395951934,0.0,0.0,0.38645919330591505,0.3975629305661624,U2af1
ENSMUSG00000059423,0.3920142644227477,0.0,0.0,0.386448061429133,0.3975519126118096,Zfp933
ENSMUSG00000046337,0.3919933958551425,0.0,0.0,0.38642708601989834,0.3975311518539553,Fam178b
ENSMUSG00000032330,0.3919702774177389,0.0,0.0,0.38640384922884047,0.39750815284280494,Cox7a2
ENSMUSG00000071893,0.39195673917083496,0.0,0.0,0.38639024167685665,0.39749468452914927,Vmn1r4
ENSMUSG00000063804,0.3918340279278364,0.0,0.0,0.3862669023602047,0.39737260705524036,Lin28b
ENSMUSG00000026958,0.3917738470234346,0.0,0.0,0.3862064135042974,0.39731273689665336,Dpp7
ENSMUSG00000034757,0.39171287602947785,0.0,0.0,0.38614513056470096,0.39725208068007806,Tmub2
ENSMUSG00000017831,0.39169688988137935,0.0,0.0,0.38612906263487284,0.3972361770562955,Rab5a
ENSMUSG00000019338,0.3916766413740051,0.0,0.0,0.3861087105452967,0.3972160330717783,Zfp687
ENSMUSG00000029528,0.3916668279430292,0.0,0.0,0.38609884691519847,0.39720627029584277,Pxn
ENSMUSG00000022365,0.39162679622029206,0.0,0.0,0.38605861042942685,0.3971664451961584,Derl1
ENSMUSG00000019775,0.3915856258429377,0.0,0.0,0.38601722948689754,0.3971254872972414,Rgs17
ENSMUSG00000028822,0.3915377602555942,0.0,0.0,0.38596911912001713,0.3970778687142667,Tmem50a
ENSMUSG00000097258,0.3915297376117568,0.0,0.0,0.385961055452194,0.39706988746735944,Gm26767
ENSMUSG00000012123,0.3915049412566815,0.0,0.0,0.38593613230572943,0.39704521905645074,Aim1l
ENSMUSG00000025938,0.3914883180479252,0.0,0.0,0.385919424101946,0.39702868161560056,Slco5a1
ENSMUSG00000028643,0.39144252657101225,0.0,0.0,0.38587339851056024,0.3969831263824772,Svbp
ENSMUSG00000021417,0.3912473201300424,0.0,0.0,0.3856771943640008,0.3967889267290064,Eci2
ENSMUSG00000020003,0.3912036429431806,0.0,0.0,0.3856332940107854,0.39674547474161775,Pex7
ENSMUSG00000034656,0.3911323070927609,0.0,0.0,0.3855615937277204,0.3966745066452684,Cacna1a
ENSMUSG00000071660,0.39105362014521616,0.0,0.0,0.3854825048711,0.3965962252716867,Ttc9c
ENSMUSG00000097209,0.3909825816258279,0.0,0.0,0.3854111035787992,0.3965255528349424,AU022754
ENSMUSG00000024109,0.3908896714392558,0.0,0.0,0.3853177190278098,0.3964331213430722,Nrxn1
ENSMUSG00000022635,0.3908371273259018,0.0,0.0,0.38526490669452623,0.3963808478993537,Zcrb1
ENSMUSG00000023027,0.3908325537298441,0.0,0.0,0.38526030975353415,0.39637629786148637,Atf1
ENSMUSG00000030104,0.3908187990505278,0.0,0.0,0.3852464848680913,0.3963626140296705,Edem1
ENSMUSG00000058298,0.39078857651907567,0.0,0.0,0.3852161080846955,0.3963325471595579,Mcm9
ENSMUSG00000005672,0.39074505575910684,0.0,0.0,0.38517236522153686,0.3962892505326473,Kit
ENSMUSG00000000275,0.390343801813475,0.0,0.0,0.3847690647023156,0.3958900618936435,Trim25
ENSMUSG00000020649,0.3902446746516804,0.0,0.0,0.38466943227579065,0.3957914446294543,Rrm2
ENSMUSG00000059991,0.39021790392922234,0.0,0.0,0.3846425251215704,0.395764811590273,Nptx2
