,Neural crest_corr,Neural crest_pval,Neural crest_qval,Neural crest_ci_low,Neural crest_ci_high,gene_annotation
ENSMUSG00000023055,0.19898594817303694,0.0,0.0,0.19267746145985762,0.20527798682359216,Calcoco1
ENSMUSG00000032422,0.19898067128715502,0.0,0.0,0.19267217099847672,0.20527272391343054,Snx14
ENSMUSG00000067786,0.1989782296083135,0.0,0.0,0.19266972303821195,0.20527028870120048,Nnat
ENSMUSG00000025200,0.19897788240071235,0.0,0.0,0.19266937493739655,0.20526994241314747,Cwf19l1
ENSMUSG00000110235,0.19892595226499057,0.0,0.0,0.1926173112258846,0.20521814979198463,Gm5086
ENSMUSG00000029517,0.1987646766152985,0.0,0.0,0.19245562096600588,0.20505730098659292,Ankrd7
ENSMUSG00000029830,0.1987594059499598,0.0,0.0,0.19245033675653173,0.20505204426525897,Svopl
ENSMUSG00000028468,0.19875618941672826,0.0,0.0,0.1924471119578894,0.20504883624146825,Rgp1
ENSMUSG00000001260,0.19875274547200222,0.0,0.0,0.1924436591635324,0.2050454014076574,Gabrg1
ENSMUSG00000030500,0.19871477632896106,0.0,0.0,0.19240559246455827,0.2050075327012627,Slc17a6
ENSMUSG00000025732,0.19869440709760225,0.0,0.0,0.1923851709053858,0.20498721734318917,Fam195a
ENSMUSG00000106227,0.19867877634966688,0.0,0.0,0.19236950000633385,0.20497162793234872,Gm43464
ENSMUSG00000028681,0.19862470725143072,0.0,0.0,0.1923152920441895,0.20491770180069047,Ptch2
ENSMUSG00000022661,0.19855482802463684,0.0,0.0,0.19224523340588712,0.20484800728816435,Cd200
ENSMUSG00000064105,0.19852382606614372,0.0,0.0,0.19221415187197272,0.20481708725782494,Cnnm2
ENSMUSG00000000120,0.1984589405787715,0.0,0.0,0.1921490998783533,0.20475237320116552,Ngfr
ENSMUSG00000000915,0.19844764294114367,0.0,0.0,0.19213777325489906,0.2047411054068392,Hip1r
ENSMUSG00000047843,0.19842895364373356,0.0,0.0,0.19211903601091354,0.2047224654745251,Bri3
ENSMUSG00000001211,0.19841384914859497,0.0,0.0,0.19210389276921447,0.20470740087240666,Agpat3
ENSMUSG00000036368,0.19837399714705023,0.0,0.0,0.19206393855239384,0.20466765411109214,Rmdn2
ENSMUSG00000034786,0.19826070870969234,0.0,0.0,0.19195035965896518,0.20455466472981867,Gpsm3
ENSMUSG00000044147,0.19822829912311785,0.0,0.0,0.1919178670097362,0.2045223406664346,Arf6
ENSMUSG00000005705,0.1981386570837139,0.0,0.0,0.1918279952984539,0.20443293510509297,Agrp
ENSMUSG00000030683,0.19810092177166785,0.0,0.0,0.19179016333641433,0.2043952993083871,Sez6l2
ENSMUSG00000049583,0.19805055808891725,0.0,0.0,0.19173967068833253,0.20434506841544847,Grm5
ENSMUSG00000020387,0.1980142451426941,0.0,0.0,0.1917032647769611,0.2043088511920407,Jade2
ENSMUSG00000029352,0.19799594261421066,0.0,0.0,0.19168491539856838,0.2042905969034429,Crybb3
ENSMUSG00000054027,0.19798080991230868,0.0,0.0,0.19166974396405473,0.2042755040834239,Nt5dc3
ENSMUSG00000078517,0.19792393051913582,0.0,0.0,0.19161271901331534,0.20421877456780116,Emc1
ENSMUSG00000106525,0.19787746210226187,0.0,0.0,0.19156613171277426,0.2041724285641108,Gm42695
ENSMUSG00000017692,0.19777933481191523,0.0,0.0,0.19146775346939324,0.20407455968079838,Rhbdl3
ENSMUSG00000054728,0.1976696594912158,0.0,0.0,0.19135779781254036,0.2039651730286339,Phactr1
ENSMUSG00000023249,0.19759750284989552,0.0,0.0,0.1912854568212769,0.2038932062198951,Parp3
ENSMUSG00000044320,0.19757704993410344,0.0,0.0,0.19126495166367097,0.2038728071000761,1700001O22Rik
ENSMUSG00000015316,0.19750934828765287,0.0,0.0,0.1911970771297457,0.2038052834858615,Slamf1
ENSMUSG00000047109,0.1974712447077871,0.0,0.0,0.19115887627256628,0.2037672800790696,Cldn14
ENSMUSG00000025612,0.19743964685275184,0.0,0.0,0.19112719776364417,0.20373576527937773,Bach1
ENSMUSG00000038172,0.1973843029156778,0.0,0.0,0.1910717125922233,0.2036805667830693,Ttc39b
ENSMUSG00000091811,0.19737741458378993,0.0,0.0,0.1910648066845562,0.20367369655053058,Inafm1
ENSMUSG00000038352,0.19736010730583942,0.0,0.0,0.19104745524933997,0.20365643474536257,Arl5c
ENSMUSG00000071176,0.19735893968945917,0.0,0.0,0.19104628465408063,0.20365527019661236,Arhgef10
ENSMUSG00000001517,0.1973294288590221,0.0,0.0,0.1910166985401553,0.2036258368928397,Foxm1
ENSMUSG00000028356,0.1973141437026789,0.0,0.0,0.19100137439518297,0.20361059188701522,Ambp
ENSMUSG00000042997,0.19730784097888426,0.0,0.0,0.19099505559560476,0.20360430571810784,Nhlrc3
ENSMUSG00000041930,0.19730190206211087,0.0,0.0,0.190989101531456,0.20359838240016231,Fam222a
ENSMUSG00000032218,0.1972180616307654,0.0,0.0,0.190905047312285,0.2035147621302373,Ccnb2
ENSMUSG00000109097,0.19718348150977308,0.0,0.0,0.1908703790411261,0.20348027278841951,Gm44536
ENSMUSG00000022868,0.19718288208207016,0.0,0.0,0.19086977808552658,0.20347967493418673,Ahsg
ENSMUSG00000024268,0.19716372696428972,0.0,0.0,0.19085057414526796,0.20346057009523594,Celf4
ENSMUSG00000028394,0.19708933066367268,0.0,0.0,0.19077598826952652,0.20338636902640125,Pole3
ENSMUSG00000032375,0.1970726360054469,0.0,0.0,0.19075925108033007,0.2033697181685873,Aph1b
ENSMUSG00000026179,0.19701685361738183,0.0,0.0,0.19070332660881503,0.20331408210580182,Pnkd
ENSMUSG00000035629,0.19695049059685638,0.0,0.0,0.1906367946082655,0.2032478931121196,Rubcn
ENSMUSG00000047721,0.196912473765966,0.0,0.0,0.19059868100132735,0.20320997594860804,Bola2
ENSMUSG00000034795,0.1968845459648762,0.0,0.0,0.1905706821190589,0.20318212135281077,Ccdc122
ENSMUSG00000046997,0.19683448829771358,0.0,0.0,0.19052049707201313,0.20313219487298206,Spsb4
ENSMUSG00000030854,0.19666799710805896,0.0,0.0,0.19035358245584164,0.20296613977521097,Ptpn5
ENSMUSG00000033007,0.19662115715228842,0.0,0.0,0.19030662344077473,0.20291942244246722,Asic4
ENSMUSG00000038650,0.19656144527877004,0.0,0.0,0.1902467598316056,0.20285986684798868,Rnh1
ENSMUSG00000028089,0.19650771430878805,0.0,0.0,0.19019289236436718,0.20280627646388344,Chd1l
ENSMUSG00000053930,0.19645665205329524,0.0,0.0,0.19014170042641249,0.20275534777667029,Shisa6
ENSMUSG00000028999,0.19643601261558322,0.0,0.0,0.19012100858060657,0.20273476231778043,Rint1
ENSMUSG00000036553,0.1964283947369496,0.0,0.0,0.190113371359913,0.202727164360963,Sh3tc1
ENSMUSG00000029413,0.19634953944480985,0.0,0.0,0.19003431589633507,0.2026485152418641,Naaa
ENSMUSG00000025509,0.19634408310829818,0.0,0.0,0.19002884571213083,0.20264307316834507,Pnpla2
