,Mid-Hind Gut_corr,Mid-Hind Gut_pval,Mid-Hind Gut_qval,Mid-Hind Gut_ci_low,Mid-Hind Gut_ci_high,gene_annotation
ENSMUSG00000042804,0.3425744201062883,0.0,0.0,0.3339661412031998,0.3511255590074303,Gpr153
ENSMUSG00000092094,0.34256396702039266,0.0,0.0,0.33395561914686883,0.35111517617191745,Zfp804b
ENSMUSG00000021278,0.3421669296772275,0.0,0.0,0.33355596370260454,0.3507208055772305,Amn
ENSMUSG00000048616,0.34194788796029846,0.0,0.0,0.33333547892904763,0.35050323378140447,Nog
ENSMUSG00000074922,0.3419082031566907,0.0,0.0,0.3332955327809753,0.35046381519141345,Fam122a
ENSMUSG00000035540,0.3418426577363099,0.0,0.0,0.33322955577862545,0.3503987093964755,Gc
ENSMUSG00000028039,0.3418394297068575,0.0,0.0,0.3332263064964837,0.3503955030158864,Efna3
ENSMUSG00000020798,0.3418199278596378,0.0,0.0,0.3332066762574201,0.35037613195404566,Spns3
ENSMUSG00000054446,0.34180106814282,0.0,0.0,0.3331876923833736,0.35035739870932087,Cpa1
ENSMUSG00000029769,0.3417852224289558,0.0,0.0,0.3331717423594542,0.35034165925054034,Ccdc136
ENSMUSG00000062373,0.3417676921173106,0.0,0.0,0.3331540966540326,0.35032424648459415,Tmem65
ENSMUSG00000040502,0.34176259456548114,0.0,0.0,0.3331489655485552,0.35031918311218174,March9
ENSMUSG00000034614,0.3417082602874645,0.0,0.0,0.3330942736573745,0.350265213117964,Pik3ip1
ENSMUSG00000025427,0.34160508447752164,0.0,0.0,0.3329904189323739,0.35016272889315037,Rnf165
ENSMUSG00000005299,0.34159392767568036,0.0,0.0,0.33297918872932775,0.3501516468628251,Letm1
ENSMUSG00000025997,0.341588251749722,0.0,0.0,0.3329734754620824,0.35014600897530623,Ikzf2
ENSMUSG00000038268,0.34156297469980057,0.0,0.0,0.3329480321249352,0.35012090131744594,Ovca2
ENSMUSG00000022419,0.3415217322725979,0.0,0.0,0.3329065184078445,0.35007993524656017,Deptor
ENSMUSG00000023800,0.34146244965766204,0.0,0.0,0.33284684589439234,0.3500210498138713,Tiam2
ENSMUSG00000023940,0.34143699729963073,0.0,0.0,0.33282122615876636,0.34999576796104415,Sgol1
ENSMUSG00000041025,0.3414305451617609,0.0,0.0,0.33281473159292657,0.3499893590440289,Iffo2
ENSMUSG00000042647,0.3414224175306485,0.0,0.0,0.3328065505172985,0.3499812858562361,Acad12
ENSMUSG00000102548,0.34140957946374045,0.0,0.0,0.3327936280343064,0.3499685337831335,Gm16701
ENSMUSG00000041642,0.3413881174682606,0.0,0.0,0.33277202492374647,0.3499472155404264,Kif21b
ENSMUSG00000037443,0.3412038322083989,0.0,0.0,0.3325865283393973,0.3497641642611629,Cep85
ENSMUSG00000037446,0.3411460701123687,0.0,0.0,0.33252838670488316,0.34970678880761863,Tulp1
ENSMUSG00000059363,0.3411305475210299,0.0,0.0,0.33251276213013065,0.34969137010899454,Fxn
ENSMUSG00000041889,0.34112882868892785,0.0,0.0,0.33251103200559384,0.34968966278075175,Shisa4
ENSMUSG00000075054,0.3410445275176636,0.0,0.0,0.3324261770611517,0.34960592575351374,Yae1d1
ENSMUSG00000019894,0.34099539924505873,0.0,0.0,0.3323767261299832,0.34955712618456874,Slc6a15
ENSMUSG00000034906,0.34099407906571805,0.0,0.0,0.3323753972807865,0.34955581483754133,Ncaph
ENSMUSG00000044165,0.34098025256923215,0.0,0.0,0.33236147998525856,0.3495420808415845,Bcl2l15
ENSMUSG00000022211,0.3408512784853933,0.0,0.0,0.33223165910531033,0.34941396942894987,Carmil3
ENSMUSG00000036949,0.3407804882476035,0.0,0.0,0.3321604042238358,0.3493436525509693,Slc39a12
ENSMUSG00000097518,0.3407636411454211,0.0,0.0,0.33214344655734584,0.34932691808769734,Gm26694
ENSMUSG00000024909,0.34074818029930737,0.0,0.0,0.33212788424956136,0.349311560607246,Efemp2
ENSMUSG00000007833,0.3407206518004557,0.0,0.0,0.3321001751067882,0.3492842161426585,Aldh16a1
ENSMUSG00000097168,0.3406670497213384,0.0,0.0,0.33204622132979494,0.34923097236375805,C230088H06Rik
ENSMUSG00000030500,0.3406628496381486,0.0,0.0,0.3320419936910958,0.3492268003534622,Slc17a6
ENSMUSG00000000202,0.3405825377911083,0.0,0.0,0.33196115500829926,0.3491470252366547,Btbd17
ENSMUSG00000079084,0.3404853888259834,0.0,0.0,0.3318633689272515,0.3490505253596024,Ccdc82
ENSMUSG00000038298,0.3404255987152666,0.0,0.0,0.33180318679709503,0.348991134638369,Pdzk1
ENSMUSG00000054944,0.340411999931263,0.0,0.0,0.33178949886119213,0.3489776266827148,5330416C01Rik
ENSMUSG00000069041,0.34034966446666276,0.0,0.0,0.331726754779676,0.34891570752062423,Slc25a31
