,Extra-Embryonic endoderm_corr,Extra-Embryonic endoderm_pval,Extra-Embryonic endoderm_qval,Extra-Embryonic endoderm_ci_low,Extra-Embryonic endoderm_ci_high,gene_annotation
ENSMUSG00000041798,-0.0193572307501045,9.482938553481879e-05,0.00012259778349685686,-0.029072129982893616,-0.00963867492941186,Gck
ENSMUSG00000043733,-0.019359708166390013,9.463369636653429e-05,0.00012236061076614208,-0.02907460623309202,-0.009641153044150514,Ptpn11
ENSMUSG00000053702,-0.01936765157592334,9.400882094338348e-05,0.00012156837054620907,-0.029082545902963372,-0.009649098693958809,Nebl
ENSMUSG00000070883,-0.019381600936718136,9.292090067913595e-05,0.00012017705726737708,-0.0290964886935998,-0.009663051991853256,Ccdc173
ENSMUSG00000032356,-0.019384832087313033,9.267060258817077e-05,0.00011986884308390993,-0.02909971832178133,-0.009666284054955386,Rasgrf1
ENSMUSG00000052852,-0.01939513008252066,9.187711970504709e-05,0.00011885785214106998,-0.02911001146355423,-0.009676584959768347,Reep1
ENSMUSG00000023980,-0.019413486334369772,9.047861975353167e-05,0.00011706381129969164,-0.029128359059011014,-0.009694946403125435,Taf8
ENSMUSG00000021815,-0.019420170903076094,8.997435808635037e-05,0.00011642644679910761,-0.02913504047380025,-0.009701632863986703,Mss51
ENSMUSG00000020399,-0.019435677277551935,8.881481113455512e-05,0.00011497062930039498,-0.029150539528706908,-0.00971714363109181,Havcr2
ENSMUSG00000023902,-0.019436650197134187,8.874253011440922e-05,0.00011489193437909014,-0.02915151198888021,-0.00971811682643761,Zscan10
ENSMUSG00000075270,-0.01945631362499327,8.729353376191708e-05,0.00011303060178935269,-0.029171166127801233,-0.009737785831629098,Pde11a
ENSMUSG00000025495,-0.019479809188937804,8.559145742234574e-05,0.00011085540399215872,-0.02919465058266897,-0.009761288069714233,Ptdss2
ENSMUSG00000009900,-0.01948433842724805,8.526697411683881e-05,0.0001104494483378741,-0.02919917767825021,-0.00976581859583252,Wnt3a
ENSMUSG00000111593,-0.019492867003219207,8.465912316615333e-05,0.00010969049386648527,-0.029207702218371302,-0.009774349597834993,RP23-11B13.1
ENSMUSG00000109511,-0.01949601925239145,8.443549339542028e-05,0.00010941491952237951,-0.02921085297549429,-0.009777502744051385,Nup62
ENSMUSG00000038239,-0.01949934834998129,8.419992359903613e-05,0.00010912379937666685,-0.029214180497117867,-0.00978083278922144,Hrc
ENSMUSG00000020651,-0.019509235594149226,8.350394964062482e-05,0.00010824986989969512,-0.029224063059479853,-0.009790722848923412,Slc26a4
ENSMUSG00000043659,-0.01951263220746004,8.326611547643438e-05,0.00010796511586511964,-0.02922745806398869,-0.009794120429907184,Npsr1
ENSMUSG00000063415,-0.01955016076916482,8.068058856678322e-05,0.00010464408374420651,-0.02926496883541429,-0.009831659698190469,Cyp26b1
ENSMUSG00000005883,-0.019551557761169947,8.058582355737243e-05,0.00010453473025992013,-0.02926636516465217,-0.009833057089274332,Spo11
ENSMUSG00000044350,-0.01956904953760363,7.94081392079294e-05,0.00010303378643821123,-0.02928384863934895,-0.009850553865797257,Lacc1
ENSMUSG00000062944,-0.019582858334558143,7.84899333337167e-05,0.00010186882976471993,-0.02929765087833948,-0.00986436661425102,9130023H24Rik
ENSMUSG00000023328,-0.019595914261277138,7.763102789070528e-05,0.00010079333665373315,-0.029310700601234536,-0.009877426280440327,Ache
ENSMUSG00000025980,-0.01962142533724282,7.597832146097315e-05,9.867314475451059e-05,-0.029336199545468223,-0.009902944672840629,Hspd1
ENSMUSG00000050891,-0.019624450351503054,7.578457058784679e-05,9.84343039197906e-05,-0.02933922312035154,-0.009905970555497605,Tatdn1
ENSMUSG00000075592,-0.019631071156690365,7.536213985712087e-05,9.789833704484394e-05,-0.029345840774574937,-0.00991259326195343,Nynrin
ENSMUSG00000053730,-0.01964382665602506,7.455456333605253e-05,9.686184661043592e-05,-0.029358590200930235,-0.009925352426634301,Tmem39b
ENSMUSG00000035212,-0.01965840751721438,7.364144488575474e-05,9.570038321735509e-05,-0.02937316411620121,-0.009939937481571442,Leprot
ENSMUSG00000028656,-0.019675749620988045,7.256917548489882e-05,9.4319177911228e-05,-0.029390497953299344,-0.009957284578665508,Cap1
ENSMUSG00000022802,-0.019732582617349708,6.915773184340661e-05,8.993203100573031e-05,-0.029447303817422537,-0.01001413397997632,Lmln
ENSMUSG00000038384,-0.019756549247204477,6.776508850084618e-05,8.814397567747941e-05,-0.02947125898672736,-0.010038107546675466,Setd1b
ENSMUSG00000022619,-0.0197758315997271,6.666394318646446e-05,8.673424822594909e-05,-0.02949053211056351,-0.010057395488346495,Mapk8ip2
ENSMUSG00000008153,-0.01978291906837802,6.626347579473144e-05,8.622443174330702e-05,-0.029497616185280386,-0.010064485013176045,Clstn3
ENSMUSG00000078429,-0.01979061067747444,6.583144865722932e-05,8.567341053777892e-05,-0.0295053041100374,-0.010072178854826593,Ctdsp2
ENSMUSG00000019966,-0.019794206296547105,6.563040324243591e-05,8.542288590711429e-05,-0.029508898006386872,-0.010075775517952575,Kitl
