,Neural Crest/Mid-HindBrain_1_corr,Neural Crest/Mid-HindBrain_1_pval,Neural Crest/Mid-HindBrain_1_qval,Neural Crest/Mid-HindBrain_1_ci_low,Neural Crest/Mid-HindBrain_1_ci_high,gene_annotation
ENSMUSG00000021360,0.021656639629231627,0.0003772915994673972,0.0004200997655799991,0.00971959182110742,0.03358751588984785,Gcnt2
ENSMUSG00000025348,0.021648488476026812,0.00037921728058355015,0.00042214992829071597,0.00971143761433441,0.03357937011088767,Itga7
ENSMUSG00000108569,0.021551177214653872,0.00040292739251531065,0.0004483946055144788,0.009614090021026811,0.03348212288666994,Gm4593
ENSMUSG00000022820,0.021537944238388347,0.00040625656285792815,0.0004520491408233316,0.009600852121600731,0.03346889860111611,Ndufb4
ENSMUSG00000012017,0.021499424577885347,0.0004160942209119017,0.00046294417101902725,0.009562318154164256,0.03343040421448806,Scarf2
ENSMUSG00000039670,0.02146976529734879,0.00042382011072653487,0.0004714350508637763,0.00953264788176622,0.033400764370150805,Oxld1
ENSMUSG00000068329,0.02144179340077355,0.00043122899751149693,0.00047956961467025903,0.009504665637940791,0.033372810784775594,Htra2
ENSMUSG00000045545,0.021415756642804075,0.0004382338163514308,0.00048730547798446657,0.009478619265359763,0.03334679105443505,Krt14
ENSMUSG00000041737,0.021414262708839952,0.00043863894243952636,0.0004877017372020529,0.009477124780220988,0.03334529809698956,Tmem45b
ENSMUSG00000000693,0.02135463770699579,0.0004550964357837241,0.000505887545335398,0.009417477823760071,0.03328571202590391,Loxl3
ENSMUSG00000026766,0.02134372833517923,0.00045816926776413234,0.0005092467130867315,0.009406564444179415,0.03327480976792902,Mmadhc
ENSMUSG00000042870,0.021289532380462144,0.00047372362793796725,0.0005264765813936067,0.009352348621707467,0.03322064911151078,Tom1
ENSMUSG00000054204,0.021282641577538234,0.00047573622501676253,0.0005286545449680659,0.00934545529770543,0.03321376279160577,Fam150b
ENSMUSG00000109508,0.021208340887278344,0.0004979497467185393,0.0005532160279063874,0.009271127495769277,0.03313951036793123,Gm44956
ENSMUSG00000023067,0.021186154582135647,0.0005047679342796233,0.0005606663715201858,0.00924893312061131,0.03311733844973241,Cdkn1a
ENSMUSG00000038244,0.02116219203611175,0.0005122296876729659,0.0005688280818133991,0.009224961871696222,0.033093391429283144,Mical2
ENSMUSG00000032010,0.021132457274986673,0.0005216318102662663,0.0005792047637866604,0.009195216330360384,0.033063675914562475,Usp2
ENSMUSG00000020437,0.02112015226815083,0.0005255694975585526,0.0005835122655252055,0.009182906868576953,0.033051378866211664,Myo1g
ENSMUSG00000032122,0.021116304892627957,0.0005268063573533606,0.0005848205565645654,0.009179058100879257,0.033047533978306974,Slc37a2
ENSMUSG00000032788,0.021084583123119463,0.0005371081807812867,0.0005961245069714613,0.009147324866311939,0.033015832705853225,Pdxk
ENSMUSG00000024168,0.021049453393801747,0.000548735614846526,0.0006089619518882765,0.009112182468268502,0.03298072564763247,Tmem204
ENSMUSG00000026946,0.021043046477296337,0.0005508813289366321,0.0006112075101926463,0.009105773244435917,0.0329743228626791,Nmi
ENSMUSG00000031821,0.021007859242114946,0.0005628057256836393,0.0006243684553845565,0.009070573354736928,0.032939158300812656,Gins2
ENSMUSG00000043110,0.02100206128720822,0.0005647934760977787,0.0006265041332199431,0.009064773317528828,0.03293336407905271,Lrrn4
ENSMUSG00000090675,0.020964716371545122,0.0005777541626414592,0.0006407387852295211,0.009027415008907457,0.032896043189554094,Olfr111
ENSMUSG00000073551,0.020959764370367208,0.000579493416694947,0.000642596381342811,0.009022461234302148,0.03289109437178908,Spink13
ENSMUSG00000027744,0.020768803835263003,0.0006504024544366277,0.0007209870906070587,0.008831432758714433,0.032700256150115604,Stoml3
ENSMUSG00000003484,0.02075526037918343,0.0006557261622972928,0.0007268079830384536,0.008817884517194313,0.032686721335807654,Cyp4f18
ENSMUSG00000026547,0.020746811543320934,0.0006590677529076785,0.0007304308466227181,0.008809432698242595,0.032678277888738845,Tagln2
ENSMUSG00000026343,0.02059650959946621,0.0007212238798958098,0.0007988744792820223,0.008659077971290797,0.032528071525075725,Gpr39
ENSMUSG00000027010,0.020593154260305963,0.0007226716495734074,0.0008003894667996537,0.008655721459960582,0.03252471831349648,Slc25a12
ENSMUSG00000090698,0.020592863857349212,0.0007227970801850394,0.0008004397344241854,0.008655430955565743,0.03252442809466819,Apold1
ENSMUSG00000022844,0.02057831753418908,0.0007291058553741714,0.0008072474040900923,0.008640879553936507,0.032509890991952936,Pdia5
ENSMUSG00000039109,0.020575067601920388,0.0007305223313117367,0.0008087261500185284,0.008637628487729738,0.03250664311902151,F13a1
ENSMUSG00000035189,0.020496524141148567,0.000765542530062077,0.0008474015165619627,0.00855905769900651,0.03242814935110447,Ano4
ENSMUSG00000015766,0.020477946385272495,0.0007740506557891904,0.0008566297651496132,0.00854047350085019,0.0324095833274742,Eps8
ENSMUSG00000030187,0.020475429077055848,0.0007752102461821608,0.0008578181323250646,0.008537955320331237,0.032407067608357466,Klra2
ENSMUSG00000078771,0.020470415069293906,0.0007775247398205403,0.0008602840670729588,0.008532939575557166,0.032402056765335266,Evi2a
ENSMUSG00000005611,0.020400874027012912,0.000810293742372247,0.0008961443733380303,0.008463374503981052,0.032332559554097924,Mrvi1
ENSMUSG00000022220,0.020388489213730605,0.0008162624292637015,0.0009026456145789025,0.00845098542335697,0.032320182534739436,Adcy4
ENSMUSG00000039234,0.020346960650890582,0.0008365755360369441,0.0009248016095920232,0.008409442578080746,0.032278680079654544,Sec24d
ENSMUSG00000092356,0.02033731894477896,0.0008413582278127793,0.0009299858824060787,0.008399797561903205,0.03226904442910732,Gm20532
ENSMUSG00000029658,0.020334600563135793,0.0008427112350398745,0.0009313784648981813,0.008397078247421787,0.03226632775436856,Wdr95
ENSMUSG00000044165,0.020254187630758407,0.0008836593113849626,0.0009760955610128826,0.008316637800450328,0.03218596523449022,Bcl2l15
ENSMUSG00000100975,0.020245050432078263,0.00088842708897397,0.0009812536878440138,0.008307497485103985,0.03217683375434443,Gm28875
ENSMUSG00000017007,0.020180391688879213,0.0009228533433596793,0.0010189393213643364,0.008242816744039417,0.03211221542103028,Rbpjl
ENSMUSG00000038374,0.02007924522829857,0.000979193786293593,0.0010806685645001577,0.008141636072279319,0.03201113197406481,Rbm8a
ENSMUSG00000032021,0.0200583015829806,0.0009912507818315998,0.0010938543167419994,0.008120685373654103,0.0319902013460042,Crtam
ENSMUSG00000003882,0.02005802000379135,0.0009914138157984583,0.0010939135118597134,0.008120403699707271,0.03198991994175563,Il7r
ENSMUSG00000052384,0.02002384468272563,0.0010113866532703117,0.001115705078069842,0.00808621689196323,0.03195576583922677,Nrros
ENSMUSG00000029135,0.019929939431786906,0.001068200612876068,0.0011782490766336512,0.007992280222184735,0.03186191874805142,Fosl2
ENSMUSG00000027460,0.019846895672495816,0.0011208882937055074,0.0012359557764974169,0.007909208853640482,0.03177892624621553,Angpt4
ENSMUSG00000029998,0.019829873899316394,0.0011319803164276578,0.0012479112737599578,0.007892181441642897,0.03176191495913887,Pcyox1
ENSMUSG00000051735,0.019768475625871706,0.0011728382169514373,0.0012922413144022006,0.007830762886256629,0.031700554452082905,Rinl
ENSMUSG00000036402,0.01972434939372275,0.0012030392569074527,0.0013253710002285478,0.0077866221333366195,0.03165645530665459,Gng12
ENSMUSG00000018334,0.019721798113538556,0.0012048071923140562,0.0013271724964904782,0.00778407001501653,0.031653905591143436,Ksr1
ENSMUSG00000001366,0.01966845503947054,0.0012423259017141858,0.0013682003322843456,0.007730709452523713,0.03160059519624773,Fbxo9
ENSMUSG00000024140,0.019569444774681408,0.0013148382999435269,0.0014479003413099072,0.0076316669076126435,0.0315016454074332,Epas1
ENSMUSG00000024927,0.019557651877049834,0.0013237306223217067,0.0014575320659785363,0.007619870180775884,0.03148985969737549,Rela
ENSMUSG00000109564,0.0194989549537655,0.0013688216326984217,0.001506849001209183,0.007561154247773009,0.03143119849952542,Muc16
ENSMUSG00000038633,0.019486729424268132,0.0013783897654130808,0.0015170479478462259,0.007548924769246098,0.03141898040065959,Degs1
ENSMUSG00000043251,0.019422543082783073,0.0014296440519483001,0.0015732849696800926,0.007484717753200498,0.031354833012885504,Exoc3l
ENSMUSG00000053338,0.019258998947355457,0.001568281395131431,0.0017252820628508591,0.007321121384772632,0.031191387685592712,Tarm1
ENSMUSG00000049630,0.01917819304971547,0.0016412563995972305,0.0018047684182947335,0.007240289915084563,0.03111063037274173,C1ql3
ENSMUSG00000020682,0.019133331786386067,0.0016831065145607538,0.001850177547060299,0.007195414522188127,0.031065796015127357,Mmp28
ENSMUSG00000038312,0.019133104817703868,0.0016833207222313926,0.0018502096309423966,0.007195187482141797,0.03106556918244841,Edem2
ENSMUSG00000027536,0.01908802420740041,0.0017263673238519814,0.0018971069492878915,0.007150092721866779,0.03102051556079954,Chmp4c
ENSMUSG00000030111,0.019073014727789245,0.0017409227012911142,0.0019126814999902374,0.007135078541831351,0.031005515056235673,A2m
ENSMUSG00000025408,0.019022053210370808,0.0017911884372722202,0.0019676902529630015,0.007084101105277538,0.03095458397158695,Ddit3
ENSMUSG00000044033,0.019021396019316676,0.001791845280098153,0.001968195606434702,0.007083443709338196,0.03095392717258394,Ccdc141
ENSMUSG00000079323,0.018998398155803377,0.0018149708555688768,0.001993378204908157,0.0070604386825332726,0.030930943022089093,Gm20661
ENSMUSG00000018126,0.018921288425650426,0.0018945248089707164,0.0020805236206574967,0.006983305026733768,0.03085387917834219,Baiap2l2
ENSMUSG00000009471,0.018916466266133667,0.00189960467186074,0.002085873143582673,0.006978481375714599,0.030849059883679534,Myod1
ENSMUSG00000001270,0.01890873497896666,0.0019077752409961154,0.002094614889104211,0.006970747698406298,0.030841333188527057,Ckb
ENSMUSG00000078810,0.018873542263942732,0.001945376928986802,0.0021356646492335075,0.006935544121537082,0.030806161358270103,Gp6
ENSMUSG00000047953,0.01883425879449205,0.001988152212036756,0.002182384425945945,0.006896248562624658,0.030766901166301163,Gp5
ENSMUSG00000036006,0.018764424185898017,0.0020663316043993784,0.0022674548495548977,0.006826392553506471,0.030697107847406747,Fam65b
ENSMUSG00000044957,0.01874898155411753,0.0020839959193913737,0.0022865875788801557,0.0068109452051275795,0.030681674330369044,Pp2d1
