,Aidpocytes,B_cells,CNS_neurons,Cardiocytes,Definitive_erythroid,Endothelium,Ependymal_cells,Epithelial_cells,Eye_and_other,Glands,Gut,Hepatocytes,Intermediate_mesoderm_and_kidney,Intermediate_neuronal_progenitors,Intestine,Lung_and_airways,Mast_cells,Megakaryocytes,Mesoderm,Muscle_cells,Neural_crest_PNS_glia,Neural_crest_PNS_neurons,Neuroectoderm_and_glia,Olfactory_sensory_neurons,Olidendrocytes,Primordial_germ_cells,T_cells,Testis_and_adrenal,White_blood_cells
Gut,0.028229239776383197,0.00939189903709746,0.07816640134875376,0.0008991578185295082,0.020213901601567778,0.11107534698131799,0.01289268837259616,0.0717279971529104,0.02415829477184758,0.0020744325187702943,0.013346119522992543,0.03519886290782491,0.04704974499781663,0.03779660091443169,0.030409685673072704,0.06223701191506833,0.0276659107016848,0.0017639923263189602,0.17125855051562783,0.014474875010786387,0.011847128860089375,0.0026512878894474176,0.05041503062664726,0.011878814316103705,0.006585115903816613,0.00016172181906306065,0.032445925585126996,0.002113416283997968,0.08187084485030872
Hepatocytes,0.015701417448136273,0.00552876872461708,0.04496354399924653,0.00020724976661484353,0.015274811157555891,0.02482420295910259,0.00237965452714999,0.01633530541768275,0.010931834042821302,0.000492811337253396,0.0017815575182719265,0.6307206978177765,0.008134954903385847,0.018851126295088776,0.011125551007997206,0.014517678473282523,0.001453920902217233,0.0004981118434633267,0.09846291302350095,0.013734470618621394,0.0036496889235681207,0.001268892944146308,0.012934474742622678,0.003224837011951162,0.002268828999405053,5.970862037058889e-05,0.01596884673511554,0.00015586954232490902,0.024548270696709357
Intermediate_mesoderm_and_kidney,0.01536503594777516,0.00549076162419232,0.11058803463012644,0.0017748757667496483,0.011908936115338895,0.03952327304617622,0.004354132266619943,0.07271546003936458,0.022846696516673436,0.0026302113689673913,0.0021161050182230455,0.014865228657941298,0.2555538969263453,0.04258074167762692,0.024349553103772823,0.03150657139238983,0.009869337848358558,0.003103763278877592,0.17360451527495777,0.00882276784790829,0.00883553069225761,0.006007869627544506,0.05715910249828231,0.011951457509417767,0.007770290468465923,0.00010922277396620855,0.016919327617166156,0.0035483482632334374,0.03412895220128067
Intermediate_neuronal_progenitors,0.001646163776792247,0.0016223291363448825,0.09413761013915148,2.4125567797083382e-05,0.0034022108130276015,0.004102769357222665,0.00010455563586678955,0.0027721335979753836,0.005515359408547707,0.00013137622021562565,0.00016557681573740055,0.003951525828911929,0.0014934606331588594,0.8386598330450641,0.0007680428190490268,0.0008572069449250379,0.0002420528937422884,7.565815849579269e-05,0.015212909501793012,0.0023143468703512127,0.0009040428667284285,0.0009894878722732264,0.0068787560695662995,0.0019171686375527616,0.002442620491235533,1.5745903700541007e-05,0.004353892576251396,7.952198853074858e-06,0.005291086219668631
Intestine,0.04029461564646666,0.011768686225461346,0.05992523871872177,0.0021106657666009024,0.03721375571650448,0.07772067566739302,0.006216558929749207,0.05050899333726585,0.020820946512690272,0.004874842478198468,0.008118379324138371,0.03999725550981877,0.032888235259174385,0.03258233675674768,0.08241760386023032,0.08338244664381791,0.017408101733719285,0.002621750707496596,0.16182758700132377,0.02266712969376937,0.008382318948572802,0.006930047517125766,0.036755697724446056,0.00864972123050785,0.004432541533545353,0.0002638153801761762,0.04713060935787469,0.001975753906227569,0.09011368891223528
Lung_and_airways,0.016182194436819827,0.0031586569260146106,0.20311034012907353,0.0004798740853862906,0.006280164793711873,0.029961161403597697,0.0060758396178619695,0.02836554329481789,0.010742398273991989,0.00706044961791442,0.004546141448331827,0.017629173471494345,0.02417295469227355,0.023527391724106794,0.017724837058047897,0.20119969845279742,0.009966867385590009,0.0005755266997964112,0.1691047896128076,0.09887293885676102,0.00873692095688212,0.027669128254443755,0.03712639365251493,0.006375532219704239,0.0024716503385626585,9.056302415277594e-05,0.009632345649826358,0.0014983489222027112,0.027662175000513493
Mast_cells,0.03319174005399468,0.006118989464986371,0.04336065739054721,0.0013917797285511806,0.012079913933471569,0.048258214521843125,0.010127629944745444,0.05095275793566369,0.015457862774419923,0.001666092290793492,0.007443709661725382,0.017315929516187562,0.06215130079299363,0.020360605509739612,0.051438528333287076,0.055945928366438136,0.23433889124685162,0.003891268924101234,0.11162502164306685,0.005887879442984042,0.007844145301322889,0.002698200251859231,0.042200225753328206,0.010271241746410965,0.00397710170686701,0.00024505992430485016,0.027487616606038708,0.0013965418136400007,0.1108751654198363
Megakaryocytes,0.00985310493344566,0.006201846099820279,0.026532505009978512,9.93546717964829e-05,0.014339082181779716,0.15828023652366285,0.0202860401732901,0.1564211376990938,0.012059291877412458,0.00018726698254030786,0.005270651971734782,0.009016915960271672,0.0458838269302732,0.01806466428821448,0.041271328568530954,0.06811497171227099,0.050392944752506996,0.05081618619372259,0.12686508439067926,0.015000735702293247,0.007094306053205527,0.003268664503834388,0.022377351262271944,0.01290400059019424,0.0019717634867507695,0.0017053826241016658,0.03408190886132512,0.0020566738026216386,0.07958277219237636
Mesoderm,0.010784547341350061,0.006120040766116976,0.15393879389254303,0.00029513328892976796,0.011031527558926382,0.03891907475501099,0.003605895297565046,0.02592219866649933,0.015306108014334078,0.002043192658185987,0.0013267264632396264,0.01758862029656762,0.014997002064276644,0.040543223028588454,0.004592098110620053,0.02255152075003663,0.0019568509099263088,0.0003519145397203492,0.49843288439428035,0.032627104397968426,0.008582413782001896,0.010284178475819757,0.027344791979246635,0.007792150753370348,0.004467005195745574,7.277490365158744e-05,0.014377437883837932,0.0003738083900641892,0.02377098144157596
Muscle_cells,0.009272425425498521,0.008257471947420667,0.09575305868804969,0.0035742749421552237,0.01836667207885863,0.03529695790185397,0.0009772084875685188,0.024603335160345206,0.016104694438519838,0.0008336019227617865,0.0012430632473553606,0.02104529922424478,0.01101565918630282,0.0396180189719346,0.005139046343097442,0.014862013033419658,0.0009733432660573832,0.000523386289733308,0.20813083626269244,0.38748839455839856,0.00574790639183855,0.0021382106910717616,0.025071559446874083,0.0048572495527414656,0.0033610332721041563,0.00015797084762467648,0.023983016584319655,0.00016527064126814326,0.03143902119588911
Neural_crest_PNS_glia,0.012683943317260683,0.009103678719175152,0.17681180694695534,0.00034219939001148373,0.01882585804762814,0.047609237834548845,0.0021491173225713332,0.031772921401682426,0.036318729050866624,0.0007646795975197408,0.0018694261474821803,0.023284473418361762,0.019262193831540403,0.10947796991653054,0.006145972968317384,0.010651647601125823,0.002198602679852014,0.0005469450615810664,0.16902270209431372,0.01616399481652204,0.043104419552812114,0.009839989766591888,0.1403745503395972,0.013497075435368856,0.0375615901508178,0.00013639281110634574,0.025087290330342692,0.00017581812421826683,0.03521677332529815
Neural_crest_PNS_neurons,0.006653965652144307,0.004280255937408966,0.4012184281698674,0.00015169689993297598,0.00800585435563724,0.013631485792372314,0.0005379906292551544,0.009120547781653362,0.012837297704451736,0.0014218623417883035,0.000703458879136557,0.011819122820944099,0.0054461748969616385,0.12016639381102497,0.0028239268619025776,0.006891525542394597,0.0014451913892790254,0.00019761690725144353,0.060644233052753314,0.006901587085429743,0.002947453758001957,0.2672550274058271,0.016143909945489227,0.007689863137881528,0.005952709583639849,4.839491692665436e-05,0.009890082830680678,0.0001092298946139983,0.015064712015349304
Neuroectoderm_and_glia,0.008505704040340067,0.0045469548471654235,0.08385379024096226,0.0001524958089553219,0.011245451146416171,0.017043756639591366,0.0022235187186096144,0.010123382511678996,0.018893642704121312,0.0008684359653167323,0.0007021578043604118,0.013878421185994555,0.006571866229058931,0.0887811647555967,0.0031770910730145874,0.003840850737944312,0.0015745660351550968,0.00024200597997400006,0.06727720177733494,0.006437172302204104,0.006587369956248292,0.0013369448965673144,0.5331308345291949,0.0053935028689244945,0.07084714008648646,5.481757136875918e-05,0.013482492669061921,5.841280035407746e-05,0.019168854117998867
Olfactory_sensory_neurons,0.008786264326870541,0.009953237649824233,0.17677041305902513,0.0001375411736863724,0.015511493063823713,0.022130572442238775,0.0009297710389533603,0.013171782462206034,0.019718364893722314,0.0010685958516998618,0.0008193352680454578,0.018583263293553844,0.00761663766576551,0.0822062013045897,0.003742120886540864,0.0033293356500395093,0.0012991353372439132,0.0003428839439589856,0.0666161735293059,0.008395809180056831,0.0038809952922170105,0.012357921042873981,0.02148387877702201,0.44904848259018176,0.005072495694924689,6.88197868710999e-05,0.02043524116912109,4.9799486816371633e-05,0.026473434138821163
Olidendrocytes,0.007233954029973527,0.004427214900838643,0.12048927717161391,0.00011405294207146353,0.01011480455468908,0.014048499950263721,0.000436866741987059,0.008086786189319852,0.016973110997242084,0.0003171404152602194,0.0005799922879574476,0.012183260017501862,0.005464735789078688,0.06171341261065025,0.0024428636926381725,0.00275420810879749,0.0012373734122597692,0.0002126743483115783,0.04349009224694595,0.0049635012071150295,0.003584125773227405,0.0013248900330028815,0.050380218258610554,0.004482642567398286,0.5942681214343524,4.6227996097844504e-05,0.011794284737528173,4.1402198712882474e-05,0.016794265386553778
T_cells,0.02004963466672906,0.0347891694414537,0.0825282608541901,0.0003064984232990023,0.07214492249221467,0.057085778279714484,0.002229256456973675,0.0355852901032525,0.034477150283118776,0.0004211575978033182,0.00379179208111022,0.03277894679588495,0.018089658739734536,0.05035610427985352,0.018940779590814912,0.007560468734525224,0.006654763064056586,0.003257187978179319,0.11211514403666553,0.024725788831917703,0.00739952267975347,0.0014326641966777257,0.025512471470176486,0.017810710848017542,0.005159459387803229,0.00041895670780386256,0.17628626097834338,0.00020368066679868674,0.1478885203331338
Testis_and_adrenal,0.02551880545271059,0.001925519809961913,0.08220270635051952,0.0012390489573731536,0.0033161654907900937,0.061265774919079724,0.0036629820850463193,0.04150164677490007,0.009667946502984016,0.0048340016568292,0.004571293265997534,0.016828288465137287,0.03141789363287896,0.022953909675070557,0.02347566449654249,0.11884533800805616,0.01743603974646513,0.00033296558722727886,0.29347087554666723,0.0103900530152329,0.007989099805347802,0.03403205637240227,0.08815835002269778,0.028527059183818586,0.0034128735567348573,9.710395805591507e-05,0.0063347184849364,0.03575840796969334,0.02083341120684294
White_blood_cells,0.02962676977429945,0.020450841517616454,0.06880434562850102,0.0007143093930373067,0.04952909023830551,0.0922609934854648,0.006422993690015494,0.04536294165935069,0.026836007678836774,0.0007930276287655733,0.0055645112558916085,0.032376225851170816,0.02659307777458367,0.04017833597156829,0.027563311000775557,0.025158181641561677,0.018766652684548253,0.003323131687415878,0.15497980922559504,0.022881129624716015,0.00832780818312586,0.0020144411712285553,0.030992569223263745,0.009090231679151012,0.0052061727901797795,0.0002950157487528306,0.09096550889047879,0.0005403220389566919,0.15438224286284286
