,B_cells,CNS_neurons,Cardiocytes,Definitive_erythroid,Endothelium,Ependymal_cells,Epithelial_cells,Extraembryonic_visceral_endoderm,Eye_and_other,Glands,Gut,Hepatocytes,Intermediate_mesoderm_and_kidney,Intermediate_neuronal_progenitors,Intestine,Lung_and_airways,Mast_cells,Megakaryocytes,Mesoderm,Muscle_cells,Neural_crest_PNS_glia,Neural_crest_PNS_neurons,Neuroectoderm_and_glia,Olfactory_sensory_neurons,Olidendrocytes,Primitive_erythroid,Primordial_germ_cells,T_cells,Testis_and_adrenal,White_blood_cells
Gut,9.788966217610492e-05,0.05991265055358017,0.0002537553903506843,0.11537801983736773,0.040865081459099076,0.0001682695840110409,0.21047123836746995,5.589507849869208e-06,0.003471492485951506,0.00022603585505195296,0.022854728157427753,0.017972683166942675,0.004270517180063503,0.004513033107878815,0.02044601882957409,0.004699204952403265,0.0017216588251692045,0.006511838042355205,0.24275959532346658,0.026684035933391536,0.011762526577375811,0.007147411669839654,0.0768057986307869,0.003924143886138609,0.00017126062826173445,0.014330633623264439,0.008702953168319965,0.001027925966733043,0.00026335779156013274,0.09258065183613899
Hepatocytes,1.1065462881607039e-05,0.006392732783469735,7.62775989407111e-07,0.015968900311783503,0.00269390621685922,1.1369954434432086e-05,0.001143419310078682,0.0033370994785227254,7.998792785599143e-05,1.0971732630569777e-06,4.645045231971405e-05,0.9524630986436641,4.93151169104532e-05,0.0002745840489358496,4.4208064009300885e-05,2.3146955045146626e-05,1.6659665705592103e-05,0.0001227964977859085,0.008394793679778103,0.0010032652731065915,0.00020135671539864468,0.00018539728058393,0.0047821337770069345,1.228177563152513e-05,4.648196676614994e-07,0.0003268170722573434,1.8468263238291558e-06,3.0439738374281257e-05,3.284894802332341e-06,0.0023773173075544132
Intermediate_mesoderm_and_kidney,3.895040651003154e-06,0.01689413370802655,5.385506921128247e-06,0.012489470613685542,0.02318264536668921,8.045224214572931e-05,0.03897572668965361,2.7124151727601726e-08,0.0007502672355146426,1.1131959546437899e-05,0.001209216654196757,0.0005611287179328889,0.5996236186112749,0.0025047315205292534,0.0006886310271532334,0.00018309643143083225,4.0863964257113384e-05,0.0001448468096856863,0.2582636467384622,0.004104205394205468,0.001338110999623439,0.004892548530701811,0.027899818406565687,0.0005746587976310742,3.2631919463148296e-06,0.001511231409256801,0.00017963949301204373,4.122664163920148e-05,0.00011140981915749856,0.003730971354352212
Intermediate_neuronal_progenitors,4.384315126694412e-06,0.16010083301206413,6.491298503064064e-07,0.004840684121233483,0.0002470330455350291,1.3768305916252644e-05,0.0008349525959730238,6.112877900831425e-09,0.0006268309098236213,2.9623743666118303e-06,2.436614028335266e-05,0.00014693468935647104,0.00010428329822410018,0.7607730759551145,3.7437930533930354e-05,1.584136559174489e-05,1.1135054748988979e-05,4.594414425588689e-05,0.0051748268605201955,0.000650438309536329,0.00022158201984974314,0.00028595342710896135,0.06453988574099123,0.0003202888490013321,8.330673042251778e-06,0.0001444866640789188,1.570281497459821e-05,1.6172803682704422e-05,1.9436467524893272e-06,0.0007892656895852413
Intestine,3.6428928287672775e-05,0.02532861895929074,0.0001205497168590296,0.0922709978558327,0.02311875986686738,5.2171714930962785e-05,0.1808300268437474,2.2997468398829916e-06,0.001239112065543648,0.0003572051554889168,0.03787527817679655,0.0068565610904928465,0.014361254742611958,0.0017025792991967636,0.14577350835535108,0.014571041683532841,0.0014310051555919028,0.004348076191788399,0.27577035180988224,0.05468299173117523,0.010951772013262697,0.00543433923859328,0.03292976503924327,0.0005860668352692434,5.26955366147502e-05,0.0041411335101694344,0.0017202182005003354,0.0008564827627724836,0.00046252360010545123,0.06213618417336087
Lung_and_airways,8.62865219628787e-05,0.032848623418048346,8.59623634916714e-05,0.0812131483472436,0.014047477722832092,0.00027003372719528184,0.07861975764300246,8.245813398398395e-07,0.0011305149210483721,4.5636145999526306e-05,0.0021603638811444905,0.004265640030712291,0.0017217040697388836,0.0019506387635859581,0.004046197143937012,0.3943616840074645,0.0005585784805241483,0.002017684793715669,0.2680956485974768,0.011425467475203777,0.007553797391863166,0.0034442745023230627,0.05049159868413164,0.000212428223186903,5.9612827983728785e-05,0.0023246477901644543,0.0036962622243986716,0.00039464442865828604,0.0001455859635308999,0.03272527532809157
Mast_cells,8.536856860605426e-05,0.012566787039811846,7.205643207271321e-05,0.40289893268151317,0.009926984703099747,0.00012604861022425708,0.012380514131418007,6.274496903116844e-07,0.0007463588144321329,6.167983902877299e-05,0.0002764911504334704,0.002408896722480692,0.00019783126254686206,0.0008092478303799818,0.00020388711520479227,0.00015022554203585227,0.11433920229233926,0.03009598889088782,0.03351654320477181,0.0038289909766197395,0.0023981085139370404,0.0005523682100061686,0.011066036986073351,0.000152972841938169,2.0975313811678e-05,0.02629007934872942,0.0006006269040978553,0.001347922105229253,4.1061447340023665e-05,0.33283718507123977
Megakaryocytes,4.374172890652747e-05,0.015871461332931824,1.563540885379069e-05,0.25782683251408833,0.003213809540344469,4.015845805813336e-05,0.020695330382225312,1.9016860442318775e-07,0.0003209777030049289,8.58761442213801e-06,0.00013954122420731276,0.0011894919333013331,0.00011689974671940844,0.0004707648142137199,0.00012925328217121648,7.745252442536911e-05,0.007959303371932304,0.23228271089070507,0.028929695217393817,0.004834143865502172,0.0010474097118881862,0.0004886281048973048,0.05331867511050575,6.698471344276901e-05,0.004497996023843702,0.21101613146092169,5.236687453667905e-05,0.0005497785117459836,1.0669441408630427e-05,0.15478537832479772
Mesoderm,0.00010348260441048586,0.05246913378746321,6.230924854264488e-05,0.02660644958186039,0.009400172061742613,0.00010011951859283834,0.02643726366206241,3.2219466227787437e-07,0.0014210056832072598,0.00011603048067537963,0.0005336013218084787,0.002572316649743459,0.004073215140694935,0.003802137642845532,0.0004714037010063948,0.0007289184647574281,0.00019517497073864038,0.0006351892304960616,0.7946822560995463,0.01863680388107611,0.003162425211482042,0.0034628007202416222,0.03709951377243683,0.0005992100861277542,0.00012022416070183155,0.004192130131080845,9.826524081406363e-05,0.00014771961861537826,0.00011987110213821663,0.007950534030428488
Muscle_cells,6.405791655144447e-05,0.023166749659098783,0.002799054611699951,0.07178469757437583,0.01030323190206274,7.809951796044557e-05,0.030313089532724838,7.061835286513058e-07,0.0011018179372604404,2.2742362521327e-05,0.0010071846205056778,0.006277795889894277,0.0018335647208420527,0.003274571853655412,0.001963403544366158,0.0004920611397789607,0.0003290057070540723,0.005092995714134603,0.1863063427455449,0.5651492484440602,0.005374659791724727,0.004233172635003834,0.04713105789519195,0.00035914257801540703,8.043675745724417e-06,0.0017443624116888262,0.0011723194055043129,0.0003761080157198372,9.711606994708213e-05,0.028143595943837554
Neural_crest_PNS_glia,7.83065241410245e-05,0.09939260529588309,0.00010695508992976503,0.0709546935505329,0.022189743255988523,0.00022383852936335593,0.0693339613436688,5.893007674992128e-07,0.006121870906887764,0.000155447599972782,0.0021594669124043505,0.0044769350239050425,0.001956123576416983,0.006898744788738033,0.00686216104194796,0.0012009108601209039,0.0010266171043160465,0.0037319780315414075,0.17870796765193128,0.028466318945803096,0.29079990844035053,0.005904707442734349,0.15467400457914215,0.001109327510831108,0.0010651736250999358,0.006808250504756402,0.001414501188891799,0.00048399328311398896,0.0001698119988584441,0.03352508609196069
Neural_crest_PNS_neurons,4.6952732643103676e-05,0.19522467065359753,8.889007317305662e-06,0.018884211594627498,0.0026430191680290554,7.577017021340121e-05,0.00956931794050861,8.639013686835774e-08,0.0007345259001616052,2.54492676752648e-05,0.00022826430863859525,0.0009102373062412453,0.00040834938010899416,0.004834408359060342,0.00018145105973957508,0.00012144319652985571,6.638932180858993e-05,0.00032533102468225124,0.0338791009462699,0.003913124519453901,0.00251646337441226,0.6683122450556118,0.027029629533358825,0.02382683544485209,2.8786230988394385e-05,0.0009318844440857233,0.00021101074320471446,9.341353052074835e-05,2.837633082524653e-05,0.0049403630646967425
Neuroectoderm_and_glia,3.009166091404845e-05,0.11213976441642261,1.2420478259487035e-05,0.03533856526528278,0.00226492642048399,0.0004593960902009313,0.010947898116146373,1.0766735704148962e-07,0.007350689017519483,5.466382716287619e-05,0.0002586620925506147,0.0014002069502036115,0.0006824891367808814,0.017171324894825032,0.00021902923469995498,0.00031451985717518465,9.399435803264044e-05,0.00040314594769768713,0.05395267287501172,0.006408929488971093,0.004117216366107215,0.0024212226192922115,0.7336168970800537,0.000542248358574158,0.0009422101723010525,0.002005889499666097,8.545488592959146e-05,0.00015319320632428113,2.153435361824061e-05,0.006590635662435364
Notochord,3.648160651794373e-15,0.33886885782699616,2.465422815293368e-10,5.665816116114035e-10,0.0008515947467527345,5.0749956602177054e-14,0.007089286763997678,7.176096612360076e-16,0.04319890986249337,2.841945829421076e-10,4.577908252076817e-08,1.1968368163768073e-06,1.862406009907126e-06,7.12934845224428e-05,2.378533955180335e-06,1.5170366360952425e-09,3.613201216985866e-12,2.276275599974497e-09,0.2758960381844805,0.0044180713005014215,0.00590240776864927,1.8294256598839302e-05,0.3236795067771935,2.4954337073856264e-07,4.1311496918761035e-10,1.47298263547742e-11,1.0059397991488934e-10,2.4772031326837443e-12,2.2198946115680885e-10,2.813749215112885e-10
Olfactory_sensory_neurons,5.757070391375485e-05,0.16582150936533874,9.491760511655258e-06,0.01434796820481737,0.002278097203233732,0.00010138233048735123,0.012244705412149186,5.414710292345172e-08,0.0011892489889181426,3.2845422206823974e-05,0.00033437426192124914,0.0005158847135158573,0.0006540381076725557,0.006022107928018992,0.00028217243310180666,0.00012653882550367606,4.126680193418547e-05,0.00040051030767421247,0.03547178938454091,0.0029472020162045493,0.0010142496178249599,0.008492316042977914,0.031517184718353936,0.7115709901943982,1.2019784963243739e-05,0.0012715907184889538,7.276561523606393e-05,7.420988569191748e-05,2.255891240294228e-05,0.003073356190894271
Olidendrocytes,3.879707568342031e-06,0.2527681936783187,1.7254764654834755e-05,0.0051580472930817245,0.0003021721554649735,2.3600700396434563e-05,0.002760052036673486,2.0565773932430473e-09,0.0012621791349832698,4.495601112521136e-05,5.8254446464806635e-05,0.0001396401521695416,7.42510252194501e-05,0.005780856238569211,4.881316004127501e-05,6.692094161264177e-05,3.0765663417904306e-05,6.340431115758711e-05,0.021330500440421018,0.0009780859301070507,0.0018459097844725529,0.00158501372990971,0.09751908672608825,0.0001460182567393748,0.606453847872486,0.0005745202182914464,4.9277869864141154e-08,3.435432221677492e-05,3.4410093797224814e-06,0.0009259289545213876
Primitive_erythroid,4.106961036400822e-06,0.014658330422079313,1.9324397225875124e-06,0.5537775667015562,0.0003354540111499736,8.137977439245699e-06,0.0011083219286020557,2.239391633330939e-08,7.867207744958995e-05,3.076915445877409e-06,2.2001304587030516e-05,0.0001485170350712727,1.3963976388191859e-05,9.46590749208776e-05,1.147418893889627e-05,8.07944781183726e-06,3.2787374318898675e-05,0.003609386603917367,0.003963858252889833,0.00023976497340259803,0.00012538404248500627,6.658278172603394e-05,0.0015724773098964606,3.031931651901171e-05,7.992463957951937e-07,0.41362229804670947,1.1294128980306786e-07,6.710520280662607e-05,1.0087692105783794e-06,0.006393798282316816
Primordial_germ_cells,4.983627216283226e-05,0.007269155395657347,3.88281829907002e-06,0.8779258293454111,0.004836678922277438,5.028520606232132e-05,0.009197302024915303,2.440663064634866e-07,0.0006124596057861532,7.778841552854474e-06,0.0003994959169183761,0.002916952381143109,0.00024437117752665273,0.0010776726760381799,0.0002493002899896057,0.00022130416345632044,0.0004891467237085624,0.0022447586133818613,0.02574735729530513,0.007063530063649444,0.0013591415490226064,0.0009929836653153697,0.025498843158051655,0.00013056142450892572,2.145281044728197e-06,0.000705077781178087,0.0028115525008036374,0.00037334539540083764,2.9590634592121947e-05,0.0274894168105339
T_cells,6.294628438286694e-05,0.0028072822903985784,1.4507629048872294e-05,0.49615704616879186,0.013256472294465914,3.253879718899691e-05,0.0070567064868207316,1.0005606393782288e-06,0.0002615049442952813,1.8902969788878064e-05,0.00026707387523169907,0.0016215326876115302,0.00010240176731117426,0.00021497998050980864,0.0002635328993071163,0.00015130297894165332,0.010845909459957184,0.020308244168368066,0.009076758760537268,0.0024717796018487626,0.00100964045287697,0.00048700286050499793,0.006424501872845357,9.561724934880838e-05,2.627119920750298e-06,0.005717171653815022,0.0004535651478097863,0.001046555171274089,5.600393997769388e-05,0.4197148899261809
Testis_and_adrenal,2.3569256521701432e-07,0.007360372149614423,2.578178710170785e-06,0.0005477665633348241,0.0012637220656422038,1.745000143873523e-07,0.5322424713670147,2.914268262837043e-08,0.00011926847821710582,5.2047198006019395e-05,0.008030448024824251,0.0024497434240365592,0.005714011318754565,3.7733686954716445e-05,0.01804923061008445,3.395856366208451e-05,1.5081537482151864e-05,0.00010056076902605051,0.4006596463688645,0.0018652833337227143,0.0011512943190110441,0.013996125052346502,0.0043097598958243295,0.00013912182330230637,6.62508050365899e-07,1.448555834324642e-05,0.00016688053263232778,2.1146024443209925e-05,0.0006094568461624428,0.0010467044666704554
White_blood_cells,0.00017114105306777756,0.016286398204288417,4.546507499390708e-05,0.5327991525731339,0.01024654654339538,0.00011720548967553051,0.013906456325818906,6.556366885784314e-07,0.0009093366573071714,3.163330422321897e-05,0.00045135343129508714,0.0042601365029342145,0.00037496358486747327,0.0016073150003600809,0.00039410497143279,0.00032525435626383183,0.0031836642219871974,0.016648466637905927,0.05037324021363842,0.00788127765285606,0.0025498472555910675,0.0012493840839119352,0.03007264406250407,0.00017973112183575845,6.5342140948013784e-06,0.043269602981403706,0.0008209610670674223,0.002167028488264982,3.6676387124590155e-05,0.25963382290206777
