,B_cells,CNS_neurons,Cardiocytes,Definitive_erythroid,Endothelium,Ependymal_cells,Epithelial_cells,Eye_and_other,Glands,Gut,Hepatocytes,Intermediate_mesoderm_and_kidney,Intermediate_neuronal_progenitors,Intestine,Lung_and_airways,Mast_cells,Megakaryocytes,Mesoderm,Muscle_cells,Neural_crest_PNS_glia,Neural_crest_PNS_neurons,Neuroectoderm_and_glia,Notochord,Olfactory_sensory_neurons,Olidendrocytes,Primitive_erythroid,Primordial_germ_cells,T_cells,Testis_and_adrenal,White_blood_cells
Intermediate_mesoderm_and_kidney,0.0013313112061715416,0.0014692623170013918,0.012780892866791634,0.001380460126017187,0.009773588895401999,0.027872458545391443,0.033709545226743416,0.011677641608027197,2.5557326761113644e-06,0.014325177525743181,0.0008719676546291462,0.6809031476029805,0.0003447620893467121,0.0035860539055293686,0.002055043853107075,0.003532493077746676,0.0005144565448357919,0.027952319457439954,0.00767302897904022,0.008085353429083803,0.010229151859307695,0.01756799435356229,5.915942830157155e-11,0.08536716686904466,0.0010800104527897594,0.009527913446876042,0.0010933146288112287,0.0014391531233445714,0.008125065955622119,0.015728708607777787
Intermediate_neuronal_progenitors,0.0013881153470779348,0.14250209677424341,0.0006372081088231699,0.0011373772111413875,0.001604310609300925,0.004619534529382884,0.0033484395247419395,0.014712176634541137,4.105279815820197e-06,0.002716833729146193,0.000527918442920103,0.0004933555457694494,0.6109084422496712,6.945855752326316e-06,0.00034782636910488687,0.002915170763031677,1.1494081354325686e-05,0.006385983523589314,0.0016448376967383902,0.0019267008686575744,0.008534884822953538,0.05875508998481816,2.6444162544212234e-14,0.12362951370971723,0.0031612557781499104,0.000855916079571116,0.00019925282964623823,0.0008270350655272785,1.4998125843240194e-18,0.006198178584785963
Intestine,0.006587685280257095,0.0013287273860600386,0.010007171255651297,0.0076209928295633955,0.05186009560099469,0.007241140799102334,0.20052295024925368,0.009225714292711882,2.2208965420472476e-06,0.07893062615886431,0.04738189419872495,0.005597178989436889,0.00035938097759023724,0.17540985863532008,0.012036817503573468,0.013750439915569623,0.0002656516522806122,0.025149707493357848,0.03946063038938879,0.05039983018967432,0.008864444010807956,0.01448140056702308,3.0480930095186263e-13,0.04079096512184473,0.00015260918458097258,0.02618460993262025,0.014950756424836537,0.008183404113472363,0.05224460145049845,0.09100849450009323
Lung_and_airways,0.0049189490879810146,0.0037998440979497435,0.008683292796741609,0.004625183850564428,0.03505441789281857,0.005623059736812997,0.05367087944621501,0.0070585059235254285,3.225951555322092e-06,0.05200312274341317,0.0034107875579116403,0.0023215205154235863,0.0002973390716289315,0.007388209038940897,0.6742399801991611,0.009664492419813854,8.180711868699025e-05,0.027048446249194273,0.007992213214276383,0.021575003494358064,0.003455686389513604,0.01282832953541023,3.297216677941103e-12,0.01688102190911821,0.0006380696873760544,0.0019056282627848424,0.002229473708046151,0.005274963464935962,4.9185003941957794e-05,0.02727736162860272
Mast_cells,0.007947116942323952,0.0012255320097413946,0.030955070053620953,0.010754064456653596,0.010114570891372715,0.0024924794679438826,0.02721349844354281,0.057750510839715254,2.69884657861841e-06,0.03880835624829865,0.0020548170050032925,0.0018802048521374716,0.00022843265771885842,0.02002345360803415,0.0023311429688861705,0.4454548872061491,0.0023933280745278697,0.007807810179866851,0.0029361163650894425,0.005283504626172939,0.0020748991133059847,0.007862998957627602,4.7285867510333245e-15,0.008371097811236778,0.00012185684091171855,0.052886369585216135,0.002161157742900251,0.09331726854223264,3.3761721678406795e-08,0.15554672190146457
Megakaryocytes,0.009487292194413485,0.0013305999428944717,0.038657499229890736,0.04201412749008993,0.11139797139717898,0.001832548372650415,0.02563917930266843,0.007098010572096881,7.865390545114266e-06,0.018386005260883086,0.005258554346791262,0.0006655294842638076,0.00018918274935590714,0.008045540527408787,0.002392809239546002,0.06898992796917996,0.1202670535033765,0.012176901610866854,0.026430902244365923,0.010823193458454823,0.010334942921698679,0.005821919311957744,2.8664563241146213e-12,0.00879064145907297,0.0001659329642491762,0.2105860351100676,0.007478746432379288,0.03203786670918527,1.1875225068772813e-06,0.21369203327909453
Mesoderm,0.007380365541003777,0.0038922578871363927,0.016106531344670823,0.0026906561642170753,0.07592477055563457,0.01136621482949447,0.06226761018039044,0.02147737560715787,4.253133823212562e-06,0.041733660634811987,0.031987470280246,0.04202076876383096,0.0006651416320540016,0.002639642736346158,0.0229800608859291,0.007486714199239165,0.000654702786353258,0.4226820851084596,0.029240055591911458,0.0205461684980007,0.021903163258233736,0.02132369806606075,2.6858159424572318e-05,0.0856478529340191,0.004454711540822741,0.004744732381251816,0.0006845093002860064,0.002703459521566525,0.016468080088560974,0.018296428389062758
Muscle_cells,0.004657421303060912,0.001393293951553876,0.18879671167510445,0.003677112414349824,0.015985204315409743,0.0017153768171091499,0.025313484973738275,0.009007115960332981,2.4345372426058386e-06,0.016160812621459495,0.007179145979485403,0.002259057741003025,0.0004204661144696693,0.010120158094457116,0.0030065483472631826,0.007020595776160581,8.789233034718058e-05,0.03637643572587663,0.5873555602784106,0.017969776172933282,0.00682034095173823,0.013026989742727167,4.350406927528222e-08,0.011438923778664269,0.0001448687267023203,0.0014040630663351623,0.0017620594733304825,0.003354599627050152,0.0013702728237567669,0.022173233175858197
Neural_crest_PNS_glia,0.004711088363865487,0.0029305316332898248,0.00887765284148026,0.004189472687419233,0.013388219048834377,0.004095544137776839,0.020611528941664382,0.023893292162716195,5.268880797168289e-06,0.013745474431738769,0.0035252105058889266,0.006157703046710257,0.0005648217731852655,0.0010105455354385575,0.0023574519964579773,0.013715670243095113,0.00034168829507989296,0.025199049411359496,0.009223209880107639,0.7318541698188303,0.009717240244213077,0.02328965536284789,7.086204227382321e-13,0.03138677038527018,0.004019442035694854,0.005457156067615699,0.001295613864008316,0.004595226699272389,1.7145278386974434e-09,0.02984129999010508
Neural_crest_PNS_neurons,0.0021703664269974296,0.005982076170784404,0.0009990706851511983,0.0013348738178449177,0.0023302812621332383,0.002601140595370785,0.0043073444746629655,0.01104949207637678,3.266660480491929e-06,0.004302378197127441,0.038279879116666825,0.001137324936670216,0.0003143878943630539,0.00019989879716105944,0.0005538157897917297,0.003058665141550586,1.7699335906558632e-05,0.007251796175936531,0.002675858508647987,0.006698279980969876,0.8082910623778464,0.007132295384672441,1.2069835734343376e-13,0.07855653614741251,0.0002908037513161443,0.0008696924614699044,0.00046736679206664517,0.0011189650766109667,0.0003957157821775026,0.00760966618171256
Neuroectoderm_and_glia,0.004159774324532895,0.033075054531266954,0.008340590949765058,0.00376245421553953,0.006390874268492958,0.02375689532520418,0.01821691222273438,0.12164760229049508,4.770413955375818e-06,0.010646939423899021,0.0026217087101449797,0.0012354663593533253,0.009328434487270838,0.00036233241792073875,0.0016981264255492396,0.00861821260085152,0.00017265121460002084,0.020672731439814594,0.0066342032279268544,0.02553308194357276,0.01007993631244356,0.573448079263406,1.1456614325659982e-11,0.06027095692984992,0.021990681308229235,0.003214671039469833,0.0010506975621093434,0.003147223266605709,0.00013377691098329789,0.019785160602556136
Olfactory_sensory_neurons,3.1870838720128564e-05,0.0003527439032087805,0.0001632726821511266,0.00014034692697789208,0.00015083503003333892,0.0009970175396286016,0.0006232808411266275,0.0008087858506308571,2.298893230915959e-06,0.00023999498728737522,2.1305130305730104e-05,0.00010330216240504248,2.6398556787543517e-05,1.1677482624849007e-06,3.4642680079667465e-05,0.00040493166628657163,2.9951775463494885e-06,0.0006880546712961323,5.794594465160105e-05,0.00017285882845455058,0.1431384293124238,0.0004947730023757007,1.267502039593401e-21,0.8497901611654752,3.571299156618326e-05,0.0006125939734737834,2.969074140582685e-06,9.994523222732115e-05,5.955346216076378e-21,0.0008013651892460429
Olidendrocytes,2.465198482265767e-12,0.0008092091438397607,2.928969863639823e-05,2.9163312644809465e-07,5.671841137185974e-07,3.067408955836788e-05,3.97403251475867e-05,7.592428610068011e-05,2.3670144538581464e-09,2.0261865094602856e-06,7.882483564343558e-09,1.5456504627939987e-06,6.950391665434199e-07,1.7854893467601083e-08,5.418857241754613e-07,3.5077652625178805e-08,2.4841388375883293e-07,1.2787070977525052e-05,1.6230798920573045e-07,7.963951354496434e-05,9.518606405513175e-06,0.0036099411419894243,1.1345416078389098e-19,0.0013744869908745739,0.9939062643535483,1.5407570632450573e-05,1.6892562805533155e-12,9.401805926223946e-09,5.516025142925177e-26,9.663197637856948e-07
Primitive_erythroid,0.0005013617162562277,0.00044092112426973896,0.015318170586136437,0.30718993067650835,0.004506848595080312,0.0005202971333512767,0.0013987257355280577,0.0008535633380409551,1.5413192530162675e-06,0.0009984111763119636,0.0003570504943924373,5.2848272362451575e-05,2.807985303807735e-05,2.2727196780736787e-05,0.00012392048232950023,0.003397416903247997,0.023836459131937503,0.008452963720054099,0.00048240310340911494,0.0006557981021745961,0.00031030738690133146,0.0007478774962493286,7.629961349287861e-17,0.009406680843986692,2.403410787972653e-05,0.5962854415519867,5.126455474165633e-05,0.0011804641277784553,1.8786273728664314e-22,0.022854491270013287
Primordial_germ_cells,0.016545596419022264,0.002997597362000757,0.002332575036024092,0.028986915516136462,0.04674001269102572,0.003477285787976265,0.2245527318844076,0.0090957074265358,4.530025076922703e-06,0.08404675541504823,0.04572710620880765,0.0033188452256302852,0.0007064668228798558,0.06737993990636751,0.00862782491176095,0.02196698558131201,0.0002690725219720578,0.03380992803201386,0.04790076105133613,0.08895801447452263,0.010820551378915083,0.05909052038204566,2.3953303074100077e-15,0.024318981255113847,9.78561268477181e-05,0.0035981400319980844,0.014261855517442567,0.012580048914686103,5.074739213220969e-10,0.1377873935856176
T_cells,0.023018945252279755,0.0017631494161189072,0.039377533316375515,0.05351404157326209,0.05834116848499844,0.0065285517594157625,0.05132877135988181,0.012004954867533807,6.51195712254946e-06,0.09443735431303131,0.012228545862292675,0.00075398229162509,0.00024706320516695694,0.041083392190879614,0.010903485234807308,0.0987497057047137,0.0009895907819757533,0.018125059275042852,0.013067052838001502,0.018678559188159416,0.005845643641863411,0.011034495314088398,1.3713328883028381e-14,0.027942197693250414,0.00037249998816805415,0.03261723403900603,0.013335555001751648,0.08593478144810462,1.9062931887659372e-19,0.26777017400106884
Testis_and_adrenal,0.00044609777362951354,0.002011364399729063,0.009775055731071621,0.001270382797514558,0.05731836625872205,0.004599415333609665,0.08118523760674343,0.020875502590348843,2.5161748738581494e-06,0.18396623468643541,0.3370226951284241,0.006420758976661215,0.00020377199533925676,0.06226181491816926,0.010486126979843954,0.007853864071365173,6.180854927911845e-05,0.056389565779053026,0.016087957317569325,0.027560360413909125,0.012339870401382855,0.012680963542084736,2.099417411232808e-14,0.06210057319092583,0.00042635786935187487,0.002120435768772631,0.0019659559085477216,0.006660408279602734,7.504902087998206e-19,0.015906537557019186
White_blood_cells,0.02239914338586535,0.002730738965098119,0.03596871952983677,0.039354602224299574,0.09016561161467038,0.004390947817550099,0.030468323027727735,0.007906831496898149,1.0247141805628822e-05,0.056770274095283575,0.011316014949959284,0.0012179672016875433,0.0004419915615589386,0.0312701079146091,0.004758423011314704,0.09123053795960054,0.004451954100454426,0.018151148455747633,0.014705292315076031,0.012569328286716086,0.005237124193243539,0.012290668201203213,2.963176465164846e-12,0.02008946535227761,0.0003211694005778518,0.053966292898935696,0.018327639664786143,0.05564077729609309,0.002185678025481279,0.35166297990867873
