,B_cells,CNS_neurons,Cardiocytes,Definitive_erythroid,Endothelium,Ependymal_cells,Epithelial_cells,Extraembryonic_visceral_endoderm,Eye_and_other,Glands,Gut,Hepatocytes,Intermediate_mesoderm_and_kidney,Intermediate_neuronal_progenitors,Intestine,Lung_and_airways,Mast_cells,Megakaryocytes,Mesoderm,Muscle_cells,Neural_crest_PNS_glia,Neural_crest_PNS_neurons,Neuroectoderm_and_glia,Olfactory_sensory_neurons,Olidendrocytes,Primitive_erythroid,Primordial_germ_cells,T_cells,Testis_and_adrenal,White_blood_cells
Gut,0.0075655517317133976,0.0027515437592925515,0.010077842903232655,0.0021700410550758815,0.058894055392330766,0.0017277955283984696,0.1935141310860814,2.2388563554616567e-06,0.004291110373305912,0.018332212013795358,0.33066047524109476,0.0001896091635982065,0.015345988460748741,0.006898427650438411,0.19393890360359553,0.02233882335292549,0.007904731976000789,0.002298960784465458,0.010428163628590927,0.0012867304531302985,0.011382443341789117,0.0030276008196623645,0.0118055376159585,0.00373395803007229,0.00030288596185862424,0.004223067477696567,0.0003923642950944122,0.021539247501259313,0.011198474529856648,0.041777083412581684
Hepatocytes,0.002720063439803968,0.005134667497116108,0.0005835934101892128,0.0016387663342712516,0.0749540883690461,0.00026223463351908574,0.016933162514700437,0.19816417378958465,0.0006691763124406689,0.0003372866926035348,0.054623617413995795,0.5665147555241447,0.00043512885638165234,0.001194680046074374,0.008280525350450083,0.0007198513804055697,0.001387615516722322,0.0006151541874098006,0.005076279622700543,0.004142046158034356,0.0014438647251659583,0.02632038411747749,0.00638222582942612,0.00017077763214701737,1.8643097889376673e-05,0.000664851308420416,0.00020315519385360442,0.004109951383708917,0.003746835215054951,0.012552444447261989
Intermediate_mesoderm_and_kidney,0.00018072532518481526,0.0002701744113529987,0.00015336324525426094,0.0001668005261115001,0.009114574676691207,0.0021981133782121255,0.019969278846933274,1.6562564801978018e-08,0.0023904363604156063,0.0003557262185195924,0.028162843574378437,1.862554744337301e-05,0.8711931445465351,0.0009001979767544522,0.00755314128760171,0.0009960310020579338,0.0002854813657508053,0.00010256484249004561,0.004758456719985444,0.00026892262662422755,0.0015654485531447688,0.0019476156863476454,0.0027432408747865714,0.03162958907225035,1.389220824337428e-05,0.0012540805551072625,0.0007924717887187999,0.0006913654408930325,0.0011929697349029754,0.00913070704474349
Intermediate_neuronal_progenitors,0.0006003829366439064,0.00994859479643941,7.885446632037725e-05,0.0002768048809245628,0.0013647050776547213,0.0001308590911777115,0.002298146090103092,1.960090460359843e-08,0.0032362284651577078,0.0004282130814634973,0.002853365701278774,1.059171186361328e-05,0.00041683586992503387,0.9564185431680181,0.001245146072862431,0.00020009407912916055,0.00032964387624652983,0.00011671269374331208,0.0004405083733614756,8.203185527868333e-05,0.0005880582207724468,0.00046698418693609555,0.013392319376357794,0.0011548109236072309,6.395080174651368e-05,0.00014361917126213622,0.00010794386215669171,0.0010394772130483967,0.00013856443238750122,0.0024279899232284557
Intestine,0.0016860669863483317,0.000364692710365496,0.0034076343597462823,0.0004496431542551165,0.017026545633266475,0.00022731519334355334,0.20145766618523983,1.0044821101006546e-06,0.0008164741521673605,0.0009969296023644712,0.17932090324760708,4.640955781692525e-05,0.0657836651767301,0.0008024325433757372,0.46731037322420776,0.004914982754307146,0.0035593172390257386,0.0011965152915314199,0.003231114969823257,0.0007274604351595826,0.006906341823562012,0.002150904872271985,0.001234671112095831,0.0011279635465795154,0.0001961385441451104,0.0007030527985654869,0.001757279985581172,0.0060484712556950135,0.008777382862657208,0.01777064630005491
Lung_and_airways,0.0038348200356165298,0.0032355872772552264,0.0009297884895783171,0.0014915572825230045,0.015072068784280496,0.0009874579646964351,0.046019999233210075,2.335557189446284e-07,0.0011996697168583051,0.0011054230118643304,0.03584420820067884,6.96520246231289e-05,0.026984808150827145,0.001342475233530747,0.021127774268538905,0.7684775889050046,0.0017225982823983424,0.0007154379550408623,0.010103895720949255,0.00037055359262682454,0.030035886216223207,0.0011505218436285393,0.0066166825365686355,0.00039569947774003363,2.105614921513703e-05,0.0005342333086352863,0.00012571932653648513,0.00584885826674978,0.0011014306646627027,0.013534314524219883
Mast_cells,0.011398203026356751,0.0007439369988555528,0.005881388353970378,0.004754252385723244,0.055857134525281606,0.004756367419343395,0.04886684317122725,9.252324508346666e-07,0.004981702784584655,0.002859799263288682,0.05333251640238275,0.00012291348266382405,0.0008762227591732708,0.0009249879745599545,0.07316859995586539,0.001658077742700797,0.43906508000406225,0.01581163930431072,0.0027990835491545837,0.00047432405437393296,0.008066098408633052,0.000472695636811258,0.002291664305974971,0.0011229050860995572,0.00038325234581798096,0.020140776917302993,0.007039347840583581,0.04022476550786783,0.002335646015667466,0.18958884954491148
Megakaryocytes,0.007622807282904607,0.0004397082037286994,0.014775509881295385,0.00891327966428475,0.051746400781766094,0.0005453044513668278,0.024907850897217153,4.980619261325959e-07,0.001190910144333339,0.0037720545593948507,0.024230891061807803,9.125264133091763e-05,0.0007181709225583329,0.0008389964207241514,0.013384220887623121,0.0014802423011500785,0.042343535956303885,0.41834273064317495,0.005876968864208619,0.0010600921358026112,0.0050941032036789045,0.0021583156492481948,0.004017741908256016,0.0002920043835429435,1.9711424681350302e-05,0.1919061477046558,0.0036038884156017075,0.020534612874425123,0.0007613847027323943,0.14933066397027525
Mesoderm,0.01104595915969788,0.013676270076856302,0.006210792462000013,0.0014421474545301641,0.133595846564305,0.0032776808859404593,0.15429570407084453,4.71036886213957e-07,0.0066692662416695,0.018229569219160042,0.0981164519690467,0.00012877323758666954,0.08540775893781859,0.032157400685206665,0.017164573975036092,0.03463430136249571,0.0036196548327818634,0.0014460141892281583,0.22852264555374352,0.007131906758304532,0.01724534571476516,0.03911134009136925,0.01367602793300046,0.023798525863637187,0.0009301545858225116,0.0031596643943845285,0.0003303366644694959,0.00868390265662259,0.017627275493296346,0.01866423792949385
Muscle_cells,0.005762438251673096,0.002894604327702609,0.24713431642097305,0.0020755230591979357,0.056726098543806606,0.000993498558311364,0.11675008507480172,6.316219483077497e-07,0.0026772208169743503,0.003466812918119252,0.1089271313298421,0.0001634335761370175,0.020893837944058746,0.014637665977742634,0.05892326002368487,0.004994504989930314,0.0034339349004896807,0.006975621968211318,0.021174050575807627,0.20824763233691007,0.014655159942282081,0.0389197311367524,0.012199036750739106,0.0013181061763325955,3.996660530917408e-05,0.0008663564864680268,0.0023047902468599337,0.01051471739784617,0.0034714830355161356,0.028858349005571715
Neural_crest_PNS_glia,0.008350926687553965,0.0034892057124090545,0.005175508705116474,0.0024793665625979324,0.05060842031312799,0.002993641971522025,0.08131055018778745,5.891426606642932e-07,0.007818739151045728,0.019567613111986484,0.11245425363517272,0.00016991304190325007,0.009645477210073573,0.010452057530533028,0.052376197269612054,0.009685932932536405,0.00962740023838906,0.0026659339954646544,0.010816164620634127,0.002344683111830347,0.4946809252924237,0.00812637363259279,0.023877800186233544,0.005905592981101387,0.0007254456491478745,0.0032075923843326417,0.0022920566327876,0.01686815033873424,0.005390223268121173,0.03689326450256807
