,CNS_neurons,Cardiocytes,Definitive_erythroid,Endothelium,Ependymal_cells,Epithelial_cells,Eye_and_other,Gut,Hepatocytes,Intermediate_mesoderm_and_kidney,Intermediate_neuronal_progenitors,Intestine,Lung_and_airways,Mast_cells,Megakaryocytes,Mesoderm,Muscle_cells,Neural_crest_PNS_glia,Neural_crest_PNS_neurons,Neuroectoderm_and_glia,Notochord,Olfactory_sensory_neurons,Primitive_erythroid,Primordial_germ_cells,White_blood_cells
Intermediate_neuronal_progenitors,0.3665289889798908,1.3434939359418091e-05,0.000976727463429972,0.00018330686780457188,4.4784535325249396e-08,0.001397268035899523,0.00034898467233390214,7.497706269201976e-05,1.74408360701896e-05,5.355210321428416e-05,0.5391012446302043,2.8239846954232078e-06,2.4337350696414146e-06,9.594037720967102e-06,3.2569099955270073e-05,0.010659510301616958,0.0009164393441199647,0.0007822096836846407,0.0008814898927962281,0.0749499055002858,3.3871732522429475e-30,0.0020676611518811953,4.471594743056936e-05,9.376205553789179e-06,0.0009453007397552459
Intestine,0.1383593456948817,4.2216705484311524e-05,0.009798465838374291,0.0017262158007164258,6.811291326871602e-05,0.34807013409547677,0.00047967792230346827,0.062424175167350264,0.00015604931967244987,0.0026679580643647694,0.0011346166183779753,0.13055523461715168,9.075947265715355e-06,0.0013158896035695147,0.0019032449815314502,0.18026077253874148,0.012665722288112925,0.0077673727284366416,0.017336688031641134,0.034277567672477104,8.537530150478591e-15,0.003210666534123083,0.0026190824857773064,0.024689377719270603,0.018462336711621664
Lung_and_airways,0.011591816819871273,2.1404658693400233e-05,0.00815766646825836,0.02693118799585973,6.77784211981773e-06,0.16429772360099854,0.0003717379156579453,0.044993153025969485,0.000146298096295849,0.0015217112973720229,0.00036351416300791907,0.0005227547758807647,0.30823470992259727,0.0004591359585592849,0.0008873591101292601,0.35969536154617926,0.00773711659950969,0.008309069710919909,0.00749397622402589,0.03870429326737443,6.922541422304725e-19,0.00029362719574716324,0.0008752436516234119,0.0003543267825674213,0.008030033370781908
Mast_cells,0.0001677744854927496,5.783395079810536e-09,0.49942088840624405,0.0002263640948585076,3.6895951780368005e-06,0.0037745452018005886,3.849705905675292e-08,0.0007437491408214997,1.661874671998319e-08,1.0092360590270196e-05,1.6328305960375608e-07,8.33025722151084e-06,4.5710691948389944e-08,0.00577118104166602,0.01893330132921188,0.0006986300512040234,2.245967500713943e-05,0.0002683819528327231,0.0005497347853674085,8.701738904733281e-05,1.5447465527772178e-24,1.8209687123827266e-06,0.010093408451935418,0.005525742134844328,0.4536926187850117
Megakaryocytes,0.005557217173942949,2.0085983003824825e-05,0.24899905045927945,0.031237658892799586,3.998665826547877e-05,0.017837321031846563,2.8272416447510296e-05,0.0010900615938015273,8.231375218680229e-05,0.0002100739543830858,9.244535667449838e-05,2.2239557500416673e-06,6.082224504691986e-06,0.003511045425085045,0.4412753359202248,0.03322968540523468,0.007907949125589927,0.0030066941614000494,0.0009614324311898395,0.010097492409001362,2.7415054973273774e-18,7.122930276127261e-05,0.054679424470342526,0.0002018639668436215,0.13985505392944095
Mesoderm,0.021763222998049617,0.00022022485646348,0.004590841770289373,0.0015633807211287419,6.764348443690487e-05,0.018874603499050572,0.00017237126822372735,0.0011178465406225502,0.00015539021869405908,0.0021672897759359173,0.0006310031455966692,5.174572662027097e-05,0.00013609753954340624,7.856083904364673e-05,0.0003483126155227983,0.897912675740723,0.016144504393484603,0.003908150752841376,0.002927831200748716,0.02387490537341505,1.4610659015569528e-14,0.00027897888998682505,0.00037840739812757364,0.00010579350042667805,0.002530217751009826
Muscle_cells,0.010209314133063852,0.0018248740115690955,0.007335503769595952,0.0012828217093866358,2.5751217356337008e-05,0.01827225391432121,0.00021051405120601634,0.0011848092089827096,0.00013043041189366857,0.002436129282738685,0.00037162211111409747,8.635421941451239e-05,3.725245408263714e-05,6.625099668109722e-05,0.001745322070114943,0.199642233334361,0.7152015888216763,0.006564311896753008,0.002784721446385286,0.026625764465054796,3.22034629695792e-14,8.709433707056236e-05,0.00032409686747571177,0.00015429015319136588,0.0033966951164782814
Neural_crest_PNS_glia,0.029707127142174595,3.214274054590555e-05,0.014541458741238128,0.00339260613628684,8.901704378399304e-05,0.04352116332784662,0.0006005627967973205,0.003636499734728781,0.0002586788685924011,0.001653626839794214,0.000786280630512743,0.002382832645309448,0.0011067064785505942,0.0002720925333831089,0.0016172953630756216,0.13659643015092332,0.020652864700351273,0.6021366882198501,0.03356931079020081,0.08627491683295598,1.4007203818668977e-14,0.002158656310471423,0.000800572008646674,0.001971628571518525,0.012240841392447613
Neural_crest_PNS_neurons,0.06345726164062342,5.850305446446942e-06,0.002235344504913313,0.0003053818536699785,1.0214674726977932e-05,0.0036442626469556454,8.735098294073885e-05,0.00036631008589855716,4.262810639853535e-05,0.00015287187991110525,0.0017328637003978175,6.888509168746485e-06,1.7837738697467018e-05,2.770552030210561e-05,9.675547155602687e-05,0.021581969515245235,0.002155368571271313,0.00837112731226548,0.8641484869321585,0.021510812741223177,9.81378930639948e-23,0.008783067142838689,0.00012964098284574645,7.177092308715058e-05,0.0010582282574577947
Neuroectoderm_and_glia,0.08890987506984452,0.0004050388379224378,0.006985760544826501,0.0008785415872781513,0.001267641944709099,0.01307114167523788,0.0037101643561338158,0.0004885168339510328,0.00011752130798539396,0.0007690703190507102,0.005847326689885676,7.504458605018043e-05,1.9859146763626e-05,6.91353950336929e-05,0.00028839065215806564,0.05775041340602378,0.006109251860178774,0.006437479283924158,0.004532113368433084,0.7979682374525037,1.0835590592896328e-14,0.0006349024707331687,0.0005126485086716767,0.00011260529249487451,0.0030393194101951343
Notochord,0.008913101696593855,8.596035948847717e-08,0.0009188323235566185,0.00028647959917103155,0.0005558642484852984,0.11747989148348088,0.00012825452820703454,0.00019893860887621386,1.2766874631200455e-05,0.1624293637778042,9.990893235243357e-05,0.0002676111491841604,2.650320445616609e-07,2.253529845757941e-06,5.5267642405646746e-06,0.3591021028804585,0.010012649076271925,0.0004419833164473576,0.0005354138597818523,0.1793254329568676,0.15856538834255784,3.7215750410693295e-07,8.32747616189418e-05,2.183845952790856e-06,0.0006320542937058012
Olfactory_sensory_neurons,0.2338822709518304,7.0378525861768145e-06,0.0011399647128128873,0.00020328578039877578,2.6121998930032905e-07,0.014662663000541282,0.00047224639363917264,0.00017240536380953985,2.7361472333626578e-05,0.00037594455126839,0.0029416644045155284,1.3145560362956929e-05,8.584566156690215e-06,1.3380310048108934e-05,0.00013063879004917225,0.023983904013620716,0.0017162961282487716,0.001177205509821982,0.12500796130841355,0.012679119077738171,8.1820237838624e-28,0.5806841444144771,0.00011431301037245454,1.2853276041089118e-05,0.0005733483309241696
Primitive_erythroid,0.0026966179706881237,1.6581948321268442e-06,0.3252578077990583,0.0002905421132091416,1.9277938168995253e-07,0.0005060488471895003,3.1126367031909897e-06,5.71756572453083e-05,1.6275831504201338e-05,2.0002797089944643e-05,1.8748209176158746e-05,3.214030071505695e-07,1.099859900354444e-06,4.697005349303306e-05,0.0007295539831632654,0.004337879361166995,0.00020537339140109086,0.0003333095226547283,0.00010134440521271367,0.0019970110141418413,1.7786366268647897e-29,3.517772709498488e-06,0.6546236869231664,1.308829359225889e-05,0.008738661180313027
Primordial_germ_cells,0.0024987849080357134,1.516283802351556e-15,0.10592854476762158,0.00025632067633803797,0.00030047805753652857,0.010557326009134707,3.824172045760679e-11,0.00018047104140391808,1.3692624510161097e-08,0.0033417811186180306,7.461446225214087e-10,2.064556513566851e-12,1.3665393811297851e-06,2.986640507397605e-10,0.00029310369955566417,0.1150404711175503,0.026434130236417757,0.000849470707190741,0.0019422763393632306,0.023879685530817697,1.6295376772518162e-27,2.516212457381187e-09,1.3465885908101936e-06,0.4381900021393399,0.2703044232291508
White_blood_cells,0.01921447841428777,0.001520621787789083,0.2763372508962886,0.01734089198757782,0.00016093649304137767,0.024706607138845326,0.0001637029432409942,0.0022353582344424657,0.00047794988132649196,0.0010144023066951447,0.0005182393637132948,1.548346600201127e-05,4.51354050213791e-05,0.005907544715447448,0.05340785445353845,0.0854374886398457,0.009583487686257382,0.008635645261288185,0.005242258124097761,0.042942544871823043,1.0180861383208925e-14,0.00014511084782947833,0.05066207693862794,0.0060153657983032845,0.38826956434465937
