,CNS_neurons,Cardiocytes,Definitive_erythroid,Endothelium,Ependymal_cells,Epithelial_cells,Eye_and_other,Gut,Hepatocytes,Intermediate_mesoderm_and_kidney,Intermediate_neuronal_progenitors,Intestine,Lung_and_airways,Megakaryocytes,Mesoderm,Muscle_cells,Neural_crest_PNS_glia,Neural_crest_PNS_neurons,Neuroectoderm_and_glia,Notochord,Olfactory_sensory_neurons,Primitive_erythroid,Primordial_germ_cells,White_blood_cells
Intermediate_neuronal_progenitors,0.3111475568559199,0.00015718608566569212,0.009056661745128883,0.006590360184181306,1.597305063645008e-05,0.01277683648056554,0.024469347070095567,0.018119842748616322,0.0008536060780970735,0.00101560836773856,0.2833032754152816,5.733569855829725e-05,0.004391985706269688,0.000552333396010751,0.0355610158009451,0.007072963650996616,0.009629594658776398,0.013461673395260276,0.10784293522353697,0.0016568347036437408,0.13583885833888568,0.01061224619645189,0.0003025792695182375,0.005513389879219485
Lung_and_airways,2.4986747354412713e-07,3.3404979310138883e-07,2.3496450445481847e-06,0.0015903823370870982,9.267905369696734e-08,0.0023847083069428792,0.0021525973385295005,0.1837503496904853,1.0376781083628836e-06,0.00012876361380223988,2.7940697493408574e-10,1.670141833423985e-09,0.8091791421338271,2.130319711051281e-06,0.00037276140170053903,2.473431095619265e-05,0.0001983776201278374,3.6559038781930904e-07,0.00017480958517204873,1.9868193501429769e-07,1.0403921471844186e-08,1.4852833192949144e-06,2.4009580544471598e-06,3.271655501808722e-05
Megakaryocytes,0.00010234506641509955,0.008688035310583656,0.06373798021081876,0.013204415160873999,5.4342244075207784e-06,0.0019338873434739555,0.0007746245147867971,0.002749116125013742,0.000323832729438297,0.00015677473657689812,1.0855944172545908e-05,8.372845407322986e-06,0.0007604362812042559,0.8373002899498079,0.006959443357742297,0.0009089451516867665,0.0014600008540444907,0.0006340722239963435,0.003500518810189756,0.0002624191659657234,3.4571923166896156e-05,0.01329789014385424,0.00011302307249898001,0.043072714853873754
Mesoderm,0.0003788400576904698,0.0010686971820575571,0.005935826450276952,0.026391132506625642,7.180355867221845e-05,0.04950928051816125,0.017230557090394134,0.10944547823212053,0.0023055276746717103,0.0052435049297225094,3.214074189222202e-05,0.00011752013648483861,0.06423605112907704,0.0006867468559114412,0.641592266949568,0.028254843270081206,0.01127950677417109,0.004410724118776133,0.015511540341489001,0.001974914182136059,0.0024264443230885245,0.006053793366982528,0.00045907932606094613,0.005383780283888075
Muscle_cells,0.0002484230432484915,0.020510695863734513,0.0073769089906401105,0.01243672352803195,7.315500375769728e-06,0.03273060840814504,0.012556600586691133,0.04711056180925488,0.0012985562215349876,0.0014572151855168623,2.2671507622764566e-05,3.1510730994204724e-05,0.010757091494980317,0.0012654984581032963,0.11396467224446975,0.6980632577723128,0.00865609556351957,0.005941939145318161,0.012215876192007744,0.0027788847399646656,0.0016578528198473981,0.004270807759833761,0.0001896109486745914,0.004450621485177217
Neural_crest_PNS_glia,0.0008336987072128912,0.0002992621100651039,0.013831846154081144,0.028545244987697515,5.880389906060629e-05,0.020155666014360606,0.015429632446062035,0.056280164845017654,0.003207152881465915,0.0010295213238035704,9.79738087700619e-05,9.159538430411348e-05,0.03371648799113493,0.0024207005750222508,0.04566596734478895,0.008924298750749677,0.7074477538616863,0.013200282800580783,0.022164396521963923,0.0008284951752564033,0.0019067648902829706,0.008306067279652487,0.0008078042730462721,0.01475041797393378
Neural_crest_PNS_neurons,0.003991949539815213,0.0005589317532538025,0.0036897253399292996,0.003200313210918173,5.576647488644235e-06,0.005762105584239805,0.006688766462664896,0.015231989964446154,0.00044771131496853194,0.00059072896993308,3.395019809367748e-05,1.477658286878557e-05,0.005689653807163006,0.00032273346634417103,0.010463529706304112,0.00446919882832118,0.019526102469685426,0.8190223918955613,0.006898463993703581,0.0002069362468003579,0.08675855017853232,0.0033510633756103545,0.00014676378376310436,0.002928086679591083
Neuroectoderm_and_glia,0.010766217874082749,0.0006352089956813733,0.008752451768718139,0.008724675074329384,0.002120900792338971,0.03494866016299366,0.1553075384349061,0.05169507228212762,0.0015532669294533337,0.003905748984547243,0.0016626596078961123,6.541547588952134e-05,0.012941242475119203,0.0008674904383541703,0.05359850926424784,0.009120878304064968,0.02519775800142031,0.008320846175736965,0.5776213116560223,0.003200569261698249,0.008644528251562813,0.011506222540210156,0.0007692751436429402,0.00807355210495588
Notochord,0.00024605030506827315,0.00028581574224191954,0.009509360538654286,0.03165921981660635,0.000546162722127265,0.1540077646290352,0.014029278598322334,0.15780918500837918,0.0014149586384379828,0.03661392675708542,5.8220526456414985e-06,8.349120541189747e-06,0.007406704687640966,0.0009759958608327562,0.04380226190957285,0.0026384268757208736,0.0065256250920761455,0.000832345812921881,0.068840608876202,0.4417942520534672,6.46307388739836e-05,0.010978665342471857,0.0006796003522163228,0.009324988468858148
Olfactory_sensory_neurons,0.01122544482144549,5.3491878168076384e-05,0.0010225574610397007,0.0012526227674617382,7.991750994080378e-08,0.002019419034611287,0.003578012456930384,0.0054491630799653745,0.00013522078646813912,0.00020421726413337297,0.0011982305041208672,1.772069308556259e-06,0.0011819172256176242,0.00014001587520652014,0.005069861485013669,0.0005438485932664986,0.002472220837529628,0.06235719264087291,0.02083190461023618,4.954142257913171e-05,0.8791271750821832,0.0011917843551357706,9.490566891863693e-06,0.0008848152643040804
Primitive_erythroid,3.926182584512718e-06,2.063207420892489e-05,0.030584604733687668,0.0008019759957108013,1.3807034321096264e-08,0.00010230851831691671,3.453336754275031e-05,9.393197043560104e-05,0.0007027793170850972,2.7332627573532683e-06,4.475600022552926e-07,2.474011412038407e-07,1.4908621448875587e-05,4.2164362615759066e-05,0.00026533545455293653,2.342593636954221e-05,2.7098834234912135e-05,9.20804157057487e-06,0.00011594139976130695,9.239106270920992e-06,5.673174870866683e-07,0.9667963171576174,5.8967092231651595e-06,0.00034176286834014736
White_blood_cells,0.00033285198930287796,0.026121443327632977,0.15079938399828513,0.09228837644223496,7.833991229271472e-06,0.01755435466125698,0.005707442395023779,0.0423168922687623,0.002022679765651739,0.0007846495798365913,3.300716496256662e-05,4.833661350590234e-05,0.003524647334289787,0.10710354953680781,0.021459183212984536,0.0028960914825004362,0.005145279826835717,0.0011008336900888093,0.010966256490032335,0.0007985602203739854,0.00017822314426022096,0.06948624106380442,0.001310535040590387,0.43801334675974646
