,CNS_neurons,Cardiocytes,Definitive_erythroid,Endothelium,Ependymal_cells,Epithelial_cells,Extraembryonic_visceral_endoderm,Eye_and_other,Gut,Hepatocytes,Intermediate_mesoderm_and_kidney,Lung_and_airways,Megakaryocytes,Mesoderm,Muscle_cells,Neural_crest_PNS_glia,Neural_crest_PNS_neurons,Neuroectoderm_and_glia,Notochord,Primitive_erythroid,Primordial_germ_cells,White_blood_cells
Megakaryocytes,0.0006898810921355914,0.00022323290753671496,0.11099476841626148,0.014490540675977184,3.3539228411761235e-06,0.0036447838804369486,4.3530598868583126e-05,0.0023216833564202017,0.0011698613036892124,4.026457095158503e-05,0.003970874575734819,6.618800606237395e-16,0.650661468567768,0.005492234099970239,5.2483463804715065e-05,0.0008055436619071861,0.011868973107788033,0.002829347012555604,4.9798766657997984e-05,0.025752488029728755,0.0192209706747544,0.14567391731421095
Mesoderm,0.008394452591759602,0.004255671442995188,0.049359767738407945,0.048259693258412596,3.5669322908070746e-05,0.09082837238926467,0.017385575606631554,0.01562666119749978,0.04344460662292386,0.0044290366714703055,0.14325125256973037,5.4139741156057e-05,0.002721190636304143,0.38082324771354864,0.007344737050771452,0.026589491856124806,0.018126180068408382,0.030581898435462003,0.0010296824435236888,0.0011768240734925807,0.044138210960498234,0.06214363760870604
Muscle_cells,0.0019893886847735316,0.0011024090075723927,0.009570527082664966,0.015852893409718474,1.0881455706130522e-05,0.019237209488442784,0.00024202192021141613,0.0055517242659197455,0.008986749923593086,9.348563622718659e-05,0.028718452545419753,5.2086702453157335e-11,0.0015228588587788859,0.026956330765687934,0.846854740545309,0.003431509682395055,0.004310002217629169,0.00925882368556177,0.00012411359553981014,0.00024226131375035007,0.006328009977249149,0.009615605885762726
Neural_crest_PNS_glia,0.004452377201103285,0.00038971480472015525,0.033076637037139686,0.020919714960487272,9.814145771789899e-06,0.0295146518297436,0.00255850735547013,0.007247726437125495,0.00815864664567196,0.0003093386002544303,0.04163323507634097,8.89697745957345e-08,0.001300551048704916,0.07307954330741474,0.0005400251944934274,0.6212428417961731,0.0317654799691708,0.02514256116419283,8.832442520955308e-05,0.00039014801529241853,0.0363680357487822,0.06181203626696266
Neural_crest_PNS_neurons,0.0571427074911806,0.0004667288688276077,0.0159361343307246,0.013345873568056957,1.2933474513736771e-05,0.03642346751195079,9.140318017335432e-05,0.005989091685515512,0.004715856700398138,0.0001491776371334431,0.0156626178980056,2.76072263102677e-09,0.001177619577979692,0.027728029882606538,0.0006911306030111473,0.037691481967783116,0.7192408067435964,0.01608321439635109,4.444159053562477e-05,0.00045553009194551186,0.01173382758275835,0.03521792245622966
Neuroectoderm_and_glia,0.06895972147953404,0.0009318472144082882,0.04773585943322767,0.01780786764831139,0.0001803440418461408,0.09326706968261826,0.0031025009700724106,0.046388980705373783,0.023290310408553283,0.00032808064631870956,0.0632468099061891,1.0632897035487727e-07,0.0012354806718760753,0.05849417387823579,0.0010956037024568053,0.03752593008021915,0.012577506904489725,0.3951530814548547,0.0011283533120443165,0.0009277784406410139,0.060223539342709624,0.06639905374704937
Notochord,0.011180597500887493,0.0007426937285844175,0.03129707056273398,0.023706475464845105,1.537028293485985e-05,0.10921911125617523,0.0010965632200500247,0.007998624252880797,0.009451381196132917,0.00022534360918144552,0.10308503378182976,2.9791675914030885e-09,0.021391047520034387,0.03722550085122523,0.0008162820602166318,0.002700635973042448,0.0016961836923446057,0.03301173215931812,0.4208251537363879,0.001044419404094408,0.10956926616781375,0.0737015106001189
Primitive_erythroid,0.0005339975901182614,0.00032822391029405107,0.230118178830298,0.007993685788817527,5.884132695991992e-07,0.004948193068658576,1.622036461413082e-05,0.001764928639746025,0.0010373429104435176,7.315799097785806e-05,0.003281314299649845,1.4629772329451197e-17,0.0072590157217191755,0.009215518573845963,0.00033650066109410816,0.001266729400370195,0.0005134100648992956,0.0050907720315769255,2.638097902199636e-05,0.6738568951515779,0.005429938748985279,0.046909006860021814
Primordial_germ_cells,0.00017270760485406863,0.00038386087249470737,0.05896584681523204,0.10829555289266835,1.6685554970898028e-08,0.0385792118740123,5.704551462682276e-10,2.7060739811907393e-06,0.013601245411952088,0.00015706773124511786,0.009912303009052525,2.4881129161604466e-20,0.0019721981261926133,0.030544228742818452,0.00025519389408880356,0.004972719732059197,0.00016943730950014877,0.018642781961591377,3.9987030651894267e-05,0.0025314526395366042,0.5412141927411585,0.1695872882808999
White_blood_cells,0.0001828505195942486,5.0725611910564875e-05,0.17761684992929186,0.09752909115379799,3.163398794268456e-07,0.00993333665959251,1.1823249249910554e-05,3.8337373636743536e-05,0.03530649848536981,2.933404000067513e-05,0.0035024110769920516,6.470379666110978e-14,0.008997135815288049,0.028815858128969196,0.00018884350761540206,0.002513986784863343,0.00019222022134385294,0.019804205788678936,1.4194493845989611e-05,0.00516445237407641,0.003953860149965749,0.6061536682959726
