,Aidpocytes,B_cells,CNS_neurons,Cardiocytes,Definitive_erythroid,Endothelium,Ependymal_cells,Epithelial_cells,Eye_and_other,Glands,Gut,Hepatocytes,Intermediate_mesoderm_and_kidney,Intermediate_neuronal_progenitors,Intestine,Lung_and_airways,Mast_cells,Megakaryocytes,Mesoderm,Muscle_cells,Neural_crest_PNS_glia,Neural_crest_PNS_neurons,Neuroectoderm_and_glia,Olfactory_sensory_neurons,Olidendrocytes,Primitive_erythroid,Primordial_germ_cells,T_cells,Testis_and_adrenal,White_blood_cells
Gut,0.002479301956274238,0.0011734779554120256,0.012272630388507903,0.00019024308931247288,0.09238912630709631,0.04493877538378085,0.0029280885600832494,0.16482746263327067,0.003233742541579081,0.0022961636787130423,0.07292029943037971,0.036300379482587526,0.014040923982927968,0.003707115360139463,0.05990818223582795,0.04041369928767104,0.02706495186056563,0.007161645355844661,0.24772423738817811,0.02851292174758264,0.006954697586473189,0.0016239444321287063,0.02720563184515055,0.0012770939831899494,0.0001303592872362995,1.8453521107546351e-09,0.0011096080931585416,0.005328743127620725,0.00569103967616187,0.08619551149779352
Hepatocytes,0.00010331659759460917,0.00011843447838553653,0.0011354282801512535,3.320817903388992e-05,0.015151400832013677,0.0012924542505229999,1.3072608477000529e-05,0.0021473522608313578,0.00022971948538602288,1.5270464877097227e-05,0.0004923395369121734,0.9426005976166384,0.00030970723421815853,0.0003134851437231965,0.0004415005362955482,0.0004845464344049742,0.0001556828142287332,0.0001069320349884377,0.024193235144076536,0.002709142025992915,0.00035178729274270383,0.0001929091403031699,0.0019519029531067274,5.9347671629024246e-05,9.698884728379116e-06,2.3841078611933087e-10,5.326977403038162e-05,0.00013225682416949486,1.2173865945032785e-05,0.005189827396181793
Intermediate_mesoderm_and_kidney,0.0009530581161073993,0.0006603630915185952,0.010573254457304332,0.00014298127579614328,0.059768560320865007,0.01504023070361495,0.0003897379973539553,0.07755235197255694,0.003767598362309527,0.00014700559358729934,0.0016935796796799817,0.004304307712592661,0.44992314875914824,0.004940088136160397,0.01693827551194713,0.014512211757509297,0.0015809669427017028,0.0017311805498056439,0.24023279171885942,0.02603739062025683,0.006896399747092217,0.0011980130194380583,0.02821768764907959,0.001205013189479534,0.00013781115469867317,9.236546956058248e-10,0.0018573605618495902,0.0011352059026612461,0.001684537235552966,0.02677888733681793
Intermediate_neuronal_progenitors,0.00010835097299880017,0.0001341870606007303,0.044422408449657204,7.163151575834911e-05,0.014632173162066072,0.002040372372051565,6.463884786537342e-05,0.005407317766323389,0.0016450126853925317,0.00035375678150846574,0.00010287510937016963,0.0010528600072861535,0.0007628505360443951,0.8416168314816184,0.0005186365220628847,0.0006791210896490092,0.0001897400422482213,0.0001320188398802057,0.023173509995988946,0.0038678222941198534,0.0009297545352283975,0.000756453980056237,0.05213247007357314,0.0006246646820766183,0.0001293969632226456,7.593688533881018e-11,0.00010612065925876217,0.000123858213495157,3.356199009081203e-05,0.004187603294570463
Intestine,0.0015274853257672887,0.0024622541459033923,0.010962414587485345,0.00019484371353421722,0.14993485852459157,0.04031093430451152,0.0018898015897409186,0.12102554774107777,0.0035989494168783207,0.00032699891112968933,0.014955113685891535,0.02004087349704782,0.01521870498363744,0.00490561315369614,0.153174028250951,0.024768171904793468,0.038681883478655574,0.010987269724429767,0.13109815159244959,0.024665994642186814,0.00853537025577204,0.009715323364989259,0.02177851094748777,0.0010652665545821914,0.00011636690067117621,2.5238566866251895e-09,0.005091029234298956,0.01039759817796524,0.013233341315556812,0.15933729755046072
Lung_and_airways,0.000962442609196313,0.0010865932644216613,0.012360472324126997,0.00028996449179758945,0.11415872062797197,0.04472263935721747,0.0012752740971693245,0.11173836970071938,0.003389598128475672,0.00016541975615300787,0.0036500515688010675,0.008446984987263768,0.010529394339930267,0.00444116958929479,0.019651301351462067,0.354195746436195,0.00403432457917407,0.0034518197901489724,0.18135948614197608,0.025730373529427367,0.006386383949828117,0.0010819551615502236,0.030255286248271188,0.0009138051604898278,0.0002056087702686311,2.4212039220608464e-09,0.000844251021509007,0.002225019519950087,0.0024447608921149967,0.05000278018389114
Mast_cells,0.00040250312685441344,0.0024850657976607897,0.00654317211224926,0.00025097744825047373,0.16566999705765273,0.013695892948639153,0.00013815727148107904,0.019141451184251906,0.00176736491803207,6.695869831135879e-05,0.00105808680282362,0.005011270439163886,0.002176128656774147,0.002021924232679454,0.004726042674061419,0.0032936064785258627,0.10203705086920072,0.01697444809115174,0.051223267376539185,0.010635924788589693,0.00253742195554823,0.0006201352418040827,0.011377170898409126,0.00044970505489948524,8.474292748855174e-05,6.837677993830945e-09,0.0003719766448753778,0.007701798323899073,0.00022596342058847491,0.5673117877219167
Megakaryocytes,0.00016917892778648606,0.001264967881912224,0.003667310702479676,0.00018320950657325796,0.14809474848677556,0.009693988925947842,8.574129167817536e-05,0.026672792589545465,0.0008440093654914121,0.00032991346619253763,0.0008271143585106153,0.0023339002714957485,0.002186590413761663,0.0011207660805451364,0.002619305248269135,0.001976330598440305,0.026547941343625318,0.3296160809145908,0.07860998329501129,0.006964999951720482,0.01312161746933623,0.0003552790268982323,0.0066728538290939466,0.00032994536399179444,5.1308421373827714e-05,1.196593309286843e-09,0.00017666396757120778,0.004589348720626734,0.005334749532175591,0.32555935885198595
Mesoderm,0.003093943145595181,0.0009882010196221639,0.012999087159347647,0.000207612036681229,0.04535420887607761,0.013125951907344273,0.001460595720299957,0.036353770609875116,0.002974950633677166,0.0005195150196760023,0.0013344052497776331,0.013273451967493017,0.0070317170762674835,0.005025070572370363,0.00327455591079932,0.004997265474118907,0.000864826926481932,0.0009410911197941808,0.7732744609465623,0.02395388608853071,0.005897507858691534,0.001431126814440984,0.022146410812863195,0.0009602214148213332,0.00018533756786344384,9.228813980245019e-10,0.0003563231070900611,0.0005415874206198196,0.00041867008294754846,0.01701424653738844
Muscle_cells,0.005674836188685575,0.00108216437236531,0.009412986323723645,0.007792939207181984,0.0907474675839725,0.02417274350337143,0.000179332461384788,0.042079463598214885,0.002799370078081097,9.366860365411401e-05,0.0013297609970876353,0.014532345922203956,0.004984293157079557,0.003800025105937686,0.007460807720420034,0.007521661263376437,0.0014295409098310913,0.001749189066324224,0.20255610042288566,0.49730105762431936,0.008052580276448723,0.000996762565500851,0.023878333837168315,0.0006043779477516261,0.00021304864935317762,9.816659947819383e-10,0.0008122364969273756,0.0017780968508178075,0.0003482402808695497,0.0366165680033956
