,CNS_neurons,Cardiocytes,Definitive_erythroid,Endothelium,Ependymal_cells,Epithelial_cells,Extraembryonic_visceral_endoderm,Eye_and_other,Gut,Hepatocytes,Intermediate_mesoderm_and_kidney,Lung_and_airways,Megakaryocytes,Mesoderm,Muscle_cells,Neural_crest_PNS_glia,Neural_crest_PNS_neurons,Neuroectoderm_and_glia,Notochord,Primitive_erythroid,Primordial_germ_cells,White_blood_cells
Megakaryocytes,0.006623230410158339,3.995673615327034e-05,0.008190309630428603,0.00777965877355624,3.86493120533672e-05,0.006808922627395254,1.980270703355641e-08,1.8029151764344198e-05,0.0006914907718483606,7.693720546409516e-05,0.0008153231466834874,2.425612676137568e-15,0.45502576240758547,0.04133760184849245,0.00011064636785116222,0.0018305770357886528,0.0209441781084521,0.024500463162631624,0.00010143805413606508,0.41178914912560116,6.949241652799209e-05,0.013208163904718507
Mesoderm,0.004694139365431576,0.0002313898331569128,0.00018227667044801407,0.007143588402665677,3.475196555295084e-05,0.029639326512879764,1.6305987775717215e-05,2.089781348852466e-05,0.0038933679969500416,0.0020301075634418255,0.006299256983930168,2.3665727697734476e-05,0.0006795196941935597,0.8106523969250728,0.0021429403148795338,0.012477864859249966,0.006420802024815431,0.09635614898317345,0.0003563392798987688,0.015694712486217767,3.8580334163943315e-05,0.0009716202749158475
Muscle_cells,0.0026762147634046096,5.035389502503955e-05,4.255902938680196e-05,0.0027902172799760773,1.345237108290153e-05,0.016360054614191526,2.0067776513521535e-07,1.617964600773873e-05,0.0009597402360096988,0.00043173513939566205,0.001614757379959196,1.1295320917011537e-12,0.0004354442194691189,0.17187842566533562,0.7470166716755681,0.0033383614738708607,0.0050346254249656955,0.04272228062754927,0.00011650468242573484,0.004272059307076718,2.266433201716216e-06,0.00022789545720328745
Neural_crest_PNS_glia,0.006714672772841001,2.8314569243538896e-05,9.10141814624369e-05,0.0032280420287405668,8.025982970660252e-06,0.014985437593476845,2.1562341647477247e-07,1.2584129710060435e-05,0.001081902607399809,0.00023869902530488168,0.0023088384594003955,2.853955932631644e-09,0.0004071123534810335,0.271391350619375,0.00035860848841746056,0.5416342984697067,0.032685118157843855,0.11683973720114822,7.288120600933232e-05,0.007340637535243937,2.2440448155236874e-05,0.0005500656926966699
Neural_crest_PNS_neurons,0.06427236022750994,4.284851537690185e-05,5.879063357580431e-05,0.004514777652511062,1.5115547570446429e-05,0.020277012522543488,1.000307855456241e-08,1.6485488542782067e-05,0.001393210052749989,0.00012887666769202351,0.0011701380356502825,6.212748748867418e-12,0.0006899804123613095,0.09400800793107927,0.0010001337111770633,0.029664453679330738,0.7036648525582916,0.0688110006931398,3.359030297140222e-05,0.008328562759707584,4.611583422747142e-06,0.0019051810155044351
Neuroectoderm_and_glia,0.02733971513193508,5.7708602475099246e-05,0.00011847045886531166,0.0032735592134189905,6.833803861667897e-05,0.01978572192894761,9.831433623498224e-07,9.240420833041145e-05,0.002396016977395752,0.00016039132021635277,0.0016238392280787874,6.658096657914122e-10,0.0003244566790851564,0.10758208322344714,0.00035807760047666925,0.010742690997293237,0.0038877778934186375,0.8119333827130841,0.0002267042123365226,0.009207288303055035,2.1728329826834094e-05,0.0007986611305245273
Notochord,0.03332421162504739,6.331218133675185e-05,0.00021442620937570784,0.016974419248009808,2.0287195965364796e-05,0.12030925525611423,2.761628632734774e-07,2.9351853114201892e-05,0.01030603789723918,0.00022583774846602592,0.010735579698418263,9.403214258818162e-11,0.011602905505509634,0.14622723963738415,0.0031294829479814757,0.003446388502223323,0.002088760478246759,0.2691789550441898,0.3443750419288705,0.021203316614006974,0.001347120027848975,0.005197794143756124
Primitive_erythroid,4.310554166318046e-05,3.2010191451366665e-06,3.512680289384311e-05,0.00021927955224386206,5.1104791811900836e-08,0.000302489499487482,5.221275179221961e-11,4.1124147530688557e-07,2.0227262331452132e-05,5.2238702064304365e-06,2.059627707595268e-05,2.3427061692121898e-21,6.969201827187237e-05,0.002180219640808582,4.501949232935044e-06,6.773916578859345e-05,3.727996612940377e-05,0.0015028305440597431,1.3840174315174946e-06,0.9954396545143293,4.605091801808979e-08,4.693990950288826e-05
Primordial_germ_cells,0.0007027174196502492,2.3077987685981802e-07,0.000667381878939373,0.020864805933665766,1.101210511682037e-07,0.05732261077496738,3.071253208154499e-13,4.536891504237059e-08,0.004227293425191919,0.00018614216684036982,0.0020498699789881945,1.8273352243149754e-22,0.0019483816680803887,0.1851272780269413,0.00030296707506665674,0.007154406124616638,0.0004355026521239252,0.12784976561387246,0.00013389383819884117,0.5740478322389835,0.012857261345346205,0.004121503568376734
White_blood_cells,0.0027308927904268567,7.434051127291923e-06,0.004011804314498237,0.020677498004931315,1.1502798080333315e-05,0.014423338971526409,3.906071984883843e-08,2.4597562074600674e-06,0.0017106784833992366,6.0568932231500165e-05,0.0014623619196526447,3.211540303860435e-15,0.008953485808716178,0.1194333754913424,0.00021216439604397248,0.006873543505372603,0.0007078862534843405,0.07079280302875283,9.928984407700384e-05,0.5812993160520802,0.0008482359278721885,0.16568132060945395
