,CNS_neurons,Cardiocytes,Definitive_erythroid,Endothelium,Ependymal_cells,Epithelial_cells,Eye_and_other,Gut,Hepatocytes,Intermediate_mesoderm_and_kidney,Intermediate_neuronal_progenitors,Intestine,Lung_and_airways,Mast_cells,Megakaryocytes,Mesoderm,Muscle_cells,Neural_crest_PNS_glia,Neural_crest_PNS_neurons,Neuroectoderm_and_glia,Notochord,Olfactory_sensory_neurons,Primitive_erythroid,Primordial_germ_cells,White_blood_cells
Intermediate_neuronal_progenitors,0.17878708472392346,0.006571647795279544,7.365792502008393e-05,5.509687687300535e-05,5.967245291727219e-06,0.00019195206068939004,0.02009108688341522,0.0002640592317394678,1.633831218907013e-05,0.00015013736457568459,0.751982579327249,2.520263692983148e-05,1.2502219920941131e-05,0.0005632806641492848,0.0007362826821646863,0.0006808416888719101,0.00012533489076784396,0.0001680434528378173,0.0001355090807088142,0.012083363874069745,2.0451124391229265e-17,0.027076233525217694,1.889507827047758e-05,2.545061793940406e-05,0.0001594518419058654
Intestine,0.016501372377748662,0.009132701736262658,0.0010281259704146854,0.001814173850521258,0.12231661155242744,0.05146565566544799,0.05554272505209824,0.12210501506735143,0.0009121246235974118,0.01461420647102516,0.0007707039917249301,0.07890368853492337,0.00022227387991962584,0.09493397002338506,0.010783238138885692,0.008289179612823105,0.0017685905007724732,0.0018630325452896363,0.0003787217068484369,0.005366173474525387,0.124819157220957,0.2701534579373663,0.0025136454036011192,0.000358771235162669,0.0034426834269202893
Lung_and_airways,0.00196424493336115,0.021007885534198793,0.0014425497074813962,0.05186731959733464,0.008088896742783529,0.018372790343760804,0.018689276096982815,0.08547706648849178,0.0007099812290817948,0.02032613507803151,0.0004110068717771266,0.05571197180837328,0.5964284958610616,0.06813707000855038,0.004740752139340214,0.020784161369306088,0.0021325656512535705,0.004660520564558651,0.0007412127814504996,0.007475912349521322,9.683277004304198e-09,0.0036400471667139165,0.0008273717003749774,0.003628533691726255,0.0027342226012068856
Mast_cells,5.917561214928493e-05,0.007040240513545887,0.19841149949126421,0.0060050088562202866,0.0017669899834234194,0.007758467187954982,0.0064771591454596345,0.0019265631466234834,9.223340617104944e-06,0.0005052221367735986,2.189847114401832e-08,0.00988524711445045,3.890893039179399e-08,0.12009168718760167,0.2767945597752072,0.003874848927185756,1.5662797917493576e-05,0.001109352712523233,3.878353261291661e-05,8.80895408406003e-05,0.03444285405013399,0.00046021166485463096,0.0232304899285567,0.16152307798026555,0.13848552456641636
Megakaryocytes,0.00044072639965724616,0.17137622230495228,0.02865789420277231,0.022172182083781532,0.0001543393234775904,0.0009345702612390774,0.001968877491972457,0.007508640566333648,0.013982308821165882,0.0008370466381656135,8.259997112190736e-05,8.359528579527543e-05,8.965720653966348e-05,0.07232947277024251,0.6212336742678002,0.003744277831324763,0.0011849728793656058,0.0012078107727228372,0.000153152745696515,0.0015771473643222422,5.336075722687499e-06,0.0014760676604364635,0.031474554678314115,0.0009122110677099848,0.01641266132936764
Mesoderm,0.02511116397049889,0.06586475170644938,0.0019327906913232315,0.010177733755772328,0.015672840761871663,0.02257003905512538,0.07337256049262585,0.048391422196903164,0.004827303526077551,0.04655895928140578,0.006407879997338354,0.04139398192591898,0.013298854727255357,0.028883057791108557,0.006113094039749132,0.4106237743282234,0.01996795162439166,0.01400909997556731,0.004764083484712373,0.028805376172266015,0.03137261909889501,0.0740897385064415,0.0009862500377465053,0.002307583431064465,0.0024970894212681585
Muscle_cells,0.0033384456094176338,0.06388385911081754,0.001750384427902633,0.002874876049595726,0.0015265179857448584,0.006610513993001568,0.03971993002814126,0.019403683985079547,0.0009479820616909244,0.010621108642069487,0.0007256109162085987,0.015260655259325805,0.0005992888188451391,0.012681264128601079,0.015313693151260974,0.03811092118899197,0.7277647618194659,0.006290447744875676,0.0016678269849308078,0.012983835015632867,0.006568522984333692,0.007271521620138545,0.0006747978958069932,0.0015722877195315334,0.0018372628585892508
Neural_crest_PNS_glia,0.012195330885486088,0.016671661070172438,0.0032785399389457337,0.00794096653240404,0.003425750603936139,0.005977140661627083,0.05407274816462912,0.017288813142065533,0.0011466364226742555,0.006187978585593681,0.00398799166471522,0.007020189800967781,0.001567046603245053,0.02623202990065476,0.011752623911447138,0.019113195810853745,0.00522226181522788,0.6958870200976559,0.011410150528194283,0.029605825976951453,0.004449516476790206,0.045588086696124436,0.0022589903961626203,0.0035433799032053735,0.004176124410270023
Neural_crest_PNS_neurons,0.034872139977728756,0.0020619509419252165,0.0005094598673073331,0.000632108340736248,0.00019582809574820572,0.000971312218742621,0.008352037376852193,0.0022900958395466373,0.000672832103098278,0.0007244075182893837,0.002386555932997609,0.0003305724397021028,0.00019093088213829838,0.004027543537377658,0.0006470935518660474,0.0033725709975432378,0.0021446456238316818,0.0070139533205312975,0.8700889422543453,0.008149312692806391,2.5263890555868323e-06,0.049298451463834166,0.00017903987344956526,0.0003688764517033675,0.000516812308842772
Neuroectoderm_and_glia,0.0816996058735689,0.012092109194886454,0.00174995282264214,0.0011374008068414545,0.02092460629734321,0.00302299819489254,0.19929475135145683,0.005621648126393807,0.0005337746443793296,0.004756849498722724,0.023329225191362647,0.0009911200724746136,0.000263232870788218,0.009863995478142035,0.002239478412751683,0.01027110822112533,0.002205432753501469,0.0031934560621473427,0.0011211344439416267,0.5719852175664896,0.0011043736651934976,0.03957509806420028,0.0006287816496682227,0.0008953334338124987,0.0014993153032735603
Notochord,0.0010895687640911944,0.11288428348507928,0.00027696414056830134,0.002426698885578935,0.003158879735256926,0.007504914885447214,0.018659897848973046,0.028643766496591533,0.0007098699128472155,0.11312819312688822,8.073508294799204e-05,0.11118881456888889,3.869203042098671e-06,0.00014203797606786536,0.0003163130116599742,0.008811663287382933,0.0046199445529041235,0.0005571270829428564,0.0001520084238923583,0.3611270262370949,0.22347873547445063,3.3844802312255407e-05,0.0003211564708228961,7.909216454508534e-05,0.000604594379723266
Olfactory_sensory_neurons,0.016688828970627567,0.0005296717180761317,2.8894542443637034e-05,3.8924451643107064e-05,0.00018262615429443657,0.0012978543280698796,0.016660807337535236,0.0009483065625122343,1.556533213684208e-05,0.0006043144852525207,0.0011265466241210695,0.00020591110996615004,2.9587219052307543e-05,0.002372764471514948,0.0018733671975886554,0.000557084848292842,0.00012478545012684997,0.00042627628780789574,0.011983209061806412,0.0015671932771897585,6.113531331355635e-15,0.9425495087733213,5.669253625002258e-05,2.010347414379525e-05,0.0001111757862201584
Primitive_erythroid,0.002020208535216319,0.00397974699549974,0.10929244240077217,0.00011105102951504502,6.505252860642168e-06,8.069271626128828e-05,0.0009189602717364374,0.0002027989443921126,0.0006881800038471438,0.00010586026701100304,1.3860400285581175e-05,1.878263449161794e-05,1.084179569853748e-05,0.004383843184911043,0.009595256776538726,0.0008560334276889396,3.767968704928922e-05,5.172980064473494e-05,1.39280184849776e-05,0.00024123576027898695,9.107564098420564e-12,0.00013280349330465087,0.8648480960208011,5.520905427201019e-05,0.002334253519330234
Primordial_germ_cells,0.008099788508487563,0.13021817334915792,0.021678428317043728,0.2870283023571035,0.008273606822270288,0.026252177530824126,9.170961686538856e-07,0.0007522804974024797,0.004424091269359164,0.0041512431014737936,9.656838783018467e-13,9.905459429387372e-11,3.05512653065109e-08,2.2168214382682295e-11,0.0020712294336330188,0.010580201252645962,0.034743833036999565,0.005388851083663294,1.2822076307944243e-06,0.0007339897301486786,1.391724431368484e-06,3.7564701996514454e-07,6.925379171719118e-05,0.35052789976787607,0.10500265280148911
White_blood_cells,0.0029998508251134104,0.13841112158635918,0.06301181854738055,0.04508083379042379,0.003484748121566505,0.005916711494400001,0.01447429622081689,0.024378458391306698,0.011515806595994849,0.006841360690508667,0.0005323962036384418,0.00064806530492894,0.0005944842791665919,0.27311495342324627,0.19840698231729553,0.017211761575060002,0.0037847145543430188,0.005375708065609873,0.0007168182159359413,0.008268563196695888,0.020448625384114433,0.0068548862884558436,0.04899838637796919,0.02870061476403225,0.07022803378563726
