,CNS_neurons,Cardiocytes,Definitive_erythroid,Endothelium,Ependymal_cells,Epithelial_cells,Extraembryonic_visceral_endoderm,Eye_and_other,Gut,Hepatocytes,Intermediate_mesoderm_and_kidney,Intermediate_neuronal_progenitors,Megakaryocytes,Mesoderm,Muscle_cells,Neural_crest_PNS_glia,Neural_crest_PNS_neurons,Neuroectoderm_and_glia,Notochord,Olfactory_sensory_neurons,Primitive_erythroid,Primordial_germ_cells,White_blood_cells
Megakaryocytes,0.00796750377318439,3.6004139617947808e-06,0.061178449785512956,0.00018380741021850445,5.2355321013020625e-05,0.0013216137938797167,1.0717150018923575e-22,1.3588647616082908e-05,1.3242966868453332e-05,7.050582126741101e-06,0.0001340541790234936,7.89251356276172e-05,0.6182673598170971,0.007949306661326348,0.00014115193391211984,0.000617199114193298,0.00029980216760639616,0.016709866068896413,1.1915327652141436e-06,7.985908300766967e-06,0.2816225003515686,8.815766285522833e-08,0.0034293562776381166
Mesoderm,0.00996436647170716,8.270842932525594e-05,0.0009320885611655649,0.0004126088377998213,9.75203422806042e-05,0.009910994242438222,3.7015354165729354e-05,0.00011595142536460608,0.00021300246114567108,0.00018013396588673956,0.0032534696472756117,7.99244662954396e-05,0.00047149889088880163,0.8378261164468084,0.007501861331956111,0.00364693104764945,0.0019161974205902173,0.06861289713816456,2.7580013240081967e-05,5.2915575658543306e-05,0.053821882943081295,9.829060691614712e-07,0.0008413520810430026
Muscle_cells,0.03368868217197305,9.632779183390388e-06,0.0003096205973616478,0.00017027361450296723,8.505293001432525e-05,0.005675251911268407,1.502961262762748e-13,0.00012963995343929556,9.564542162406958e-05,5.2517067591104424e-05,0.0007923142775000402,3.9539415275094174e-05,0.00027075071568850655,0.12714567444287553,0.7676947509899249,0.0017283877366469924,0.0017742068270460236,0.03894497351185496,1.0109111559438529e-05,2.8581435953149234e-05,0.020925746677316337,9.793984253306078e-10,0.0004286474318519083
Neural_crest_PNS_glia,0.05462330366206824,4.227302681344037e-05,0.0013627372843940738,0.00029533851156646174,8.787271635923235e-05,0.009689938288554393,4.3514514865121545e-21,0.0005345261244541202,0.0003355561965692239,0.0006899049711235995,0.0017121948105182912,0.0003970127240565492,0.0008935167275873701,0.13252669372253276,0.002668067839702939,0.5215802700207026,0.06640782108367926,0.1500092294745968,4.321123435423973e-06,0.002882861114293211,0.051700254344955385,7.66343948261092e-06,0.001548642792554025
Neural_crest_PNS_neurons,0.09832670019556007,3.278576340868435e-06,0.00022176599586902406,0.00010125614982053084,0.0009737186550172818,0.0037038368542246965,1.5539004469069432e-32,0.00016096325147306527,5.6305577095899094e-05,1.911146945402165e-05,0.0007061155837948021,0.0003093356044798859,0.0001307019487277081,0.030163495137328904,0.000629211684471128,0.010634728144889808,0.7861622752181124,0.04397356650109996,1.336429747680666e-06,0.004596122763100468,0.018794822443848794,1.3668007868677037e-07,0.00033121513546426263
Neuroectoderm_and_glia,0.08469837511861315,1.4138020240139249e-05,0.0009210775990152472,0.00019090181080773662,0.0012565996090179105,0.00771893034258059,2.0601357308230882e-13,0.0009161195284596933,0.00019478980623238186,9.044452976370098e-05,0.0018818591108553423,0.0007730102255820573,0.00035236346606719353,0.057363646632662385,0.0014816810761536425,0.004317913384361435,0.0020100747607067616,0.7863595217321283,0.00012063201350159029,0.00023488554394299644,0.048255754782937504,5.9033352685898775e-06,0.0008413775708955893
Notochord,0.1720782315561246,3.184914649397533e-05,0.0003938783942944532,0.0002837575359471858,0.023247434961956012,0.04759415090254617,1.220670397260316e-33,0.0006533478531624806,0.00018497477289169405,5.279183295420155e-05,0.06947631916687602,5.922920714820403e-05,0.0010514065760138555,0.24053379141082185,0.0010293811470589655,0.00208050983970831,0.001133834325640334,0.2790670009601683,0.07775316889315699,7.690422112832344e-05,0.08255712429788517,4.550395573037029e-06,0.0006563626024498916
Olfactory_sensory_neurons,0.8625137652190139,1.2142661029537263e-07,2.9730851238320732e-05,2.0900645564419843e-05,1.4069301202820868e-06,0.0009188346125893975,0.0,0.00011001898816640427,1.5062681333143678e-05,8.341134792306775e-10,0.0035793905935243083,0.005477522197957043,1.495944188430495e-05,0.019295578203522713,0.0003769717320044195,8.907313344952722e-05,0.03844147055126363,0.00932123860962186,7.946505662962473e-09,0.025741258428592585,0.0340057013363413,1.8316551093161507e-10,4.698545341751408e-05
Primitive_erythroid,1.7222890843399954e-06,1.6567694768358047e-08,0.00261767813883832,4.7363857892965993e-07,1.1993783741561983e-08,1.381719084472892e-05,0.0,4.824245535424245e-08,4.634262039859953e-08,1.6861356751918794e-07,2.2751099488711201e-07,1.804740605489752e-07,2.0870886597038034e-06,0.000252746831342619,3.033266579529412e-07,1.053025243681811e-06,7.674947822417602e-07,3.1059847963852254e-05,4.5625883617705244e-10,1.1048769896794713e-08,0.9961568711207642,3.2273505693078976e-13,0.0009207087567108207
Primordial_germ_cells,0.0018583408877520296,1.1338782993798456e-05,0.314086848071633,4.2763945242740414e-05,4.9279968969401136e-05,0.031194021291072623,0.0,0.0003751661493995794,0.00018991482989282673,0.0003902988021531928,0.001966783271228081,9.2986636374181e-06,0.0022989387622191545,0.11279319742461237,0.0012443905908916385,0.010431335095560892,0.002431799608197878,0.10272446065891196,9.969748841391533e-06,6.405069013279241e-06,0.3907358566945815,0.000889694940369718,0.026259896742825504
White_blood_cells,0.0031494058361280085,1.6167632647344898e-05,0.14891901687146844,0.00039550959098612955,3.327897519188767e-05,0.003822849151338959,4.577191641106201e-36,4.485951671809833e-05,5.51189844415332e-05,9.956524495496241e-05,0.00042594174952172853,7.429226426270406e-05,0.02758457153001811,0.021506080512040043,0.00032071984767096995,0.001996883434037748,0.0006125827816377307,0.05068622927516856,7.712596964330605e-06,1.2651336028220848e-05,0.6751562390890523,6.699199308995798e-06,0.06507362458041321
