,CNS_neurons,Cardiocytes,Definitive_erythroid,Endothelium,Ependymal_cells,Epithelial_cells,Eye_and_other,Gut,Hepatocytes,Intermediate_mesoderm_and_kidney,Megakaryocytes,Mesoderm,Muscle_cells,Neural_crest_PNS_glia,Neural_crest_PNS_neurons,Neuroectoderm_and_glia,Notochord,Olfactory_sensory_neurons,Primitive_erythroid,Primordial_germ_cells,White_blood_cells
Intermediate_mesoderm_and_kidney,0.03063418100869058,0.004447499944120307,0.009940119881186312,0.01591566644956137,0.0014285634411131723,0.07734255820230726,0.011518775973272827,0.010473891604948484,0.0005108798721163206,0.44349293798841716,0.0004159214325836416,0.11030904670808964,0.008329479376565248,0.04654754150345954,0.04895364700448919,0.049223778991341574,0.004027521408295349,0.11629076049481497,3.109476296949337e-05,0.007305749535757897,0.0028603844158996616
Lung_and_airways,0.037566950613048655,0.004885201109071877,4.857806966253858e-06,0.04808884256869166,5.537285059475739e-05,0.29213844334486133,0.0003246473924726297,0.5140098087852101,0.0029925129809682083,0.014985351107524534,7.853795034452595e-07,0.012574210162395212,0.0001158884860287793,0.008682800973487207,0.01639846820291306,0.0038188365792393127,0.00017787740822185574,0.03634733160577821,2.2331369463923355e-08,2.554997584704076e-07,0.006831534811894985
Megakaryocytes,0.0230431900204297,0.048608319706565796,0.06511161708824721,0.00596931132378211,0.011120863655857885,0.0021729635384829978,1.3438711473563436e-05,0.0002936779160588587,0.00018908474105241416,0.00014302024429887174,0.6892864354163616,0.00300714803419358,0.00011808463444610984,0.0013487689911409954,0.013670217733849365,0.0029994515841621915,5.101656461424974e-05,0.0016598370285951958,0.015537818517173937,0.0007777912237821865,0.11487794332543118
Mesoderm,0.012858614313828535,0.017115443929364624,0.012382559467021057,0.019547579792244887,0.0008381392100653655,0.06709002697326466,0.012822922307511433,0.008544447824038391,0.005929787637860693,0.019961116817320438,0.0010816561979648612,0.5851799244326867,0.006401476910103632,0.07221131765235321,0.043604854454674886,0.061562519464530376,0.002153640611001137,0.03581154715738053,7.076873583103522e-05,0.010705543672242544,0.004126112438710959
Muscle_cells,0.008411162918604779,0.0659488694805919,0.0010972442557846416,0.0027004883735606833,8.928570753799488e-05,0.024310402857924036,0.004606888796334986,0.0004795625552997791,7.879790280659323e-05,0.0025941446137841924,4.2667107624788106e-05,0.0376320009855802,0.7872275795523058,0.020534204849828753,0.01758707573181468,0.017303359503732012,0.00033926222368259686,0.007796205540200769,1.1111367900910729e-05,0.0006899400166677588,0.0005197456584321657
Neural_crest_PNS_glia,0.011069582062362126,0.001954044253942677,0.005198235260460304,0.005540710051920838,0.00010809090085363674,0.012561788099051844,0.002475268721999219,0.000816403147577435,0.0002457371495729646,0.0011309102633626853,0.00020129529399828724,0.03256136243227633,0.0004915932173995221,0.7735463533466908,0.05667558051731862,0.030131215824246393,0.00025112380303552004,0.056577925755507595,2.3874496508168545e-05,0.0068629469214213,0.0015759584804938159
Neural_crest_PNS_neurons,0.03867775212275628,0.0005582057697650687,0.0012918463863030286,0.0020700218546600905,4.8506065475211224e-05,0.005023787724841641,0.0002088963469759348,0.00031425128659669016,0.0002003898947582195,0.0003337999493347903,7.709731295562083e-05,0.009096673769592728,0.0001667801542086208,0.014517276120252888,0.8229030792510178,0.012334898822216512,0.0001497259077858963,0.08911299616403286,1.6536261953710753e-05,0.00165541885291621,0.0012420599816002347
Neuroectoderm_and_glia,0.08604603683827178,0.0036364520004843314,0.008879844698319784,0.006693529180303299,0.002812667644571413,0.02698915909564497,0.046084994588344655,0.002137264389661499,0.0003789810147347499,0.0034957724712239156,0.000402758203043883,0.04068882983656184,0.0006416252341304892,0.03961308524791022,0.015768899923572808,0.5765927814251578,0.0037078662784947934,0.12005279509007578,4.6196326456354967e-05,0.011916621142247586,0.0034138393707880757
Notochord,0.03971100211085016,0.008981109562955902,0.02057661667165271,0.013405660116835638,0.0003864328886260364,0.039106685520910206,0.002014690769697291,0.0026686412647418255,0.0006097774580433014,0.002773825767245229,0.0010093183917155358,0.029909724256971387,0.002747822309737348,0.005929482147112217,0.006646649421299642,0.033079005653223026,0.7597522110928424,0.02092549010678942,2.83217067432738e-05,0.0070204529646810294,0.0027170798173263896
Olfactory_sensory_neurons,5.176820344397629e-05,1.2859591690965646e-29,2.487815538890823e-29,1.363041803579899e-29,2.6056696948292975e-30,1.300052154860707e-27,4.2753422151581223e-29,4.8309712717718576e-27,7.623314236709982e-31,1.3733064379966688e-28,2.69659792186253e-28,7.289525614164366e-21,1.7712312407445892e-30,2.6257861041942993e-18,1.7189974857437996e-12,1.0161337127092502e-08,1.7497881558062143e-30,0.9999482216334998,4.5960225597049206e-33,4.7001550977755514e-30,1.642398946036733e-30
Primitive_erythroid,0.003451568352483943,0.004940069810816971,0.08109662042792935,0.015289997881890494,0.00023665925564474806,0.009432050522805328,0.00011682958000123293,0.0005247316508244169,0.0003119439975166705,0.0005887826632391258,0.01642430967705502,0.021178944313277045,0.00017774381790809014,0.0046397178109151204,0.0026411067574086252,0.020673580738005872,0.0003932924643358751,0.01163567152186662,0.7454514004899551,0.009442569811423149,0.051352408454697275
Primordial_germ_cells,0.002426587513572991,0.022398969183628225,0.009424846629928115,0.04689534758815632,1.0134761407685824e-05,0.11119632435383561,0.10652107012286612,0.012511826134336452,0.0019089193104735282,0.007577789490220163,0.0002590095685437516,0.05478668964087519,0.00019632393399831116,0.10758679372206364,0.008897202099398194,0.09946382801948805,0.0007706824116662399,0.00616636221056702,2.7287394944885882e-05,0.19317246995159484,0.20780153595843467
White_blood_cells,0.009208652915017193,0.01908261472269482,0.17360755410631423,0.05623566977824746,0.00022493468207905216,0.02644059002520004,0.0011677425092009083,0.0026656987011495193,0.01020576968180656,0.0032418977205528952,0.06886227273991864,0.053902546593841735,0.001374061304896913,0.019776356892918588,0.011555179693615242,0.072972586599417,0.0010865428240533917,0.02563034871673853,0.00042386468477642044,0.05135586369730059,0.3909792514102603
