,Aidpocytes,B_cells,CNS_neurons,Cardiocytes,Definitive_erythroid,Endothelium,Ependymal_cells,Epithelial_cells,Eye_and_other,Glands,Gut,Hepatocytes,Intermediate_mesoderm_and_kidney,Intermediate_neuronal_progenitors,Intestine,Lung_and_airways,Mast_cells,Megakaryocytes,Mesoderm,Muscle_cells,Neural_crest_PNS_glia,Neural_crest_PNS_neurons,Neuroectoderm_and_glia,Olfactory_sensory_neurons,Olidendrocytes,Primordial_germ_cells,T_cells,Testis_and_adrenal,White_blood_cells
Gut,0.05223676747596538,0.03705840533223677,0.007466297727924881,0.0008958966558947144,0.05406952069944308,0.05381436441837316,0.00223693413903263,0.04238939948619318,0.0413897030405675,0.009134546806063697,0.0747572103498955,0.004930094287480252,0.03332145155030348,0.005865734373288172,0.06056580416033711,0.09027849660472058,0.04450308427155378,0.001212893738822466,0.08429128518442995,0.017435569310393004,0.034628473236748294,0.0011887883192068375,0.016065210245080987,0.018007272787427694,0.004539943279347174,0.03422619035639705,0.06766559948607065,0.06873974212504311,0.037085320551758914
Hepatocytes,0.029006024910758006,0.01713050610827271,0.005058229125791764,0.0003186011841258823,0.026305793106591528,0.01918290810652331,0.0008185915730230194,0.01578688711207253,0.01779721009633109,0.008890457838781226,0.03646765426223256,0.5591648474986284,0.007925658933243974,0.0030632631841878404,0.0259317348679613,0.02315193645582271,0.01055944460106686,0.0003327660175426232,0.0768478093222338,0.014494160234848829,0.015582842730360123,0.0008694325274686802,0.007279666626655402,0.006530763647528796,0.0020715017932730036,0.010363215877922492,0.032590539994844146,0.010587519318361138,0.01589003294354627
Intermediate_mesoderm_and_kidney,0.04461551675788558,0.031715163649102755,0.006847469470922041,0.0008339063904994032,0.04223645684999785,0.04510589164500992,0.0032177166258265475,0.04471510867359415,0.048515150832985916,0.0036541132180401533,0.033248612420216345,0.002782577784811457,0.254216951640686,0.006319306168485036,0.03230566689376488,0.04244694321273316,0.030734637392282917,0.0011124688278926662,0.08664408004732263,0.01373641166944207,0.0351704413503857,0.0009772041126184315,0.01707828500923697,0.02584142736780917,0.004853132883822058,0.0388404820478757,0.05367263668944447,0.020497259754786397,0.028064980612519646
Intermediate_neuronal_progenitors,0.02436827410279324,0.018048320712542396,0.036615157152606215,0.00039159089084837606,0.023158750523922012,0.01704530860991301,0.00050219348381853,0.0160014431095348,0.08890157560870403,0.011909845778014298,0.010859615618897759,0.0018734472880617844,0.013976327722028888,0.4514385350614785,0.010860522727122976,0.013384329709006614,0.010517375047659365,0.0003280617083220204,0.05040872305635142,0.010075495064006942,0.032684387129184284,0.002292724653969474,0.04167449646807316,0.038947855802947046,0.017077830395564517,0.013214478816109152,0.026871239015917,0.003574320728735884,0.012997774013866282
Intestine,0.06092982008693056,0.04583666857095106,0.006674811259940456,0.0007713179238853065,0.06956098245293835,0.05008258682520746,0.002915101831285235,0.03971791649402786,0.040472585804491305,0.004045333257286033,0.04760131251251173,0.004629021055867771,0.02524041204217687,0.005852328627367124,0.1065757128159518,0.05922008692450027,0.058770675352401894,0.0014437668758441253,0.07046582566627178,0.018094103826550897,0.03351396702777552,0.001018563753562113,0.0149183059467265,0.01527219269344117,0.004266818995525803,0.0515868851283485,0.09612514846615558,0.014980646817374888,0.04941710096470203
Lung_and_airways,0.03416566835414585,0.02882387915517803,0.0061234762406533255,0.0004819852294145301,0.041775561624772174,0.029659858582197197,0.0011811040860339125,0.022869361607444655,0.032627045101580154,0.003555775450664372,0.028018808464340652,0.0033548956738396756,0.016572383681973862,0.004926360622751831,0.025647467276683857,0.48376304961897,0.01844503139169319,0.0005860374564603332,0.05521639524040917,0.012633126350371188,0.02440305443788951,0.000859740494675848,0.012587611681034679,0.012074035667114779,0.003597126176422818,0.018614004985775572,0.048794426364429606,0.006013928016702292,0.022628800966376938
Mast_cells,0.028478616762969013,0.03285401146972437,0.004023104691457017,0.0005405376187674892,0.048541634578527434,0.031033653839728614,0.0010741408420423385,0.03099854483912001,0.025776067494411508,0.002730147152133155,0.02059433178959436,0.002124666136086575,0.01969821874031858,0.0033820636818169304,0.04122622568361193,0.01995226492807432,0.3836022556772,0.011317502482116843,0.042981511801258934,0.008814545898302063,0.020649486578549817,0.0006144003511078875,0.008635883758407284,0.009333076537881166,0.002751028104050907,0.02605874626518786,0.07052100144783696,0.022913723751175674,0.07877860709854093
Megakaryocytes,0.01828520518750138,0.016207519352269103,0.001578623555194864,0.00026658534574603343,0.036768975814372114,0.01712948407139112,0.0004920174062736283,0.022848693618673425,0.00919396131255797,0.0008697331181618679,0.005308159120230157,0.0008003436436220169,0.023879425647338554,0.0013357049224000984,0.013541936094792338,0.008067190360994984,0.07320669878891227,0.48997543200537585,0.023117315010353388,0.006955402528210722,0.009927100364574924,0.0002644435364837653,0.003357847256916699,0.003166830886110293,0.0011722997070022275,0.008778093153442024,0.06825610051070585,0.005753231694976587,0.12949564598541577
Mesoderm,0.04909856123603155,0.03239502178477264,0.006885229962186256,0.0009977679511670738,0.03547232034500744,0.062036510005715084,0.0011304817740859859,0.03541869478841735,0.035334544201559875,0.006874770743476895,0.028283902959755546,0.003982142749027319,0.02697957258875507,0.005671900987252649,0.02447266256852718,0.03445066315367194,0.022132183626188746,0.0009403966731978974,0.3669488319747629,0.023140688679452598,0.051534171058943985,0.001176387830290763,0.01434022168425464,0.0179822305104684,0.004021931645418396,0.020089634790713257,0.04359344243529695,0.019568533706521913,0.025046597585079683
Muscle_cells,0.06657194589926826,0.03433884060936577,0.006255229698409063,0.02787602049845835,0.047953745243308706,0.04158412444850047,0.001052799091104571,0.02530044037347991,0.02866839722453278,0.005176333900070401,0.018598611216207876,0.004011389946283556,0.014434502988547458,0.005466529833993832,0.024583593910972156,0.02598724795656622,0.014673966520345126,0.0009676713734321118,0.08788955533426082,0.338928592693182,0.031011915969807603,0.001031992878364604,0.012925579685845274,0.011237610542940502,0.0036333109185421237,0.023123231631733517,0.062268251970336454,0.007099508102144499,0.027349059539995998
Neural_crest_PNS_glia,0.05878569226932194,0.040618977302613414,0.009924071584024044,0.000969468790909898,0.05414209239124995,0.056116898344337245,0.001282799486145462,0.04166680820585319,0.06958451779004227,0.005435010233206206,0.029015515250799078,0.0039734728533405775,0.02938347703068213,0.0087070128699808,0.03070342545648186,0.036268170305782325,0.03225010247327965,0.0014465678846702131,0.1208345149319737,0.02085243474613769,0.12151084130468076,0.0015692876635570588,0.0400221970441251,0.023269078702171396,0.010715303590906581,0.034371230361190344,0.06790655038297559,0.01252885012818473,0.03614563062137679
Neural_crest_PNS_neurons,0.022032421488033676,0.018136366002557813,0.02038371614437192,0.00046165141833270836,0.020512983709180872,0.018952558426529497,0.0008388809537882472,0.02612552060288194,0.03424897563487546,0.01637648869051533,0.02246462777723691,0.002697260173498213,0.019143876285091774,0.0072219003804447806,0.011898103314670422,0.01790567555343456,0.011418279436698332,0.0004880806632305243,0.07586235796452741,0.01017385653933155,0.029017301220234125,0.3877061945133472,0.02752745714555545,0.1180430200127378,0.008052682902905638,0.013488092499175512,0.02425561684914977,0.020539001134904956,0.014027052562757644
Neuroectoderm_and_glia,0.041873491391375875,0.027975458044393112,0.014016664282639058,0.0006992945994229006,0.040279711653459095,0.02923198725891234,0.0011833088681233227,0.0296249252831274,0.07513120607333608,0.020757289152681546,0.02212118123127144,0.0029307298191612223,0.029463761777734434,0.018029352258602832,0.019112713220002943,0.027957019720461197,0.01984075600045023,0.0007064985540041257,0.0675603285664691,0.013586911077848762,0.08584008924556237,0.0012165762918429125,0.255707824638869,0.02215266738419043,0.020530467407203726,0.022664792343626755,0.044084216442226154,0.023828505952374967,0.021892271460626667
Olfactory_sensory_neurons,0.04460755606329983,0.05410061619814329,0.011723504993231881,0.0005464915144168321,0.03331126548646657,0.02905702134184559,0.0010495121519397332,0.026264663024351338,0.04815658414841287,0.006258074478448771,0.018263821892010555,0.0022876948852050085,0.02447860244484944,0.009335986999252257,0.016884643095047662,0.0224802971820354,0.01922821384065025,0.0005214176338826084,0.06353496575958485,0.010142008479991915,0.030225724968336812,0.0019260169379904147,0.018283241829773502,0.40090044170801875,0.006243933742547,0.025848665456716238,0.039059116304186174,0.015482889039530491,0.019797028399833935
Olidendrocytes,0.024192333373847134,0.016266361591668325,0.020264335406767475,0.00046502268728974426,0.026149252443675237,0.016639715746922024,0.00048390944210649364,0.014551862045584918,0.08699653427714418,0.004574040558935826,0.010706347587817631,0.0017610371497704404,0.013101943773665074,0.011733867329849055,0.010337624899400082,0.01385943214221157,0.012387553285534758,0.00036372436782442706,0.04328786648267916,0.00753947433801999,0.05532797034854186,0.001416188331788829,0.11389002143874351,0.017963566478763737,0.4191565515318867,0.012214962460853164,0.02585263740049977,0.005004618894418838,0.013511244183790051
Primordial_germ_cells,0.07504858352027209,0.025807738551909633,0.004131700119377485,0.0005111179460391989,0.030326265806755067,0.04244837271794673,0.001648614196324473,0.11381749841653446,0.03226037121611303,0.0024049238659620076,0.03402716826070066,0.0014222277369760666,0.044228368465235916,0.004228963717693929,0.12880381135828228,0.038576697379470004,0.027606424079456723,0.0011783813087525832,0.05465622276792771,0.013349508031345839,0.03201405131170147,0.0009164902157367334,0.013616864648756484,0.066943544430873,0.003118130183313627,0.11246056151022764,0.05856243154531031,0.009452659045252455,0.0264323076457524
T_cells,0.07236698190331409,0.07108448354489426,0.008038199314635416,0.00822777563006882,0.11203439073953413,0.04356851456909516,0.0013364536054197638,0.03419364185689216,0.04321427295674519,0.0038865810574962565,0.021425886187521982,0.004331477384765997,0.018919777002491037,0.007126969475101899,0.0455871489846436,0.03255556078149157,0.047952868729220506,0.006216626254740956,0.0710724136032172,0.021989345710210398,0.035512767272894985,0.0012178859862184536,0.016122160099505737,0.0161500308614369,0.005146932795885591,0.04073863478651288,0.13145817535137275,0.005629120912287095,0.07289492264238523
Testis_and_adrenal,0.024545731758760046,0.015104388339605647,0.0032712967184324406,0.0007784932619498595,0.019428549916815432,0.02512192987707641,0.0012759281472013678,0.047895190810436805,0.020343445851285627,0.0034260289839238935,0.03929365916621373,0.0019697135439144023,0.04430135472300449,0.002723198000018425,0.0264613375549431,0.028811137124298582,0.046226528927605974,0.002302608521762501,0.04763627940164203,0.006923523473414511,0.01787772269494757,0.0005220649338364276,0.008768386470370404,0.010125148413612707,0.0020713615852146886,0.01335506088087896,0.02344154823061529,0.4960231631675228,0.01997521952069586
White_blood_cells,0.054588472657462396,0.05826354990596823,0.006972198636333232,0.0007624291751863678,0.08314220919429353,0.044716069290988654,0.0018819105586637924,0.03169485673094067,0.038686474375006275,0.0038981222614115603,0.02300594833439895,0.003787551450250361,0.02022349910369125,0.006062470604100587,0.042381284486963905,0.028902230006755465,0.10982022846781458,0.007398937640962818,0.06626970569742612,0.01676733668514831,0.03257171559431337,0.0010678797662713594,0.01409432810561508,0.014579044270997609,0.004545264116703495,0.03084114682235171,0.11905459016504527,0.012327652887402575,0.12169289300753246
