,B_cells,CNS_neurons,Cardiocytes,Definitive_erythroid,Endothelium,Ependymal_cells,Epithelial_cells,Eye_and_other,Glands,Gut,Hepatocytes,Intermediate_mesoderm_and_kidney,Intermediate_neuronal_progenitors,Intestine,Lung_and_airways,Mast_cells,Megakaryocytes,Mesoderm,Muscle_cells,Neural_crest_PNS_glia,Neural_crest_PNS_neurons,Neuroectoderm_and_glia,Olfactory_sensory_neurons,Olidendrocytes,Primitive_erythroid,Primordial_germ_cells,T_cells,Testis_and_adrenal,White_blood_cells
Hepatocytes,4.362869451131525e-10,0.0011808602318039514,1.7380467555208352e-05,0.0025326663714325378,0.00720300653903432,9.765133855549465e-06,0.0017783780043430428,9.557621156109004e-05,8.862216516782696e-06,0.00015316056956194438,0.9627821944265792,8.503125957916255e-05,0.00012086163688919855,0.0001280857977826366,7.515299639327892e-05,2.2857234269315665e-05,6.782206808566908e-05,0.010053562212332355,0.003178821306808577,0.00048099961362905585,0.00026989617776596497,0.0031739262747997495,3.815523156906225e-05,1.1047480632034067e-08,9.860206076021223e-06,2.192179203207281e-07,3.438514277084657e-05,5.235620866039655e-10,0.006498501443755492
Intermediate_mesoderm_and_kidney,6.17281136153803e-07,0.005902145687968531,0.0028671744279212485,0.0026952190082092844,0.017682252016769325,0.00010619242023321004,0.053821653584599914,0.0005805035298748155,4.352949852623981e-05,0.006376081249106679,0.002185138589816372,0.3731466046882314,0.0008149183227679635,0.002831431669135826,0.0013497492174417843,0.00028894174349111505,0.0001295769447889133,0.4494625640003876,0.0376712183877702,0.00609478694352798,0.0060419614026374305,0.02250708533426452,0.0009460489898958321,1.533137929943868e-05,7.227400571907973e-05,0.00012995511991272757,9.804801992840617e-05,6.938463601444433e-05,0.0060696119006235375
Intermediate_neuronal_progenitors,1.2367392229320922e-08,0.13311780758657848,4.103419561827256e-05,0.001163996386674611,0.0012052651518863454,4.838174489016758e-05,0.003936878337338788,0.0007006499678572351,1.506347481444899e-05,0.00019043527970478863,0.0005805868904152363,0.00018894133645756854,0.7345778814905652,0.00026033693124490227,9.975185648796958e-05,1.9512548195497445e-05,5.6050909672934324e-05,0.0288173104302861,0.003984405124482285,0.0011631612231702867,0.001754353956673928,0.08543467373725315,0.0010168329869338004,4.679611184567069e-06,9.588343179931926e-06,2.902555884008071e-06,2.4481916201579507e-05,2.860083391665448e-07,0.001584737650616482
Intestine,0.0001443200630658959,0.04134548962579751,0.00038030940348718985,0.011948436101474124,0.05644074402092032,0.0005130385445099284,0.10751788146749348,0.0017194815226331327,0.0002252943508048029,0.02963834619448479,0.04944436858553007,0.0036657999574821313,0.0022893243483189576,0.0952561316496844,0.002871579842801673,0.0029468630795235705,0.0015752670191732502,0.2985391386933499,0.17244198053113577,0.022985260027492575,0.004428157660331915,0.02859619610567022,0.0017779236511726944,3.4627384747804743e-06,0.00024927794731087477,0.004017732133263299,0.0013941426841551766,0.004728204219302972,0.05291584783115458
Lung_and_airways,7.33012594902557e-08,0.021101212261080818,0.00026749473898147525,0.0043106098849392,0.034441915310024995,0.0011359191499378432,0.05663255137664175,0.0008382605632605487,9.13448746024227e-05,0.006123360675550941,0.004360847283139018,0.0014561138784274395,0.003103418254025767,0.0032236531527010904,0.46053405799465413,0.0005104598403431753,0.0004003621542305207,0.31388727236449687,0.024409627402652564,0.007421363933452943,0.0018737342534574496,0.04031015974495679,0.0004632751717734326,1.3019140920748464e-05,0.00011612388837301447,0.0005018805556970862,0.00027219346471186974,0.00023492819565552084,0.011964767190051084
Mast_cells,3.4899996773237576e-06,0.013677040961321253,0.00023362610809597246,0.13573917662184637,0.0857520396148492,0.00030911597231145905,0.05928372927419283,0.0023551471385023347,0.0002069562456979986,0.005036936575908251,0.018955124424314723,0.0012841481868464092,0.0031816090725071897,0.007732734501733186,0.002068725401717422,0.003747264365660163,0.014138978818104827,0.11486986208098235,0.058314423645718275,0.012462057095802856,0.0030153917426969878,0.036999068924320554,0.0007296089270443188,5.930942242659866e-07,0.0002544124711326149,0.00793999149186134,0.00266700469162578,0.00024066629553587247,0.4088010762557679
Megakaryocytes,5.123496061141788e-07,0.009555525772491396,0.0004288500339442122,0.09118676783052712,0.031350584892111316,0.00013818141629090666,0.025792529633745273,0.0007344238009927055,0.00020557892167711152,0.0027906293480857818,0.0054725533211563366,0.0004552623438908101,0.0006738798552263873,0.001686861150591779,0.0009275447835708372,0.010954173999493211,0.4174856221026096,0.06153649122371286,0.039311441374543066,0.004594468347003812,0.0014196939066758985,0.01909274546725676,0.00048305883210462004,5.4648571619337756e-05,0.03301141254823854,9.997614615908819e-05,0.0025214310059169113,1.0509857708817757e-06,0.23803410003498734
Mesoderm,0.0001451980532859258,0.017015444532424942,0.0006546115779795837,0.004017798794324625,0.013472270551176455,0.0006277426300041612,0.029718738778674272,0.0008779096166938588,0.00043392013659264997,0.0016069732767989816,0.0067146017001507435,0.002496799748204137,0.0014341733537572528,0.0009497576044215372,0.0015950656188983346,0.00011315517172407041,0.00031317058205897533,0.8388142791629818,0.03285520976954166,0.007145981479735798,0.002844218234489811,0.02771224335796669,0.0005148489853069938,1.6768541584056823e-05,0.00016437776906595762,7.19421240696012e-05,9.842853128811143e-05,0.0002629994479296357,0.00731137086886943
Muscle_cells,0.00014721394531813672,0.008259429718654098,0.0019130584663103471,0.00794905525519975,0.012285319792796054,0.00014922160055872441,0.0245958467656122,0.0008184285714304877,6.032465213235956e-05,0.0033409690555352154,0.006538051548905208,0.0010203776320095882,0.0014278209494156266,0.002031793844232421,0.0007130253106953865,0.00017597837057341102,0.0008474371196467746,0.21456727142410956,0.6598403103457721,0.009566383725333086,0.0022861785843424323,0.028270412117470157,0.0004242342797648683,7.283971760118348e-07,8.427775521405092e-05,6.862597513227807e-05,0.0001432459722232378,6.075558896692597e-05,0.012414223235469545
Neural_crest_PNS_glia,1.0568870272167811e-05,0.04667996889968628,0.001079472574156663,0.010652648062001427,0.02740227187423416,0.0010837318614471702,0.06719530978185864,0.003763212743588922,0.00028947358926990815,0.004817807946068625,0.0085397770703042,0.0017735132343420677,0.004479255899138961,0.005508147996081274,0.002538166654241107,0.0005552620743563848,0.0009440206724945202,0.3228609494324164,0.0787695704300172,0.25212037035470447,0.007999622095529684,0.12473054714128266,0.0016825300056263217,0.00010615922433882102,0.00019281355667902236,0.0003184706080617676,0.00031572207147480903,0.000262428331515275,0.023328206944811133
Neural_crest_PNS_neurons,1.3973584285046168e-06,0.11499175360217649,0.00010478154469825079,0.003407419626657777,0.00597277272210867,0.0002375156321711026,0.014863952936740128,0.000686050433013962,6.878281096346678e-05,0.0011260029357561972,0.004158239124761198,0.0007033668056999636,0.004338652616214134,0.0005835776443898513,0.0003276242252235857,9.98188611004643e-05,0.0002087289299108333,0.07252541610736059,0.014150422898224288,0.004197851070155743,0.724486810831662,0.023638506878126107,0.0037644370343482537,1.0045079442730636e-05,3.526865682890466e-05,3.13615255680845e-05,7.118501944269666e-05,5.700288391754897e-06,0.005202556800434238
Neuroectoderm_and_glia,8.737446935272431e-07,0.058213406083138554,0.00039375093705675896,0.005356227584437425,0.005017786818978881,0.0014753217306068698,0.023738811107391386,0.005390692108090718,0.0002227038669365593,0.000976749825206555,0.0032168673778030614,0.0010451905102315977,0.016838401779327265,0.0008773094275900453,0.0006395867179220055,0.00010356422127202136,0.00023316352180695208,0.11220642328059786,0.017409799851399326,0.011769299551467811,0.003958595503466765,0.7223801708656649,0.0012012716774886197,0.0005733923247690649,4.866073569206648e-05,4.6370999076473906e-05,0.000108881985932109,1.4041486524320428e-06,0.006555321713302394
Olfactory_sensory_neurons,3.763891205368301e-06,0.12272349440282693,7.381176788623244e-05,0.002416862433784808,0.005493023428564182,0.014608836414447286,0.029579428288252056,0.0011724208177180725,0.010491669211845356,0.0008566085447741618,0.0016420022344037254,0.00409639498567462,0.004400323234337064,0.0007133315638451872,0.0004089266817921259,9.997463948535395e-05,0.00026643108043641233,0.0864150450217597,0.007607980446145572,0.0033473348641251347,0.04538318126603694,0.0270187310113638,0.6239318313927794,6.544531228839768e-05,0.00034693124995946575,3.3476518048116967e-05,6.157210937892147e-05,2.0328630478602987e-06,0.0067391343237877994
Olidendrocytes,2.848366097567125e-11,0.27619745712406224,0.0026189789058494624,0.0009109047038682723,0.0012824255687549878,0.0001738141397660382,0.007563981990476199,0.0004979687981254866,0.040376639957221155,0.00025990956931930986,0.0003799479661193123,0.00013167696013283972,0.0010771903668028017,0.00014020385839785062,0.00016056857936648405,2.7714864082989384e-05,5.2382553547029734e-05,0.03529126118518538,0.0041613871236404094,0.004072140345947367,0.0029387261529822566,0.3158419955975504,0.00012753618364297792,0.3040160767095656,2.66027412623821e-05,1.337682776693818e-05,2.0534867414663135e-05,3.0460286392190144e-10,0.0016385960260627247
Primitive_erythroid,8.258957113227432e-10,0.028096445768532735,0.0006972963790230369,0.09689061744251459,0.02514142267427322,0.0009760674673493364,0.05396783532554666,0.002564082296673631,0.0018594809146733305,0.004119349031471019,0.004762869158925506,0.0004011780986889008,0.001100422658949617,0.0016513587319846924,0.0015960677425100448,0.0028601681262379617,0.03272188711058882,0.17164241657366094,0.012902728754505344,0.006596601333632603,0.0022241118504617236,0.05029523566363861,0.0008583481816879073,0.0006321678877501411,0.3700362908410907,1.0294293676984054e-05,0.0012643503274149931,4.981265015227983e-06,0.12412592327362595
Primordial_germ_cells,0.00018569808312286534,0.0028461413785871616,3.153725805333089e-07,0.10086535698533565,0.11514209891706846,1.9281972081348295e-05,0.03124902922816896,1.5799020528953553e-05,6.254944211486582e-07,0.0028297703586905726,0.06206464331231647,4.7748104689198924e-05,0.005898387222418299,0.007749117366211432,0.001112900130461087,0.00116267070384232,0.003217760014497267,0.05915212960529984,0.07512537607029315,0.0047746087793890035,0.00021611292258863108,0.008890745536451231,0.0009398913747331428,8.270585023961243e-11,6.47983324528497e-06,0.04722357581938505,0.003669042115195646,4.978787560722326e-05,0.4655449063200842
T_cells,3.882977132741881e-10,0.04153066723481906,0.0009378056517933297,0.06802578769686397,0.0559825616217522,0.0010481050324948253,0.07647643707021208,0.00476504845090293,0.0004731351629764111,0.007378762786939166,0.02164244201061772,0.0024752294681627046,0.00404204692987038,0.004676417278647131,0.0033917518969657076,0.012964778111297244,0.013117337125409804,0.24845927055927813,0.050743667437877935,0.015826478028621974,0.0077609212127365355,0.10023562247954132,0.0014982035540707416,1.3114286483839435e-05,0.0009367641421542393,6.601754773974901e-05,0.006002542345884592,2.1628520674923827e-13,0.24952908448737218
Testis_and_adrenal,1.1647902197075116e-06,0.031300966745338936,0.00013770818173078017,0.0032927013912059503,0.1589664382902028,0.00017637232614810134,0.23724834082374116,0.0007032750271529374,0.00010607063270744967,0.013640103626656052,0.02095993615273823,0.004432576795130243,0.0010133105395016746,0.014972808421843193,0.0010302566507896837,9.229347717583161e-05,0.00016616442042274724,0.3546434635654382,0.09003663038210204,0.03559061580547103,0.00690260237663795,0.014197618417857678,0.0005521390231376401,3.978547852914652e-07,0.00012777450682445536,6.769783943596002e-05,0.00011718515905379456,0.00025736031948633245,0.009266026457064156
White_blood_cells,1.238718945144795e-06,0.01864017930658119,0.00043782979181446966,0.1278344698996525,0.05603330245780106,0.00048679829654428325,0.052674565802010215,0.001811218110350923,0.00041447714004072225,0.0048963167087273584,0.014695629571730047,0.0011810120270877474,0.002198447021782455,0.0038292182389309047,0.0019835468974490626,0.010130760324885274,0.02501986564347424,0.14322763773250038,0.0620731566356185,0.010163853941463859,0.0038088280951821744,0.04544526367717007,0.0011165333052046656,2.81105933010469e-05,0.0010658623719013694,0.0010136100528562362,0.006232022813434505,0.0002625730138344557,0.40329367180972514
