,B_cells,CNS_neurons,Cardiocytes,Definitive_erythroid,Endothelium,Ependymal_cells,Epithelial_cells,Eye_and_other,Gut,Hepatocytes,Intermediate_mesoderm_and_kidney,Intermediate_neuronal_progenitors,Intestine,Lung_and_airways,Mast_cells,Megakaryocytes,Mesoderm,Muscle_cells,Neural_crest_PNS_glia,Neural_crest_PNS_neurons,Neuroectoderm_and_glia,Notochord,Olfactory_sensory_neurons,Primitive_erythroid,Primordial_germ_cells,White_blood_cells
Intermediate_neuronal_progenitors,3.9942289826566275e-05,0.4346374781821422,7.86626263359704e-06,0.0007079162123362113,0.0012695234074086089,1.9542478270489907e-05,0.0035722056960294703,6.813178456914343e-05,0.0002809709445464804,0.0007463309950327121,0.00015188896321507287,0.41582142598389404,1.2898178049001218e-05,7.273828023755169e-05,5.894868013507074e-06,9.045455879249449e-05,0.0349340258842673,0.00384245848657292,0.003101670606597291,0.0016932732786244535,0.09711856278566776,0.0,0.00015715434044274453,1.3837127562895546e-05,4.410927494781398e-06,0.0016293974777727052
Intestine,0.0,3.05104082647079e-25,4.478363573807789e-19,4.2700798972077465e-32,9.804356073664604e-12,7.114053183972547e-36,0.033844098317464745,0.0,4.734645681133387e-05,1.8981305535719433e-31,1.4531760287289357e-11,1.2089222371453838e-34,2.9490192270907834e-18,2.4821752879593098e-27,0.0,3.6342852577429295e-27,0.9660837016776137,2.4853514236377744e-05,9.537609380521893e-12,1.9459194749616652e-23,1.4049192190739914e-18,1.1011278574385945e-38,5.9097921834607975e-31,0.0,9.904935594265454e-23,3.4689059623763644e-17
Lung_and_airways,2.509298383525339e-05,0.007548044765223827,0.00028733899880775633,0.0013772996359793092,0.0075799523417160375,7.766517815985465e-05,0.10746153995319452,0.00042280428862489903,0.037275812847742756,0.014636221077847044,0.012733739571117812,0.00016360298901061459,0.0005230641014611,0.26193043117240755,0.00010850913335933081,0.00023598825948358785,0.45217978138878534,0.04550826467462877,0.013951643118495501,0.002155821265891405,0.028914363533373028,1.4190942249947467e-16,0.00034039170100251184,1.907335501692934e-05,0.0007571325850108905,0.0037864210798241784
Mast_cells,5.475023523864352e-07,0.00700876087864374,0.00046401958103925987,0.004285408292021205,0.031545691987812735,2.4949784521522288e-06,0.04541550318707284,5.4731147900229656e-05,0.006652420554462993,0.015343852728186086,0.0010322389686066775,0.00016470403767712157,4.753476452447735e-06,0.0005678521845292833,0.006272545242566812,0.3402137246111766,0.04992236695440723,0.023936033852629043,0.09195325010486317,0.002027916307487567,0.010747337053590236,7.427302775398541e-14,0.00018039568840578794,9.72751719906972e-06,0.00021157706748231882,0.3619821460949087
Megakaryocytes,5.613321206241865e-05,0.017018415618972597,0.0033894176378948164,0.08585718374686377,0.03028242248969059,0.0004324273871221571,0.010018719539498289,0.0001910213907049633,0.001390506059792262,0.0030728785808423397,0.009008215064120093,8.883355682712351e-05,1.0002635621669893e-05,0.00017294002621055815,0.0006457162187014653,0.5536405028554154,0.05251592748536306,0.05715255382794017,0.006391794872300315,0.0015486308840843318,0.01934219192807376,2.4554379507914705e-16,5.080644023718418e-05,0.00013912489932165628,6.0330955439516925e-05,0.14752330268689928
Mesoderm,1.2843574205243597e-05,0.006795490713281911,0.0004404859848392608,0.0004457923116914174,0.0024111899856102425,3.689267443363855e-05,0.00975851913374212,0.00017409312063287956,0.0010710177148963097,0.002059198011009895,0.00187343885261966,0.00023224746407378704,5.46838898754542e-05,0.0004322830410161372,1.1049632262807882e-05,8.141918910640305e-05,0.9276923060026073,0.02177367759816401,0.0033155745319995503,0.001401195902628658,0.01885218011146684,2.7442141355507465e-07,0.00013732889959458585,7.126341279541956e-06,1.2013525674028734e-05,0.000917677371874709
Muscle_cells,1.4297277576693002e-05,0.0034579394849953006,0.01541722275775978,0.0003886363440113338,0.0013078414186917587,1.3549044521396959e-05,0.00869464536304547,0.00011681267583173357,0.0008863685637641278,0.0009523262210394163,0.0007104768404866847,0.00028335289517992157,7.61286959111717e-05,0.00011959427424027023,1.2375775516761963e-05,7.480204882086642e-05,0.1510395901984392,0.7933753194456923,0.004288309896218555,0.0008448406601286579,0.01693695483264969,1.3964806267599697e-17,7.778081839150858e-05,4.920017668713309e-06,1.399735716707049e-05,0.0008919170922516389
Neural_crest_PNS_glia,1.9465761668826572e-05,0.014025768184671194,0.00015842688532509387,0.0008988215667637149,0.003448991314191632,4.224747209988015e-05,0.019067685345215954,0.0002659394392489961,0.0019189120503086863,0.0022702972850599775,0.0010702299836209087,0.0006173401863428618,0.00031668098119828393,0.0004117220191459498,3.509043957872304e-05,0.0008302291311132137,0.11604401428147322,0.02488065848189918,0.7372752279272387,0.017678483530451046,0.055288631097775875,1.5618066121933476e-10,0.0003007273954234747,1.0873570977565647e-05,8.508821126769581e-05,0.0030384473017587123
Neural_crest_PNS_neurons,3.86432273823144e-06,0.06488458482634003,1.574682311955921e-05,0.000348267127763499,0.0008381867821157964,1.6475835836690297e-05,0.004250641230635193,0.00022353338455551543,0.00036442653403861194,0.00318738825260308,0.00020092561751665263,0.000436590642143486,1.5645985628106617e-05,6.588550269959748e-05,5.936875521370584e-06,5.540513021100041e-05,0.03120991801626748,0.00573786132692591,0.016668773340819187,0.8458821343835149,0.017578478009621222,8.395113197995542e-14,0.007232233514565074,3.026371888124245e-06,1.770198560851435e-05,0.0007563681772392641
Neuroectoderm_and_glia,1.809031549365434e-05,0.06717002471312619,9.982624878742988e-05,0.0006528368762659431,0.001583091933390074,0.001613910096240772,0.011150286664904962,0.0016488474988877466,0.0009047649325782059,0.0012051678638116295,0.0009055243097314704,0.0036973285460711273,8.829908724604686e-05,0.00014209388050318708,1.4770486079404086e-05,0.00011588510961520381,0.0693186231710963,0.00945218384276929,0.008032463586029234,0.003273485499992482,0.8169280983335605,0.00019489725176408495,0.0004024767597342635,9.403400438137806e-06,1.953193555361311e-05,0.0013580876563290027
Notochord,0.0001280068950691464,0.00933985302823439,0.004087943047312768,0.0037685257196107664,0.009948693974980737,2.293696667357792e-05,0.047000787338743084,5.153587973770501e-05,0.0028825418059070483,0.013715578937074072,0.002860627786105627,0.00022519545356274696,5.205518301353538e-05,0.0007652609360203173,4.701952557772386e-05,0.0006930022380512741,0.5816382665101845,0.19454605540685277,0.015517468295640881,0.0035925900407464827,0.10186995389577967,7.294669795721741e-05,0.0001220464743505141,7.318494190921279e-05,9.164606877309352e-06,0.006968758414027004
Olfactory_sensory_neurons,5.538036657315441e-06,0.3133912785348459,4.1897053516832346e-05,0.0003278928741817724,0.0009154402951223914,1.1492922944464877e-05,0.012490602619946929,0.00033788258969079903,0.001520106385972465,0.0014284921813019263,0.0003420579126565945,0.003982942682044003,1.00560877060554e-05,7.289252483076703e-05,1.0872642990032525e-05,9.594756144089883e-05,0.03358227869774051,0.0037972376530651278,0.0032633951538784366,0.00706079765104468,0.018135047181356116,3.2980529824532925e-35,0.5982852178397883,8.684515990596865e-06,5.543270799495862e-06,0.0008764051304876246
Primitive_erythroid,0.00034747853287832786,0.02865909846042603,0.0009716031066187355,0.32386605516234396,0.009291217256322712,0.0006189802973090271,0.02438138691320713,0.000286660202823287,0.0022496857162819673,0.006565388936457384,0.0017783207972975764,0.0005086853412245861,2.3388861223858532e-05,0.00035508636113871036,0.0015089896546551346,0.01507377092970729,0.12510619510808002,0.007872240273816137,0.007339828792548239,0.00265293347230539,0.061078292442238065,1.9216254840143585e-26,0.00011076659091233727,0.3108877701784869,4.3035082791895664e-05,0.06842314152890536
Testis_and_adrenal,4.717120644257937e-18,2.682409311202259e-07,3.80047654710029e-11,1.0778634678531628e-13,1.292780649270162e-09,6.82260222896529e-14,1.1348668945293506e-06,2.8676247383126467e-06,1.0862795464900247e-05,0.9993809042488072,5.3298439232270535e-11,3.030773132694302e-12,4.9289403278578035e-14,7.372785244702034e-12,1.319295659175272e-13,2.3644684300017263e-14,0.00015498444297956716,3.3044859092343085e-05,2.0218390304824256e-08,0.00041566833110654675,2.429393549941003e-07,0.0,3.480504348594734e-11,1.1744706968646307e-16,1.0623573156031438e-12,1.5044264741579863e-12
White_blood_cells,0.00016674301259707764,0.033198433628331865,0.0031784527222002107,0.0486266855743436,0.09383047024127222,0.0006673533687608133,0.05657652555695276,0.00032976006564577214,0.006622591741649739,0.02461855022207055,0.003467409044435889,0.0006900971383043716,0.00011203562046979236,0.0007405183585475455,0.0013027697085619932,0.03855964025905642,0.17456279047658213,0.03786120795864134,0.0312427550143597,0.009758380811119663,0.07372323895275368,1.2093647451799602e-16,0.00018741416748343901,0.0004168859586580385,0.0015887083129371875,0.3579705820842642
