,CNS_neurons,Cardiocytes,Definitive_erythroid,Endothelium,Ependymal_cells,Epithelial_cells,Eye_and_other,Glands,Gut,Hepatocytes,Intermediate_mesoderm_and_kidney,Intermediate_neuronal_progenitors,Intestine,Lung_and_airways,Mast_cells,Megakaryocytes,Mesoderm,Muscle_cells,Neural_crest_PNS_glia,Neural_crest_PNS_neurons,Neuroectoderm_and_glia,Notochord,Olfactory_sensory_neurons,Olidendrocytes,Primitive_erythroid,Primordial_germ_cells,T_cells,Testis_and_adrenal,White_blood_cells
Intermediate_neuronal_progenitors,0.051027516708955764,5.23433062044829e-06,5.1832600383657416e-05,0.00020975130175762845,0.00012232514310606604,0.0013576583888463489,0.006746629578965135,7.496044262829336e-06,0.00017635857146530262,0.00025380614735738495,0.00014820397757392582,0.8908046299503564,0.0002032746373253284,6.340565465158143e-05,0.000123023140257454,2.2428529963936423e-05,0.0004295320743212367,6.759158573990464e-05,0.0007275880629383998,0.00038817131204340336,0.028077482595686754,6.93021273249496e-20,0.017690540856311842,1.62981810980157e-05,0.0002205492155351578,9.20554065521789e-05,4.884788583489572e-10,2.3545287453938838e-09,0.0009666131609163547
Intestine,0.012941714539208367,0.00016234176783017323,4.698225978535308e-05,0.0007416949516347441,0.001156215138077606,0.056288078810887154,0.006080567475769563,0.0020373567194925356,0.28701464617992944,0.010606906678389453,0.14970328515116868,0.010294425621415585,0.3020925342503902,0.0026137871512970073,0.0005827688382480225,2.4865749198274582e-05,0.002870910397722221,0.0005535524359096054,0.008686520574864642,0.0013064701731481556,0.0058762739649142965,2.9357764475125553e-13,0.13568960814767,0.00035394420492226034,0.000738990332830968,0.00015241583428261216,3.7367099194695754e-06,1.5067064638499757e-06,0.0013778992343362203
Lung_and_airways,0.0010625270614177777,6.014156721330817e-05,0.00022146212381698492,0.004239127953767797,0.0037640685116705993,0.1577722548442344,0.004383389338473249,0.00036906368200370686,0.07297900977487519,0.005209997633882271,0.007332460119118679,0.0006932957122659183,0.016612753241377537,0.6572378124783519,0.0014292827808254692,0.00013549816414599637,0.005894433966543864,0.0006799569044188478,0.030685946573400055,0.001538057403438098,0.008430439018036712,1.7222757917191987e-14,0.010629830601814045,2.881641775187359e-06,0.0010928353213399576,0.0013850373965778784,1.686647545873192e-05,3.5138926338519764e-06,0.00613805581710468
Mast_cells,0.023590693736682784,0.002689144163888242,0.0134921765874047,0.028868152423839655,0.007884784764194385,0.1196007008177435,0.014241343657742338,0.0021793165227824295,0.01381085655255705,0.019791709667210635,0.018201249095554966,0.013583448064243967,0.01692656276255894,0.009595345903580932,0.09953573551357135,0.011136391429731258,0.012194775296345472,0.002121020850683742,0.028803138656210467,0.004660596235819489,0.046827239018550286,3.4789635617117494e-26,0.041355539965936536,0.0002771523489017068,0.11294443393160185,0.01584783415388279,1.3499219443036268e-07,5.917183451982576e-07,0.3198399311682409
Megakaryocytes,0.0021937826425615604,0.01426772693656075,0.006501314716252422,0.03887138061225856,0.0006345180337591859,0.011601688276238304,0.0018243888825497244,0.0007206625261752446,0.0024397195743617378,0.0026939764770041808,0.0018186739375587121,0.0013148671533331163,0.0016690678978035695,0.0009219847959493776,0.032038877319167394,0.6526848565671954,0.0016434693307734894,0.0007804273629010369,0.007845738557853614,0.0028687601259542094,0.005714585966132832,2.476122425676238e-08,0.004153665931330331,0.0012884610131551546,0.050288666073615866,0.002736504394230488,0.0012317489356418313,5.536345343024357e-07,0.1492499075639233
Mesoderm,0.01836948180609783,0.002216446555522172,0.0007805638162195103,0.0378559694941764,0.006169717880603432,0.15929885810657396,0.019405270776164364,0.008742385987831502,0.025128582954237918,0.06000782959905344,0.1316553578890791,0.02418538048144266,0.020124670858820696,0.027211299511742424,0.0017184670056529707,0.0004541143172578894,0.17362960205100528,0.005818848639435468,0.04574410734864541,0.008237170527622215,0.04693415871872622,0.005740924883961514,0.14443188100531498,0.005236671479918173,0.0035975114765159893,0.0019458397370979651,8.040777454091317e-05,1.5891308999858958e-05,0.015262588007739764
Muscle_cells,0.010613188533867595,0.0979348233227906,0.0009534657348559288,0.012767106759357858,0.0026382688461945828,0.1409840039073354,0.01835097811858943,0.002976943614289417,0.013478160395088411,0.06743850804474068,0.05551358141910197,0.013631823037557876,0.03297010929195148,0.006285405946580485,0.0020120496197043904,0.0006995513358540787,0.025300546538884305,0.2755213778173623,0.07121413460314917,0.00816570158968879,0.04665254226270133,0.006397873396107469,0.033908912283658936,0.0009203098350854819,0.003001213648636688,0.003010475186317074,6.095719294504238e-05,3.1874566298665584e-06,0.046594800260973346
Neural_crest_PNS_glia,0.013229024205569158,0.00022411844903926,0.0008821910917824793,0.00621053697814474,0.004116545309664052,0.049419409066313695,0.02261764303065501,0.000779803062561862,0.005418931439566545,0.007378419643150952,0.012501768398382362,0.013558462792797496,0.020120722578416142,0.004343818744798823,0.0027168417943562494,0.0004726392077306463,0.009063487604637821,0.0023653143317865946,0.6771822371634054,0.011933416706825684,0.052211219764573935,0.0005496789655257573,0.05696933548180203,0.00037278364824238215,0.003991264731951635,0.002508719144757354,7.275977771845581e-05,8.901085116831221e-07,0.01878801677733176
Neural_crest_PNS_neurons,0.01607603434470432,4.9295388982042575e-05,0.00026913046125841484,0.0009954883970735228,0.0004107516829310601,0.009109867968893777,0.0023203213359253797,0.00014325396115479928,0.001324511166894126,0.02272643579354312,0.0028551216964973775,0.00477417524034138,0.0030296578378563557,0.0010349358462953566,0.0004997833875735187,9.979227870341252e-05,0.001720070649939545,0.0004214298494939754,0.011840703267656988,0.7181500379502354,0.011208053963950282,0.0015989031351719386,0.17687593851308037,0.0003190550277772443,0.0009776950131706807,0.0004946101815779772,9.510617261670437e-06,9.907774764464258e-08,0.010665335964308383
Neuroectoderm_and_glia,0.05321327031538854,0.00013596143488277322,0.0006575834466267049,0.0026718421336613157,0.020040153730874505,0.03125569856150844,0.08384486729052164,0.0022598229461064418,0.0026655082090608854,0.00730612335327623,0.007559189298999419,0.05144278518701031,0.00622083410429289,0.0015904526814025355,0.001235189453641217,0.0005722816360483806,0.005633860622331712,0.0010129776416203328,0.027672049517994256,0.004305166502002858,0.6074107069199962,0.0021653493547303506,0.061617036911152695,0.0027483491162402884,0.002600394793616233,0.0011645165082888643,2.7214090474149068e-05,1.1730173384985427e-06,0.010969641220911283
Notochord,1.0340396328201468e-18,1.7849016190400508e-22,3.58148117927117e-11,0.0005406666725989654,0.0,0.01662339776542797,1.8336765676573624e-35,0.0,9.617238962981223e-05,0.0186299787553561,1.7548880198528846e-11,0.0,0.0,1.4012984201822784e-45,0.0,7.30413292542184e-14,0.2512116949101768,0.3545971699115464,0.11453367408923705,0.24132604136817,0.0024411942972138003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.787206292411413e-09
Olfactory_sensory_neurons,0.008239771207479046,3.0898536942360545e-08,3.6921951930196e-07,1.1953516103848272e-06,6.749275572654127e-06,2.165497053973765e-05,0.0010366856545951895,1.2038941530249115e-06,2.1366704376140146e-06,1.4273950854736976e-06,2.027776637393384e-06,0.003569960114660113,3.3073142602790242e-06,4.307457271914333e-07,3.308309702226251e-07,8.123190977207381e-08,1.0934023478821007e-05,3.9050720905245353e-07,4.9854784071837164e-06,0.0026407306911376384,0.0003939387082199411,4.541174499393428e-19,0.9840410313560313,1.4002363004915851e-05,1.7696123608841382e-06,3.385240732362599e-07,2.5460402576219384e-09,1.2629269803109734e-10,4.513512049687748e-06
Primitive_erythroid,0.000214107550114313,0.003893754563702223,0.20901392268139904,0.00028511170359724086,0.00013651105987244294,0.004476296980210387,0.0022968539341931596,2.8947218434611625e-05,0.00017348277069376936,0.0006826442697586726,0.00017712703538558434,0.0001063952573353849,4.1367920154746044e-05,5.936506411715219e-05,0.0013275714942609222,0.007942369887712993,0.00015584714718350632,2.64219012697903e-05,0.00035600812926777454,6.620366653881222e-05,0.00040279151112654956,3.549141962519599e-07,0.0010005924524906433,2.4747747327805093e-05,0.7572614019024098,0.0003016184042441066,1.1530918629527669e-05,1.0753218046825907e-08,0.009536641161154802
Primordial_germ_cells,0.00039233699560372963,3.635270660636696e-05,0.0033329679699357156,0.006030223136425428,0.0007328792486022603,0.18039869773091355,0.0016411979977645874,1.5921490630185414e-05,0.01134566558847847,0.15520286347429776,0.009542757529627207,0.000592775345007283,0.02257426766746122,0.01972294196171094,0.007040769486305175,0.0005350929563542867,0.001787323308597466,0.002693388315584145,0.021043924168683913,0.002571108003259055,0.011246252502480418,2.3151925834412772e-08,0.011398020812589114,1.0978698966710429e-09,0.00030237109924696363,0.47758049493696686,0.0032955220544557333,5.444961828455029e-06,0.04893841430078797
T_cells,0.00537995997842654,0.0014277078543696853,0.016058005504529085,0.05504691639185555,0.003126199844672879,0.13753426170888777,0.01080051723948624,0.002002057633353867,0.017679898191596474,0.038236230878434745,0.016502447541396025,0.0035906967491707927,0.07347012362453262,0.037297331056804946,0.07256896844447003,0.005933935329719102,0.007412871397569996,0.005195137149560119,0.05347464270926453,0.006946695551288987,0.04271310597641065,1.2560606422752265e-21,0.01815750090028641,3.327190620903277e-06,0.02101440369835717,0.043295357678249574,1.708587308803695e-05,6.779821025686563e-06,0.3051078340825716
White_blood_cells,0.009403454334635065,0.0027083377914919023,0.01153573697116464,0.06250973175324058,0.005474070666139943,0.08147879113669106,0.007020160235611192,0.002535597706588164,0.0256463983752598,0.046157159867441615,0.010762641429347648,0.0060215430650339,0.016131230032840137,0.008943545817343045,0.04850304227220686,0.026704006450257892,0.008447982545865804,0.002944412469394435,0.03231752730801294,0.003866751292732134,0.026617894500579862,0.0021448045016353324,0.023281759133453223,0.0005524137055389287,0.06909295314635464,0.06682596494116463,0.006238764746837281,1.609587922451459e-05,0.38611722792391284
