,CNS_neurons,Cardiocytes,Definitive_erythroid,Endothelium,Ependymal_cells,Epithelial_cells,Extraembryonic_visceral_endoderm,Eye_and_other,Gut,Hepatocytes,Intermediate_mesoderm_and_kidney,Intermediate_neuronal_progenitors,Megakaryocytes,Mesoderm,Muscle_cells,Neural_crest_PNS_glia,Neural_crest_PNS_neurons,Neuroectoderm_and_glia,Notochord,Olfactory_sensory_neurons,Primitive_erythroid,Primordial_germ_cells,White_blood_cells
Intestine,4.127651890093626e-06,1.640664222189307e-10,8.23313296001445e-10,3.72508044828937e-10,1.2262230791791657e-10,8.397964398436812e-06,0.0,5.893239499431919e-07,0.9763919053792702,4.644125507992022e-13,0.020170155154717692,3.1408009874194686e-16,2.159655038460145e-11,0.0022864214931265386,0.0011194565480894243,1.2823884523878918e-07,6.241095776060601e-06,8.898619431310984e-06,2.057255954052109e-12,3.641352549752178e-06,5.062999602646746e-11,2.788926398250825e-08,7.731432806648397e-09
Lung_and_airways,9.751078178501956e-07,6.989721595287538e-06,0.012826833418252487,6.769209717416829e-05,9.052173639896967e-07,0.020847146938935718,4.9429216192835546e-33,0.00042077454961210806,0.5013719851011442,1.8209928234568773e-05,0.0006326790796953761,2.658983634397717e-09,0.25212824598424105,0.001854251520429071,0.00038470454661308,0.001090020987611405,2.2841009271586066e-05,0.0003448611159880622,4.430248399787214e-08,1.09825907149491e-06,2.6546297561887253e-05,0.18535862348764495,0.02259456867027403
Megakaryocytes,0.0025547591726688065,0.0010677734483096064,0.09213505765744602,0.00026319400287842765,9.095543725639242e-05,0.002172543220557428,1.8216880195218932e-44,0.001595289460337149,0.000914062497733358,0.00036289840089244035,0.00022363990333011346,0.00011187928709991828,0.7851676413400686,0.0030465775900997702,0.00030311954006618787,0.0010536230494027164,0.0008751542267404307,0.004931218033855142,0.00012886907028286445,0.0013682908730796074,0.03743308442719953,5.808749443298133e-06,0.0641945606112523
Mesoderm,0.004398055723355387,0.020198177009266956,0.05300202452294327,0.0018473924810650925,0.0003862934433599276,0.062281651629184816,6.521404256424204e-05,0.01363710836572868,0.04983820633708961,0.0018801842316301686,0.012681984936789573,0.00016603077087583052,0.0030731048083607678,0.5235289196063628,0.03572756702088715,0.01803986121436426,0.017569455782367793,0.01952067338185923,0.01735674171198091,0.011712711924350519,0.026206328768181807,0.04737144955219063,0.059510862735240574
Muscle_cells,0.0004099765984875854,0.005477447319767063,0.0030090668253758956,0.00015867187920487984,0.00010609721855343385,0.00931781015311729,1.961639248527023e-37,0.002446511176667801,0.002694464415093158,5.7839733003037384e-05,0.0007722632506972283,2.4225829520179013e-05,0.00021906553165800248,0.017977568233227985,0.931729181620084,0.0020417495191814923,0.003044550449964504,0.0038327774434546743,0.002310411181686482,0.0017448551607481448,0.004281733851640037,0.0006234448230018271,0.007720287785865338
Neural_crest_PNS_glia,0.0046670541641265,0.0034623714771083764,0.035617211925733194,0.0006102512985727163,0.00018787036763729447,0.014839266620533675,2.5141473430253744e-26,0.009585687414150624,0.00800011732894344,0.00024539097156585837,0.00141501943531757,0.0002092463151379283,0.00216004125281032,0.022998188410393607,0.003118533718910313,0.6310943647430635,0.08690741226199723,0.016902300620302284,0.0010417748190418529,0.01980769535784075,0.018356784265680836,0.02244345732227011,0.09632995990886203
Neural_crest_PNS_neurons,0.019338075045876313,0.0008207276311805587,0.00676247774599708,0.00015434141107110403,0.0013746067557526003,0.004960192372948161,3.0718163263551784e-22,0.003086911109139095,0.0020656552730954894,4.378907812998157e-05,0.0005688973427985857,0.0003180488140226683,0.00031034054737866257,0.0064891638810461085,0.000950594988611504,0.01198409890973128,0.8799024464065325,0.006199308794276119,0.0003698093411224971,0.03074728058288108,0.00685829827517237,0.0017709705798254175,0.014923965113410861
Neuroectoderm_and_glia,0.04652047272131052,0.008705590369386049,0.0478135656157634,0.0006724496115977025,0.004873948367419005,0.0475376929832822,0.00011458207247550805,0.13954187156681824,0.02595713404580848,0.00037362363331778966,0.009505982915513975,0.0015650213760490606,0.00228144565067017,0.028775416583323048,0.004305681906559357,0.03810762775455536,0.018692253984742786,0.3181483271323434,0.027635466639266762,0.06295525678958533,0.028915275149251178,0.05881901504625303,0.07818229808470761
Notochord,0.0022582321476713922,0.011934557270280735,0.0226690513591127,0.0012383753483197622,0.0024903382276515135,0.05203449844682508,3.583973851086758e-24,0.026751828058235155,0.006780370293098675,0.00015667116160834906,0.013339917479465814,7.26603046319511e-05,0.015003915286741267,0.0183065481930397,0.0022206092759366456,0.002866548784208359,0.0018063738655296252,0.025666079137490014,0.6388734724674703,0.007642220414239523,0.0209970069246092,0.04629812122588712,0.08059260432794717
Olfactory_sensory_neurons,0.023042779419929757,2.834157442568798e-07,0.002163849072914366,8.133005759723215e-05,3.3408826999684863e-07,0.004042896442831832,0.0,0.0011096470991253534,3.861288497093882e-05,2.6582390551247986e-06,0.0002704565995852164,0.00186665984835031,0.0005964101293249957,0.001109475619356272,1.6520511056314087e-05,0.00025503049259868667,0.2138262093446135,0.00021158016174124898,9.101271560233308e-08,0.6768608094461324,0.00022306009490736606,0.01093506161317317,0.0633462444060061
Primitive_erythroid,1.1729601228444326e-06,4.973212668579462e-06,0.10339146203011558,2.9141531728990733e-06,7.157098996838213e-08,1.577576486887338e-05,1.3654111248814267e-39,6.525987418406382e-06,7.267019553251408e-06,6.833731870758263e-07,8.936881961508366e-07,7.840125211707108e-07,0.000547384459598831,4.7616141010811534e-05,6.239498424333902e-06,1.3918856019373312e-05,3.0020160399128784e-06,1.8643654322936204e-05,3.971927959049563e-07,1.695829048795599e-06,0.8742482113018019,6.003011967894961e-07,0.021679766976925658
Primordial_germ_cells,4.354835547603049e-07,1.3180100864689023e-06,0.27945382185862794,2.8741477204059736e-06,6.734992485878767e-08,0.0004909808768603974,0.0,4.046472644989378e-05,1.617050156537451e-05,5.4284006793848655e-06,5.163168824802481e-06,1.0405574471596968e-08,3.517294051874215e-05,7.998400766495618e-05,1.0761864661160202e-06,0.00012367494110508597,1.887632113852899e-05,1.771971487489248e-05,2.625208781741272e-06,1.7991425742538133e-06,4.4940037136517345e-05,0.5303780585101895,0.18927933805968086
White_blood_cells,0.000587868903668434,0.008470636677044221,0.23942041070815737,0.0008304532271326833,5.824219181458738e-05,0.005504181067886157,9.38869958302831e-44,0.002103355451693753,0.0021168051464717716,0.00022570174461915036,0.0004562039622799055,0.00011193472011907047,0.02517534571850103,0.007514532087409181,0.0007389917054087603,0.002838885372932183,0.0011640748548938993,0.006470971652596709,0.0007825525720129301,0.0008391285550046611,0.11139684763732442,0.00534635681823619,0.5778465192247929
