,B_cells,CNS_neurons,Cardiocytes,Definitive_erythroid,Endothelium,Ependymal_cells,Epithelial_cells,Eye_and_other,Gut,Hepatocytes,Intermediate_mesoderm_and_kidney,Intermediate_neuronal_progenitors,Intestine,Lung_and_airways,Mast_cells,Megakaryocytes,Mesoderm,Muscle_cells,Neural_crest_PNS_glia,Neural_crest_PNS_neurons,Neuroectoderm_and_glia,Olfactory_sensory_neurons,Olidendrocytes,Primitive_erythroid,Primordial_germ_cells,T_cells,Testis_and_adrenal,White_blood_cells
Hepatocytes,1.166941239469678e-06,0.00018946946673717153,1.2647480694072449e-06,0.004877669125588766,0.00021957251810705134,1.8407906187605963e-06,0.0002398615689647582,1.5603001418889094e-05,2.3905672802333596e-05,0.9888785186486598,2.0919687189147733e-05,1.3633433402782609e-05,7.169103596313555e-06,2.2340688944769204e-05,9.817682146615894e-06,4.55660469975435e-05,0.002757861895180574,0.0008441947032345075,0.00017459479047272686,9.59884390357745e-05,0.0006885217530169032,1.482614335486898e-06,4.844399389797845e-11,5.7541716262517244e-05,1.0844592811130312e-06,8.318168263205765e-06,4.687404131135641e-06,0.0007974048838585071
Intermediate_mesoderm_and_kidney,9.37843443980094e-05,0.004599539149540067,0.0007232220459759339,0.03664287966305842,0.013072595148461296,5.050677339525808e-05,0.029073985623097678,0.00044405251313475963,0.011101461141490679,0.004861059653730916,0.4499809792984866,0.0002119755541954293,0.0026455724446125934,0.006933424700419517,0.0003593209589586876,0.0021061222307720813,0.3220886922632637,0.0455971961422066,0.0174934717015682,0.006040517774900845,0.025667837180601734,0.00022088880610066008,4.1240096960819526e-07,0.003355043279787799,0.0003755696858945427,0.0002042020083038042,0.001904977507132839,0.014150710005541727
Intermediate_neuronal_progenitors,9.043785517862724e-06,0.446999788736767,3.7222916488456175e-05,0.019310111911732375,0.0031252975583699544,8.700005569350672e-05,0.004879283443003283,0.001709752945839649,0.0005097280475639177,0.0012976775758040435,0.0009641851779044552,0.32837705255754235,7.754328130900719e-05,0.0002877927422691488,7.155325381088549e-05,0.0005074384489142652,0.07675941574722078,0.011049367109334348,0.0034706958110400678,0.004719854966647558,0.09011439699701387,0.0005032355641933254,1.3972337968950887e-05,0.0008648316140880661,2.3261106831587555e-05,6.746537289144696e-05,3.3933513816793734e-05,0.0041290974204230635
Intestine,0.0015737754148004038,0.0014307876091670748,8.80878869288787e-05,0.13548207646309077,0.024366922512570763,1.7033533770075954e-05,0.08535576646897171,0.0001778317089134425,0.06094243988165765,0.12142937365524638,0.006969743759900073,7.338937692900091e-05,0.13301812496113544,0.013139357628851166,0.005161398592462585,0.0019947221240601857,0.13232192786690156,0.07414525875678751,0.0084668027645657,0.001334596081463647,0.007178684565153238,3.399924106891373e-05,3.641563902861406e-07,0.003153195342425445,0.0024828999566518374,0.003991725522577154,0.010090826171301089,0.165578887996258
Lung_and_airways,0.00011365490271495932,0.0009403680944798113,0.0002115156670843504,0.03649566807375273,0.012204458066758182,1.2571160381734263e-05,0.04362516539145303,7.216416483237805e-05,0.008003141160325808,0.006370172847295528,0.0021797484560884773,6.439569820125406e-05,0.0011438068816636802,0.751292711566415,0.004778670271959251,0.0004140179949343066,0.09178504438347017,0.010864663094391575,0.004787115970124894,0.0007365939147776754,0.004576037777236859,1.1066945382747054e-05,7.180776349958918e-09,0.0004816045350158938,0.00026200095768010565,0.0008499833614739683,0.00012143442152491113,0.017602217059804436
Mast_cells,0.002786663434437806,0.00015139596179611817,4.668849701810625e-05,0.39030576782331694,0.003778181604169868,2.164527416252543e-06,0.0020620006215126712,9.58733315037751e-06,0.0004741491118317917,0.0018928442649903373,0.00011742171355518473,2.031406264856508e-06,0.0002474576241917491,0.0001497942615484911,0.0325375952963134,0.01598718245796709,0.002954040499134379,0.0013544501628557847,0.0006068560920626348,9.70999342986188e-05,0.0003675758004339562,1.085216610127184e-06,4.584123868246018e-09,0.004349732420650291,4.3061242876809356e-05,0.008380147849650382,2.4323425082738974e-05,0.5312706968327394
Megakaryocytes,6.77722649382191e-05,0.001248205103079211,0.0001952967612508072,0.14003569139585487,0.005703261224689099,2.1125717846907227e-05,0.0023642371368223086,0.0001351780253329044,0.00027980545340463214,0.0013479794385221836,0.00023591432970126595,8.381378725746823e-05,5.5359619268357036e-05,0.00018726195021677696,0.0012706958451687731,0.6680054188716029,0.014140277423978647,0.004551605403334282,0.0015966294154854878,0.0005654413936848536,0.0038824366172597376,2.64180657927252e-05,1.9264604480652853e-08,0.06448474642390693,2.860742512507411e-05,0.0005188705492959,2.324850398487834e-05,0.08894468258859034
Mesoderm,4.598795703415059e-05,0.005464331907712174,0.00018814456940037492,0.033900963326823144,0.015547489909017474,9.20711709006702e-05,0.010552277266107881,0.0003822778628011784,0.001514627406826034,0.010710029332599288,0.0052264288274335375,0.0003005758477580328,0.0002546462220731873,0.0035283102769803937,0.00013054294040019403,0.0006496560205386308,0.8411591232622525,0.03314082160434465,0.005897718655402207,0.00235215842254878,0.017423526452671815,9.971088236159763e-05,3.786858923256457e-07,0.0017140627921412087,5.550784860907702e-05,0.00018734313726076436,0.0001985443133821952,0.009282743098726518
Muscle_cells,4.8694683242023266e-05,0.002385694176446979,0.00031110095693272585,0.047068463916855804,0.006689456595790421,2.249342753658584e-05,0.006277312810162564,0.00023223484060078508,0.0006532615231417345,0.005588841878786274,0.0011724103775471349,0.00020264820535475153,0.00028796285769432534,0.0006105355264808612,0.00010053732424093425,0.0009784469593225441,0.08580619487075904,0.8108662735718359,0.005359205661117517,0.0014277668155137006,0.0112558617720097,3.680859466929975e-05,4.669899097794659e-07,0.0008772490945155168,8.841355558799528e-05,0.00023159676819282666,0.00010871813486806596,0.011311348110884134
Neural_crest_PNS_glia,0.00011904751548971726,0.007147455097137407,0.00015347430544844588,0.06614193296968893,0.01843353540660703,7.849019284177692e-05,0.014823458105248523,0.0010064943890944523,0.0027340818100198287,0.007293284379324585,0.002481569294455708,0.00043820883575089903,0.0006685577076585851,0.003686276717161193,0.0004372784445021364,0.0018180319975332196,0.10032140428241844,0.04040740416117309,0.6590797877930539,0.004899033328020074,0.034226488201420734,0.00010171324502693443,8.825610930951305e-07,0.0023390510968402645,0.00013897093546038426,0.0005207816120513547,0.000208866898165807,0.030294438717313518
