,CNS_neurons,Cardiocytes,Definitive_erythroid,Endothelium,Ependymal_cells,Epithelial_cells,Eye_and_other,Gut,Hepatocytes,Intermediate_mesoderm_and_kidney,Intestine,Lung_and_airways,Megakaryocytes,Mesoderm,Muscle_cells,Neural_crest_PNS_glia,Neural_crest_PNS_neurons,Neuroectoderm_and_glia,Notochord,Olfactory_sensory_neurons,Primitive_erythroid,Primordial_germ_cells,White_blood_cells
Intermediate_mesoderm_and_kidney,0.0021456159064461673,0.00594481928505942,0.020544912995956014,0.05053591809352028,0.01780951796755219,0.05527168973618828,0.006589445391300677,0.11063712267895222,0.0017482355750538326,0.3176930299746825,8.427578130777387e-07,0.004339875723068113,0.0526692167930581,0.16975134883686252,0.002897161571260304,0.015816467136777566,0.010579674674566901,0.01639032949001819,0.022538297240217706,1.9754664375160984e-19,5.442484412998619e-05,0.072609775934191,0.0434322773933249
Megakaryocytes,0.00010334446978841437,0.0010271120396170472,0.008063884687738311,0.004653854359843352,0.00036444960045194916,0.0015984913119586831,0.00036250825871261827,0.00040736456263870197,4.485941803567397e-05,0.00010058218909824481,1.9094289473607137e-22,3.0009775540604896e-07,0.9109792519610135,0.002620182938243697,3.885334109792009e-05,0.0005853680854516873,0.00023236747980448475,0.0013937002475541474,7.567432551056418e-05,2.8723603195047504e-28,8.353260643860638e-05,0.0021818406394887024,0.06508247737975831
Mesoderm,0.0010607590465792959,0.01819911205739938,0.021970098971974703,0.038763664459978676,0.014698671581366526,0.05729706361004185,0.009753419041301866,0.025845420101419835,0.006934224792359615,0.011748450013156535,5.441403248970604e-05,0.0002043195167188643,0.042952969848116085,0.5390040768224532,0.003925025819768995,0.02538256577829269,0.007322231507331279,0.02755843912147408,0.0017425093520592155,3.3070164875497706e-14,0.00011144036683092588,0.07692709519136509,0.06854402896748846
Muscle_cells,0.0004230959343360617,0.09000297141424872,0.00684331153793257,0.011529768230076782,0.020353846641165955,0.033680096269558896,0.005857004035053012,0.017290921932129836,0.00028349887223707817,0.002891070296466305,9.009092247509321e-09,7.31189073981164e-06,0.03254897507522449,0.08516017544685237,0.6214639039950302,0.009086673221957341,0.005224959571557583,0.01241319577638546,0.0006053293560716392,2.432408851919878e-23,2.4752241198231346e-05,0.027256936987808993,0.01705219226487651
Neural_crest_PNS_glia,0.0006514847019525644,0.0020472789100804425,0.019284577962573154,0.01378872612525747,0.003905171745561078,0.021016456102127174,0.006214955796602474,0.004162760434670437,0.0005519149686333109,0.0019207681684695222,4.913895381901698e-10,4.1914474253999176e-05,0.058047245954138835,0.05485532410701474,0.000471649282109313,0.6355896566541691,0.018530467450492704,0.01838945776268324,0.0002252010444888045,1.9474116463141082e-08,5.385026430443262e-05,0.05462143920714838,0.08562967891776277
Neural_crest_PNS_neurons,0.024075761748935647,0.002763192651729374,0.0067998679907480845,0.007244477702729752,0.008622621033421906,0.029132862412231307,0.005339511221034879,0.01037922409029226,0.0002367567281070837,0.003331626833462314,2.23994302551559e-12,8.521149398873623e-06,0.018190393004399157,0.029816298644169476,0.00043534310973508266,0.04638388426749513,0.7566633311746639,0.014212568642676875,0.00027031596513560336,0.003512556050524917,5.1951364328789005e-05,0.01502150805345866,0.01750742615908098
Neuroectoderm_and_glia,0.012548296222593014,0.008861021450548507,0.024744667983596348,0.014761105699232486,0.053584786154990564,0.06836426498662163,0.017625146234379063,0.025096216190852644,0.0013492242907925049,0.01197418240126814,3.074582235932881e-05,0.000271511884880363,0.022387568695394117,0.08396850076761368,0.00132437916476454,0.06776366621298782,0.011775429774947888,0.3570052212937717,0.004797323310065652,0.008482949175433777,0.0002061112245199688,0.10057451929917925,0.10250316175920701
Notochord,0.0009704279660704132,0.02857442861187956,0.007803748132212832,0.016903675595389498,0.03860674312394757,0.030612855249171785,0.005960983048866029,0.006682364073523961,0.0002765588206377776,0.002322632052600124,1.449215393068683e-14,6.4181720448841224e-06,0.09986512069195744,0.040635126378890586,0.0008978336436133325,0.0021826889655178604,0.0014897278304649346,0.014538738448912547,0.5550916627677557,1.2388814027466666e-23,6.76175384915449e-05,0.10831657478476273,0.038194074103274446
Olfactory_sensory_neurons,0.23876701991130136,0.004500067458301121,0.0005768944561016046,0.0006895706956977662,0.0032597261965192545,0.001213833608644776,2.882359597013818e-05,0.002054197773590943,7.447650422015262e-06,0.00028355947241381094,1.7540556931792873e-26,9.169506393810664e-11,0.07278519335884805,0.001135959206653935,0.0002840579919402309,0.0005014685012307743,0.4041446863161258,0.0025044393989812172,2.6380312961194796e-05,0.2645683067644783,5.031212059471645e-06,1.540076891017453e-05,0.002647935257152926
Primitive_erythroid,0.0002802222934743433,0.0021901043820744116,0.03546952714071445,0.00955949320280157,0.0009001604921614559,0.006500682583353024,0.0029387712925347032,0.0009977641425629646,0.00039356730304214606,0.00032710312040791793,2.75055219208339e-24,3.4467079808175664e-07,0.2826728431373098,0.01457438105156037,8.254280425290677e-05,0.0018974759700886076,0.0009320404195592734,0.006685619026304654,0.00022906413492451426,6.324588584364467e-28,0.4086529778423308,0.01790046634011983,0.20681484864962418
Primordial_germ_cells,2.7945393018248245e-11,5.199854416155352e-09,6.558462221830123e-10,5.5238674636608285e-05,3.0035195913680655e-15,4.0135743256050504e-07,8.035790300329203e-26,4.547907303964589e-07,1.0496133313514997e-10,3.1230044876442894e-08,3.1473673612066944e-17,1.7812933663179634e-09,9.849908738091416e-06,6.840165531901132e-08,5.190887810761909e-10,3.050732342550838e-08,3.529301801684317e-09,3.017673275375322e-08,2.0440107743161227e-09,1.5216416480001805e-33,1.7594936233687225e-11,0.004276479203798759,0.9956574018690073
White_blood_cells,0.00041074820221361223,0.004412087072159713,0.027335937607557908,0.09156770105494942,0.0015102877261016535,0.009615950125036559,0.0059140258407659975,0.0018464474396152652,0.0003362646910283077,0.0006024830989959503,1.0933347278518045e-13,5.731574123507078e-07,0.14024133744954784,0.03754846316156046,0.0001666440775129756,0.031933061242721245,0.0015424357002694095,0.0116882750665888,0.0001950330883135051,9.434822942443002e-19,0.00022435013294023643,0.03851208771218466,0.5943958063524148
