,CNS_neurons,Cardiocytes,Definitive_erythroid,Endothelium,Ependymal_cells,Epithelial_cells,Eye_and_other,Gut,Hepatocytes,Intermediate_mesoderm_and_kidney,Intestine,Lung_and_airways,Megakaryocytes,Mesoderm,Muscle_cells,Neural_crest_PNS_glia,Neural_crest_PNS_neurons,Neuroectoderm_and_glia,Notochord,Olfactory_sensory_neurons,Primitive_erythroid,Primordial_germ_cells,White_blood_cells
Intermediate_mesoderm_and_kidney,0.006085573174939472,0.005529086986878122,7.044085150485377e-05,0.031038989963749878,0.00022038815751330084,0.05874508566216726,1.3897273549357844e-05,0.05643882551445803,0.00039280729478984895,0.28499394397660144,9.082540518417585e-06,0.0031834819532066284,6.870413136974734e-05,0.44963690232176134,0.002271952785507533,0.006467035913135136,0.003960140013667195,0.08066924588491903,0.009727133350080727,2.591957703261029e-21,3.1567975098650124e-05,0.0001105554100844628,0.00033515886449961394
Megakaryocytes,0.055176247839262185,0.1441229606072027,0.0017335594457626767,0.2352434436307901,0.00015310432611950563,0.056251955233357104,1.0549427493133419e-05,0.02046640996783467,0.0003328950025715079,0.002086824772586227,1.2563505228372837e-16,2.7055636110447103e-05,0.18065500563231793,0.13949580725198435,0.0020246017133458143,0.00713632128096365,0.0052433382670276935,0.10020759125203656,0.005605564081322964,1.0060575021377004e-24,0.00046175780202140705,0.00016568704728696035,0.0433993197826023
Mesoderm,0.00293058650868787,0.01025148044496143,3.441808224448716e-05,0.0145458067053318,7.905815670193032e-05,0.03537844272753697,1.694015630643616e-05,0.006712662567649113,0.0011646321944908976,0.0037880430423236715,3.2139684813243446e-07,6.495630398957542e-05,0.00016184602725132237,0.8250150164636604,0.002204956814600232,0.008260544804253494,0.0025513524456803206,0.08556548716014196,0.0006613463797555023,8.395307801904998e-19,0.0001362831013737145,4.84409871836862e-05,0.0004273775290270389
Muscle_cells,0.001636386054396633,0.08014135337118526,1.5048038247512242e-05,0.005414739398814803,0.00013912750638758094,0.03680557168944463,1.104107494673806e-05,0.00467104483904549,0.00014182717754220804,0.0015508766772298936,1.775185050180357e-08,1.3219592025433766e-05,2.2092845550540864e-05,0.19441341212118368,0.620463215630555,0.004749722034206073,0.0022493355052227615,0.04711276388657884,0.00028223210918117847,8.939283122446403e-26,1.1477083952679051e-05,3.102757363792007e-05,0.00012446803881464575
Neural_crest_PNS_glia,0.004827291181218868,0.0027118909313472565,2.552983793402617e-05,0.01455336419193402,4.5598887845091174e-05,0.03642591417898613,1.3905706343231797e-05,0.0041254241456556845,0.001406203356488055,0.002143531313562131,2.1879331417612783e-09,0.00017908584926856216,0.00014950420702971267,0.2408868939626942,0.0006012969461873484,0.5538583927555842,0.014647061761075799,0.12176857742811764,0.00010127200099846631,8.384616685141733e-12,2.8627613230939436e-05,8.71713262783513e-05,0.0014134602219025168
Neural_crest_PNS_neurons,0.10125845505069507,0.0016353354793776022,1.5665552369345003e-05,0.00420588325561887,7.106108793863912e-05,0.033546501827589434,1.1722428769225561e-05,0.006053687419698253,0.00012527235219909354,0.004853211155340632,1.0996290063809378e-09,6.885726573481298e-06,3.800763660485644e-05,0.105559250792308,0.002346616838296507,0.04417970656836785,0.6269736648748837,0.0684914330097597,0.0003800128978666641,4.7364555011911866e-05,2.4472904933427724e-05,1.7594057778264294e-05,0.00015819342839044773
Neuroectoderm_and_glia,0.019934447597777617,0.003183472920035609,2.777764909936629e-05,0.006047054228965478,0.00045634917015235406,0.028219506308097015,2.4965258634538816e-05,0.00505123988859211,0.0002528273922610789,0.0027304019471572423,4.1107043341059353e-07,3.009660048684427e-05,0.00011540302578896075,0.12018880317736788,0.0006275344676391375,0.010032336285747897,0.0030122040945549304,0.7982981847306099,0.0010963568993132783,5.5522258075015054e-05,0.0001234089002414472,3.654158375219576e-05,0.0004551545452166719
Notochord,0.015953549800576883,0.007881173697405276,2.9249899962984863e-05,0.019065713497243862,0.00037477873409811924,0.05989074543101126,1.73435636046036e-05,0.039671536659116755,0.0001484907550930495,0.0026869948766649566,9.924441572580727e-12,3.145998867364558e-05,5.169492716520948e-05,0.18237629812319586,0.0010698612187665074,0.001674076239034838,0.0013241702811427523,0.13242335412347714,0.5349179429293487,3.0845896662741327e-25,3.3108258805644906e-05,6.675385440919338e-05,0.00031170313127831773
Olfactory_sensory_neurons,0.7175714829721834,0.01043771925607079,1.1784353613284141e-05,0.002213275899239217,0.00020595974492144102,0.007384939122991369,4.888968048088755e-07,0.004386110510088918,3.2081423562185034e-05,0.0008703966130575387,1.391598056922846e-25,1.5848538767364823e-10,0.00016354891288822976,0.018488454876380216,0.0017120178014520717,0.001317179496309186,0.21809849039282425,0.016896731362925008,7.561674764019047e-05,4.6164117954044433e-07,5.039645977585749e-06,6.990050583042306e-08,0.00012815027089951115
Primitive_erythroid,0.0043883633953626785,0.010692426518465314,0.0006387235231635837,0.03220725679149299,4.657852151075897e-05,0.03429689124781753,1.9742517137914896e-05,0.0032235447924728816,0.001100444890547216,0.0011401166695438993,1.1120915575076214e-18,1.0031809843420005e-05,0.007812627286961788,0.12515829016158264,0.0004386121119936286,0.0046031068149326336,0.0027164885647751593,0.10510570891692074,0.0006915975558409255,1.1786150769929863e-26,0.6507167562766984,0.0006643223201139112,0.01432836931282194
Primordial_germ_cells,0.0018125369514868596,0.0024086214999324627,2.762547498824215e-08,0.4211687975990642,3.342720165415143e-12,0.07436459921731522,2.453811682041428e-22,0.07959692619232528,6.063453718305788e-08,0.0005250601969653861,7.373711770474594e-11,0.00033803143424136994,6.081046075292619e-06,0.08749592786878352,8.593524872787365e-05,0.0003675890532530545,0.00424376945137908,0.026922404388542296,0.011457388921289958,1.3821464091710095e-29,2.83885514101969e-10,0.00431500864734758,0.28489123366229296
White_blood_cells,0.003809855660741597,0.06890091171977374,0.00039907172985676517,0.331451475500249,3.420765221401055e-05,0.03709176514912843,2.139146463949967e-05,0.005971778253301757,0.000444558809043006,0.0015632106459815642,6.338598833693562e-15,2.7944483691976936e-05,0.002339533274025405,0.15202976634596585,0.0005543279608731104,0.029242331918173263,0.0030367214158174794,0.14423891703549063,0.0004940170771468675,6.999423021600598e-24,0.0002290126781640563,0.004934885049723095,0.21318431617599257
