,B_cells,CNS_neurons,Cardiocytes,Definitive_erythroid,Endothelium,Ependymal_cells,Epithelial_cells,Eye_and_other,Glands,Gut,Hepatocytes,Intermediate_mesoderm_and_kidney,Intermediate_neuronal_progenitors,Intestine,Lung_and_airways,Mast_cells,Megakaryocytes,Mesoderm,Muscle_cells,Neural_crest_PNS_glia,Neural_crest_PNS_neurons,Neuroectoderm_and_glia,Notochord,Olfactory_sensory_neurons,Olidendrocytes,Primitive_erythroid,Primordial_germ_cells,T_cells,Testis_and_adrenal,White_blood_cells
Hepatocytes,2.5271891954518592e-05,0.0016579331734877091,3.867645005925235e-05,0.05441950077475501,0.004554447563874136,1.0557920729523164e-05,0.002232320065521209,0.00014465901278410537,1.326726942939867e-06,0.00014259099652522362,0.8994556957154355,4.374569323105893e-05,0.0004408387318116269,0.00011458885613803722,0.00012337324315971835,7.523755375694401e-05,0.00018932765756931845,0.013975567642876174,0.005323221261257913,0.0005428172697132443,0.00021781565000975414,0.006366326723922827,6.536293091677663e-06,3.44143070104077e-05,6.071552228731684e-06,0.00011822397537079967,8.495235382706022e-05,0.0001968660441676842,1.9422424227278203e-05,0.009437672474560663
Intermediate_mesoderm_and_kidney,8.393244139924239e-05,0.014113973713926874,0.0003534256801773571,0.09343331977926851,0.04258260842075985,0.0001477652392240459,0.06126179124869568,0.005192576400619248,5.754061885169433e-05,0.006818685626401396,0.0012656035732412077,0.24151657329655707,0.010292652912540728,0.013575220372602665,0.002232098701354088,0.000664242654412976,0.001080913693429912,0.35376053767205834,0.026192987129405557,0.009563431067706333,0.0026948903472983864,0.08132385397848722,5.551421374055618e-05,0.0019037714076634283,7.269138528898705e-05,0.0010892714985633665,0.0003804038248506449,0.0010309101698892133,0.00022643036028975342,0.027032382571295643
Intermediate_neuronal_progenitors,8.25514788485686e-06,0.07395744395768428,1.5447285627884927e-05,0.009602555167331016,0.0008603306571002815,3.0048419213754694e-05,0.0018605741387785054,0.0005671787713020811,1.0043912068402085e-05,3.7658123258833334e-05,0.00015666843835595483,5.111355180580482e-05,0.8097710092265016,3.902336576896277e-05,5.676972851505489e-05,2.6685889939289345e-05,6.288572392212734e-05,0.007745286525232662,0.0021114237812187827,0.0012229217801151995,0.0003706851893820801,0.08914188382431101,1.9704796351137196e-06,0.0003033728892196885,2.3956008823518338e-05,6.265887411342271e-05,2.5608426107519192e-05,5.7332982227328016e-05,9.021057937037108e-06,0.0018101866766179653
Intestine,0.0001378134900566954,0.012547542240172085,0.00043633483814373906,0.31677230937905987,0.026987569189650357,0.00018852611386449021,0.09139701650569838,0.003650178637810696,0.00017112704380200462,0.009761634204284886,0.0032149036156445183,0.0021143669558196018,0.005303989587548796,0.06282473305021027,0.005080737598369778,0.0040582315670010145,0.009776936765385361,0.10718648794542919,0.060113168769566606,0.018308661730908563,0.0018410114423436051,0.0657754535155118,6.720910405954012e-05,0.0005762024619856404,9.26328349861485e-05,0.0020142653795063724,0.0010847572615700718,0.0057951807509840384,0.003330708221762088,0.1793903097988638
Lung_and_airways,0.00011994663282282248,0.01059747839757013,0.0004983923769191188,0.2359211698178935,0.034188784011147846,0.00013156933460699985,0.08364109536486349,0.002123168163752926,7.4443587845227e-05,0.0029598110725976,0.00207208116338225,0.001207436877709074,0.003740910369805856,0.006822361015908041,0.29757365020572774,0.002433774713881217,0.005478197139271467,0.11674526112616397,0.02769400499444463,0.008932341652254271,0.0017404498901150399,0.06321023284836376,0.00010341078982105176,0.00028904177632164805,0.00011401955055111532,0.0024339856584403704,0.010891282724617484,0.0019938482059516484,0.0011110217099987456,0.075156828827251
Mast_cells,0.0001951806223459412,0.011256336433088251,0.001021903375496422,0.4597076556719452,0.01758683131368504,0.0001434706526041739,0.026967416061858755,0.0018811707018258567,3.8255614292251403e-05,0.0009056219292382125,0.001703538496297857,0.0005132252208159385,0.002926057721885392,0.0005241003329192373,0.0009469607779175914,0.0020937021259774522,0.10408261601959612,0.0417754918256098,0.01282622687794203,0.003433441803825618,0.001187059117933482,0.03661585663779785,1.2921718053478404e-05,0.00039162283755677724,3.7609734799403695e-05,0.012136349668625167,0.00026047206943292326,0.004809653471323007,9.818493154352211e-05,0.25392106623376726
Megakaryocytes,5.661939853413345e-05,0.002812234641727488,0.0006233784856668285,0.34047942831868716,0.015596723876292528,2.5532706394891554e-05,0.012846357923571186,0.0004596996516320913,9.006450134840012e-05,0.0003011300531633957,0.0006815831770976033,0.0004671096322719702,0.0007765915824297115,0.0002382074708168185,0.0003678155424516336,0.003024090733601107,0.25113930913385285,0.014187818175683119,0.007667939992457114,0.0012434704504335268,0.00039233889527994474,0.010523736315622085,2.109437595623582e-05,9.724766128909042e-05,2.25761920042634e-05,0.05811609611259317,0.00018906911719949256,0.0017346867559995445,5.159126442839551e-05,0.2757664578615142
Mesoderm,0.0001960617781486888,0.02021926461727078,0.0005029465672505489,0.0671902835245616,0.01712371629248807,0.00036803920741281025,0.033613999180095305,0.0026637888473863116,0.0005437386088078605,0.0011747980144493724,0.0024663056382844724,0.0018147541692323352,0.008502315905374092,0.0009781277334675864,0.0028078243900047204,0.0003348271123049908,0.0009610446596229804,0.6986742590666635,0.038729004844414765,0.008466339848837327,0.0023746416190101884,0.07030324012936154,4.7607688745142245e-05,0.0007314940380672603,0.000133891956387197,0.0011091724914781304,0.00021771681596906856,0.0005483848020966156,0.00031943729916583685,0.01688297315364089
Muscle_cells,9.360074760881665e-05,0.01618696723485203,0.004792200790926548,0.12100210593563061,0.014341903622507358,6.321138689185703e-05,0.02622955250777959,0.001537135195703831,5.1317593809723225e-05,0.0010598703351932506,0.0033387045311060112,0.0010218057851897953,0.005803881120830721,0.0009928208152372908,0.0011185244479337633,0.0004530467195613361,0.00532024578118037,0.1473395801016415,0.5329028283304579,0.007502005316300673,0.0014150624404221151,0.05969413275025065,2.433135666691112e-05,0.0004064620815347385,4.450368144020346e-05,0.000362376356559103,0.0007337028393333427,0.0009660377246468277,0.00014156033059987275,0.045060522138203336
Neural_crest_PNS_glia,0.00011801114237443621,0.027302740162776517,0.002360906991185124,0.13342662745758171,0.02920513403117224,0.0002736480780232923,0.06511587210365766,0.012358860210422328,0.0009124329629506263,0.0015818156631996528,0.0023243155625272817,0.001847239086602131,0.009610341213609585,0.0026228933688578183,0.002821737011553247,0.001432798473377201,0.004210792197873896,0.17803530684267527,0.04763384587139031,0.1919758041352056,0.0036310774618912283,0.2115838981008817,5.80148259335951e-05,0.0008680407187263228,0.0006524041669900702,0.001632854930813616,0.0006519965969758453,0.00160508976201538,0.0005256381928271085,0.0636198626759292
Neural_crest_PNS_neurons,7.570810989741817e-05,0.19476071736905104,0.0004644790490787914,0.04903804696349343,0.004961052631515436,0.00016907569718830264,0.018070152713013224,0.005777463535486616,0.0036524586829979593,0.00029449454109435006,0.0016094870542912973,0.000555764148082349,0.018876719071337,0.00028486283176712673,0.00037888112979993775,0.0001685394590918507,0.0011104557617641312,0.0773535102067368,0.015821338298432592,0.004695662009290351,0.5105200006979339,0.05194069641631832,1.5472946546299393e-05,0.026748177676033446,0.00013033695488183728,0.0008418982352119192,0.00015053446101013053,0.0003833425143470915,9.066443069175663e-05,0.011060006403615286
Neuroectoderm_and_glia,4.244454184056363e-05,0.043773061887150994,0.0003063145193104504,0.04616351751022568,0.003338096200143301,0.0008366241825896071,0.011408658570996353,0.01056001316680462,8.60205533775432e-05,0.00025931424542802785,0.0009491795295239772,0.0004148451845587781,0.02604735453732413,0.00023804816232588422,0.00043225736726403664,0.0001377721588841532,0.0004250018400274417,0.04370507905970272,0.010317149367936622,0.006482643532204225,0.0014426025880287605,0.7808505251028447,1.073227743447142e-05,0.0006175091692558527,0.0006844014761000482,0.0009432391462707566,0.00010059896867107298,0.00033793664823777037,6.206852850493738e-05,0.009026989977032501
Notochord,1.3634559493516641e-05,0.00903950208330201,0.00017822443004268928,0.41344823391147834,0.03223806770761258,8.252970679093877e-05,0.05086519435061938,0.0027946605260120157,5.667304041792568e-05,0.0014020157470985319,0.009987631349542898,0.0009158592867637595,0.003030445568755717,0.004697386395585722,0.005530313847914272,0.0007056119833280187,0.004429789933339064,0.26415298627257006,0.06357483118758574,0.011417095153262457,0.0032030177872762002,0.04358029197294695,0.002265767999031307,0.00048305108147947315,3.6236344265145074e-05,0.002897146526555782,0.0005707420327017138,0.0014130394636850305,0.0007658290337265757,0.06622419071681615
Olfactory_sensory_neurons,4.9308339293471516e-05,0.13741053742096498,0.00028044774287280924,0.049828473845728055,0.011674711566764483,0.002450365358393228,0.024417512298742335,0.010577733706396246,0.0002168552325719803,0.0004935851939071902,0.0005291311574974504,0.0016297245285423088,0.02205507659772614,0.0005703289103810719,0.0004860170628832841,0.0003166415577338102,0.0013767320298523217,0.08487370672778231,0.010118804946598682,0.0036306146334165895,0.022738276217046872,0.05823135418885652,1.6859978256070048e-05,0.5376955906434975,0.00018327450514779234,0.005160546899615611,8.917714214704865e-05,0.0003919449547316053,0.000200631025677933,0.012306035586974304
Olidendrocytes,8.389641083935756e-06,0.11618495868237856,0.0006308881994624866,0.026161388238282828,0.0022601086805568433,0.0002190495323914038,0.008555322819500624,0.002389677521661895,0.0010048283722478542,0.0002466180016105183,0.0002080326861099206,0.00032574062629289356,0.006031200052301457,7.432195568413178e-05,0.0003603159728448782,0.0002148864482086073,0.0016205880531565695,0.028418379316884578,0.0015942812202887641,0.006511654411375506,0.001273648897722137,0.47339246118894496,6.598541316843232e-07,0.0005840564164267105,0.308101379717291,0.00424939670422826,8.702150702991794e-06,0.00029211671295145675,5.979626470033631e-05,0.009017151660576204
Primitive_erythroid,1.0741773927014822e-06,0.010071857187320463,9.032889904382592e-05,0.6778082444201162,0.0007732874002305815,9.377575491326712e-06,0.0018976746899213195,5.406254939727864e-05,6.212873080730833e-06,5.06269294257025e-05,3.2491058860056184e-05,0.00032520676373962295,7.739448703312016e-05,1.118429495320306e-05,5.535717148630356e-05,0.00011770517783446297,0.054992580486747905,0.0019179441114266873,0.00026471875778296826,9.020282852266168e-05,6.673016658660446e-05,0.002177750520838732,4.006283802665509e-06,2.4393479873039487e-05,1.0480036805815189e-05,0.2378402866968884,3.1833168118124644e-06,0.00016834823078269677,9.853189392674253e-06,0.011047436238410402
Primordial_germ_cells,9.181961324319952e-05,0.0013372619290342794,4.3783922689807665e-06,0.9139092964593399,0.0017938604199380535,1.1038884196062279e-05,0.0033370004099126218,0.0002054091836591935,1.763409406852208e-07,5.7038526160761674e-05,0.000746330861072204,5.834921358476958e-05,0.0005274852968660357,0.00010989448973181553,0.00018992326762600335,0.00022108932411343772,0.0018743816419410809,0.007053801167296294,0.007004271567965224,0.0006645368702999348,0.00016113653669403948,0.009823888038928861,8.76527262501102e-07,4.0633685744510054e-05,5.767240306838009e-06,0.0001126342007596479,0.0008126786916454271,0.0005979454406551269,8.814161832723638e-06,0.049238281616979705
T_cells,0.00018793130268935458,0.01024627388943627,0.0008904682904889282,0.5561401750632539,0.022435851018366926,0.00017822868240653916,0.028125449542759907,0.00197074698700101,5.186096226901936e-05,0.0008685389038540031,0.0018646423391794485,0.0004432837229753289,0.0025249532931222915,0.0008080327980501191,0.0011703274016245586,0.005722454652951089,0.011705837947250447,0.04313190954018175,0.016485463551009525,0.003666578031971133,0.0011641008118258858,0.03516597241713997,9.91554317526553e-05,0.00040452050646393525,3.564860102577243e-05,0.011506841324751514,0.0006330247745716683,0.006932868040159087,0.00010546613889589317,0.23533339403257214
Testis_and_adrenal,0.00015353171718953185,0.015237301043270054,0.00017674666462864295,0.22196049061214762,0.04299613569969389,6.95638900108643e-05,0.11055664253548991,0.00280534855687327,0.00014032582468095635,0.015458344874026949,0.006337077051970257,0.0037034324844136234,0.006541247179892222,0.024702681855166886,0.0036629744337621406,0.007850903285523049,0.005185079892382645,0.27807433118509767,0.06765105746937779,0.0158471357372112,0.002881236680298983,0.06444850727493555,3.66421600320092e-05,0.0009334309961880147,4.237981664305866e-05,0.0002812375385876998,0.0015750377605681508,0.0018781205184355144,0.006189394433599399,0.09262366082790245
White_blood_cells,0.00021038102503760295,0.006697728743773806,0.000554260214026243,0.515762029500344,0.012239074297056281,7.120612986951763e-05,0.013276980217902964,0.0009359214426254405,1.2424385166199834e-05,0.000415232089474702,0.004329476026610466,0.0003587038361668604,0.0019598340090006953,0.0004622262480962226,0.0005709714005927274,0.0020198554204445885,0.023463582548236907,0.03192313378222987,0.01547809964898231,0.0027011337141751813,0.0007635225169283423,0.026392359205798223,2.3038353831451767e-05,0.0001924963865826086,2.6026134867104776e-05,0.005245788006826087,0.0004440039033455567,0.0035042019919381932,7.731036725083679e-05,0.32988899845281905
