,CNS_neurons,Cardiocytes,Definitive_erythroid,Endothelium,Ependymal_cells,Epithelial_cells,Eye_and_other,Gut,Hepatocytes,Intermediate_mesoderm_and_kidney,Intermediate_neuronal_progenitors,Intestine,Lung_and_airways,Mast_cells,Megakaryocytes,Mesoderm,Muscle_cells,Neural_crest_PNS_glia,Neural_crest_PNS_neurons,Neuroectoderm_and_glia,Notochord,Olfactory_sensory_neurons,Primitive_erythroid,Primordial_germ_cells,T_cells,White_blood_cells
Intermediate_neuronal_progenitors,0.4891888772002255,6.531844258356425e-07,8.094697072014567e-05,5.433453015144609e-05,3.0915902993301487e-06,0.00046098869404938585,0.000232923541876956,1.7847210891512695e-05,3.6819838365574944e-07,9.327291033514958e-06,0.3615354578884628,2.1175068255977657e-09,5.276235215223465e-06,1.3690067746402177e-06,2.6948575711569863e-06,0.0023946454624757816,0.0002803083320097663,0.0003647896500544396,0.000583078709211653,0.14463984891529277,5.093573536607733e-08,6.070643544722246e-05,3.7001259251839343e-06,6.672209417126587e-07,1.4460452760421637e-09,7.804424927284108e-05
Intestine,0.020525763932398737,1.5309164227233835e-07,0.015229591549575015,0.007484447871953501,0.0011945070732970132,0.11605692235560616,0.0008148941848322103,0.009262928404541392,0.00011933518113406855,0.0035596202238608846,0.0005699883125620777,1.437386293130552e-06,0.007172784043247153,5.282672818936633e-05,0.00038407843452960185,0.3474703305596263,0.13229310034597594,0.04422972564049645,0.01510310863528603,0.26445125578105566,7.253823889056785e-06,0.0009100255809709484,0.00013435531096822232,0.00041416448907347856,2.1439502198392197e-07,0.012557186663973374
Lung_and_airways,0.008145616968660677,1.3189299691008358e-05,0.0021128604671279217,0.0022752558759284633,0.00012084202376230552,0.06421587338333601,0.0003204022220925829,0.028575957447562708,0.0006884559108993825,0.00021820240874010315,0.0002223040695965466,0.00037834509384928087,0.5139285699665956,4.356527090501306e-05,5.5832785932230426e-05,0.296087997260541,0.007204123926608913,0.014424447277379713,0.002257578442904616,0.05548325313452144,1.7237273987023944e-05,0.0001282600950596182,0.00011529782433573725,9.886122397477277e-06,1.7641699888055903e-06,0.0029548812775957558
Megakaryocytes,0.021640419775123987,0.00017273901755946168,0.11427777162901806,0.015043486712489862,9.842241622699135e-05,0.01183316939644571,0.00021461817776417195,0.002627559216594648,0.0013695002882145191,0.0002564441798230072,0.00030347963652185063,3.8502642411774773e-10,0.00016450816333831808,0.0009596754016315407,0.5518352342186259,0.04800400096886191,0.004292295277697771,0.006726494001494776,0.009000302215507046,0.050594225093573725,2.7272280698339175e-06,0.00020452661381442088,0.01984015462732243,3.773703032992259e-05,0.00026906409536633886,0.14023144423355732
Mesoderm,0.015502753490258219,7.462654235652778e-05,0.002060772594713768,0.001485710830202295,0.000176131141220597,0.020408432697335936,0.00029396294512844533,0.0014473551253126097,0.00012526455832362327,0.0008483328177443687,0.00071879638468324,3.947565665264171e-05,0.0009782600570364013,1.8572307241347863e-05,0.00015904582505783476,0.8649095794003113,0.016948448300269918,0.0053783845472731365,0.001674915644745202,0.06469087228710274,3.933331345748434e-05,0.00021823408065405867,0.00013761551078438078,1.6097546720271152e-05,1.9756889516062645e-06,0.0016470507064619882
Muscle_cells,0.011092438834609517,0.00011197000540312131,0.0021491098724870272,0.0009049697753687175,6.338234844833358e-05,0.01638370498237863,0.00029450723613387526,0.000713878107037692,8.327280030174257e-05,0.00048433152001247385,0.0006270319313044599,3.21644497815231e-05,0.00023915726807265223,1.421491683950535e-05,0.0013571339097508924,0.18068473783098324,0.7131304445653747,0.006713614055462297,0.0020746189707630735,0.060480562328656305,4.040140462242303e-05,0.0005593781011483318,6.929920786691959e-05,1.2320732311429804e-05,6.136963039017823e-07,0.0016827411485772579
Neural_crest_PNS_glia,0.03379312939476078,1.8192473560475503e-05,0.0047584246430731345,0.0015043685143665815,9.296276504091527e-05,0.021156363419527955,0.0005958126922736766,0.0015996792527830266,7.567555522271472e-05,0.0003188885201023881,0.002097249519558776,5.137053141412865e-05,0.0014099667467928562,4.1297106230827365e-05,0.0006473382888981667,0.0811544814599604,0.009478627807267973,0.6586933803737937,0.015333324837709732,0.16037163312969657,2.3785908328772603e-06,0.0002700743527680856,0.001517434155323416,4.152810333567709e-05,3.367039007844989e-06,0.0049730507266974085
Neural_crest_PNS_neurons,0.13406573805358077,7.272679194650027e-06,0.0004834407214498848,0.00027966817748099887,2.1217351778211653e-05,0.007070218513170651,0.00012841031093212198,0.0010707455676303049,8.187789155575895e-06,0.00012384074742187394,0.0015736127474891243,1.1045287252060544e-06,0.00014309053102051783,6.1739467931113765e-06,2.6335497050015416e-05,0.02109347745951992,0.002871948881972865,0.01640728930774333,0.7457828838458207,0.03976705466716109,0.0001347578857281439,0.028368878451785814,3.503092524241852e-05,7.463036443815464e-06,3.187572155043812e-07,0.0005218396184933473
Neuroectoderm_and_glia,0.07417137337709709,9.040121419254868e-05,0.0017698273681878462,0.0006522351901864608,0.0013828107923379376,0.007841468959857592,0.0018248105587175985,0.0004378903927409565,2.3611681687469837e-05,0.00037237042209880677,0.003580381939113963,1.0562758919625938e-05,0.0001235725530622786,1.5220566970418387e-05,5.9449180686785385e-05,0.03172439406029026,0.0027119680899810564,0.004027504096181149,0.0017436534779794936,0.8656265328540426,1.4522579793779655e-05,0.00023362366992600776,0.0001631323720316159,9.935818742156512e-06,9.971276076000166e-07,0.0013877488975669882
Notochord,0.011417973315943993,4.098823270977268e-05,0.004823184911261634,0.0031826040525016106,0.0013099789640785185,0.07132562119175828,0.0008307014503326634,0.00547016437985845,0.00016429324188683574,0.0011930648169530145,0.00036872077746088637,8.088725651743146e-06,0.003967806675360643,0.0003447748762970767,0.0001969588824154617,0.3556556861010032,0.12792420306649815,0.010885539059379697,0.0025786754302916264,0.2907057941640817,0.0952136250650115,0.00015864530958614522,0.0001315411775442802,6.676001702277417e-05,2.933713043543385e-05,0.012005268984674931
Olfactory_sensory_neurons,0.32552362444707234,3.543386843681698e-08,1.1162111705351091e-06,5.5001489069314044e-06,1.6389630472469366e-06,0.0014114221972640485,0.0016796464826778754,0.00010478653292457658,2.7632872358335165e-09,0.0002607431455751331,0.005192753545762377,1.429010907178179e-08,3.552871671461537e-05,1.8236982522563882e-06,1.8852950332988437e-07,0.0031803558583620426,7.156516431838047e-05,0.000222320427548389,0.00827535918080481,0.011442561038736528,5.3826967576937886e-08,0.6422224829526589,1.2525189076404258e-07,2.5069116408750812e-09,1.482654554723905e-06,0.0003648660311102649
Primitive_erythroid,0.007888128400737266,1.832427087418815e-05,0.19875169684909672,0.0010603130102806672,2.9483276596462076e-05,0.003613632798834174,7.668706143943776e-05,0.00022478946902986974,0.00012712213194449176,0.00015158038096841936,0.00043197560183985955,5.717371275518242e-11,5.694798782016266e-05,0.000263872102470868,0.002678327381602056,0.01720529685001625,0.0009045383014954743,0.0014917406451762998,0.000488655430592238,0.020519099180173306,3.2206459378361014e-07,5.988306559660586e-05,0.7338977782718191,1.377833693753425e-05,8.128579427436353e-05,0.00996474127861666
Primordial_germ_cells,0.0393978588517099,2.6262040194724085e-05,0.3424063391715207,0.008573264050813632,0.0008587946235073502,0.07304552339932863,0.000455113835196646,0.00391858544393344,5.391778464066122e-06,0.0013742575224319276,0.00043311366724867493,4.4984413161494334e-07,0.0032606188378192574,0.0028465588666656424,0.0009895533050640686,0.05599814390092883,0.004675962587754315,0.007584970592386948,0.002316289160876749,0.08452934191594019,7.891078138739698e-06,0.000764190699909662,0.0016527098227418473,0.000171011986519761,0.004171995527461393,0.3605358074893113
White_blood_cells,0.03370058715414655,0.00023438436408409113,0.2026448208370595,0.011107801118017083,0.0006616398228426914,0.030456093825255014,0.00033453623793729223,0.001930829589299479,0.0006160543161556156,0.0016289796613563438,0.0006946080034497838,2.2693134621418927e-07,0.0006763551277563412,0.005692553542970656,0.04162367281721942,0.11077354691320665,0.008293655209892161,0.018185288679292578,0.0038123130493636294,0.12144485760642887,1.3222703066016728e-06,0.0004419042905199585,0.008425359130094921,0.00029305122834858376,0.0027556208959376043,0.39356993737771234
