,Aidpocytes,B_cells,CNS_neurons,Cardiocytes,Definitive_erythroid,Endothelium,Ependymal_cells,Epithelial_cells,Eye_and_other,Glands,Gut,Hepatocytes,Intermediate_mesoderm_and_kidney,Intermediate_neuronal_progenitors,Intestine,Lung_and_airways,Mast_cells,Megakaryocytes,Mesoderm,Muscle_cells,Neural_crest_PNS_glia,Neural_crest_PNS_neurons,Neuroectoderm_and_glia,Notochord,Olfactory_sensory_neurons,Olidendrocytes,Primordial_germ_cells,T_cells,Testis_and_adrenal,White_blood_cells
Gut,0.019350042628323127,0.004634893048424297,0.06111914311455755,0.0003659907099812985,0.05258047224946674,0.043864477565604035,0.004719152595986007,0.08827488152502627,0.009815190950023343,0.003666636545720298,0.11166178470672357,0.14282012031293717,0.015930924615369768,0.021297125213664118,0.08389569845710004,0.03665196162221807,0.004636615063870249,0.0013696939029609052,0.14309196219746284,0.04161889491827661,0.008278020683979943,0.007229779870006631,0.027204634708437005,6.608768329130839e-05,0.00503103529775103,0.000693943470134016,0.0003273549383694005,0.0043930858513643875,0.005245800146786936,0.05016459540618302
Hepatocytes,0.0019014120666027618,0.0009482521728975002,0.0117806552167799,4.99312891010783e-05,0.012745022064466725,0.0022930188969666476,0.00013543515760319443,0.0032691786169599993,0.001248164589842202,4.052589863596184e-05,0.0006542448650476888,0.9168887894155563,0.0008705301012703969,0.0042968071814442465,0.0018721474660767306,0.0011294649645023677,0.0003647384937602581,7.484543442272703e-05,0.020948589213085022,0.006381773035399278,0.0006743696984978522,0.0006276252788873086,0.003403776384586788,6.456819504534388e-06,0.00044603463224503827,0.00012419226039039056,7.344861629187754e-07,0.0004722132080548242,6.921453434721961e-05,0.006281856556902177
Intermediate_mesoderm_and_kidney,0.008301590516783766,0.002554078856768998,0.050749724515173456,0.0003754133464964163,0.028425143315379757,0.021665584726816393,0.0025882639868116003,0.06529653763572661,0.014083777182567241,0.00038292958613050395,0.011534461109949004,0.01207615842355902,0.4585229941807559,0.020331900856463657,0.024937151777053232,0.011291960518332297,0.0021154384505463098,0.0012330489839924097,0.16624312372493447,0.020404214336747203,0.00835746801453062,0.004038321281794461,0.028355819380877192,5.78139140353206e-05,0.006891220140535456,0.0006043384258556745,0.0007527731573798277,0.001769895619874379,0.005405477354683463,0.020653376679445334
Intermediate_neuronal_progenitors,0.0009288641157545066,0.0003629695920155822,0.06037419282927039,2.269026520850113e-05,0.0041314523867863745,0.000963518742996093,6.987525119045412e-05,0.0011853791494950059,0.0014407576787275047,6.10263958045493e-05,0.00022331977432981937,0.0013083248974981717,0.000549858052229356,0.900706234663833,0.0005798588026500393,0.00043876952415215266,0.00014368059608761282,3.2178178825484134e-05,0.008599772509570062,0.0018376213276310865,0.0004623165587817984,0.0006028091505851134,0.011452599641067943,2.7149233689069437e-06,0.0008427260380273146,0.000304089403483671,4.2852966128131973e-07,0.0001616983252830804,3.038475543057346e-05,0.002179887940254572
Intestine,0.025657439040807306,0.005898052696966471,0.03577322434285187,0.00033151264505550587,0.06341959396767376,0.05570099007919424,0.003746623323887937,0.0883748884458052,0.008472240343852218,0.00019499816270618283,0.041187456835578395,0.07275588650627454,0.016573026412268762,0.01514706727372689,0.2812158403613239,0.024858377327855553,0.006717183013976497,0.0013068120173901445,0.10841048270746799,0.0408155275856401,0.007078916144591873,0.0023445123291597502,0.02032323136986935,6.244776022118613e-05,0.005316625232438007,0.0004693247507610691,0.0018568059487319467,0.006532851463106064,0.002764024943865724,0.05669403696695155
Lung_and_airways,0.006398395013568928,0.002547922482077117,0.028416578896608993,0.00026131659342055655,0.028489795750350343,0.017941526631299973,0.0029258967129735247,0.02782224237158871,0.005240660033041705,0.0001303446156332614,0.011750225622648899,0.014423708079852644,0.007125251752807574,0.011590677030990133,0.019372241099357725,0.684378666885688,0.001704220967737345,0.00037112674004111194,0.06973596492305309,0.01621577476673086,0.0032772241758451783,0.0014510966949370491,0.014718440002566975,3.213082449191816e-05,0.0022104354036494725,0.00045986553930161205,0.00010442377715793807,0.0017398091307523967,0.0008006999656038178,0.018363337516223106
Mast_cells,0.008607335203567497,0.00924158355837062,0.03388588057605579,0.00048186922923076415,0.06155458705380019,0.03839630551024834,0.002965127519830753,0.043138495650085505,0.00802287535253266,0.00029051323611484355,0.01236322774974164,0.014896223001227284,0.008548142204642978,0.013566774955713456,0.0637005628358237,0.00863497965095534,0.13905459343385992,0.008834073130062438,0.0842921417706717,0.01806010453309399,0.005931937008195092,0.0021978632539992045,0.016123227428381515,4.263728168724275e-05,0.0034307839076814575,0.0007233119530592486,0.00021876263311021495,0.01164563254556075,0.0019206719758473188,0.3792297758568485
Megakaryocytes,0.0071474793930559385,0.004238782483973197,0.018861262276449835,0.002026813586388398,0.04713338278138705,0.014983707225727607,0.0008506298248660271,0.0940182737967465,0.003063910432099852,0.00022714698749851786,0.0042180754576859525,0.006920047158912865,0.00676667509347093,0.00783488160587945,0.03237677391065688,0.003320895860074893,0.013489060210234287,0.49610400590993736,0.05819670156820304,0.03603029652032147,0.0021238895300574536,0.0012465647985711473,0.010135019277959461,1.5848279997383445e-05,0.0010157767763346356,0.00027447450191097684,4.995711463655268e-05,0.004058185996815479,0.00431489994425788,0.118956581695889
Mesoderm,0.008214073626740596,0.003361971269437924,0.0653285339185449,0.000488508049115964,0.020936121247304085,0.017500742197896095,0.0009171442775881501,0.026681357337398716,0.0065995765106110086,0.0008824881914142256,0.004548164290023502,0.03652745650323761,0.010636016275668408,0.01972584515517354,0.007051481252584542,0.006237861516498976,0.001507061019636908,0.0003921102502107718,0.6779862352531675,0.02751253855840588,0.009592970335235824,0.005414020514695246,0.019384288173438437,5.326443592434867e-05,0.0038106543336496744,0.000887254118489806,0.0001149060824060279,0.0011828872909576398,0.001498695181401842,0.015025772833141843
Muscle_cells,0.03117672171960328,0.004026048356557083,0.041125170942471645,0.0031599702822198337,0.039962373728288834,0.027705108784581937,0.0009220457299119339,0.025776226108574732,0.0061477995561264,0.0001841228370498791,0.0050288592533644745,0.034714493947770174,0.007441186821899478,0.02357458698976878,0.015735091662954524,0.00660762052019436,0.0015806492905218433,0.0005101271097038536,0.17510092282277673,0.48290407723327416,0.0075063491342275464,0.003033271063520964,0.02485383677883996,5.1824659819912714e-05,0.0028627824542879557,0.0005235344295062601,0.00014415525967311285,0.0024778428521193318,0.0006366240567807741,0.024526575613610255
