,CNS_neurons,Cardiocytes,Definitive_erythroid,Endothelium,Ependymal_cells,Epithelial_cells,Eye_and_other,Gut,Hepatocytes,Intermediate_mesoderm_and_kidney,Intermediate_neuronal_progenitors,Lung_and_airways,Megakaryocytes,Mesoderm,Muscle_cells,Neural_crest_PNS_glia,Neural_crest_PNS_neurons,Neuroectoderm_and_glia,Notochord,Olfactory_sensory_neurons,Primitive_erythroid,Primordial_germ_cells,White_blood_cells
Intermediate_neuronal_progenitors,0.6990036834811388,2.6486067745319805e-05,1.433240023089878e-05,0.0016587531119365327,7.639044128397187e-06,0.0035904677850366684,4.259567425071838e-05,0.00012952984012312385,0.0001429825616333684,0.0003781140187962424,0.01062390281678371,9.406799502565587e-07,2.52783088259675e-06,0.035011335558230425,0.0003528777386291592,0.002860270620375664,0.022788418034382717,0.2050942740559978,5.747848156553608e-06,0.018080340363126453,6.161956519580891e-08,2.6698076413340344e-05,0.00015802077248600722
Megakaryocytes,0.023970231002529728,0.00037247975051005433,0.04874004718726318,0.2093227483411635,0.0010650087559954914,0.020874831226765037,9.587400416655523e-05,0.00676257437062439,0.00037693708972587445,0.0012396889092353284,4.09969640980038e-05,4.710276528908147e-06,0.38053830781917575,0.11919291294086197,0.0013253424187781623,0.022860275102962683,0.0032660339142494585,0.10689131072651598,3.496937854651965e-05,0.00011948443712242597,0.004286449196442517,0.00018504728752219356,0.048433738899216296
Mesoderm,0.0015096609379506736,0.0004999136325196568,3.342878989025053e-05,0.004301709493444482,0.00019932377758891543,0.012277483668492944,8.311905365012162e-05,0.0016377144130828667,0.00028750579168093654,0.005214164383833338,1.0276749662814643e-05,0.0004980179254609684,9.366966671349627e-06,0.9262857232198926,0.0034138319724253264,0.0037920723295920182,0.0012336228701232267,0.038280560719419626,0.00018167685955679981,1.1753118737118378e-05,0.00013937563618087394,2.827823783455059e-05,7.141945230855563e-05
Muscle_cells,0.0013441782973950247,0.052844332812992334,3.2747640419011176e-06,0.004865154012791285,9.863728769761983e-05,0.01823712644562048,6.60347848935234e-05,0.0007007320318306696,0.001981779408032958,0.006343567088479248,3.2725071308661795e-06,3.256003895248825e-06,0.0009083174828678584,0.3845006708522969,0.46859373240654545,0.00781369185916235,0.0024745822143913674,0.049090778849317104,6.23135546907244e-05,2.3773388618877334e-05,3.9815289429020716e-07,6.612887575558605e-06,3.378290683838731e-05
Neural_crest_PNS_glia,0.004342925363951666,6.989659748568153e-05,0.00016777657222206388,0.0066856501220649706,8.685279507010489e-05,0.018988088187784538,0.00018480675174512308,0.0010576240250725103,0.0001717285377902994,0.0010127485950811128,2.676735916102559e-05,2.857630050659083e-05,0.0009809432299718334,0.0891113300700728,0.0009919512302134213,0.7449591918472573,0.03257618543085589,0.09641538770840644,2.0004278194476956e-05,4.54316696871854e-05,4.3525913424311077e-07,0.00018315323213354687,0.0018925448361371208
Neural_crest_PNS_neurons,0.025213584267307257,2.9936389531851036e-05,1.9747421058611048e-06,0.0005837350458788322,0.0006742281163408727,0.009322652337126551,8.819439155842474e-05,0.00023753202086955602,0.0015559234851950186,0.003899072579308183,4.985598840916676e-06,1.3835523169976828e-06,0.0015255288394485323,0.024129129831141478,0.00031333282181676296,0.02758103995105572,0.87229818462862,0.02997062758607025,5.056011925827612e-06,0.0017978687675789188,3.9422054256207705e-08,3.7825325773260968e-06,0.0007622070813306544
Neuroectoderm_and_glia,0.02183234275675321,0.00013293018591276878,5.1262150808875856e-05,0.0012321453296494386,0.0005724560937627671,0.007778854885980111,0.0008034402111961578,0.0007735875397754188,0.00019288823730907726,0.0009916254587718479,0.00013796673464038745,1.0898031870708344e-05,3.4478886615150044e-06,0.04728387574700708,0.0005587886442137696,0.004117366310287994,0.001965998632853308,0.9111532983787228,0.00011282702101476879,0.00010223805089898685,7.960954668247466e-05,1.7037354725728164e-05,9.511480850081943e-05
Notochord,0.04876290673469606,0.0004725145085881808,6.284013604900172e-06,0.027961883645157736,0.0005528536480116932,0.03652307514030959,0.01701864856374382,0.0029521924753787066,0.00014713228023671257,0.00403282484411722,1.9400364709699196e-10,0.00010396554006174185,4.705837133139421e-06,0.12440753622783252,0.0009446318663330975,0.006961897005330914,0.0027452183873428833,0.41297832288577196,0.31333012227146123,1.984533310716378e-05,1.669401995765739e-07,5.896844920053003e-07,7.268197308547829e-05
Olfactory_sensory_neurons,0.482180036342861,1.0922129532713322e-06,4.8052804535980854e-08,0.00015646349965925098,0.00012197677487063497,0.00037284256491119857,8.401015573904387e-05,6.1250048171596655e-06,4.6431313914157454e-08,1.7340340002808477e-05,0.00025940720468614956,8.323559014435515e-08,1.684140032292918e-07,0.002204117767105181,2.1749416950649766e-06,0.0021179827623693517,0.11251788704522431,0.016123808294706957,2.8661939466881608e-09,0.38383427226731676,2.6058557312700213e-10,1.708543215862662e-09,1.1185204732314228e-07
Primitive_erythroid,0.014534498642686465,0.00034695188700574215,0.007414925417500061,0.028437884676661935,0.00043007088473200576,0.03971756270922742,0.00048119205424115955,0.004320753761408446,0.0032656698196813832,0.0056467876140491365,0.00022570743870180688,5.736440956530793e-06,0.0029629797367630582,0.2795999363127574,0.0027195883594717247,0.016921201811394723,0.008904506500037832,0.29505005636767423,0.0003471025284329924,0.0002275035088484805,0.2746876492896258,0.0011723322158091732,0.01257940202233248
Primordial_germ_cells,0.004910870751075175,0.00022074531408026844,9.421532415070449e-05,0.08224451257543251,2.9112481018530974e-06,0.04440837572456642,6.846136729784728e-05,0.002696850243845501,0.003459951487883895,0.002723741483765837,2.6765316290503375e-06,1.5368751897543602e-05,1.4887490973750474e-05,0.34492917656411426,0.0021465429294027834,0.055133396716057444,0.007570023852371329,0.4433446969289051,0.00036769009786638286,0.00013488715455626913,7.336912690185015e-08,0.0037142351382522683,0.0017957089546468935
T_cells,0.04441168560060643,6.30540986332495e-05,0.005202334902268564,0.10261352309928677,2.4027881820270934e-06,0.05742433222075434,2.5924969386810978e-06,0.01751613853701295,0.0005200150368923809,0.005766905862868454,0.0005196450108206355,1.9107083322209937e-09,0.0012023656395540204,0.3869886992422418,0.0035515981301740066,0.024914367055920997,0.019447835517486498,0.317259555305504,0.000635334823394596,2.722964170911324e-05,0.00011842315680709858,0.0007879187440715689,0.011024041178163566
White_blood_cells,0.006218106519201875,0.010462116506097066,0.02335641731908489,0.25805834073930556,0.0003168552665244022,0.02242201019909844,0.0001573254275411565,0.005857073733283369,0.0006069997940121673,0.0027171410765718306,8.29127679828074e-05,1.4884208292313104e-05,0.01799700605076066,0.1310447610481711,0.0020436176673982306,0.03347013163608802,0.0053072856092051535,0.15885986472800767,9.431561243703101e-05,2.7182490302994214e-05,0.013232268463899887,0.012024476257283928,0.2956289068794495
