,Aidpocytes,B_cells,CNS_neurons,Cardiocytes,Definitive_erythroid,Endothelium,Ependymal_cells,Epithelial_cells,Eye_and_other,Glands,Gut,Hepatocytes,Intermediate_mesoderm_and_kidney,Intermediate_neuronal_progenitors,Intestine,Lung_and_airways,Mast_cells,Megakaryocytes,Mesoderm,Muscle_cells,Neural_crest_PNS_glia,Neural_crest_PNS_neurons,Neuroectoderm_and_glia,Olfactory_sensory_neurons,Olidendrocytes,Primitive_erythroid,Primordial_germ_cells,T_cells,Testis_and_adrenal,White_blood_cells
Muscle_cells,0.0696736177898767,0.005527432819577405,0.002822969711103432,0.0254266588665016,0.011602019495739227,0.0476478061232605,0.0024976363951360043,0.030949353116980854,0.005397351274723817,0.0030561777652827974,0.032007022601312975,0.0012242001995462215,0.011500299516283827,0.0023294707431978827,0.02527658555194265,0.006861567263407188,0.006325533397984702,0.0002703541448402479,0.04642281895616555,0.5310309348326053,0.02775121385648755,0.0006202297888728475,0.008981577745946486,0.0023385716270868614,0.00013561485222293436,0.009478612479886062,0.014367428118588335,0.049994951272846436,0.0052974827644836535,0.013184506928109983
Neural_crest_PNS_glia,0.025596701806629325,0.005103010923067386,0.0045525647967740715,0.0010736822653119767,0.011432405164910816,0.05707976489165629,0.005815758176373176,0.05780973555980177,0.01608675421062801,0.005133467500989085,0.03263882700363273,0.001183752375173901,0.019154918345189325,0.003470905520406554,0.029516502733532585,0.008091908326948428,0.015595815874347229,0.00034675684750502144,0.07049384298018703,0.04116868420385419,0.4020480999750244,0.0009924801298157558,0.021300864471465758,0.003996181954451039,0.0005753547571707298,0.008393942771289147,0.02026515921421745,0.05040629071455086,0.06242981845242752,0.018246048052668492
Neural_crest_PNS_neurons,0.013957622997903617,0.004856757682401462,0.019362084020377847,0.0014300159705876866,0.006198734801176135,0.020938937891865246,0.004933997849266979,0.03295909892758107,0.02218361136211645,0.05716103153817351,0.052877536411860264,0.0008362119897512649,0.029201989168210086,0.004629539660664653,0.010436326901728944,0.0033719738923773794,0.004881045177477212,0.00014244112714920383,0.04880137231124878,0.019753442518977895,0.03578329730238819,0.4174823643006566,0.011569345974309983,0.09741800748181746,0.0004627769973199912,0.004188568212933032,0.013448730662386006,0.017943623899969424,0.03577626395450345,0.007013249012820167
Neuroectoderm_and_glia,0.018560435501930258,0.004497910354765717,0.0105857289637438,0.0021394307119995217,0.01146797642086089,0.02800223399324749,0.00796366012120096,0.04553802654262056,0.03712012967109596,0.02166491732778547,0.025253517388576063,0.0011646783601932708,0.01606718440310071,0.017314635104311214,0.016760364065577696,0.007431645829210504,0.0073958946841105235,0.0001282631411237251,0.046185288277178056,0.03718927105858466,0.12253367075907468,0.0010995942794744299,0.41580489006765725,0.006496930452549352,0.0026917238544280947,0.007449403822286216,0.009479516124020692,0.032841961616749196,0.02886228058297563,0.01030883651956743
Olfactory_sensory_neurons,0.021100919600055487,0.019770668731797867,0.00813452150787592,0.0008521191737978902,0.008181795441553584,0.0360239742587537,0.014935213074855855,0.03958361578300533,0.025287466011465917,0.017224864957772895,0.027301806835355075,0.0008564256093637987,0.021931648157054548,0.005787659876438029,0.01860571271863966,0.005414380202253437,0.008520418740245402,0.00014889919773247303,0.05090070865808642,0.017488537278637466,0.024604672456852494,0.002499295154669598,0.013442455731274837,0.5101463772066251,0.000486936621767881,0.006752253945750454,0.021558966391960206,0.02881175639358719,0.03280687690121562,0.01083905338155584
Olidendrocytes,0.004396960378703454,0.001192664443267136,0.014565884928823528,0.0018083390134678425,0.0034484883785516067,0.013038386369438984,0.004103951379612933,0.014888180299190144,0.0477840889188237,0.007708920585672325,0.009567928090155865,0.00042202506416968814,0.004842776137544836,0.005745784226757308,0.0052868004973163985,0.0024347565065670476,0.005869215208260042,6.142686804901081e-05,0.02573745837885609,0.008116189832373964,0.14615052244182522,0.002663458609701223,0.16214931894155962,0.0034515137800999883,0.4589781713074818,0.0027707881871652995,0.0038927309006481525,0.012175857752475127,0.0218067125184566,0.004940700054985058
Primitive_erythroid,0.005635653689871334,0.0041567251874212886,0.0036779630192877314,0.001442013904999192,0.012275124963954923,0.17876222956591828,0.009630909440344894,0.16535203480526278,0.010469215182259956,0.004867037879967597,0.019748632331911962,0.0008569781179323656,0.006737712294586077,0.0027103957667469246,0.015179429061953742,0.005440622183673821,0.02716646524029267,0.25576884727323307,0.14649664320477024,0.010860061436884887,0.023112898921881612,0.0008711760131637752,0.009821974909638664,0.0038579105933020203,0.0006194785963716559,0.007376019787364172,0.0037740049545163046,0.033264563862282055,0.004539560205825483,0.0255277176043805
Primordial_germ_cells,0.009775530581693285,0.0017998683097565705,0.00016981996365257647,0.00010433797470639047,0.0008449822810747861,0.028431845930075555,0.007511673521906395,0.05082476529685419,0.0020006268822075554,0.00033825426482834607,0.03222173091315529,4.341557375472361e-05,0.011172874870425821,0.0001004976587803388,0.10451384670974465,0.005293676182840641,0.013592398773823384,0.0003229328442681765,0.008137240103534187,0.008515508875753936,0.019570386106878616,6.322950525592846e-05,0.0011634493753741276,0.001161473923771016,1.083146984672889e-05,0.002098483273777097,0.580510916391667,0.04678488911947104,0.05538179000060058,0.00753872332052108
T_cells,0.02993771014532173,0.018699715785281876,0.003926282931526045,0.0009446255720786733,0.03178230821165127,0.049627935963634094,0.005969470179323158,0.03550467805596388,0.008525394300498193,0.0027468452578672223,0.038487641071514034,0.0016476697823358502,0.010419432559327441,0.0028806346413882003,0.05868434806917914,0.008568841431951009,0.08645085648190641,0.0018326997213924843,0.03519307985972033,0.03771695297865784,0.02408101149350694,0.0008169162118540511,0.01052441403879746,0.003432774610580881,0.0002375111036309762,0.03348171494447817,0.024129347137381695,0.3429371576361122,0.0062892123261998915,0.08452281749693882
Testis_and_adrenal,0.015733041851927608,0.0020442866973867653,0.001162573513744409,0.00035803239187083823,0.0032359825499952578,0.056238365008144234,0.004568059207561083,0.05316746310055686,0.0034218037449798037,0.0019367053254430806,0.05049264148592967,0.0009447773972169391,0.023544993797329026,0.000936245085926814,0.04444782559825082,0.008268383800466354,0.022955306453095976,0.00018620265886900715,0.022965642270450976,0.021064945249772905,0.014121340729247122,0.0002509740448350386,0.00432798568167181,0.0017432620705188635,6.172001686033203e-05,0.00416554254464772,0.013252668272811127,0.026425790426328234,0.5841719181442055,0.013805520879955737
White_blood_cells,0.02021814734061735,0.016041713133530977,0.003333492964984478,0.0008805377456075322,0.022123024278714758,0.05523355780363277,0.0050749444414498295,0.02748978747847226,0.0070781243417697955,0.0024137727899125874,0.025838733199577288,0.0013747762678480546,0.007680413455933565,0.0024741702241519725,0.031513479192547864,0.005773393544552143,0.14242691066289503,0.002662453151423727,0.029862726662172673,0.027567141270312123,0.020399187139261078,0.0006878661934519933,0.008364598422218001,0.002696743750766353,0.0002167142705983733,0.019437695283296298,0.013096429650964865,0.268166994071351,0.017446102898665026,0.2124263683693203
