,CNS_neurons,Cardiocytes,Definitive_erythroid,Endothelium,Ependymal_cells,Epithelial_cells,Eye_and_other,Gut,Hepatocytes,Intermediate_mesoderm_and_kidney,Intermediate_neuronal_progenitors,Intestine,Lung_and_airways,Megakaryocytes,Mesoderm,Muscle_cells,Neural_crest_PNS_glia,Neural_crest_PNS_neurons,Neuroectoderm_and_glia,Notochord,Olfactory_sensory_neurons,Primitive_erythroid,Primordial_germ_cells,White_blood_cells
Lung_and_airways,5.6306449281626245e-05,1.511201467841377e-07,3.036035181172178e-06,0.004902237071494622,5.519460702068862e-07,0.05653696107648609,9.406286108550894e-06,0.02075492021946577,6.6412548813593685e-06,0.004051737002278086,1.44944663577778e-07,2.5117658943645924e-09,0.40080240177166,1.7885199013976929e-07,0.5097648477017523,0.0007429795769833085,0.0005538126543687439,2.8555641483624483e-05,0.0017785553269713495,7.446001823925325e-08,1.41990454270291e-07,3.199775433745199e-07,1.7917591236059852e-06,4.244369827285592e-06
Megakaryocytes,0.02393044565948648,5.732222417067988e-05,0.0901683362797906,0.0040099464609529316,0.000681650199568067,0.000825100351453291,9.13000018390349e-06,1.1809456898015654e-05,0.00047631678063140805,2.3428230967931687e-05,5.644339677645247e-07,1.0317462141350557e-07,5.043450663433603e-06,0.7351710926481717,0.0025358617561276812,0.00408132348420917,0.00029112719831894863,0.004113200325611599,0.0010880758529130358,3.6351761961594925e-06,9.957263892968617e-08,0.021946438128650395,8.101023409381525e-06,0.11056184813039703
Mesoderm,0.005174229816794451,0.0003187356906146979,0.005455754633963882,0.002158955461548888,3.46169293237151e-05,0.008194104905112503,4.053089258269121e-05,0.001118426451975432,0.0029752866273980183,0.0017997270334695278,4.053685886735632e-05,1.947519688079115e-06,0.00047731534606204487,0.0006107454527277935,0.9257789548594776,0.015982333883628116,0.002341207588317719,0.0018902994256370215,0.015324255828280271,9.473733907689373e-05,2.9981833725736845e-05,0.008225109561937644,5.490603338894923e-05,0.0018773000264010326
Muscle_cells,0.004553036023143947,0.01032012371617682,0.003546381284552047,0.0006936415155544626,3.969552001153001e-05,0.005736434606192739,3.461437662727383e-05,0.0004905753508256352,0.001841599082207007,0.00036361299926415956,3.0299371602913055e-05,5.226216549135872e-07,3.805639221173244e-05,0.005758928375615813,0.19205049482593614,0.7557644563728225,0.0016250074355773358,0.0017535524244013327,0.011796893113436596,3.6016351854687695e-05,3.5069895248696626e-05,0.0025955046214372088,5.1301083073083776e-06,0.0008903536153372139
Neural_crest_PNS_glia,0.03157442650381291,0.00015707113868348793,0.010676091934743007,0.0022050781470652567,4.510691498746936e-05,0.015733364183332897,0.00013838802296683026,0.00150029609865099,0.0024819472961478965,0.00120488746124782,0.003123629682147826,0.0004877106159303173,0.0034660325050719387,0.0018457932406746472,0.18385388528537763,0.009361312256887236,0.6290594025044597,0.03307476847009841,0.04993985716310294,0.0001238075576093368,0.00022540372776013029,0.011374483247969592,0.00025321297479284036,0.008094043066478911
Neural_crest_PNS_neurons,0.04901514719196542,8.947326057145882e-05,0.00265176598935836,0.000515475923533129,1.9599543768283097e-05,0.005364117312551601,4.3956258283470265e-05,0.0003684817445182821,0.0004884209998877431,0.00034233934246925737,0.0022194487986038937,2.2562446807428348e-05,5.586290942722735e-05,0.00020373418339707656,0.03700990247566922,0.0031573000433591483,0.025838508201254592,0.8488400281465285,0.014216464580593738,1.5317605881039153e-05,0.0041283205779375125,0.0038371772360502785,2.2686878428677402e-05,0.0015339083491546863
Neuroectoderm_and_glia,0.10538100441809305,0.00015620014501466776,0.006479503588646801,0.0016837707912177968,0.0008562028493540417,0.019677393592242493,0.001399992632098092,0.001613375149640986,0.001807820388138115,0.0021942610212752445,0.0017530624663767618,8.009743186878965e-05,0.00023990729561273628,0.0006127920494336739,0.12626024176715306,0.0096855761999463,0.007865017648205876,0.003987435431653542,0.6906352144735101,0.00015576497002091997,0.0002728436761769861,0.01331548763101165,0.00019975953935038804,0.0036872748439579703
Notochord,0.07760529212322491,1.9259418858169923e-06,5.820787458635546e-06,5.089459950239684e-05,8.998961780051569e-07,0.0017159007239644724,9.740842567221034e-10,9.462927109386312e-05,1.2438824329625286e-05,2.7867128637150085e-05,1.8515727821274376e-09,7.748119507102805e-07,9.348280504758242e-07,1.3621733727317141e-09,0.5094371432918142,0.08836564412793046,2.446367657105696e-07,8.699424134109682e-06,0.05840229982241962,0.26420262429447816,4.3119403403879996e-13,8.505309214230634e-14,3.2104005565415563e-14,6.596127780292292e-05
Olfactory_sensory_neurons,0.7035138120739234,1.2654104663918146e-06,0.00012203536070358784,4.286441320374225e-05,1.3336918053742656e-06,0.0022162378645753465,4.570560648430585e-06,0.00013321214854401055,0.0017163135611937702,0.00020451053888631437,0.008324743378402928,5.5703151294646124e-11,1.943497894298505e-06,0.00016927284278041033,0.03522076512689468,0.005335432560537536,0.0007879166055464981,0.14584978152375086,0.011174961167579402,9.22489649223898e-05,0.08417293560699286,0.0007312476050574812,5.3051764698527e-07,0.00018206492234021357
Primitive_erythroid,0.0006279383319306583,3.124403999026701e-05,0.055666173068981174,0.002420010832986784,0.0011315819992193778,0.0008528242784547864,2.05154372179924e-08,1.0457278096413964e-07,0.0011158399695749264,1.6436110324354751e-06,6.526493808701285e-09,2.0443469894344578e-10,3.869807159890904e-07,0.0028073961020112235,0.001659255419634635,0.0008557151038330951,3.1240020023536796e-05,3.387960657615423e-06,0.0002603420676365469,5.7602742481530245e-09,1.3228701955861904e-09,0.9282468303932881,2.4162113202770838e-08,0.004288026755624507
Primordial_germ_cells,0.0002235745424105555,0.0007088100095948004,0.8406595848513055,0.001725339273754678,6.976919650583535e-06,0.005493082200325934,3.6118557589054222e-06,0.00016047856659878629,0.0029836484012462604,3.6631692733105595e-05,5.79056079930067e-08,2.781953617909411e-08,0.000906788720040079,0.0005122540109425763,0.0385632293488259,0.0011020987253757936,0.003676202988551592,0.0002660243752073139,0.014336946018997118,1.916027226544887e-05,1.0540837189427693e-07,0.0017770913611016266,0.0033843725643901866,0.0834539021674071
White_blood_cells,0.0020796767373791243,0.005331562242873074,0.26709740088078265,0.007656599420742368,3.599448113176971e-05,0.0039748323838516425,4.1895425016788566e-05,0.00018279088262681777,0.011615772545819362,0.0002507633923382589,1.9308755656881156e-05,8.53184155906356e-09,0.0001064683451782119,0.08821521520565719,0.03869357580935757,0.0014997302585803042,0.0032595905704789247,0.001095958473654008,0.01854625649577118,2.907675848469647e-05,3.0239507063028082e-06,0.10733053032013919,0.00011908294291400117,0.4428148851890181
