,Neural Crest/Mid-HindBrain_3_corr,Neural Crest/Mid-HindBrain_3_pval,Neural Crest/Mid-HindBrain_3_qval,Neural Crest/Mid-HindBrain_3_ci_low,Neural Crest/Mid-HindBrain_3_ci_high,gene_annotation
ENSMUSG00000039787,-0.06987142617499618,1.5146380131831175e-30,2.8126982603214813e-30,-0.08174279455426305,-0.05798023425630176,Cercam
ENSMUSG00000087172,-0.06988286006434168,1.4819304283060813e-30,2.752471077834475e-30,-0.08175420776159484,-0.05799168561553314,Gm12153
ENSMUSG00000020653,-0.06988409786449017,1.4784319268889877e-30,2.7464832377651636e-30,-0.08175544332258092,-0.05799292530710921,Klf11
ENSMUSG00000023031,-0.06988456801452722,1.4771052504273608e-30,2.744528521789968e-30,-0.08175591262211386,-0.057993396175571324,Cela1
ENSMUSG00000060121,-0.06991970344845087,1.381231787965578e-30,2.5668682177394125e-30,-0.08179098448093843,-0.05802858531408538,Gemin2
ENSMUSG00000082932,-0.06999452220084681,1.1971693772272901e-30,2.2252218907570447e-30,-0.08186566775609579,-0.05810351852556878,Cyp2j8
ENSMUSG00000044068,-0.07000685399972083,1.1692623348017358e-30,2.173754108201777e-30,-0.08187797721250191,-0.058115869202714984,Zrsr1
ENSMUSG00000086899,-0.07000799650299136,1.1667097498812357e-30,2.1694119558966824e-30,-0.08187911764562814,-0.05811701345518365,1600002D24Rik
ENSMUSG00000030786,-0.07001406634910964,1.1532409417782678e-30,2.1447664901957746e-30,-0.08188517649304443,-0.05812309259489647,Itgam
ENSMUSG00000030047,-0.07001454718713114,1.1521805972151777e-30,2.143193075177042e-30,-0.08188565645973878,-0.05812357416917097,Arhgap25
ENSMUSG00000018920,-0.07002753498454402,1.1239030983403881e-30,2.090982508540257e-30,-0.08189862071986527,-0.05813658185542591,Cxcl16
ENSMUSG00000021928,-0.0700399951796474,1.0974220723064554e-30,2.0420954080879334e-30,-0.08191105833005981,-0.058149061135223265,Ebpl
ENSMUSG00000075289,-0.07004147599253442,1.0943164388489193e-30,2.0366954007982864e-30,-0.08191253645863195,-0.05815054421644871,Carns1
ENSMUSG00000025358,-0.07009483134601796,9.880516500860584e-31,1.83960463616842e-30,-0.08196579505839154,-0.05820398133573186,Cdk2
ENSMUSG00000032372,-0.07010913265051172,9.613528900319337e-31,1.790228845497083e-30,-0.08198007041761213,-0.058218304568211636,Plscr2
ENSMUSG00000036545,-0.07012007623053439,9.414073280348156e-31,1.7534127920186543e-30,-0.08199099414061954,-0.058229264931175674,Adamts2
ENSMUSG00000041729,-0.07013151639761905,9.209957498482942e-31,1.7157148842181334e-30,-0.08200241354658745,-0.05824072264582627,Coro2b
ENSMUSG00000006542,-0.07016104754463377,8.703142174244622e-31,1.6216027900586218e-30,-0.08203189108735554,-0.0582702991038406,Prkag3
ENSMUSG00000070280,-0.07028266691890214,6.891788206327792e-31,1.28482255897237e-30,-0.08215328947384577,-0.058392105304323295,Slc22a14
ENSMUSG00000025813,-0.07035190030913778,6.033400598228436e-31,1.1250047731173665e-30,-0.08222239690660833,-0.05846144520591722,Homer2
ENSMUSG00000102574,-0.0703548174606615,5.999661989745185e-31,1.1189224150960807e-30,-0.08222530874840285,-0.05846436684782,Gm33206
ENSMUSG00000008090,-0.07037007433034326,5.826234657338287e-31,1.086781320152637e-30,-0.08224053784459479,-0.058479647205760175,Fgfrl1
ENSMUSG00000052889,-0.07037902833447732,5.726779875557921e-31,1.068429081260806e-30,-0.0822494755463462,-0.05848861499735856,Prkcb
ENSMUSG00000020091,-0.07040896416189685,5.406350570301359e-31,1.0088357100767603e-30,-0.08227935685631904,-0.058518596934195026,Eif4ebp2
ENSMUSG00000026009,-0.07042032334369139,5.289477348441214e-31,9.872111512581586e-31,-0.08229069534582432,-0.05852997361787116,Icos
ENSMUSG00000021186,-0.07044918940785862,5.003640908031144e-31,9.340378771758716e-31,-0.08231950881271652,-0.05855888417188814,Fbln5
ENSMUSG00000026062,-0.07045136855771872,4.982695781415124e-31,9.303016768885594e-31,-0.08232168399111041,-0.05856106668117477,Slc9a2
ENSMUSG00000015627,-0.07046189303946025,4.8827573939818905e-31,9.118127719854137e-31,-0.08233218929055805,-0.058571607389294615,Gata5
ENSMUSG00000028125,-0.07048745192299637,4.648262121850231e-31,8.681849312383696e-31,-0.08235770157858412,-0.05859720568990492,Abca4
ENSMUSG00000050912,-0.07051498592284576,4.408142736547912e-31,8.234901431996847e-31,-0.08238518536475024,-0.05862478217036117,Tmem123
ENSMUSG00000071267,-0.07053953123085313,4.204491239451005e-31,7.857393458140544e-31,-0.08240968589432211,-0.05864936536319541,Zfp942
ENSMUSG00000041445,-0.07056101535636432,4.033920418458193e-31,7.540038165342416e-31,-0.08243113081419104,-0.058670882660540276,Mmrn2
ENSMUSG00000047379,-0.07057134944072373,3.954338713970042e-31,7.392669123144591e-31,-0.08244144603631967,-0.0586812327048266,B4gat1
ENSMUSG00000001632,-0.07061054134939497,3.6664368198682903e-31,6.855715818751477e-31,-0.08248056638706153,-0.05872048516458686,Brpf1
ENSMUSG00000045287,-0.07062498933632336,3.5656363609862848e-31,6.668480196346147e-31,-0.08249498798513212,-0.05873495548277909,Rtn4rl1
ENSMUSG00000005705,-0.07064803744247401,3.4104997722030777e-31,6.380729227695187e-31,-0.08251799398424874,-0.05875803922315185,Agrp
ENSMUSG00000035407,-0.0706961265790906,3.1080587492381597e-31,5.817066721389032e-31,-0.08256599522514964,-0.058806202750375694,Kank4
ENSMUSG00000027447,-0.0707011579189048,3.0779972122809465e-31,5.7618817152395106e-31,-0.08257101736566665,-0.05881124187652736,Cst3
ENSMUSG00000057969,-0.07070918877773541,3.0306109196894126e-31,5.674238756205603e-31,-0.08257903353963308,-0.05881928516490874,Sema3b
ENSMUSG00000038147,-0.07073693581754477,2.8723940717431245e-31,5.380022610494707e-31,-0.08260672983064293,-0.058847075161351174,Cd84
