,Endothelial_corr,Endothelial_pval,Endothelial_qval,Endothelial_ci_low,Endothelial_ci_high,gene_annotation
ENSMUSG00000041445,0.22426792081706098,6.02023729141763e-307,7.426890317564311e-307,0.21289842952680768,0.23557668743138632,Mmrn2
ENSMUSG00000058952,0.2242619223314962,6.258757000250545e-307,7.720188726101574e-307,0.21289239964807333,0.2355707217911873,Cfi
ENSMUSG00000014813,0.22421014571365783,8.752270487027082e-307,1.0794610862144896e-306,0.2128403520924817,0.2355192286464744,Stc1
ENSMUSG00000019767,0.22412504090972557,1.518492557549753e-306,1.8726015014795328e-306,0.21275480209056702,0.23543458964704722,Ccdc170
ENSMUSG00000061535,0.22411122062031408,1.6605878446202484e-306,2.0475805728979633e-306,0.21274090952127872,0.23542084498409696,C1qtnf7
ENSMUSG00000043659,0.22405728754176887,2.3541981254468867e-306,2.902118004742217e-306,0.21268669441763158,0.2353672069912542,Npsr1
ENSMUSG00000000365,0.2240148508348826,3.098017864564201e-306,3.818584820121041e-306,0.2126440358513117,0.23532500242118895,Rnf17
ENSMUSG00000038903,0.22401194461522347,3.1568142360048644e-306,3.890577071733873e-306,0.21264111443949943,0.235322112097541,Ccdc68
ENSMUSG00000034320,0.2239885317238096,3.673024488020011e-306,4.5262162514109804e-306,0.21261757916549828,0.23529882725920614,Slc26a2
ENSMUSG00000025946,0.22376140106120784,1.5947950289919895e-305,1.965001267856074e-305,0.21238926194271723,0.23507293817765523,Pth2r
ENSMUSG00000070732,0.22375866820218557,1.6232037219328764e-305,1.9997581889033836e-305,0.21238651481444293,0.23507022025002192,Rbm44
ENSMUSG00000097850,0.22368086844296511,2.683041681537749e-305,3.3050525764199917e-305,0.21230830890974983,0.2349928454873634,4631405K08Rik
ENSMUSG00000093587,0.22367137926082076,2.8526063250708056e-305,3.5134946730764944e-305,0.21229877020029442,0.2349834081319427,Gm20554
ENSMUSG00000018830,0.22365891489649686,3.0917106155617713e-305,3.807525388622871e-305,0.21228624078345157,0.23497101184054708,Myh11
ENSMUSG00000034833,0.22362889213924042,3.7531006134728483e-305,4.621475943200157e-305,0.21225606135036282,0.2349411530345885,Tespa1
ENSMUSG00000089678,0.22362882241071746,3.754790656869249e-305,4.62298775778041e-305,0.21225599125798203,0.23494108368682126,Agxt2
ENSMUSG00000025321,0.2235323740549313,6.997840352904313e-305,8.614847165953851e-305,0.21215903972674155,0.2348451618813181,Itgb8
ENSMUSG00000102085,0.22352826204880016,7.186020682462074e-305,8.84542181494593e-305,0.21215490627306371,0.23484107231938173,4930435C17Rik
ENSMUSG00000051354,0.22338486931937984,1.812234113582174e-304,2.230167503792978e-304,0.21201076588531517,0.23469846200716404,Samd3
ENSMUSG00000027080,0.22318064075112645,6.758804528672665e-304,8.31648151676223e-304,0.2118054733113413,0.23449534696387686,Med19
ENSMUSG00000070985,0.2231690334472158,7.283531192710634e-304,8.961037392606588e-304,0.211793805564953,0.23448380291734203,Acnat1
ENSMUSG00000098685,0.22313674773786876,8.967120363755528e-304,1.1031025173767412e-303,0.2117613517519414,0.23445169314156766,Gm27224
ENSMUSG00000021367,0.22308906967833592,1.218969908314266e-303,1.4993479807063544e-303,0.21171342549048108,0.23440427484754014,Edn1
ENSMUSG00000025127,0.22302253591276888,1.8707339916772276e-303,2.300742825823672e-303,0.21164654545559955,0.23433810348947587,Gcgr
ENSMUSG00000041624,0.2229184930678167,3.654051375469277e-303,4.4934227440596124e-303,0.21154196134209066,0.23423462715271928,Gucy1a2
ENSMUSG00000059060,0.22289909179175668,4.139779540977671e-303,5.090101488967995e-303,0.21152245916238716,0.23421533148729357,Rad51b
ENSMUSG00000090164,0.22287276517589613,4.903644223095536e-303,6.02857662047644e-303,0.21149599563953198,0.23418914816582145,BC035044
ENSMUSG00000031788,0.2228354234041744,6.234675944111976e-303,7.664014682374893e-303,0.2114584597070201,0.23415200961524665,Kifc3
ENSMUSG00000030498,0.22277352236603312,9.282364927803062e-303,1.1409003106935916e-302,0.21139623688462983,0.23409044538177728,Gas2
ENSMUSG00000046167,0.22272874007640078,1.2378530050840847e-302,1.5212646000787573e-302,0.21135122185775884,0.23404590669681483,Gldn
ENSMUSG00000031480,0.22252390001534006,4.614437781674059e-302,5.670235661924379e-302,0.21114531784137963,0.23384218030986462,Thsd1
ENSMUSG00000019528,0.2224768825541682,6.240231893265507e-302,7.667074448047066e-302,0.21109805631033005,0.2337954183329056,Gyg
ENSMUSG00000037710,0.22242309882203,8.812680157472074e-302,1.0826388399842843e-301,0.2110439934495188,0.23374192678744116,Cisd1
ENSMUSG00000047414,0.2224004095628374,1.019379002448373e-301,1.2521545294784093e-301,0.21102118645770362,0.23371936076986244,Flrt2
ENSMUSG00000021685,0.22229264280389452,2.034917832372709e-301,2.499284982034769e-301,0.2109128606754553,0.23361217920285393,Otp
ENSMUSG00000059430,0.22229020620374867,2.0669630962817e-301,2.538331200149453e-301,0.2109104114390563,0.23360975583068347,Actg2
ENSMUSG00000022197,0.2221637715588044,4.6487126586746184e-301,5.708144227252724e-301,0.21078332129778843,0.2334840073894962,Pdzd2
ENSMUSG00000022799,0.22216149461661536,4.717041855301117e-301,5.791334383426785e-301,0.21078103255439293,0.23348174280157477,Arhgap31
ENSMUSG00000106515,0.22215666835829403,4.865210013557297e-301,5.972514134001102e-301,0.21077618128237915,0.23347694272923336,Gm30382
