,Mixed_corr,Mixed_pval,Mixed_qval,Mixed_ci_low,Mixed_ci_high,gene_annotation
ENSMUSG00000020553,-0.17810024857692874,6.5354018434288964e-192,3.446941900542667e-191,-0.18963655905338597,-0.1665147710336741,Pctp
ENSMUSG00000050088,-0.1781228839579756,5.834004201210133e-192,3.078630185335162e-191,-0.18965909525597188,-0.1665374997537969,1600012H06Rik
ENSMUSG00000067219,-0.17815610595348905,4.938426058992375e-192,2.6074055221712643e-191,-0.18969217166504104,-0.16657085876555985,Nipal1
ENSMUSG00000097960,-0.17819727279929337,4.016809425261046e-192,2.1219278527527978e-191,-0.18973315807190966,-0.16661219543105862,A330074K22Rik
ENSMUSG00000066235,-0.1783802137012351,1.6030968160168055e-192,8.4775082814215e-192,-0.1899152966368892,-0.1667958914854806,Pomgnt2
ENSMUSG00000025930,-0.17838506681406,1.564483513949228e-192,8.28207259899009e-192,-0.1899201284542602,-0.1668007646421738,Msc
ENSMUSG00000025278,-0.17839833480758838,1.4635940450671817e-192,7.752087103110072e-192,-0.18993333822499528,-0.16681408743680484,Flnb
ENSMUSG00000020323,-0.1784039984911951,1.422531648161914e-192,7.538588490524186e-192,-0.1899389770538751,-0.16681977451454408,Prss57
ENSMUSG00000060176,-0.17841761230337305,1.328475537875964e-192,7.043878779830138e-192,-0.1899525311195633,-0.1668334445624171,Kif27
ENSMUSG00000067028,-0.17851031244613813,8.336730354374128e-193,4.422668623010147e-192,-0.19004482431535805,-0.16692652774770247,Cntnap5b
ENSMUSG00000018425,-0.17851739755922094,8.044976222309149e-193,4.270157230525026e-192,-0.19005187831691697,-0.1669336421453894,Dhx40
ENSMUSG00000025903,-0.17854842795673817,6.882705915299997e-193,3.655181049017524e-192,-0.190082772442459,-0.16696480081377185,Lypla1
ENSMUSG00000029086,-0.1785886906079826,5.620989880361336e-193,2.9898882342347532e-192,-0.19012285824364678,-0.1670052299338879,Prom1
ENSMUSG00000022760,-0.1786692978353453,3.7469366477094613e-193,1.9941121062849712e-192,-0.19020311129547904,-0.16708617055477581,Thap7
ENSMUSG00000040564,-0.178751185266244,2.48115645395704e-193,1.3211695707971459e-192,-0.19028463876799745,-0.1671683968340232,Apoc1
ENSMUSG00000027420,-0.17877095546791444,2.246048937886493e-193,1.1972542312827789e-192,-0.19030432204055237,-0.1671882488684907,Bfsp1
ENSMUSG00000031451,-0.17877899190133123,2.156964836322824e-193,1.1503812460388394e-192,-0.19031232313530821,-0.16719631856898873,Gas6
ENSMUSG00000042492,-0.17885136198846008,1.4980517359864665e-193,8.002413119585825e-193,-0.19038437491995833,-0.16726898830439416,Tbc1d10b
ENSMUSG00000036098,-0.17895700913647414,8.796076702864908e-194,4.703784333082838e-193,-0.19048955718123578,-0.16737507311028363,Myrf
ENSMUSG00000038668,-0.17901464727191524,6.577632458684201e-194,3.5231025488399575e-193,-0.1905469415758123,-0.16743295013272277,Lpar1
ENSMUSG00000042763,-0.17907736305709243,4.793808902472235e-194,2.56902942254675e-193,-0.19060938117721068,-0.16749592594041182,Maneal
ENSMUSG00000022464,-0.1790827107878265,4.6661988925980287e-194,2.5019833204278975e-193,-0.19061470535363143,-0.16750129584745516,Slc38a4
ENSMUSG00000021268,-0.17912271249008885,3.813318029795971e-194,2.0457714752124307e-193,-0.1906545308451333,-0.16754146345311088,Meg3
ENSMUSG00000021087,-0.17924828574273746,2.022935894979249e-194,1.0858485748680886e-193,-0.19077955069074062,-0.1676675577591233,Rtn1
ENSMUSG00000033319,-0.17924910000402317,2.0146339990156462e-194,1.0819731466249442e-193,-0.19078036136231905,-0.16766837540033935,Fem1c
