,Cardiac_1_corr,Cardiac_1_pval,Cardiac_1_qval,Cardiac_1_ci_low,Cardiac_1_ci_high,gene_annotation
ENSMUSG00000032485,0.06095465146895463,8.46712390433276e-35,1.6579059422535925e-34,0.05126465643830375,0.07063317062143186,Scap
ENSMUSG00000019822,0.06094454631716527,8.684314977984546e-35,1.7001618797502317e-34,0.051254540258141475,0.07062307838631823,Smpd2
ENSMUSG00000084861,0.060925943745151354,9.098715142506368e-35,1.7810065708268862e-34,0.05123591738919775,0.07060449958742891,1700095J07Rik
ENSMUSG00000074738,0.06092398993611897,9.143363172899161e-35,1.7896034169405309e-34,0.05123396144879073,0.07060254827487371,Fndc10
ENSMUSG00000032232,0.06090761828750316,9.52614025695776e-35,1.864077433560428e-34,0.05121757194356328,0.07058619754220177,Cgnl1
ENSMUSG00000052310,0.060894455745187676,9.845397814130004e-35,1.92639629528626e-34,0.05120439504860419,0.07057305181219728,Slc39a1
ENSMUSG00000022421,0.06088982211903871,9.960297692879305e-35,1.9485675613989854e-34,0.051199756370679146,0.070568424103707,Nptxr
ENSMUSG00000030165,0.06088928495613801,9.973703574934296e-35,1.9510347396365776e-34,0.05119921862216767,0.07056788762679644,Klrd1
ENSMUSG00000049685,0.06088359078792486,1.0116918782356544e-34,1.978892526644502e-34,0.05119351824656258,0.07056220073004288,Cyp2g1
ENSMUSG00000060743,0.060872648968990424,1.0397877968375641e-34,2.0336867671437803e-34,0.05118256450137939,0.07055127288205815,H3f3a
ENSMUSG00000087575,0.06086358899947275,1.0636372082254234e-34,2.080167336016457e-34,0.051173494658535844,0.0705422244789118,Gm12976
ENSMUSG00000096708,0.0608442902163094,1.1162661193255113e-34,2.182920411125444e-34,0.05115417484937502,0.07052295032814747,Olfr1475
ENSMUSG00000040569,0.060843515135847265,1.1184330045705527e-34,2.186809518851335e-34,0.05115339892461528,0.07052217623682427,Slc26a7
ENSMUSG00000043733,0.06083001718896546,1.156846210602958e-34,2.2615565063081315e-34,0.05113988627625314,0.07050869551382666,Ptpn11
ENSMUSG00000062300,0.06082611330380722,1.1681984714475512e-34,2.2835675852691306e-34,0.05113597813978445,0.07050479660951252,Nectin2
ENSMUSG00000086092,0.06082054585388709,1.1845799878231055e-34,2.315405450285239e-34,0.05113040462745402,0.07049923626241478,Gm15323
ENSMUSG00000048347,0.06081539068981103,1.1999518042138917e-34,2.3452648222464153e-34,0.05112524385044497,0.07049408767464013,Pcdhb18
ENSMUSG00000014177,0.06081173027837939,1.2109866739507136e-34,2.36664370125272e-34,0.05112157945387841,0.0704904319323819,Tvp23b
ENSMUSG00000110567,0.06080256809246311,1.2390514451705784e-34,2.4211055377499436e-34,0.051112407294121594,0.0704812814324914,RP23-83G5.3
ENSMUSG00000004018,0.0607962312302217,1.2588389913348466e-34,2.459574639125669e-34,0.05110606353460781,0.0704749526517281,Fancl
ENSMUSG00000044147,0.06078848144081515,1.283465743194366e-34,2.50749191747498e-34,0.05109830531111029,0.07046721274466382,Arf6
ENSMUSG00000110056,0.06077143851492438,1.3393199917652883e-34,2.6164055090564415e-34,0.05108124384152806,0.07045019154739648,1700014L14Rik
ENSMUSG00000033192,0.060749440386080544,1.4149973965225914e-34,2.7635841285039107e-34,0.051059221785806845,0.07042822145640541,Lpcat2
ENSMUSG00000111419,0.06074731721834414,1.4225224930778441e-34,2.7780601535195064e-34,0.05105709630924659,0.07042610099426885,RP23-116E8.2
ENSMUSG00000029445,0.06073612654572667,1.4628472550762427e-34,2.8561292887977666e-34,0.05104589346886136,0.07041492458072866,Hpd
ENSMUSG00000071151,0.06073465413329563,1.4682368305063408e-34,2.8664241939083717e-34,0.051044419455638174,0.07041345404425442,Gm4799
ENSMUSG00000026984,0.060710794466141436,1.558373056603262e-34,3.0416706642597416e-34,0.05102053385437614,0.07038962477012672,Il1f6
ENSMUSG00000086152,0.060710688540789016,1.5587852303349817e-34,3.04223330486363e-34,0.05102042781391357,0.07038951897967997,Gm11454
ENSMUSG00000024487,0.06069238754698252,1.631647834457398e-34,3.1841838988632094e-34,0.051002106935512964,0.07037124129060246,Yipf5
ENSMUSG00000110185,0.06068894411079326,1.6457308069202767e-34,3.211156542279793e-34,0.05099865975865314,0.07036780223860419,Igip
ENSMUSG00000029681,0.0606794009401993,1.685394685092831e-34,3.2882875324538457e-34,0.05098910622233721,0.07035827121719486,Bcl7b
ENSMUSG00000050818,0.06066040526685903,1.7671937670575616e-34,3.447333653964504e-34,0.05097008992131415,0.070339299721537,Olfr330
ENSMUSG00000074569,0.0606588314316326,1.774145338988435e-34,3.4606193980173243e-34,0.05096851437735196,0.07033772788917309,Gcnt7
ENSMUSG00000009687,0.06064598664386972,1.8319053082268007e-34,3.573001201746458e-34,0.050955655645619775,0.07032489944588856,Fxyd5
ENSMUSG00000097147,0.06064167687674423,1.8517008286800254e-34,3.611037231592692e-34,0.05095134120064243,0.07032059516205194,Gm26780
ENSMUSG00000063362,0.06062286810342737,1.940609964395292e-34,3.7832186633185016e-34,0.05093251201638322,0.07030181031479699,Alg11
ENSMUSG00000107924,0.060609955115093594,2.004092138106346e-34,3.906666945199445e-34,0.05091958501909523,0.07028891374870415,4930518I17Rik
ENSMUSG00000108449,0.06060943813581609,2.006676188652059e-34,3.911393599855935e-34,0.050919067479028385,0.0702883974268336,Gm44507
ENSMUSG00000075111,0.060608130426872985,2.01322737842376e-34,3.923851599195059e-34,0.05091775835158121,0.07028709138079078,Gm13762
ENSMUSG00000021646,0.06058518801212428,2.1316795024316284e-34,4.154389200166799e-34,0.0508947910560476,0.0702641781345275,Mccc2
ENSMUSG00000043429,0.060576279916724304,2.1795158668265646e-34,4.247279431885532e-34,0.05088587330268318,0.07025528136193278,Ccdc185
ENSMUSG00000057561,0.060574143553349905,2.191145747100899e-34,4.269603998636609e-34,0.05088373462333953,0.07025314771379505,Eif1a
ENSMUSG00000063305,0.06057095115150488,2.2086394464054848e-34,4.303350185552533e-34,0.05088053876087038,0.07024995936920639,Psg20
ENSMUSG00000024353,0.06055276169753576,2.3109939874931532e-34,4.502422185441351e-34,0.0508623295929751,0.07023179302862811,Mzb1
ENSMUSG00000021872,0.06055068206063558,2.322992498624074e-34,4.525439326050803e-34,0.050860247702552465,0.07022971603391948,Rnase10
ENSMUSG00000022634,0.060499665167974816,2.6375162287832337e-34,5.136127732319635e-34,0.05080917555367693,0.07017876393225453,Yaf2
ENSMUSG00000050015,0.06047587736194263,2.7982919352943407e-34,5.448779728396118e-34,0.05078536200048247,0.07015500631925782,Olfr350
ENSMUSG00000012187,0.060462734167074816,2.8912606528030263e-34,5.628913769536112e-34,0.05077220458456594,0.07014187980188104,Mogat1
ENSMUSG00000051599,0.06045738306835403,2.9299848751511235e-34,5.703852573319884e-34,0.050766847696874375,0.07013653549224631,Pcdhb2
ENSMUSG00000025482,0.06045218760058572,2.9680756948375014e-34,5.777088509564796e-34,0.05076164660903479,0.07013134661557915,Odf3
ENSMUSG00000025479,0.06045177531035991,2.97111940285767e-34,5.782554385966034e-34,0.05076123387284654,0.07013093484837267,Cyp2e1
ENSMUSG00000056418,0.06044724595619701,3.004761910401479e-34,5.847567725442066e-34,0.05075669961962983,0.07012641123979885,BC043934
ENSMUSG00000033022,0.06044007091042611,3.058831871371776e-34,5.95232147942616e-34,0.050749516813981814,0.07011924529492237,Cdo1
ENSMUSG00000005357,0.06043529611532898,3.0953484313484155e-34,6.022426078648569e-34,0.05074473685545602,0.07011447655566592,Slc1a6
ENSMUSG00000086408,0.06041686733218114,3.2403942445753695e-34,6.30363358630968e-34,0.050726288147719664,0.07009607114147162,Gm11588
ENSMUSG00000005718,0.060409502131029094,3.3002335337453187e-34,6.419532064689832e-34,0.05071891498540639,0.07008871527805356,Tfap4
ENSMUSG00000028034,0.060389734059187586,3.4663229894368448e-34,6.742070984445332e-34,0.050699125551169004,0.07006897226332368,Fubp1
ENSMUSG00000026895,0.06036894964331044,3.649910692981871e-34,7.098028303690368e-34,0.05067831868278888,0.07004821418465206,Ndufa8
ENSMUSG00000031967,0.06034848445950888,3.840110188434234e-34,7.467320239698821e-34,0.05065783139955635,0.07002777492534697,Afg3l1
ENSMUSG00000104763,0.06034672804996617,3.85688550469614e-34,7.499346868717799e-34,0.050656073093726044,0.07002602074037666,9830132P13Rik
ENSMUSG00000038482,0.06030680655178838,4.258428683882137e-34,8.278142600686795e-34,0.05061610851095663,0.06998614978844499,Tfdp1
ENSMUSG00000052144,0.06029452376866682,4.390131351586765e-34,8.533489426344567e-34,0.05060381247809545,0.06997388255083759,Ppp4r2
ENSMUSG00000015355,0.06027232685428582,4.638483521064211e-34,9.015519902562422e-34,0.05058159162680992,0.06995171372221172,Cd48
ENSMUSG00000021282,0.06027220766644911,4.639854042326046e-34,9.017469836712506e-34,0.05058147231046828,0.06995159468515756,Eif5
ENSMUSG00000046354,0.06025848647464202,4.800350468388015e-34,9.327914895121692e-34,0.05056773632671161,0.06993789084996063,Defb14
ENSMUSG00000093968,0.06025671396157549,4.8214817024471994e-34,9.368235102760655e-34,0.050565961903078174,0.06993612057876658,Gm8165
ENSMUSG00000040875,0.06024359839484179,4.980738568555911e-34,9.675377271555086e-34,0.050552832201160774,0.06992302159869195,Osbpl10
ENSMUSG00000094628,0.06023470235609508,5.0917225972151565e-34,9.889405364039754e-34,0.05054392657669515,0.06991413680845981,Gm3252
ENSMUSG00000090690,0.06022764073273848,5.18156709305516e-34,1.00631098931095e-33,0.0505368573453483,0.06990708411301474,Gm8020
ENSMUSG00000070427,0.06022547470471813,5.209439595454233e-34,1.0116440793133932e-33,0.05053468898390616,0.06990492082327937,Il18bp
ENSMUSG00000022837,0.06021079585019216,5.402292146221696e-34,1.0488460918395942e-33,0.05051999431853012,0.0698902605233104,Iqcb1
ENSMUSG00000103799,0.06020756782225458,5.445644485219842e-34,1.0571792788892036e-33,0.050516762814190194,0.06988703657514593,Gm38093
ENSMUSG00000063975,0.060202762501198326,5.5108207245710005e-34,1.0697475524167236e-33,0.050511952318452534,0.0698822373269648,Slco1a5
ENSMUSG00000097027,0.06020254378015332,5.513805680557098e-34,1.0702423675313295e-33,0.05051173336188522,0.06988201888232472,Gm26559
ENSMUSG00000097355,0.060196326644653804,5.599327837512747e-34,1.0867564985503002e-33,0.05050550953206465,0.06987580960323382,Gm26662
ENSMUSG00000055866,0.06019179897100788,5.662437925732658e-34,1.0989184724732292e-33,0.05050097698370493,0.06987128765060197,Per2
ENSMUSG00000071078,0.06017542265585399,5.896659686085035e-34,1.1441029604295857e-33,0.05048458304034628,0.06985493202468021,Nr2c2ap
ENSMUSG00000064165,0.060157713419232546,6.160784756429743e-34,1.1952555301451051e-33,0.05046685474658051,0.06983724515539803,Krt39
ENSMUSG00000057160,0.06015095867576548,6.264596016180867e-34,1.2152999477660609e-33,0.05046009273585338,0.06983049894178739,Gm16372
ENSMUSG00000029578,0.06014113423617866,6.418693187619527e-34,1.2449972755761939e-33,0.05045025772798288,0.0698206869068736,Wipi2
ENSMUSG00000057093,0.060102628929478756,7.05980949922062e-34,1.3692427745071859e-33,0.05041171101871848,0.06978223020023358,Zfp607b
ENSMUSG00000014232,0.06009314261152183,7.22728503785462e-34,1.4015030586004789e-33,0.050402214505096514,0.06977275585116031,Cluap1
ENSMUSG00000037780,0.06008836508492057,7.313117748340183e-34,1.418035594355143e-33,0.050397431844388746,0.06976798435170133,Mbl1
ENSMUSG00000001524,0.060070144614019126,7.649861727412658e-34,1.482979906288477e-33,0.05037919179717638,0.06974978686297365,Gtf2h4
ENSMUSG00000030382,0.060069492250107596,7.662199905205351e-34,1.4852544771245997e-33,0.050378538732476455,0.06974913532179411,Slc27a5
ENSMUSG00000047960,0.06006630456324703,7.722773569874581e-34,1.4968780033753905e-33,0.0503753476214286,0.0697459516549819,Olfr186
ENSMUSG00000016194,0.06003421911256862,8.359594929852582e-34,1.6200550534196905e-33,0.05034322771583946,0.06971390665685273,Hsd11b1
