,Extra-Embryonic endoderm_corr,Extra-Embryonic endoderm_pval,Extra-Embryonic endoderm_qval,Extra-Embryonic endoderm_ci_low,Extra-Embryonic endoderm_ci_high,gene_annotation
ENSMUSG00000097367,0.32548250855652205,0.0,0.0,0.3167643213271375,0.33414570438844177,Gm26718
ENSMUSG00000007617,0.32544461036622396,0.0,0.0,0.3167261858062994,0.3341080484146949,Homer1
ENSMUSG00000042097,0.32542555657461725,0.0,0.0,0.31670701270442797,0.3340891163900567,Zfp239
ENSMUSG00000100014,0.32542385195117257,0.0,0.0,0.31670529740738806,0.33408742265999963,Gm29290
ENSMUSG00000037533,0.32541758626915823,0.0,0.0,0.31669899249294475,0.3340811970183143,Rapgef6
ENSMUSG00000067336,0.3253878276847881,0.0,0.0,0.31666904758637754,0.3340516285934246,Bmpr2
ENSMUSG00000032680,0.32538362078274835,0.0,0.0,0.3166648143458031,0.3340474485724138,6820408C15Rik
ENSMUSG00000059189,0.325350187234638,0.0,0.0,0.31663117148958175,0.3340142286440155,Olfr913
ENSMUSG00000024349,0.325348983180945,0.0,0.0,0.3166299598984141,0.33401303228308005,Tmem173
ENSMUSG00000104617,0.32534596388585085,0.0,0.0,0.31662692170241064,0.3340100322782861,Gm43356
ENSMUSG00000038782,0.32534534746307775,0.0,0.0,0.31662630142082804,0.3340094197938213,1700028J19Rik
ENSMUSG00000001305,0.32528734742863935,0.0,0.0,0.3165679383392584,0.3339517902872987,Rrp15
ENSMUSG00000026565,0.32528011545701624,0.0,0.0,0.31656066110424713,0.33394460451192287,Pou2f1
ENSMUSG00000040459,0.3252386684693279,0.0,0.0,0.3165189547283842,0.3339034222590694,Arglu1
ENSMUSG00000027281,0.3252256531801502,0.0,0.0,0.31650585799242315,0.3338904900957776,Slx4ip
ENSMUSG00000097402,0.3251997902464418,0.0,0.0,0.3164798332240973,0.33386479233344946,Gm17399
ENSMUSG00000096488,0.32519863397631693,0.0,0.0,0.316478669719039,0.33386364344744257,Gm10409
ENSMUSG00000074829,0.3251977900331109,0.0,0.0,0.31647782049518636,0.33386280489377074,2010315B03Rik
ENSMUSG00000094950,0.32519626076514563,0.0,0.0,0.316476281658457,0.33386128539188037,Vmn2r66
ENSMUSG00000084762,0.3251334875955041,0.0,0.0,0.31641311575117864,0.3337989130598003,Platr3
ENSMUSG00000067365,0.32509700587188645,0.0,0.0,0.31637640581675563,0.3337626642550681,Tmem128
ENSMUSG00000090314,0.3250631067030195,0.0,0.0,0.31634229461562136,0.33372898149370156,2310050C09Rik
ENSMUSG00000107906,0.3250621125021426,0.0,0.0,0.31634129419656465,0.3337279936393285,Gm5580
ENSMUSG00000028786,0.32505430953354725,0.0,0.0,0.31633344242536493,0.3337202404804989,Tmem54
ENSMUSG00000104382,0.32505356723357626,0.0,0.0,0.31633269548284215,0.3337195029188927,4930402C01Rik
ENSMUSG00000060244,0.3250338337130863,0.0,0.0,0.31631283854735515,0.33369989536059236,Alyref2
ENSMUSG00000050714,0.32502533346239026,0.0,0.0,0.3163042851377742,0.3336914493660334,Zbtb26
ENSMUSG00000058748,0.32501418847856484,0.0,0.0,0.3162930704575748,0.333680375517269,Zfp958
ENSMUSG00000031024,0.3250072955200805,0.0,0.0,0.3162861343944416,0.3336735265532569,St5
ENSMUSG00000007867,0.32496041928128994,0.0,0.0,0.3162389650429987,0.333626949478913,Ift43
ENSMUSG00000021140,0.3249323221178682,0.0,0.0,0.31621069221136233,0.33359903161148097,Pcnx
ENSMUSG00000110061,0.3248973868262638,0.0,0.0,0.316175538520017,0.3335643192307054,Gm45337
ENSMUSG00000097821,0.32488927614645097,0.0,0.0,0.31616737713930515,0.33355626029916324,C130032M10Rik
ENSMUSG00000004383,0.3248724000586719,0.0,0.0,0.3161503955610761,0.3335394918812036,Large1
ENSMUSG00000046957,0.324865868306417,0.0,0.0,0.31614382298110233,0.3335330018002028,Spz1
ENSMUSG00000053950,0.3248646607039569,0.0,0.0,0.31614260783042963,0.3335318019019114,Adnp2
ENSMUSG00000047013,0.32486387918816473,0.0,0.0,0.31614182142972774,0.33353102537195817,Fbxo41
ENSMUSG00000007207,0.32479240995359826,0.0,0.0,0.3160699055232428,0.3334600120401976,Stx1a
ENSMUSG00000051493,0.324788313957109,0.0,0.0,0.31606578393043133,0.3334559421691219,Olfr974
ENSMUSG00000026869,0.32478779471490793,0.0,0.0,0.3160652614434535,0.33345542623877006,Psmd5
ENSMUSG00000073768,0.3247768946273729,0.0,0.0,0.316054293241815,0.3334445956733656,Olfr1330
ENSMUSG00000053268,0.32476264206506117,0.0,0.0,0.31603995161946963,0.3334304340122391,Dspp
ENSMUSG00000022023,0.3247456466634371,0.0,0.0,0.3160228500238336,0.33341354700019726,Wbp4
ENSMUSG00000028979,0.3247335743068656,0.0,0.0,0.3160107022378321,0.3334015516327017,Masp2
ENSMUSG00000025006,0.3246909312065263,0.0,0.0,0.3159677927215406,0.33335918045787,Sorbs1
ENSMUSG00000016477,0.32467276036274495,0.0,0.0,0.31594950836489916,0.3333411254748536,E2f3
ENSMUSG00000111253,0.3246483820114762,0.0,0.0,0.31592497773278594,0.3333169025546144,RP24-397P9.4
ENSMUSG00000036943,0.3246305494025281,0.0,0.0,0.3159070337387542,0.3332991836352287,Rab8b
ENSMUSG00000065979,0.3246130351250131,0.0,0.0,0.31588941007057464,0.3332817810118336,Cpped1
ENSMUSG00000020458,0.324598954899853,0.0,0.0,0.31587524190751715,0.3332677905443087,Rtn4
ENSMUSG00000104318,0.3245421371554121,0.0,0.0,0.31581806934797957,0.33321133495886956,Pcdha7
ENSMUSG00000040151,0.3245212837649198,0.0,0.0,0.31579708574825677,0.33319061447328413,Hs2st1
ENSMUSG00000099392,0.32451235790657856,0.0,0.0,0.3157881041591815,0.33318174549955387,Gm29414
ENSMUSG00000015994,0.32450831899551796,0.0,0.0,0.3157840400307263,0.3331777323280216,Fnta
ENSMUSG00000096930,0.32449215936510045,0.0,0.0,0.3157677795090449,0.33316167567797844,Gm26657
ENSMUSG00000050310,0.32448452256690213,0.0,0.0,0.3157600950329364,0.3331540875450059,Rictor
ENSMUSG00000026670,0.3244627963993665,0.0,0.0,0.3157382332312731,0.33313249982056053,Uap1
ENSMUSG00000030651,0.32445381444286603,0.0,0.0,0.3157291952040904,0.3331235750960646,Art2b
ENSMUSG00000097662,0.3244534577041927,0.0,0.0,0.31572883623847603,0.3331232206304574,Gm2093
ENSMUSG00000085512,0.3244124616368893,0.0,0.0,0.3156875842698761,0.33308248576542016,Gm11958
ENSMUSG00000025969,0.3243991876063148,0.0,0.0,0.3156742273886263,0.3330692963020432,Nrp2
