,Pharyngeal Mesoderm/Neural Crest_1_corr,Pharyngeal Mesoderm/Neural Crest_1_pval,Pharyngeal Mesoderm/Neural Crest_1_qval,Pharyngeal Mesoderm/Neural Crest_1_ci_low,Pharyngeal Mesoderm/Neural Crest_1_ci_high,gene_annotation
ENSMUSG00000026047,-0.06261953476223833,7.6234908762314645e-25,2.0520836813543648e-24,-0.07450339332888091,-0.0507178929720638,Kdelc1
ENSMUSG00000046312,-0.06262099660359702,7.604436885098101e-25,2.047505892595073e-24,-0.07450485277869368,-0.05071935679309061,AI464131
ENSMUSG00000004105,-0.06264788687573897,7.262240751826196e-25,1.95589570477409e-24,-0.07453169904975748,-0.0507462834899434,Angptl2
ENSMUSG00000074886,-0.06264916863780608,7.246316058954296e-25,1.9521325589855324e-24,-0.07453297871402215,-0.05074756698867685,Grk6
ENSMUSG00000004937,-0.06265218649150095,7.2089585455532e-25,1.942591901253894e-24,-0.07453599162837676,-0.050750588931433215,Sgta
ENSMUSG00000034958,-0.06266223481088459,7.08594209473364e-25,1.9099574379335957e-24,-0.07454602350004866,-0.05076065086742679,Atcay
ENSMUSG00000044906,-0.062663589568068,7.069516399179685e-25,1.906043785165728e-24,-0.07454737603949756,-0.05076200746064433,4930503L19Rik
ENSMUSG00000022802,-0.06266760367273339,7.021068713807526e-25,1.89349210188984e-24,-0.07455138357282579,-0.05076602700568132,Lmln
ENSMUSG00000058298,-0.06267000525058988,6.99224062478632e-25,1.8862262273499653e-24,-0.07455378121896757,-0.050768431838613876,Mcm9
ENSMUSG00000048450,-0.0626887142596796,6.771640284287574e-25,1.8272100065535817e-24,-0.07457245959412033,-0.05078716621044425,Msx1
ENSMUSG00000020778,-0.06270291189476176,6.608848914471965e-25,1.783764889196212e-24,-0.07458663397657762,-0.0508013830980435,Ten1
ENSMUSG00000042010,-0.0627064793486418,6.5685574714917455e-25,1.7733686478109465e-24,-0.07459019558699262,-0.05080495539028093,Acacb
ENSMUSG00000056832,-0.0627117186628295,6.50982454010461e-25,1.75798664329047e-24,-0.07459542631866993,-0.050810201810837716,Ttc26
