,Amnion_corr,Amnion_pval,Amnion_qval,Amnion_ci_low,Amnion_ci_high,gene_annotation
ENSMUSG00000033880,-0.03789174377364631,4.881000077689704e-10,7.957287378039948e-10,-0.049808770758955526,-0.025963929124777536,Lgals3bp
ENSMUSG00000003452,-0.037902597898600135,4.825777214252553e-10,7.871109467056848e-10,-0.04981961352222885,-0.025974791530164534,Bicd1
ENSMUSG00000090622,-0.037908278146384033,4.797121162387037e-10,7.825646268168086e-10,-0.04982528782302818,-0.02598047611243864,A930033H14Rik
ENSMUSG00000063931,-0.03791136895120101,4.781598320379691e-10,7.80159621533642e-10,-0.04982837539157711,-0.025983569276114688,Pepd
ENSMUSG00000039756,-0.03793615603444842,4.658871335402487e-10,7.603837661828769e-10,-0.04985313651294337,-0.02600837528477829,Dnttip2
ENSMUSG00000037321,-0.037938768384917824,4.646117442125074e-10,7.584259618225716e-10,-0.04985574612639515,-0.026010989630683306,Tap1
ENSMUSG00000055228,-0.03795472053258585,4.5689727349460553e-10,7.459547322360906e-10,-0.04987168155711316,-0.026026953966888804,Zfp935
ENSMUSG00000036586,-0.03795620687510183,4.561848769965706e-10,7.449132544032832e-10,-0.0498731663417171,-0.026028441445382498,Grifin
ENSMUSG00000061751,-0.03795938972967333,4.5466299514394624e-10,7.425493959561429e-10,-0.04987634585999785,-0.026031626732714853,Kalrn
ENSMUSG00000110902,-0.03797228319150023,4.485485203227249e-10,7.328026798280101e-10,-0.04988922580433548,-0.02604453005191826,RP23-353K11.3
ENSMUSG00000043822,-0.03797296514273567,4.4822736258690256e-10,7.323976512857885e-10,-0.04988990704050372,-0.026045212524633276,Adamtsl5
ENSMUSG00000098875,-0.03797305500710275,4.4818505865067936e-10,7.323976512857885e-10,-0.04988999681064175,-0.02604530245771934,Gm27211
ENSMUSG00000053411,-0.03806732856043475,4.058860224851095e-10,6.63646210734319e-10,-0.049984171405518925,-0.026139648208071044,Cbx7
ENSMUSG00000002688,-0.03811214459284583,3.871697654778742e-10,6.332511702287769e-10,-0.050028940320463025,-0.02618449863622407,Prkd1
ENSMUSG00000036611,-0.03814465469567082,3.7412272231889684e-10,6.12211949466367e-10,-0.05006141621372675,-0.026217033720195994,Eepd1
ENSMUSG00000062981,-0.03815449479064711,3.702589911087519e-10,6.059885288195612e-10,-0.05007124594925119,-0.02622688138139913,Mrpl42
ENSMUSG00000051650,-0.03816302931753181,3.6693945823185724e-10,6.007522236932829e-10,-0.050079771489290055,-0.026235422472510418,B3gnt2
ENSMUSG00000023935,-0.038171596395334025,3.63636489746451e-10,5.955396163551441e-10,-0.05008832954422372,-0.026243996141326775,Spats1
ENSMUSG00000074802,-0.03817160695988049,3.6363243464273434e-10,5.955396163551441e-10,-0.05008834009764251,-0.026244006714002083,Gas2l3
ENSMUSG00000041372,-0.03819258729105139,3.556658147553247e-10,5.827721034824262e-10,-0.050109298324878614,-0.026265003193642177,B4galnt3
ENSMUSG00000024960,-0.03821712412675129,3.4656474342256195e-10,5.679527096403834e-10,-0.05013380929635572,-0.02628955892858828,Plcb3
ENSMUSG00000020614,-0.03828362591783793,3.230262730089607e-10,5.296380931447133e-10,-0.05020024091587969,-0.02635611201437151,Fam20a
ENSMUSG00000020395,-0.0382851884497878,3.224924194274009e-10,5.288494906976072e-10,-0.050201801797804445,-0.026357675752817458,Itk
ENSMUSG00000001630,-0.038324158728152785,3.0945305697780194e-10,5.076329674832709e-10,-0.050240730904939745,-0.026396676140642172,Stk38l
ENSMUSG00000034951,-0.03833338857931153,3.0644099414747056e-10,5.027743956480239e-10,-0.05024995099966302,-0.026405913128344352,Cog7
ENSMUSG00000038608,-0.038364881470992256,2.963775479622911e-10,4.863432030887612e-10,-0.0502814105864209,-0.02643743038573682,Dock10
ENSMUSG00000026734,-0.03836692623104017,2.9573542714881887e-10,4.853691566532396e-10,-0.05028345318324027,-0.026439476728613378,4921504E06Rik
ENSMUSG00000034422,-0.038405288909876725,2.839370875887465e-10,4.661584100948063e-10,-0.05032177525827648,-0.02647786912215323,Parp14
ENSMUSG00000033029,-0.03841053009484264,2.8236129375121755e-10,4.6364744458328004e-10,-0.05032701089314651,-0.02648311436953259,1700088E04Rik
ENSMUSG00000027978,-0.038420339024959956,2.794350940640816e-10,4.5891787496153987e-10,-0.0503368094344439,-0.026492930904262094,Prss12
ENSMUSG00000027177,-0.03842435813053077,2.78244685860787e-10,4.570379202706751e-10,-0.050340824282642874,-0.026496953126406857,Hipk3
ENSMUSG00000049134,-0.03844774383101872,2.714157461247135e-10,4.459673777928253e-10,-0.05036418520340609,-0.026520356968756226,Nrap
ENSMUSG00000063260,-0.03845166336375743,2.702873186493485e-10,4.44186226210926e-10,-0.0503681005816924,-0.026524279543419613,Syt10
ENSMUSG00000002289,-0.038455932751076054,2.690633815432766e-10,4.422475041802705e-10,-0.05037236544331849,-0.02652855224460079,Angptl4
ENSMUSG00000025730,-0.03848912294923825,2.5973131716482457e-10,4.2704918968238177e-10,-0.05040552044394511,-0.02656176821957854,Rab40c
ENSMUSG00000031788,-0.0385179487674004,2.518834412597423e-10,4.1421384847844484e-10,-0.05043431567159718,-0.0265906164463771,Kifc3
ENSMUSG00000029205,-0.03851887287515551,2.516357213134136e-10,4.1387454163390396e-10,-0.050435238798343704,-0.026591541272844448,Chrna9
ENSMUSG00000039834,-0.03852730789353139,2.4938556703683744e-10,4.1024110386056494e-10,-0.050443664861383894,-0.02659998285238488,Zfp335
ENSMUSG00000040329,-0.03852744030094307,2.493504027096238e-10,4.1024110386056494e-10,-0.05044379712820703,-0.026600115362802993,Il7
ENSMUSG00000021846,-0.03852936006248483,2.488411024764792e-10,4.094801752122416e-10,-0.05044571485132299,-0.026602036617871683,Peli2
ENSMUSG00000023452,-0.038562431641472175,2.402252677724315e-10,3.953674584799728e-10,-0.05047875130071591,-0.026635133939562187,Pisd
ENSMUSG00000022723,-0.03857378838217359,2.373343509169161e-10,3.9067382866982074e-10,-0.05049009597194151,-0.026646499526308803,Crybg3
ENSMUSG00000038034,-0.038582817015514956,2.3506033572442204e-10,3.86994296549921e-10,-0.05049911500782943,-0.0266555351944754,Igsf8
ENSMUSG00000013418,-0.03858319366783181,2.3496593327767235e-10,3.8690257414403487e-10,-0.050499491259721974,-0.026655912140310167,B4galnt2
ENSMUSG00000028879,-0.03862217818496463,2.2539269651715597e-10,3.7120009307832014e-10,-0.050538434313578955,-0.026694927055671298,Stx12
ENSMUSG00000034115,-0.038630172060637694,2.2347728649741864e-10,3.681062205524932e-10,-0.05054641968262355,-0.026702927169068733,Scn11a
ENSMUSG00000030125,-0.03864009938264056,2.2112072567643303e-10,3.643445801226446e-10,-0.05055633643841325,-0.026712862239615904,Lrrc23
ENSMUSG00000021028,-0.03866174395041414,2.160665491252443e-10,3.561340845974028e-10,-0.0505779579604963,-0.02673452370973133,Mbip
ENSMUSG00000062683,-0.03866230025611415,2.1593814618816512e-10,3.559811180154387e-10,-0.05057851367373191,-0.026735080450000635,Atp5g2
ENSMUSG00000034263,-0.03868052114093211,2.117734726144362e-10,3.491730793313045e-10,-0.0505967151492672,-0.026753315572516624,Vwa9
ENSMUSG00000027016,-0.0387076684175651,2.0571368419850072e-10,3.3923760586823994e-10,-0.05062383349334831,-0.026780484076603862,Zfp385b
ENSMUSG00000064065,-0.038716894700735145,2.0369302705582962e-10,3.3596079013001754e-10,-0.050633049939490186,-0.026789717578155937,Ipcef1
ENSMUSG00000070385,-0.038725335417643385,2.0186140843130386e-10,3.3304967568273203e-10,-0.050641481655160296,-0.026798164900624134,Ampd1
ENSMUSG00000030199,-0.03877388604392611,1.9163429313506544e-10,3.1622820649350734e-10,-0.05068998047373789,-0.02684675355486993,Etv6
ENSMUSG00000015879,-0.03877503025706037,1.9139947735412678e-10,3.158928492393576e-10,-0.050691123465220186,-0.026847898664905008,Fam184b
ENSMUSG00000005705,-0.03880119996620316,1.8610500519424638e-10,3.0720535687396233e-10,-0.050717265225001563,-0.026874088895933502,Agrp
ENSMUSG00000025350,-0.03881270503628166,1.8382291183783098e-10,3.0348838011859167e-10,-0.05072875800244866,-0.026885602993293685,Rdh5
ENSMUSG00000020914,-0.03883013573440653,1.8041743359600348e-10,2.9791518097094365e-10,-0.050746170070671864,-0.026903047374185408,Top2a
ENSMUSG00000041629,-0.03885978738916329,1.7476539777995372e-10,2.8862988898423404e-10,-0.05077579001714558,-0.02693272232161708,Fam104a
ENSMUSG00000038173,-0.03888446667390367,1.7019339491960087e-10,2.8112552844334466e-10,-0.05080044289487015,-0.02695742100904687,Enpp6
ENSMUSG00000032698,-0.03890878006288133,1.658035325842541e-10,2.740101348277212e-10,-0.05082473025414282,-0.02698175352728906,Lmo2
ENSMUSG00000020682,-0.03892369659701431,1.6316526793774597e-10,2.6969465774834045e-10,-0.05083963081178673,-0.026996681804433723,Mmp28
ENSMUSG00000040624,-0.0389285508217655,1.6231558815667993e-10,2.683789486717591e-10,-0.05084447983623242,-0.02700153985181096,Plekhg1
ENSMUSG00000030450,-0.038930776215795125,1.6192750365242763e-10,2.677815506076197e-10,-0.05084670284602127,-0.02700376699849189,Oca2
ENSMUSG00000027285,-0.03893732672358861,1.607904207828383e-10,2.6594512203578943e-10,-0.050853246335051956,-0.02701032266594938,Haus2
ENSMUSG00000038122,-0.03894017726238836,1.6029804405152393e-10,2.651745972729924e-10,-0.05085609381922618,-0.027013175450364496,Tbc1d32
ENSMUSG00000039238,-0.03895116062561818,1.5841461236899635e-10,2.6210227063037117e-10,-0.05086706541091827,-0.0270241674679536,Zfp750
ENSMUSG00000103115,-0.03895128137125769,1.583940274961621e-10,2.6210227063037117e-10,-0.050867186027131354,-0.027024288308750866,Gm37584
ENSMUSG00000066892,-0.038961105550592956,1.5672791688022002e-10,2.5939741290999673e-10,-0.05087699967483152,-0.027034120231536618,Fbxl12
ENSMUSG00000065990,-0.03896404355304662,1.5623298761568217e-10,2.586210687231951e-10,-0.05087993452726521,-0.02703706055018172,Aurkaip1
ENSMUSG00000044749,-0.03897415887147332,1.5454063630012824e-10,2.558619806293514e-10,-0.050890038998839295,-0.02704718384465741,Abca6
ENSMUSG00000033960,-0.038978852804157554,1.537614116495355e-10,2.54614028232382e-10,-0.05089472789729956,-0.027051881479394444,9430020K01Rik
ENSMUSG00000093675,-0.03897965285531725,1.5362898123003747e-10,2.5443686854925054e-10,-0.05089552709035519,-0.027052682161598184,Gm20618
