,Mixed mesoderm_corr,Mixed mesoderm_pval,Mixed mesoderm_qval,Mixed mesoderm_ci_low,Mixed mesoderm_ci_high,gene_annotation
ENSMUSG00000004655,-0.009857460097071176,0.1056307477391415,0.1176550988406566,-0.02179445603635984,0.0020823459924964277,Aqp1
ENSMUSG00000033860,-0.009878192470338956,0.10489944800670935,0.11686658646023769,-0.021815180570449337,0.0020616116892527704,Fgg
ENSMUSG00000029195,-0.009899015491536664,0.10416900186583229,0.11607867379745074,-0.021835995707867335,0.0020407867193071817,Klb
ENSMUSG00000038522,-0.009905993974341044,0.10392511108283214,0.11581980506277961,-0.021842971546241225,0.0020338075810960505,Mfsd4b1
ENSMUSG00000045746,-0.009910540150913496,0.10376647108945611,0.11565589733555072,-0.021847515999457542,0.0020292609769290582,B230317F23Rik
ENSMUSG00000026687,-0.009933352356009255,0.10297333665593952,0.11484869134055267,-0.021870319549497304,0.002006446618758641,Aldh9a1
ENSMUSG00000055312,-0.009964806768043255,0.10188764467254184,0.11365046812330379,-0.021901762007212312,0.001974989217591957,Them7
ENSMUSG00000026956,-0.009966818480087817,0.10181851887094312,0.11358603176142695,-0.02190377295389783,0.001972977313569135,Uap1l1
ENSMUSG00000022824,-0.009967213776727615,0.10180494020469609,0.11358355484178968,-0.021904168100135044,0.0019725819791947,Muc13
ENSMUSG00000026638,-0.009985664604814213,0.1011727460250869,0.11290341036166376,-0.021922611903895186,0.0019541293856572828,Irf6
ENSMUSG00000015653,-0.009992047666945296,0.10095476792937709,0.11267273206403693,-0.021928992534069564,0.0019477457108756431,Steap2
ENSMUSG00000046352,-0.010009738825122865,0.10035257961786019,0.11206318215283104,-0.02194667694680555,0.0019300528496027603,Gjb2
ENSMUSG00000037366,-0.010125708928797989,0.09647567310754296,0.10787842234993063,-0.022062602647392942,0.0018140713965868205,Pafah2
ENSMUSG00000007038,-0.01023845119178002,0.09282245359162107,0.1038747242520379,-0.02217530143546288,0.0017013177922186446,Neu1
ENSMUSG00000024944,-0.010413048961443391,0.08738489377212448,0.09793219071178358,-0.02234983127922072,0.0015267018596417986,Arl2
ENSMUSG00000040564,-0.010455915171384195,0.08608996500941589,0.09653505831959619,-0.022392680701153956,0.0014838310791257395,Apoc1
ENSMUSG00000059994,-0.010516190507117463,0.08429540034775893,0.09459701531563115,-0.022452932356627736,0.0014235492423389524,Fcrl1
ENSMUSG00000013418,-0.010523763429624914,0.0840720895366516,0.09436759404720126,-0.022460502297843667,0.0014159754969106657,B4galnt2
ENSMUSG00000029664,-0.010590473691798238,0.08212555357090938,0.09227590288866222,-0.022527186238532202,0.0013492579264057446,Tfpi2
ENSMUSG00000023959,-0.010647890583807523,0.0804795986384866,0.09048751814536383,-0.02258458039083955,0.0012918346590712036,Clic5
ENSMUSG00000020057,-0.010651806268306885,0.08036833170805222,0.0903725758552257,-0.02258849452168378,0.0012879185369229623,Dram1
ENSMUSG00000013483,-0.010664384908627896,0.08001174596432709,0.08999184114759541,-0.02260106816860865,0.0012753384882326201,Card14
ENSMUSG00000024650,-0.010670374952557628,0.07984238956615716,0.08981146182919816,-0.022607055833317957,0.0012693477722984059,Slc22a6
ENSMUSG00000090231,-0.010731468530604958,0.07813167727754439,0.08796631082812924,-0.02266812509634417,0.0012082472914071234,Cfb
ENSMUSG00000062997,-0.01074290100855124,0.07781488899392537,0.08762937949766371,-0.02267955301431144,0.001196813511825401,Rpl35
ENSMUSG00000023045,-0.010789059216287934,0.07654648806551181,0.08623984685163567,-0.022725692779579205,0.0011506500170372271,Soat2
ENSMUSG00000049493,-0.01080644248667442,0.07607319693227019,0.08572593749410659,-0.022743069091315214,0.00113326474234576,Pls1
ENSMUSG00000024712,-0.0108420021441073,0.07511245606522864,0.08466237157938304,-0.022778614491490833,0.0010977009623726287,Rfk
ENSMUSG00000025075,-0.010860567239199634,0.0746148192920703,0.08412042761225512,-0.022797172131119654,0.0010791337029716378,Habp2
ENSMUSG00000059434,-0.010911267344376281,0.07326951225317087,0.08263168180125281,-0.02284785183398864,0.0010284276452652463,Gckr
ENSMUSG00000046312,-0.01092309860488182,0.07295844660465148,0.08229014956536372,-0.022859678324629876,0.0010165949868556178,AI464131
ENSMUSG00000079557,-0.010947235227770812,0.07232720092084084,0.08158736708498686,-0.02288380520629271,0.0009924555017738492,March2
ENSMUSG00000068264,-0.010959100899953313,0.07201852113385468,0.08125749874066872,-0.02289566608454694,0.0009805884174227788,Ap5s1
ENSMUSG00000000706,-0.010960490808679628,0.07198243402151022,0.08123511344262524,-0.02289705543150723,0.000979198343059305,Btn1a1
ENSMUSG00000063796,-0.010972402640889133,0.07167376627664541,0.08090503022535886,-0.02290896244736403,0.0009672850894096086,Slc22a8
ENSMUSG00000033577,-0.011022424534490434,0.07038938053506114,0.07950009095895769,-0.02295896407846902,0.0009172571896919271,Myo6
ENSMUSG00000000739,-0.01105840711399836,0.06947719966827304,0.07851418201861571,-0.022994932045492415,0.0008812702528063564,Sult5a1
ENSMUSG00000036751,-0.011103327679758348,0.06835208055071487,0.07730386852602904,-0.023039834325694265,0.0008363442039046534,Cox6b1
ENSMUSG00000005268,-0.011107705094951579,0.06824324551483087,0.07718950968762682,-0.023044209956422958,0.0008319662518135438,Prlr
ENSMUSG00000003585,-0.011134744101642682,0.06757413246658667,0.07646727675295538,-0.023071237930456772,0.0008049239185945532,Sec14l2
ENSMUSG00000045795,-0.011161877353823261,0.06690812209763373,0.07575647882431356,-0.023098360093985217,0.00077778731073725,Whamm
ENSMUSG00000037762,-0.01122974090095136,0.06526598330863775,0.07393903173064206,-0.02316619583012205,0.000709915293663552,Slc16a9
ENSMUSG00000030587,-0.011270909560254224,0.06428609575101256,0.07284543427876777,-0.023207347564635102,0.0006687414425561151,2200002D01Rik
ENSMUSG00000025915,-0.011281970185748077,0.06402491269655726,0.07256592167806558,-0.023218403636117137,0.0006576794153009286,Sgk3
ENSMUSG00000043822,-0.011347742808656122,0.06248981152210234,0.0708581602473096,-0.02328414911803746,0.0005918983963887036,Adamtsl5
ENSMUSG00000025889,-0.011376442686310564,0.06182957486559981,0.07016520070994078,-0.023312837120369963,0.0005631948227577979,Snca
ENSMUSG00000053411,-0.011405432018185821,0.06116855060640866,0.06943081794144003,-0.023341814437197655,0.0005342017376574253,Cbx7
ENSMUSG00000072115,-0.011435277149129279,0.06049413741915513,0.06869649945395767,-0.023371647177441862,0.0005043527217187281,Ang
ENSMUSG00000076441,-0.011442082114824248,0.0603412308058841,0.0685306425961205,-0.023378449314966774,0.0004975468672303852,Ass1
