,Forebrain/Midbrain/Hindbrain_corr,Forebrain/Midbrain/Hindbrain_pval,Forebrain/Midbrain/Hindbrain_qval,Forebrain/Midbrain/Hindbrain_ci_low,Forebrain/Midbrain/Hindbrain_ci_high,gene_annotation
ENSMUSG00000038700,-0.055498406906231125,7.1621569513246e-62,1.5228911229692962e-61,-0.06203581929172173,-0.04895623264317174,Hoxb5
ENSMUSG00000061132,-0.05550319076374275,6.993124453983832e-62,1.4872659408727844e-61,-0.062040599461955594,-0.04896101978003288,Blnk
ENSMUSG00000037544,-0.05550946500451971,6.777441964744599e-62,1.441702183523633e-61,-0.06204686886625,-0.04896729832227741,Dlgap5
ENSMUSG00000040473,-0.055512596298486434,6.672293487303287e-62,1.4196369121921888e-61,-0.06204999774627373,-0.04897043176317687,Cfap69
ENSMUSG00000032289,-0.055526914880435777,6.211812338164676e-62,1.3219434641763515e-61,-0.062064305288260915,-0.048984760164124515,Thsd4
ENSMUSG00000028597,-0.0555355485592521,5.9496047792544215e-62,1.2666818776356018e-61,-0.06207293230901013,-0.04899339976480594,Gpx7
ENSMUSG00000004054,-0.055547505280954715,5.604591527871838e-62,1.1934820118977509e-61,-0.06208487980838872,-0.04900536468927502,Map3k11
ENSMUSG00000019917,-0.05555863221086,5.301457763231227e-62,1.1291709825838611e-61,-0.06209599815431264,-0.04901649925436472,Sept10
ENSMUSG00000039058,-0.05556488431487207,5.138357354438405e-62,1.0946649668594813e-61,-0.06210224543436456,-0.04902275564921953,Ak5
ENSMUSG00000060600,-0.05557733381496115,4.828325052740483e-62,1.028835510918492e-61,-0.06211468532721896,-0.04903521369497677,Eno3
ENSMUSG00000035171,-0.05559882448114258,4.336367727052178e-62,9.2420454540754e-62,-0.06213615940435079,-0.049056719117713254,1110059E24Rik
ENSMUSG00000024395,-0.05560750843266586,4.1520483164565844e-62,8.85109425806136e-62,-0.062144836650851486,-0.0490654090337882,Lims2
ENSMUSG00000008976,-0.05561025685357642,4.095354771048478e-62,8.73209972505006e-62,-0.062147582949454924,-0.04906815934265154,Gabpa
ENSMUSG00000042417,-0.05561324079571135,4.0346759794596075e-62,8.604555298484981e-62,-0.06215056458730318,-0.04907114533463645,Ccno
ENSMUSG00000052310,-0.05563026728473952,3.705190235813412e-62,7.903562789704377e-62,-0.06216757792575009,-0.049088183522425145,Slc39a1
ENSMUSG00000030562,-0.055630833925584953,3.694698625260417e-62,7.882864572776651e-62,-0.062168144128879395,-0.049088750552670306,Nox4
ENSMUSG00000034640,-0.05563801400376988,3.564292390317191e-62,7.606257768495926e-62,-0.06217531866026604,-0.04909593556542268,Tiparp
ENSMUSG00000036885,-0.055653984703148085,3.290441940654556e-62,7.023355262869916e-62,-0.06219127701943833,-0.04911191724322263,Arhgef26
ENSMUSG00000038217,-0.05566966523879287,3.0419791204415354e-62,6.494404612385857e-62,-0.06220694543582822,-0.049127608561086854,Tlcd2
ENSMUSG00000040724,-0.05567403271911836,2.9761666203131926e-62,6.355256502910939e-62,-0.0622113095400188,-0.04913197904514567,Kcna2
ENSMUSG00000029455,-0.055684552234992676,2.8234162627330084e-62,6.030363653850937e-62,-0.06222182092310628,-0.04914250579684238,Aldh2
ENSMUSG00000046167,-0.05569640012376667,2.660712118745374e-62,5.684067760618188e-62,-0.06223365965037307,-0.04915436183689699,Gldn
ENSMUSG00000058952,-0.055721983888182024,2.3405476424255934e-62,5.0011701761230624e-62,-0.0622592236255929,-0.04917996320908662,Cfi
ENSMUSG00000022122,-0.055735618201961476,2.1859154645867427e-62,4.671757778556834e-62,-0.062272847389645,-0.049193606910059876,Ednrb
ENSMUSG00000025350,-0.05575605040744889,1.973038265892041e-62,4.218597960000088e-62,-0.06229326378088715,-0.049214053187644866,Rdh5
ENSMUSG00000023829,-0.05577505029307622,1.7936691938215101e-62,3.8359050338355646e-62,-0.06231224895595586,-0.04923306616382039,Slc22a1
ENSMUSG00000022797,-0.05577518913440465,1.7924201498227938e-62,3.834053796412393e-62,-0.06231238768976971,-0.049233205100825204,Tfrc
ENSMUSG00000004651,-0.05578963903276803,1.667054242076644e-62,3.5674175948569313e-62,-0.062326826397184065,-0.04924766495808532,Tyr
ENSMUSG00000034126,-0.05579049976696869,1.6598686007054586e-62,3.5528009432907934e-62,-0.06232768646468935,-0.04924852628559213,Pomt2
ENSMUSG00000032452,-0.05579130673469653,1.653159849866314e-62,3.539198993505275e-62,-0.062328492807358686,-0.049249333809573595,Clstn2
ENSMUSG00000063727,-0.055793287027420334,1.6368109083344276e-62,3.5049484118510227e-62,-0.06233047156615743,-0.04925131546737586,Tnfrsf11b
ENSMUSG00000039620,-0.055808091122549,1.519588347625395e-62,3.254633428197462e-62,-0.06234526419247836,-0.049266129769067614,6430573F11Rik
