,Extra-Embryonic ectoderm_corr,Extra-Embryonic ectoderm_pval,Extra-Embryonic ectoderm_qval,Extra-Embryonic ectoderm_ci_low,Extra-Embryonic ectoderm_ci_high,gene_annotation
ENSMUSG00000026031,0.011406780260724949,0.061137950517448636,0.06495744848857696,-0.00053285332007395,0.02334316212045009,Cflar
ENSMUSG00000054717,0.01138326633712972,0.06167345011334363,0.06551248153106398,-0.0005563702902924939,0.023319657944833292,Hmgb2
ENSMUSG00000019990,0.01137751515365474,0.06180501523022337,0.06564526312291383,-0.0005621222169197159,0.023313909143571822,Pde7b
ENSMUSG00000041378,0.011328564333485298,0.06293425139744577,0.06683046766214906,-0.0006110793304015124,0.023264978567502995,Cldn5
ENSMUSG00000090210,0.011267884283414398,0.06435768692215187,0.06831301021351434,-0.0006717671022935505,0.023204323532889606,Itga10
ENSMUSG00000087362,0.011213861558666183,0.0656472169055955,0.06967265199412705,-0.0007257966276835292,0.02315032300516105,Gm13710
ENSMUSG00000038292,0.011176892151262963,0.06654189885663517,0.0706014841980214,-0.0007627706488002745,0.023113368747717224,Ccdc155
ENSMUSG00000020092,0.011173030567828179,0.06663592799698327,0.07069374920112802,-0.0007666327122704894,0.023109508744866978,Pald1
ENSMUSG00000041119,0.011156852945709372,0.06703104144496058,0.0711053797018782,-0.0007828123415662172,0.023093337740541387,Pde9a
ENSMUSG00000003731,0.011146778774343828,0.06727806044506435,0.07135984349285569,-0.0007928877596878373,0.023083267687069548,Kpna6
ENSMUSG00000045896,0.01107810104903078,0.06898207025915135,0.0731594763592654,-0.0008615739198051843,0.0230146179697557,Paip2b
ENSMUSG00000020251,0.01105185502426857,0.06964257263816978,0.07384431411109085,-0.0008878231382765891,0.022988382618859878,Glt8d2
ENSMUSG00000085931,0.011049033231998108,0.06971389339689192,0.07391210071765471,-0.0008906452729331519,0.0229855619731914,Gm12648
ENSMUSG00000053219,0.010975187072789789,0.07160177071031347,0.07589757336263883,-0.000964500324753702,0.0229117457529373,Raet1e
ENSMUSG00000020218,0.010946287143280655,0.07235191154785957,0.07668459093572821,-0.0009934036989532474,0.022882857504699435,Wif1
ENSMUSG00000097636,0.010902146407843342,0.07351005830846459,0.07787907438125288,-0.0010375496571859242,0.022838734572351423,Mirt1
ENSMUSG00000047171,0.010857785991243546,0.07468919858683737,0.07911991375724298,-0.0010819152756883566,0.022794392000594854,Helt
ENSMUSG00000033949,0.010805567227127869,0.07609697026113221,0.0805770544908219,-0.001134140102982993,0.02274219418231389,Trim36
ENSMUSG00000015112,0.010803524187246049,0.07615248579308553,0.08062730099850242,-0.0011361833787605204,0.022740151960607215,Slc25a13
ENSMUSG00000033157,0.010801960097621223,0.07619500912914337,0.0806637826901793,-0.0011377476489125974,0.022738588497285248,Abhd10
ENSMUSG00000006585,0.010751143935482675,0.07758713113075648,0.08210278426535078,-0.0011885696444653886,0.022687792651518632,Cdt1
ENSMUSG00000041935,0.010706704805639889,0.07882146814941468,0.08339131204974046,-0.0012330138251212272,0.022643371237987195,AW549877
ENSMUSG00000026765,0.010639366383458785,0.0807222524492807,0.08536617221793645,-0.00130035981088781,0.0225760595714355,Lypd6b
ENSMUSG00000026430,0.010547292711200697,0.08338131009530254,0.0881595581468625,-0.001392443649757312,0.02248402230773052,Rassf5
ENSMUSG00000062352,0.010511845904982017,0.08442373076681811,0.08924284436238701,-0.0014278943159675352,0.022448589464247853,Itgb1bp1
ENSMUSG00000094626,0.01043781791032471,0.0866347548603533,0.0915220313335657,-0.0015019302751443184,0.022374590533006434,Cecr6
ENSMUSG00000037995,0.01038562298030659,0.08822160678072331,0.09318855686143795,-0.0015541307420290614,0.02232241601611605,Igsf9
ENSMUSG00000037419,0.010282852634739919,0.09141453326453755,0.09653065814629097,-0.0016569117993390028,0.022219685673372572,Endod1
ENSMUSG00000097580,0.010278007634892328,0.09156732356482841,0.09668179027011763,-0.0016617572979538077,0.022214842553193944,Gm5432
ENSMUSG00000036957,0.010268602074337062,0.09186452007560175,0.09698534636359982,-0.0016711638251613158,0.022205440640025942,Lrfn3
ENSMUSG00000045975,0.010230001954179066,0.09309233057730801,0.09826085135877982,-0.0017097678902999601,0.022166855466515777,C2cd2
ENSMUSG00000052848,0.01019501304282904,0.09421662043995489,0.09941608150253761,-0.0017447603468117017,0.02213188007276345,C130026L21Rik
ENSMUSG00000001946,0.010068883537111781,0.09836011945312095,0.10375540026700523,-0.001870902389590707,0.022005799053343114,Esam
ENSMUSG00000019987,0.01004688923919749,0.09909733915232019,0.10452203264668304,-0.0018928988347952178,0.02198381317152771,Arg1
ENSMUSG00000049717,0.009998582439591919,0.10073199675535163,0.1062237654279781,-0.0019412103100090907,0.021935524815950166,Lig4
ENSMUSG00000035189,0.009915081789769279,0.10360818163720574,0.10923371812040668,-0.0020247189104126407,0.021852055916184793,Ano4
ENSMUSG00000023963,0.009897495842884326,0.10422217225392452,0.10984630296577205,-0.0020423065105280094,0.021834476634917457,Cyp39a1
ENSMUSG00000036327,0.009824663921288779,0.10679583018837427,0.11254698091303011,-0.0021151452003089523,0.02176167224028547,Qsox2
ENSMUSG00000052270,0.009795068524643702,0.10785592445844006,0.11362823899962078,-0.002144743311018759,0.02173208799310155,Fpr2
ENSMUSG00000023403,0.00974233161784368,0.10976556866603868,0.1155913739111612,-0.0021974850022386874,0.02167937090203851,Stk31
ENSMUSG00000038855,0.009667334317462374,0.11252718243071405,0.11847460773922305,-0.0022724889921554785,0.021604401667349837,Itpkb
ENSMUSG00000022579,0.009651493773001833,0.11311742379815068,0.11907097241910598,-0.0022883309323617376,0.02158856703360902,Gpihbp1
ENSMUSG00000022203,0.009552780130974952,0.11685077654971666,0.12293611420275294,-0.0023870531372273017,0.02148989009051193,Efs
ENSMUSG00000021432,0.009501724909228878,0.11881929173566982,0.12499399509327774,-0.002438112696405254,0.021438853758396572,Slc35b3
ENSMUSG00000042359,0.009495639701311892,0.11905564022765627,0.1252294522222113,-0.002444198417142965,0.021432770797761493,Osbpl6
ENSMUSG00000001494,0.00946602910195618,0.12021097352636755,0.126427599303088,-0.0024738114992601495,0.021403171121057548,Sost
ENSMUSG00000041616,0.009465798530560078,0.12022000417730638,0.126427599303088,-0.0024740420899068177,0.021402940634631686,Nppa
ENSMUSG00000038227,0.009389019398956379,0.12325681373518727,0.12958033403615146,-0.002550827561244012,0.021326189727134817,Hoxa9
ENSMUSG00000015316,0.009388260754047726,0.12328711615308893,0.12959856633353192,-0.0025515862680923047,0.02132543136040301,Slamf1
ENSMUSG00000030495,0.009385825552729626,0.12338442426600786,0.12968722331932717,-0.002554021668139786,0.02132299705192186,Slc7a10
ENSMUSG00000042793,0.009336109213678686,0.12538417317177725,0.13173373941140706,-0.0026037420334274405,0.021273298909820142,Lgr6
ENSMUSG00000002617,0.00932227834000302,0.12594496184248322,0.13230902599273373,-0.0026175740166891454,0.02125947308796938,Zfp40
ENSMUSG00000036172,0.009311184824385036,0.12639617154164398,0.13276908775382773,-0.0026286684189858783,0.021248383621037103,Cd200r3
ENSMUSG00000057841,0.009297899448180307,0.12693818648306687,0.13332442651304158,-0.0026419548531918862,0.021235103089593612,Rpl32
ENSMUSG00000069310,0.009275107205539559,0.12787227270581478,0.13426320107708398,-0.0026647489011081345,0.02121231914875787,Hist1h3c
ENSMUSG00000021823,0.009258318534089765,0.12856372867749513,0.1349608741103245,-0.0026815388943809016,0.02119553658445303,Vcl
ENSMUSG00000019888,0.009214089838113204,0.1303992373127585,0.1368446188611171,-0.0027257710403891158,0.02115132394515838,Mgat4c
ENSMUSG00000026070,0.009212012834559781,0.13048593104177175,0.1369212287951435,-0.0027278482048093684,0.02114924769448768,Il18r1
ENSMUSG00000038453,0.009178850909581045,0.13187616758967002,0.13835099411421528,-0.0027610126842704955,0.02111609777626488,Srcin1
ENSMUSG00000046691,0.00911242854067747,0.13469525763471374,0.1412640352750013,-0.002827440090737428,0.021049699377604852,Chtf8
ENSMUSG00000022132,0.00910576720433078,0.13498052784689318,0.14154837232266484,-0.002834101926475313,0.021043040439365182,Cldn10
ENSMUSG00000073427,0.009099830046885329,0.13523517855305844,0.14180054372764858,-0.0028400395281280317,0.021037105418426877,Gm4924
ENSMUSG00000022123,0.009062937809262895,0.1368258505343044,0.1434533974987465,-0.0028769345070914242,0.021000226437750354,Scel
ENSMUSG00000025226,0.0090362161540951,0.1379869861662301,0.1446252868318102,-0.002903658127558232,0.020973514364520565,Fbxl15
ENSMUSG00000035104,0.008965373673548153,0.14110205784218086,0.14785922439712967,-0.0029745057358235173,0.020902697204416593,Eva1a
ENSMUSG00000042606,0.00893440196274641,0.1424808032474552,0.1492727116264591,-0.0030054796507622476,0.020871736525858057,Hirip3
ENSMUSG00000000202,0.008706632815089146,0.15293986435872303,0.16009616283756206,-0.003233264304110088,0.02064404780713973,Btbd17
ENSMUSG00000046834,0.008703881035599702,0.1530697028013232,0.1602153054231978,-0.0032360162633555387,0.02064129699177744,Krt1
ENSMUSG00000033316,0.008679267001602367,0.15423480917663077,0.16140101420744116,-0.0032606318971853255,0.020616691573636922,Galnt9
ENSMUSG00000004631,0.008636003304724396,0.15629901160714707,0.1635269006142991,-0.0033038983709952996,0.0205734429856674,Sgce
ENSMUSG00000022008,0.008594762042996156,0.15828616253695127,0.1655886207102744,-0.0033451422382257297,0.020532216084964312,Gpalpp1
ENSMUSG00000007805,0.008565890471161252,0.15968864072190692,0.1670383271149654,-0.0033740156099091594,0.02050335454262526,Twist2
ENSMUSG00000051510,0.008564733772507091,0.15974502418753833,0.16707982866597462,-0.0033751723802569306,0.020502198245374133,Mafg
ENSMUSG00000109903,0.00852376340406116,0.16175185558232108,0.16916111230110967,-0.003416145267486273,0.020461242074061168,RP24-388A6.3
ENSMUSG00000037126,0.00850461776204755,0.16269615663159287,0.17009530228080802,-0.0034352920727947853,0.02044210305269744,Psd
ENSMUSG00000039701,0.008482111250575209,0.16381153256762282,0.17122560109503795,-0.0034577999405749696,0.020419604312891207,Usp53
ENSMUSG00000026814,0.008435728205303944,0.16612833862610432,0.17361097149765317,-0.0035041857428667355,0.02037323724589753,Eng
ENSMUSG00000028899,0.008409099482465364,0.1674695152631971,0.17497598502057998,-0.0035308160253069297,0.02034661767306002,Taf12
ENSMUSG00000039476,0.008380621529314396,0.1689128122765413,0.17644710360027296,-0.0035592956276259404,0.020318149486602738,Prrx2
ENSMUSG00000027208,0.008343745028946279,0.17079559760441465,0.17839523459830234,-0.0035961742347454567,0.020281285604500935,Fgf7
ENSMUSG00000029617,0.008315366349439668,0.17225518344615054,0.1799009748784862,-0.003624554513409864,0.020252916613406724,Ccz1
ENSMUSG00000109701,0.008268963108877737,0.17466188820491513,0.18237641036328195,-0.0036709603273876287,0.020206529173385127,Gm45390
ENSMUSG00000070394,0.008219244043333906,0.17726832843096296,0.18505932605800499,-0.003720682093165983,0.020156826980401502,Tmem256
ENSMUSG00000014243,0.008208613475792385,0.17782935842678138,0.18562563510102442,-0.00373131323039093,0.020146200012771114,Zswim7
