,Pharyngeal Mesoderm/Neural Crest_1_corr,Pharyngeal Mesoderm/Neural Crest_1_pval,Pharyngeal Mesoderm/Neural Crest_1_qval,Pharyngeal Mesoderm/Neural Crest_1_ci_low,Pharyngeal Mesoderm/Neural Crest_1_ci_high,gene_annotation
ENSMUSG00000041594,-0.07735051697914627,4.4373260080110436e-37,1.5635398195951528e-36,-0.08920769190137563,-0.06547142086965195,Tmtc4
ENSMUSG00000072774,-0.07736257475465941,4.325650417679558e-37,1.5247269713357622e-36,-0.08921972571880536,-0.06548349922720759,Zfp951
ENSMUSG00000026971,-0.077364140756214,4.311353045802251e-37,1.5202232178428247e-36,-0.08922128860855395,-0.06548506790210688,Itgb6
ENSMUSG00000018425,-0.07736507998418281,4.302800569613151e-37,1.5177427053309174e-36,-0.08922222597015225,-0.06548600873347396,Dhx40
ENSMUSG00000039789,-0.07737443342994024,4.218544149108037e-37,1.4885476884643744e-36,-0.08923156082822671,-0.0654953781480716,Zfp597
ENSMUSG00000044328,-0.07742905304891722,3.758273501602775e-37,1.3266055423942023e-36,-0.08928607186248858,-0.06555009105921433,Trp53i13
ENSMUSG00000071267,-0.07743204224041586,3.7345772722141527e-37,1.3187066639174268e-36,-0.08928905510937453,-0.06555308535841513,Zfp942
ENSMUSG00000097378,-0.0774393459321932,3.6773015000041587e-37,1.2989408336291624e-36,-0.0892963442753866,-0.0655604015310831,B230208H11Rik
ENSMUSG00000005823,-0.07745859040231674,3.5305325127071214e-37,1.2475379903558733e-36,-0.08931555046554338,-0.06557967889317472,Gpr108
ENSMUSG00000048965,-0.07745870535969987,3.529673514344704e-37,1.2475379903558733e-36,-0.08931566519423353,-0.06557979404706558,Mrgpre
ENSMUSG00000026077,-0.07748468015044636,3.340812795061748e-37,1.1813340859482843e-36,-0.08934158830340179,-0.06560581324713849,Npas2
ENSMUSG00000015843,-0.07750918766117915,3.1718413479262016e-37,1.1219813752834105e-36,-0.08936604703724865,-0.06563036267338675,Rxrg
ENSMUSG00000022893,-0.07753499706097708,3.003071185331789e-37,1.0626578858215814e-36,-0.08939180505357266,-0.06565621623088425,Adamts1
ENSMUSG00000039910,-0.07757121290305902,2.781198646246805e-37,9.844950960165683e-37,-0.08942794876743865,-0.06569249406209869,Cited2
ENSMUSG00000050592,-0.07757221086012037,2.7753211990493093e-37,9.827624642525883e-37,-0.08942894473650606,-0.0656934937277657,Fam78a
ENSMUSG00000051065,-0.07757363323305104,2.766965493771402e-37,9.801507239714495e-37,-0.08943036427593842,-0.06569491853598713,Mb21d2
ENSMUSG00000029151,-0.07757764387624659,2.7435394443870372e-37,9.721968265014306e-37,-0.08943436692930273,-0.06569893604619557,Slc30a3
ENSMUSG00000070802,-0.07759128672549462,2.665317933994706e-37,9.448131634153513e-37,-0.08944798259698485,-0.06571260225757793,Pnmal2
ENSMUSG00000086784,-0.07760051651159373,2.613659913614528e-37,9.268297566008965e-37,-0.08945719399144729,-0.06572184785137067,Isoc2a
ENSMUSG00000002732,-0.07761907706052623,2.512772221563206e-37,8.913700679543121e-37,-0.0894757175497557,-0.06574044019480622,Fkbp7
ENSMUSG00000026223,-0.07761909077514223,2.5126991243410835e-37,8.913700679543121e-37,-0.08947573123703584,-0.06574045393291864,Itm2c
ENSMUSG00000028344,-0.07761913794644301,2.512447723225821e-37,8.913700679543121e-37,-0.08947577831431515,-0.06574050118503509,Invs
ENSMUSG00000030376,-0.07762359894805151,2.4887852855324035e-37,8.838015928737228e-37,-0.08948023042405054,-0.06574496982964323,Slc8a2
ENSMUSG00000017802,-0.07763356844905057,2.4367017797514063e-37,8.656134208708372e-37,-0.08949018005167009,-0.06575495641303368,Fam134c
ENSMUSG00000038803,-0.0776426610475912,2.3901447384576583e-37,8.493762396793385e-37,-0.08949925452280068,-0.06576406459349884,Ost4
ENSMUSG00000022555,-0.07766769787073952,2.2664673465242415e-37,8.057118188852619e-37,-0.08952424142124908,-0.0657891443323107,Dgat1
ENSMUSG00000016181,-0.07768962483832842,2.1633895982216873e-37,7.69615652159974e-37,-0.08954612465308921,-0.0658111088972817,Diexf
ENSMUSG00000038453,-0.07769197298857798,2.1526310990425806e-37,7.660608893389965e-37,-0.08954846811901622,-0.06581346107450235,Srcin1
ENSMUSG00000097103,-0.07771056824321912,2.0692902688112894e-37,7.366643890392629e-37,-0.08956702627336648,-0.06583208822382323,Gm2885
ENSMUSG00000024979,-0.07771353438917279,2.056296376148013e-37,7.322992792549903e-37,-0.08956998650065771,-0.06583505945809186,Tectb
ENSMUSG00000038068,-0.07771765407642568,2.038383562707632e-37,7.2617868283136165e-37,-0.08957409796711857,-0.06583918621286707,Rnf144b
ENSMUSG00000022679,-0.07774703304786452,1.9150595878294715e-37,6.82487379839441e-37,-0.0896034183014168,-0.06586861559713084,Mpv17l
ENSMUSG00000060594,-0.0777524941216202,1.892966967695261e-37,6.7485453393770436e-37,-0.08960886847321513,-0.06587408604408979,Layn
ENSMUSG00000048279,-0.07776212798152879,1.8546093110901522e-37,6.6141558883386315e-37,-0.08961848309929005,-0.06588373644097227,Sacs
ENSMUSG00000000823,-0.07777446151444233,1.8066283889565337e-37,6.445338526423595e-37,-0.08963079200529435,-0.0658960911482189,Zfp512b
ENSMUSG00000022441,-0.07778465621940685,1.7679010418452366e-37,6.3094255597617295e-37,-0.08964096635130764,-0.06590630335830465,Efcab6
ENSMUSG00000027583,-0.0777911842952329,1.7435368895324709e-37,6.224694357488292e-37,-0.08964748138918634,-0.06591284264466421,Zbtb46
ENSMUSG00000026630,-0.07779301922561718,1.7367488326011803e-37,6.202674402147072e-37,-0.0896493126546441,-0.0659146807263213,Batf3
ENSMUSG00000015341,-0.0777952533093296,1.7285196167804703e-37,6.175489877743731e-37,-0.08965154227608844,-0.0659169186469133,Golga7
ENSMUSG00000038267,-0.07780100091528672,1.7075260694309359e-37,6.102666438280686e-37,-0.08965727840146474,-0.06592267612452328,Slc22a23
ENSMUSG00000033031,-0.07782011312089628,1.6395230607387645e-37,5.8617199168350535e-37,-0.08967635242565888,-0.0659418211614981,C330027C09Rik
ENSMUSG00000054099,-0.0778428982069168,1.561960982050877e-37,5.586412668279245e-37,-0.08969909198140132,-0.0659646453996664,Slc25a40
ENSMUSG00000002428,-0.07785416191786541,1.5249767672791441e-37,5.456088612805524e-37,-0.08971033318008383,-0.0659759284699049,Hltf
ENSMUSG00000061859,-0.07786459202549535,1.4915064014506994e-37,5.3382476787784516e-37,-0.08972074243883899,-0.0659863765067935,Patj
ENSMUSG00000020042,-0.07787065258692559,1.4723944389037387e-37,5.271730894750229e-37,-0.08972679088454613,-0.06599244748746928,Btbd11
ENSMUSG00000009555,-0.07787214267981189,1.4677328385887849e-37,5.256922774315132e-37,-0.08972827799844034,-0.06599394014224035,Cdk9
ENSMUSG00000041577,-0.07788118158961742,1.4397682802361057e-37,5.1586108213404e-37,-0.0897372988365342,-0.06600299459358908,Prelp
