,Pharyngeal Mesoderm/Neural Crest_corr,Pharyngeal Mesoderm/Neural Crest_pval,Pharyngeal Mesoderm/Neural Crest_qval,Pharyngeal Mesoderm/Neural Crest_ci_low,Pharyngeal Mesoderm/Neural Crest_ci_high,gene_annotation
ENSMUSG00000107023,-0.19410760731108867,1.7232556330239443e-228,2.8740827594595394e-228,-0.2055707458618749,-0.1825912123212803,Gm42715
ENSMUSG00000002221,-0.19411035272320037,1.6973829394636585e-228,2.831124044138026e-228,-0.20557347820312666,-0.18259397010998232,Paxip1
ENSMUSG00000019933,-0.19411366535030145,1.6666808888817034e-228,2.780103891828493e-228,-0.20557677505862904,-0.18259729767097638,Mrln
ENSMUSG00000035861,-0.1941169097376626,1.637149112225483e-228,2.73102901232233e-228,-0.2055800039990324,-0.18260055668484979,Tmprss11b
ENSMUSG00000024109,-0.194117257507387,1.634014750492114e-228,2.72598560535995e-228,-0.2055803501129643,-0.18260090602242238,Nrxn1
ENSMUSG00000014547,-0.1941335041781598,1.4940786488428923e-228,2.4927031113339693e-228,-0.20559651942729842,-0.18261722594120594,Wdfy2
ENSMUSG00000047428,-0.19413640850765243,1.4703552105125886e-228,2.4532899169898113e-228,-0.20559940992753933,-0.18262014336551805,Dlk2
ENSMUSG00000026463,-0.19414590349863398,1.395392048143113e-228,2.3283719971462357e-228,-0.20560885970578793,-0.1826296811682066,Atp2b4
ENSMUSG00000019960,-0.1941470408744943,1.3866724307695897e-228,2.3139795772619432e-228,-0.20560999166561023,-0.18263082367249545,Dusp6
ENSMUSG00000021311,-0.19414744575185364,1.383581619664783e-228,2.3089787877929414e-228,-0.20561039461498806,-0.18263123037545453,Mtr
ENSMUSG00000024019,-0.19414835124785673,1.3766939984503486e-228,2.297640612463664e-228,-0.20561129579910464,-0.18263213995437078,Cmtr1
ENSMUSG00000021809,-0.1941509678745672,1.356982624620493e-228,2.264897171970248e-228,-0.20561389996557644,-0.18263476837965334,Nudt13
ENSMUSG00000018865,-0.1941618347737876,1.2780927943881277e-228,2.1333696572042498e-228,-0.20562471511545752,-0.18264568428032366,Sult4a1
ENSMUSG00000034218,-0.19417636286113646,1.1797344427474327e-228,1.9693255397290568e-228,-0.20563917401412282,-0.1826602778827313,Atm
ENSMUSG00000051414,-0.19417802257020791,1.1689904799403005e-228,1.951523374141175e-228,-0.2056408258186635,-0.1826619450766579,Olfr829
ENSMUSG00000017310,-0.19417874955667774,1.1643152418040386e-228,1.9438506607352616e-228,-0.20564154934276685,-0.182662675341668,Spint4
ENSMUSG00000102886,-0.19418928506412397,1.0986211981354273e-228,1.8342976985121395e-228,-0.20565203467209844,-0.18267325836323445,Gm30667
ENSMUSG00000021258,-0.19419382129337787,1.0714885076644023e-228,1.789117644190452e-228,-0.20565654929556146,-0.1826778150512657,Ccnk
ENSMUSG00000110312,-0.19420412389530414,1.0123260303186736e-228,1.6904460787855592e-228,-0.2056668028249934,-0.18268816412063527,Gm45368
ENSMUSG00000001663,-0.19420573332892271,1.0033833046205743e-228,1.6756269143684083e-228,-0.2056684045924647,-0.18268978081345308,Gstt1
ENSMUSG00000094935,-0.1942166631343026,9.44705084243911e-229,1.5777429581903615e-228,-0.20567928233473878,-0.18270075991834137,Gm9726
ENSMUSG00000018334,-0.19421775076588577,9.390569034407414e-229,1.5684166730120464e-228,-0.20568036478533563,-0.18270185245590573,Ksr1
ENSMUSG00000038056,-0.19421805252172705,9.374958415330801e-229,1.5659159059337494e-228,-0.20568066510374322,-0.18270215557288252,Kmt2c
ENSMUSG00000039347,-0.1942280487482073,8.872224204041501e-229,1.4820441465344058e-228,-0.20569061371132427,-0.18271219689075907,Atp6v0e2
ENSMUSG00000039770,-0.19423742404611338,8.425220965950603e-229,1.407471083595422e-228,-0.20569994434608777,-0.1827216144813341,Ypel5
ENSMUSG00000025094,-0.19424055746896515,8.280896656569957e-229,1.383455189929951e-228,-0.20570306284110798,-0.18272476203976148,Slc18a2
ENSMUSG00000045038,-0.19424277555189795,8.180228012997016e-229,1.3667298957135267e-228,-0.2057052703568078,-0.18272699012910829,Prkce
ENSMUSG00000050370,-0.1942665645615229,7.174478077472536e-229,1.1987735521852845e-228,-0.20572894602518996,-0.18275088646527698,Ch25h
ENSMUSG00000048919,-0.19426977106516716,7.048717285787872e-229,1.1778405145352469e-228,-0.20573213725062273,-0.18275410743643014,Olfr223
ENSMUSG00000092341,-0.19427104440608958,6.99938924212973e-229,1.1696774072472717e-228,-0.20573340452431713,-0.1827553865226418,Malat1
ENSMUSG00000026753,-0.1942746360542077,6.862102457701849e-229,1.146813283925504e-228,-0.20573697905870592,-0.18275899437641588,Ppp6c
ENSMUSG00000048067,-0.19427833428550964,6.723552069601627e-229,1.1237348564524108e-228,-0.20574065966810415,-0.18276270929460534,Olfr1349
