,Forebrain/Midbrain/Hindbrain_2_corr,Forebrain/Midbrain/Hindbrain_2_pval,Forebrain/Midbrain/Hindbrain_2_qval,Forebrain/Midbrain/Hindbrain_2_ci_low,Forebrain/Midbrain/Hindbrain_2_ci_high,gene_annotation
ENSMUSG00000030729,0.11079538595630227,2.9548086279285676e-242,3.5261233320162433e-242,0.10431120343191287,0.11727014969202203,Pgm2l1
ENSMUSG00000027574,0.1106438087797933,1.3568170779062026e-241,1.618922724243237e-241,0.10415941236051167,0.11711879897646035,Nkain4
ENSMUSG00000046747,0.11061040299158278,1.897975877482869e-241,2.2644007844870696e-241,0.10412595947306147,0.11708544305707365,Gm9812
ENSMUSG00000085957,0.11055990626070374,3.1517509489888845e-241,3.7596826984537506e-241,0.10407539157406116,0.1170350216809851,Syna
ENSMUSG00000078921,0.11052551182083484,4.451611855071613e-241,5.310011867352584e-241,0.10404094867920606,0.11700067854781875,Tgtp2
ENSMUSG00000076438,0.1104855135526064,6.650522831146653e-241,7.932551328717093e-241,0.10400089408086331,0.11696073992613124,Oxct2b
ENSMUSG00000028521,0.11045945483573198,8.637770114031259e-241,1.0302381920801334e-240,0.10397479867645376,0.11693472005748015,Slc35d1
ENSMUSG00000000690,0.11041346531962132,1.3700131831304424e-240,1.6339533504429525e-240,0.10392874443442555,0.11688879908065462,Hoxb6
ENSMUSG00000020864,0.11040746745148475,1.4549369613509739e-240,1.7350695684422534e-240,0.1039227381269037,0.11688281014924463,Ankrd40
ENSMUSG00000048852,0.1103791551546623,1.9324951453341665e-240,2.3043526376029362e-240,0.10389438599924902,0.1168545400309286,Gm12185
ENSMUSG00000092277,0.11031742082524904,3.587584107930652e-240,4.277711865276741e-240,0.10383256485614233,0.11679289763441815,Gm19684
ENSMUSG00000022262,0.1102752055289533,5.475763681631625e-240,6.528795158868475e-240,0.10379029022357628,0.11675074517514603,Dnah5
ENSMUSG00000042041,0.11021094405788139,1.0419628124513076e-239,1.2422799481039433e-239,0.10372593847392178,0.11668657931180988,2010003K11Rik
ENSMUSG00000022303,0.11014327362554632,2.050691496313444e-239,2.444699083150652e-239,0.10365817303257117,0.1166190095006001,Dcstamp
ENSMUSG00000034786,0.11012715538511125,2.4094139131109373e-239,2.872204816211873e-239,0.10364203217106949,0.11660291521800353,Gpsm3
ENSMUSG00000024442,0.11007251180542856,4.160852354411472e-239,4.959330404656074e-239,0.1035873119275384,0.11654835283416354,0610009O20Rik
ENSMUSG00000043110,0.11006463671363732,4.50160273759836e-239,5.365211185122084e-239,0.10357942579038767,0.11654048944088516,Lrrn4
ENSMUSG00000029446,0.11005334355281805,5.039472370564032e-239,6.005976682786666e-239,0.10356811679155432,0.11652921305473113,Psph
ENSMUSG00000078601,0.10999822483440472,8.740839680623404e-239,1.0415700632822064e-238,0.10351292079634572,0.11647417618474613,Gm12525
ENSMUSG00000041733,0.1099893912210876,9.547111546760818e-239,1.137536070542908e-238,0.10350407480196012,0.1164653556851873,Coq5
ENSMUSG00000031812,0.10996179605997546,1.2576363619568454e-238,1.4983980180892157e-238,0.10347644097046585,0.11643780148332193,Map1lc3b
ENSMUSG00000028164,0.10991848063587904,1.938010667743807e-238,2.308798967171913e-238,0.10343306486664396,0.11639455033181098,Manba
ENSMUSG00000079024,0.10988987042752088,2.5784490741723812e-238,3.071619683118889e-238,0.10340441459233563,0.11636598256257616,Gm21961
ENSMUSG00000032511,0.10986777645163344,3.2143674637901e-238,3.828982095530277e-238,0.10338228968324326,0.11634392135258703,Scn5a
ENSMUSG00000046157,0.10986695280475088,3.2408888914239154e-238,3.8603873501960006e-238,0.10338146488331808,0.11634309892706908,Tmem229b
ENSMUSG00000105881,0.10982428990161833,4.959891775341357e-238,5.907692372201086e-238,0.1033387422675808,0.11630049927550577,4932422M17Rik
ENSMUSG00000024833,0.10981324681076048,5.537284523919269e-238,6.595100884411851e-238,0.10332768372429627,0.11628947255313567,Pola2
ENSMUSG00000028589,0.1097641245170001,9.03591514152581e-238,1.0761571115922469e-237,0.10327849271389695,0.11624042305095543,1700012P22Rik
ENSMUSG00000031933,0.10974077854670822,1.1402873305107923e-237,1.3579906159633766e-237,0.10325511409630483,0.11621711166467731,Izumo1r
ENSMUSG00000048920,0.10969618843344645,1.7780348567533567e-237,2.117393985691828e-237,0.10321046164757867,0.11617258758603134,Fkrp
ENSMUSG00000106230,0.1096602401188636,2.543415659375178e-237,3.0287099267135207e-237,0.10317446309750548,0.11613669248925727,Gm29811
ENSMUSG00000025746,0.10965555782088218,2.66479922404476e-237,3.1731000799625075e-237,0.10316977425756015,0.1161320171216946,Il6
ENSMUSG00000071074,0.10954435767406852,8.058484400081811e-237,9.595145925839409e-237,0.10305841883000566,0.11602098148142163,Yipf3
ENSMUSG00000074435,0.109481357702799,1.5076688955154832e-236,1.7950771894038185e-236,0.1029953309572371,0.11595807463879937,Smcp
ENSMUSG00000079478,0.10943208647243151,2.4601489880755127e-236,2.9289873899345353e-236,0.10294599101693322,0.11590887620659035,Sssca1
ENSMUSG00000069237,0.10936177119525992,4.946208996914228e-236,5.888538199691516e-236,0.10287557773866506,0.1158386647650799,Fam8a1
ENSMUSG00000028958,0.1093572664142606,5.172462848535505e-236,6.157598325118489e-236,0.10287106668139553,0.11583416663415444,Tmub1
ENSMUSG00000021340,0.10935533264319151,5.272731750883872e-236,6.276659876252162e-236,0.1028691302161886,0.11583223571768655,Gpld1
ENSMUSG00000034334,0.10933530825411615,6.432364269596801e-236,7.6567151918520635e-236,0.10284907793194192,0.1158122408854085,Fam151b
ENSMUSG00000004931,0.10925517386406326,1.4246435397101312e-235,1.695731235126928e-235,0.10276883196265509,0.11573222472437673,Apba3
ENSMUSG00000058163,0.10924989395343712,1.5012416048925043e-235,1.78681810564867e-235,0.10276354470323884,0.11572695260069589,Gm5431
ENSMUSG00000043165,0.10922731282894953,1.878066575021911e-235,2.235216954284646e-235,0.10274093215357785,0.11570440477530192,Lor
ENSMUSG00000034744,0.10918943168972595,2.734162861582517e-235,3.253958631971593e-235,0.10270299831186928,0.11566657948223721,Nagk
ENSMUSG00000010362,0.10917480104775196,3.160874422197915e-235,3.761610625456992e-235,0.10268834731993001,0.11565197040441552,Rdm1
ENSMUSG00000056367,0.10914230505417989,4.361810897752769e-235,5.190538055526657e-235,0.1026558061372917,0.11561952229677329,Actr3b
ENSMUSG00000003882,0.10913735860016763,4.58091388589107e-235,5.451005560335266e-235,0.10265085280593707,0.11561458313061805,Il7r
ENSMUSG00000026141,0.10908008134866981,8.078893731232075e-235,9.612454513652044e-235,0.10259349594197813,0.11555739024521841,Col19a1
ENSMUSG00000024350,0.10907487897137656,8.505998233781156e-235,1.0120142887952846e-234,0.10258828633578228,0.11555219552860016,Dnajc18
ENSMUSG00000040213,0.10902832300075495,1.3486380083791818e-234,1.604485166532232e-234,0.10254166568969629,0.11550570809743366,Kyat3
ENSMUSG00000021211,0.10897664508834566,2.2489743015764032e-234,2.6753630046176583e-234,0.10248991601980308,0.11545410623174603,Akr1c12
ENSMUSG00000034883,0.10894297791466677,3.1377110783762055e-234,3.732416782766114e-234,0.10245620211638157,0.11542048858224711,Lrr1
