,timepoint,weight,marginal,celltype
235,12.0,7,target_marginals,Neuroectoderm_and_glia
236,12.0,40,target_marginals,Endothelium
237,12.0,300,target_marginals,Megakaryocytes
238,12.0,50,target_marginals,Ependymal_cells
239,12.0,50,target_marginals,Olfactory_sensory_neurons
240,12.0,1000,target_marginals,B_cells
241,12.0,100,target_marginals,White_blood_cells
242,12.0,1000,target_marginals,T_cells
243,12.0,100,target_marginals,Primitive_erythroid
244,12.0,1000,target_marginals,Primordial_germ_cells
245,12.0,1000,target_marginals,Notochord
246,12.0,1000,target_marginals,Intermediate_mesoderm_and_kidney
247,12.0,30,target_marginals,Intermediate_neuronal_progenitors
248,12.0,1000,target_marginals,Olidendrocytes
249,12.0,1000,target_marginals,Testis_and_adrenal
250,12.25,10,source_marginals,Mast_cells
251,12.25,100,source_marginals,White_blood_cells
252,12.25,10,source_marginals,Ependymal_cells
253,12.25,10,source_marginals,Mesoderm
254,12.25,9/10,target_marginals,Mesoderm
255,12.25,1/3,target_marginals,CNS_neurons
256,12.25,1,target_marginals,Epithelial_cells
257,12.25,5,target_marginals,Ependymal_cells
258,12.25,9/10,target_marginals,Neuroectoderm_and_glia
259,12.25,1/3,target_marginals,Muscle_cells
260,12.25,1/4,target_marginals,Definitive_erythroid
261,12.25,450,target_marginals,Mast_cells
262,12.25,300,target_marginals,B_cells
263,12.25,6,target_marginals,Cardiocytes
264,12.25,90,target_marginals,Intermediate_mesoderm_and_kidney
265,12.25,80,target_marginals,Olidendrocytes
266,12.25,50,target_marginals,Lung_and_airways
267,12.25,15,target_marginals,White_blood_cells
268,12.25,12,target_marginals,Megakaryocytes
269,12.25,1000,target_marginals,Notochord
270,12.25,65,target_marginals,Intestine
271,12.25,30,target_marginals,Primitive_erythroid
272,12.25,300,target_marginals,Glands
273,12.25,125,target_marginals,Primordial_germ_cells
274,12.25,120,target_marginals,Gut
275,12.25,1000,target_marginals,Testis_and_adrenal
276,12.5,100,source_marginals,White_blood_cells
277,12.5,1,target_marginals,Mesoderm
278,12.5,1,target_marginals,CNS_neurons
279,12.5,10,target_marginals,Epithelial_cells
280,12.5,3/2,target_marginals,Neuroectoderm_and_glia
281,12.5,9/10,target_marginals,Definitive_erythroid
282,12.5,500,target_marginals,Mast_cells
283,12.5,1,target_marginals,Muscle_cells
284,12.5,45,target_marginals,Gut
285,12.5,30,target_marginals,Cardiocytes
286,12.5,15,target_marginals,Ependymal_cells
287,12.5,1000,target_marginals,Olidendrocytes
288,12.5,27,target_marginals,Olfactory_sensory_neurons
289,12.5,30,target_marginals,Primitive_erythroid
290,12.5,1000,target_marginals,Primordial_germ_cells
291,12.5,1000,target_marginals,T_cells
292,12.5,1000,target_marginals,Testis_and_adrenal
293,12.5,150,target_marginals,Intestine
294,12.5,50,target_marginals,B_cells
295,12.5,35,target_marginals,Lung_and_airways
296,12.5,50,target_marginals,Megakaryocytes
297,12.5,15,target_marginals,Endothelium
298,12.5,27,target_marginals,Intermediate_mesoderm_and_kidney
299,12.5,12,target_marginals,Intermediate_neuronal_progenitors
300,12.5,40,target_marginals,Eye_and_other
301,12.5,50,target_marginals,White_blood_cells
302,12.5,5,target_marginals,Neural_crest_PNS_neurons
303,12.5,17,target_marginals,Neural_crest_PNS_glia
304,12.75,100,source_marginals,White_blood_cells
305,12.75,3/2,target_marginals,Mesoderm
306,12.75,9/10,target_marginals,CNS_neurons
307,12.75,6,target_marginals,Epithelial_cells
308,12.75,7/8,target_marginals,Neuroectoderm_and_glia
309,12.75,1000,target_marginals,Mast_cells
310,12.75,500,target_marginals,Gut
311,12.75,45,target_marginals,Lung_and_airways
312,12.75,100,target_marginals,Olidendrocytes
313,12.75,100,target_marginals,Olfactory_sensory_neurons
314,12.75,30,target_marginals,Endothelium
315,12.75,30,target_marginals,Ependymal_cells
316,12.75,15,target_marginals,Hepatocytes
317,12.75,30,target_marginals,Intestine
318,12.75,1000,target_marginals,Primordial_germ_cells
319,12.75,1000,target_marginals,T_cells
320,12.75,1000,target_marginals,Testis_and_adrenal
321,12.75,700,target_marginals,Cardiocytes
322,12.75,1000,target_marginals,B_cells
323,12.75,1000,target_marginals,Intestine
324,12.75,8,target_marginals,Megakaryocytes
325,12.75,10,target_marginals,Neural_crest_PNS_glia
326,12.75,7,target_marginals,Neural_crest_PNS_neurons
327,12.75,5,target_marginals,Muscle_cells
328,12.75,50,target_marginals,Primitive_erythroid
329,12.75,30,target_marginals,Intermediate_mesoderm_and_kidney
330,12.75,5,target_marginals,Definitive_erythroid
331,12.75,30,target_marginals,Eye_and_other
332,12.75,100,target_marginals,White_blood_cells
