,Forebrain/Midbrain/Hindbrain_corr,Forebrain/Midbrain/Hindbrain_pval,Forebrain/Midbrain/Hindbrain_qval,Forebrain/Midbrain/Hindbrain_ci_low,Forebrain/Midbrain/Hindbrain_ci_high,gene_annotation
ENSMUSG00000086564,0.09082369256280617,4.885404171354793e-163,7.92877070432991e-163,0.08431392934270637,0.09732570332610672,Cd101
ENSMUSG00000030814,0.09082162197217823,4.9691458014216815e-163,8.064146190528463e-163,0.08431185637178183,0.09732363528957531,Bcl7c
ENSMUSG00000075104,0.09082127521410599,4.983309329476522e-163,8.086596870939033e-163,0.08431150921509115,0.09732328895922752,Olfr1219
ENSMUSG00000021709,0.09081404761957411,5.287876797109415e-163,8.580262449450159e-163,0.08430427331238108,0.09731607027954096,Erbin
ENSMUSG00000044201,0.09079328925957292,6.2699626032291e-163,1.0173151059640554e-162,0.08428349109429532,0.09729533752004539,Cdc25c
ENSMUSG00000097180,0.09078681957944887,6.611798719759159e-163,1.0727078713244357e-162,0.08427701397956923,0.09728887581758133,2700038G22Rik
ENSMUSG00000109689,0.09078367507413115,6.784603132734442e-163,1.1006711782403596e-162,0.0842738658609569,0.09728573518950531,Gm45646
ENSMUSG00000027793,0.09077992145062105,6.996796255489639e-163,1.1350204272532647e-162,0.08427010792439557,0.09728198619412301,Ccna1
ENSMUSG00000050854,0.0907792429764347,7.035851793985706e-163,1.1412806107686116e-162,0.08426942867063722,0.09728130855645935,Tmem125
ENSMUSG00000091383,0.09076720313982477,7.766269787331477e-163,1.2595947669346177e-162,0.08425737500116988,0.09726928356332722,Hist1h2al
ENSMUSG00000033099,0.09074205708249616,9.545192313161349e-163,1.54801216508843e-162,0.08423220005907697,0.09724416850153755,Nol12
ENSMUSG00000062931,0.09073925992762638,9.766676481324563e-163,1.5838272190850772e-162,0.08422939969168595,0.09724137479398565,Zfp938
ENSMUSG00000021959,0.09073380574519144,1.0213417240793773e-162,1.6561641905816572e-162,0.08422393924543992,0.09723592733319364,Lats2
ENSMUSG00000021239,0.09069098466615445,1.450877417752257e-162,2.3522148943907433e-162,0.08418106900247038,0.09719315901260014,Vsx2
ENSMUSG00000052914,0.09063846299196025,2.231146416567411e-162,3.616021309628561e-162,0.08412848705975894,0.09714070201584415,Cyp2j6
ENSMUSG00000087373,0.09062436573883541,2.504229247789215e-162,4.0580711828737906e-162,0.08411437363623556,0.09712662211653084,Gm15892
ENSMUSG00000084969,0.09061780778775295,2.642402519274943e-162,4.28169658482302e-162,0.08410780816367829,0.0971200722374424,Gm11205
