,Pharyngeal Mesoderm/Neural Crest_2_corr,Pharyngeal Mesoderm/Neural Crest_2_pval,Pharyngeal Mesoderm/Neural Crest_2_qval,Pharyngeal Mesoderm/Neural Crest_2_ci_low,Pharyngeal Mesoderm/Neural Crest_2_ci_high,gene_annotation
ENSMUSG00000016921,-0.14913617918798924,2.5685708932135617e-134,1.3304546955734043e-133,-0.1607894352322447,-0.1374413490626243,Srsf6
ENSMUSG00000067220,-0.14913769212737116,2.552503500104275e-134,1.3224111824131706e-133,-0.1607909425831062,-0.1374428671879562,Cnga1
ENSMUSG00000032872,-0.14914400651336848,2.48652095684176e-134,1.2884985760316355e-133,-0.16079723364433346,-0.1374492032185665,Cyb5r4
ENSMUSG00000085668,-0.14914701701379435,2.455664735206411e-134,1.2727777196281993e-133,-0.16080023302391006,-0.13745222403879923,Gm35202
ENSMUSG00000027605,-0.14915314645366837,2.3940172503343427e-134,1.241349768325423e-133,-0.16080633982084433,-0.13745837449068152,Acss2
ENSMUSG00000024122,-0.14915315935463969,2.3938891405728594e-134,1.241349768325423e-133,-0.16080635267415688,-0.13745838743587893,Pdpk1
ENSMUSG00000037608,-0.14915321695221043,2.3933172662625876e-134,1.241349768325423e-133,-0.16080641005895052,-0.13745844523090114,Bclaf1
ENSMUSG00000060098,-0.14915915378855094,2.335097270525546e-134,1.211566107057126e-133,-0.160812324962993,-0.1374644024198658,Prmt7
ENSMUSG00000032422,-0.14915927827539327,2.3338917374793597e-134,1.2111965744788256e-133,-0.1608124489899379,-0.13746452733348216,Snx14
ENSMUSG00000025060,-0.14916603104000623,2.2694203458126225e-134,1.1779874911287845e-133,-0.16081917680695304,-0.13747130324892792,Slk
ENSMUSG00000104448,-0.1491740606078455,2.1950688083280725e-134,1.1396347934462007e-133,-0.16082717670872837,-0.13747936034635141,Gm37256
ENSMUSG00000029063,-0.14917606897563784,2.176855243329177e-134,1.1306568634275007e-133,-0.16082917765616003,-0.13748137560012744,Nadk
ENSMUSG00000070817,-0.14917884219806984,2.1519530704620477e-134,1.1179591998727083e-133,-0.16083194063214862,-0.13748415833111863,Vmn1r85
