,Extra-Embryonic endoderm_corr,Extra-Embryonic endoderm_pval,Extra-Embryonic endoderm_qval,Extra-Embryonic endoderm_ci_low,Extra-Embryonic endoderm_ci_high,gene_annotation
ENSMUSG00000030521,-0.06561990168775282,4.519636559253824e-40,9.055501616027409e-40,-0.07529224598058858,-0.055935210515919105,Mphosph10
ENSMUSG00000040913,-0.06562113331038412,4.50464175497463e-40,9.02619475786641e-40,-0.07529347591730466,-0.05593644359473076,Fbxw4
ENSMUSG00000027702,-0.06562202769505898,4.493783781823631e-40,9.005908041085118e-40,-0.07529436907767639,-0.05593733903687905,Lrrc34
ENSMUSG00000034269,-0.0656284605531671,4.416450834802454e-40,8.851649052740395e-40,-0.07530079312953197,-0.05594377950131944,Setd5
ENSMUSG00000098519,-0.06563170120616742,4.377995848770891e-40,8.775292193568692e-40,-0.07530402934594058,-0.055947023986434016,Gm27166
ENSMUSG00000109728,-0.06563251946402897,4.368338811427425e-40,8.756650432573983e-40,-0.0753048464835401,-0.05594784321192846,Gm45359
ENSMUSG00000072763,-0.06563267590415689,4.366494926411732e-40,8.753668933882651e-40,-0.07530500270948721,-0.05594799983705654,5430403G16Rik
ENSMUSG00000030170,-0.06564305798907354,4.245840567011142e-40,8.512483880553452e-40,-0.07531537057931992,-0.05595839420049779,Wnt5b
ENSMUSG00000022305,-0.06564726549542162,4.197892751968725e-40,8.417040657111975e-40,-0.07531957232418185,-0.05596260668351259,Lrp12
ENSMUSG00000086238,-0.06564964496446267,4.171015592001176e-40,8.36383329098439e-40,-0.07532194853478039,-0.05596498896715821,Gm14258
ENSMUSG00000094035,-0.0656518696658135,4.146041406918478e-40,8.314433441367514e-40,-0.07532417018952803,-0.055967216300143154,Ldlrad2
ENSMUSG00000026491,-0.06565920138081503,4.064784349918629e-40,8.152147145826024e-40,-0.07533149186347918,-0.05597455668862766,Ahctf1
ENSMUSG00000079409,-0.06566547717725592,3.996489179248649e-40,8.015832230121136e-40,-0.07533775906416015,-0.05598083991022224,Gm5795
ENSMUSG00000043090,-0.06566647920789286,3.985690908449199e-40,7.994827057536334e-40,-0.07533875972227665,-0.05598184312647397,Zfp866
ENSMUSG00000050266,-0.06567091517252645,3.9382346801239925e-40,7.900280894387144e-40,-0.07534318961056256,-0.05598628434002963,Olfr690
ENSMUSG00000039759,-0.06567267958399232,3.9195154611633504e-40,7.864014350125241e-40,-0.07534495160504609,-0.05598805083936853,Thap3
ENSMUSG00000022672,-0.0656791154299378,3.8519823091842694e-40,7.729149203587135e-40,-0.07535137863432391,-0.055994494301528336,Prkdc
ENSMUSG00000051160,-0.06568010462378812,3.841705510346712e-40,7.709158454436656e-40,-0.07535236647297523,-0.05599548466606745,Olfr853
ENSMUSG00000039456,-0.06568593652293271,3.7816693362565575e-40,7.589924429311779e-40,-0.07535819038201191,-0.056001323467521555,Morc3
ENSMUSG00000030562,-0.06568982713511982,3.742137367897299e-40,7.511196587362204e-40,-0.07536207566342248,-0.05600521868478794,Nox4
ENSMUSG00000096180,-0.06569040590490106,3.736291785486949e-40,7.50007652009448e-40,-0.07536265364016914,-0.0560057981396487,Vmn2r49
ENSMUSG00000045008,-0.06569232129336558,3.717011007367391e-40,7.46198317685071e-40,-0.07536456640410805,-0.05600771579537105,9030612E09Rik
ENSMUSG00000022905,-0.06569400024921385,3.700191609118135e-40,7.428825283103152e-40,-0.07536624305933957,-0.05600939673866911,Kpna1
ENSMUSG00000055010,-0.06569849071918028,3.6555780599503507e-40,7.340455755941851e-40,-0.07537072737589728,-0.05601389252446117,A830031A19Rik
ENSMUSG00000032232,-0.0657023746483713,3.6174222393017792e-40,7.2650266518885305e-40,-0.07537460598252278,-0.056017781051770583,Cgnl1
ENSMUSG00000049758,-0.065702858125903,3.6127003455504318e-40,7.256137016030284e-40,-0.07537508879747279,-0.05601826510170377,Olfr1318
ENSMUSG00000108978,-0.06570568586988781,3.585205618815456e-40,7.2015027696275124e-40,-0.07537791266608554,-0.05602109619361855,Gm44689
ENSMUSG00000058976,-0.06572038600724395,3.445590635920021e-40,6.92276115328219e-40,-0.07539259265466929,-0.056035813737828254,Usp17lc
ENSMUSG00000046844,-0.06573005996811677,3.3566752364447443e-40,6.744667354545491e-40,-0.0754022533536211,-0.05604549915621135,Vat1l
ENSMUSG00000024593,-0.06573432863331063,3.318170127145171e-40,6.667843588285172e-40,-0.07540651616637385,-0.05604977287764666,Megf10
ENSMUSG00000037296,-0.06574355651872975,3.236425342975112e-40,6.50411025789678e-40,-0.07541573139893533,-0.05605901169472519,Lsm1
ENSMUSG00000061894,-0.06574840602743254,3.1942721375150685e-40,6.419922193866238e-40,-0.07542057425754961,-0.05606386694898178,Zscan20
ENSMUSG00000022521,-0.06574856915746416,3.1928636998427577e-40,6.417616828369986e-40,-0.07542073716387454,-0.05606403027229298,Crebbp
ENSMUSG00000091635,-0.06574985518841689,3.181781923362497e-40,6.395866201276898e-40,-0.07542202143122376,-0.0560653178269779,Vmn2r13
ENSMUSG00000044033,-0.06577240561201507,2.9935633300498888e-40,6.019489506911128e-40,-0.07544454092499707,-0.056087894974301306,Ccdc141
ENSMUSG00000026718,-0.06578724637256254,2.875777830355699e-40,5.783118788671727e-40,-0.07545936132479547,-0.05610275332752342,Stam
ENSMUSG00000086965,-0.06579180254906725,2.840550406206647e-40,5.712745214055177e-40,-0.07546391124960643,-0.056107314905914564,Gm16314
ENSMUSG00000020189,-0.06579395453140613,2.8240612490205673e-40,5.680048479229374e-40,-0.07546606027899287,-0.056109469439823756,Osbpl8
ENSMUSG00000099669,-0.06579414358959527,2.8226171827927104e-40,5.677609132551747e-40,-0.07546624907775189,-0.056109658722180426,Gm29012
ENSMUSG00000038705,-0.06579887545226204,2.7867124266942956e-40,5.605847070888845e-40,-0.07547097444701832,-0.056114396195674085,Gmeb2
ENSMUSG00000050234,-0.0658116440703152,2.6920761074750987e-40,5.415917124772912e-40,-0.07548372554089303,-0.05612717995634814,Gja4
ENSMUSG00000045339,-0.06581724403817313,2.651585951084555e-40,5.334896195282143e-40,-0.07548931782212606,-0.05613278656634856,A930104D05Rik
ENSMUSG00000039218,-0.06581909925353208,2.638305951136138e-40,5.309047431546141e-40,-0.07549117049084612,-0.05613464398231997,Srrm2
ENSMUSG00000027208,-0.06582307689866715,2.6100556746076126e-40,5.252630075652959e-40,-0.07549514267567531,-0.05613862634586929,Fgf7
ENSMUSG00000028351,-0.0658351391272081,2.5262126890598487e-40,5.084316250659678e-40,-0.07550718834393479,-0.0561507028849089,Brinp1
ENSMUSG00000093985,-0.065846591464464,2.449089240913316e-40,4.929903996302675e-40,-0.07551862495561898,-0.0561621688117174,Gm10406
ENSMUSG00000101997,-0.06584805220291848,2.4394220835249044e-40,4.910847080575882e-40,-0.07552008368810365,-0.05616363128369451,Gm28722
ENSMUSG00000101257,-0.06585058998554497,2.422717195560283e-40,4.87761808818336e-40,-0.07552261798560304,-0.05616617207811816,2310015K22Rik
ENSMUSG00000022799,-0.06585269492998214,2.408947794349328e-40,4.850294099300041e-40,-0.07552472003923336,-0.056168279520762684,Arhgap31
ENSMUSG00000058508,-0.06585839106700675,2.3720757499797217e-40,4.776837583128455e-40,-0.07553040835308736,-0.05617398241855589,Gm10042
ENSMUSG00000058900,-0.06586826710360383,2.3094717437561746e-40,4.651148408883734e-40,-0.07554027082427744,-0.056183870178559296,Rsl1
ENSMUSG00000110040,-0.0658793076319045,2.2414293205754024e-40,4.514485043377135e-40,-0.07555129618542245,-0.056194923814831724,RP23-145I16.3
ENSMUSG00000053963,-0.0658845333246172,2.209922320475687e-40,4.451756876626113e-40,-0.07555651469840638,-0.056200155712625356,Stum
ENSMUSG00000087609,-0.06588661484819315,2.1974952998053722e-40,4.427086616954255e-40,-0.07555859336196998,-0.05620223970798772,4930442J19Rik
ENSMUSG00000048807,-0.06589299697695343,2.1598245102895904e-40,4.35155189370015e-40,-0.0755649667211645,-0.05620862941598191,Slc35e4
ENSMUSG00000078794,-0.0658992889859374,2.123314386134973e-40,4.2786945837480185e-40,-0.07557125008364105,-0.05621492889795269,Dact3
ENSMUSG00000029005,-0.06591081076753526,2.0580415377541848e-40,4.1475035570008e-40,-0.07558275602996305,-0.056226464365910195,Draxin
ENSMUSG00000022296,-0.06591272746130546,2.0473784074732624e-40,4.126353198184496e-40,-0.07558467008922284,-0.05622838333671109,Baalc
ENSMUSG00000095681,-0.06591884910356823,2.013688486089697e-40,4.058786611154605e-40,-0.07559078331676365,-0.056234512251959246,Gm8281
ENSMUSG00000109842,-0.06593573918226855,1.923567247100063e-40,3.878093533486677e-40,-0.07560765017483277,-0.056251422401166824,Gm45502
ENSMUSG00000007805,-0.06594081356098744,1.897283564672319e-40,3.825417268607602e-40,-0.07561271757616922,-0.056256502810863356,Twist2
ENSMUSG00000020580,-0.065955913149376,1.8211663390716776e-40,3.672548333214606e-40,-0.07562779639933631,-0.05627162034831283,Rock2
ENSMUSG00000070866,-0.06597331605828999,1.7371980524924887e-40,3.5035063729912587e-40,-0.0756451753699745,-0.0562890439497806,Zfp804a
ENSMUSG00000050241,-0.06598424376704201,1.6864518418860928e-40,3.402001940841948e-40,-0.07565608804429912,-0.056299984654904045,Klre1
ENSMUSG00000054555,-0.06598596987189904,1.678572078533002e-40,3.3863846895761927e-40,-0.07565781177415566,-0.05630171281283777,Adam12
ENSMUSG00000062345,-0.06600235068634427,1.6055915446386745e-40,3.2396847143301066e-40,-0.07567417004685979,-0.05631811311396359,Serpinb2
ENSMUSG00000092167,-0.06602356167437859,1.5157606454243894e-40,3.0586796553348902e-40,-0.07569535183858594,-0.05633934934243663,Gm3696
ENSMUSG00000053420,-0.06602634160679687,1.5043639740737395e-40,3.036181199462265e-40,-0.07569812794386113,-0.05634213258354046,Gm4792
ENSMUSG00000022306,-0.06603565453177773,1.4668018076580064e-40,2.960614763368906e-40,-0.07570742804661171,-0.05635145659389483,Zfpm2
ENSMUSG00000053965,-0.06604763786101736,1.4198380718865289e-40,2.8662937297285034e-40,-0.07571939487447688,-0.056363454189632366,Pde5a
ENSMUSG00000063900,-0.06605362784559306,1.3969264066417743e-40,2.8205046986734245e-40,-0.07572537660963442,-0.056369451306505294,Adam26b
ENSMUSG00000038658,-0.06606001452289574,1.3729022748833466e-40,2.7724540757473206e-40,-0.07573175449042617,-0.056375845589218494,Ric1
ENSMUSG00000024083,-0.06606446773718956,1.3563946174538679e-40,2.7395689904349593e-40,-0.07573620157074186,-0.05638030410697819,Pja2
ENSMUSG00000050855,-0.06606661170810696,1.348517652470854e-40,2.723883620194521e-40,-0.07573834258835836,-0.05638245063135231,Zfp940
ENSMUSG00000022995,-0.0660677551553571,1.3443352358184156e-40,2.715658936137382e-40,-0.07573948446048359,-0.056383595440477975,Enah
ENSMUSG00000057443,-0.0660725517045439,1.3269308649797529e-40,2.6807213525041467e-40,-0.07574427440203715,-0.056388397702757595,Olfr138
ENSMUSG00000027176,-0.06608804392531704,1.2722332487797672e-40,2.5704304414121825e-40,-0.07575974527797792,-0.05640390837912733,Cstf3
ENSMUSG00000110008,-0.06608835231797724,1.2711674974011023e-40,2.568488552069119e-40,-0.0757600532456944,-0.05640421713921747,Olfr560
ENSMUSG00000074676,-0.0660925317585152,1.2568113215248129e-40,2.5396898408293995e-40,-0.07576422692707088,-0.056408401559471535,Foxs1
ENSMUSG00000004415,-0.06609368903868357,1.2528647023743608e-40,2.5319231354593223e-40,-0.07576538261247705,-0.05640956021857518,Col26a1
