,Cardiac_2_corr,Cardiac_2_pval,Cardiac_2_qval,Cardiac_2_ci_low,Cardiac_2_ci_high,gene_annotation
ENSMUSG00000110276,0.3993201540415059,0.0,0.0,0.39111792425305497,0.4074589554731542,Gm45330
ENSMUSG00000022091,0.3993192955188182,0.0,0.0,0.3911170591083404,0.40745810365712604,Sorbs3
ENSMUSG00000034908,0.3993085371500454,0.0,0.0,0.39110621775847376,0.4074474293300304,Sidt2
ENSMUSG00000039662,0.39930755489194236,0.0,0.0,0.39110522792416347,0.4074464547449704,Icmt
ENSMUSG00000086439,0.3992788952636015,0.0,0.0,0.3910763472509888,0.4074180189870602,Gm12069
ENSMUSG00000032245,0.39927786447907593,0.0,0.0,0.3910753085165706,0.40741699625406086,Cln6
ENSMUSG00000048924,0.3992448674542108,0.0,0.0,0.3910420570142484,0.40738425696035596,Ccdc125
ENSMUSG00000009621,0.39920818610551595,0.0,0.0,0.3910050927992332,0.4073478620955596,Vav2
ENSMUSG00000104206,0.39915469128887865,0.0,0.0,0.3909511855075246,0.40729478503083655,Gm32250
ENSMUSG00000043050,0.39914298440932566,0.0,0.0,0.3909393883688634,0.4072831695653562,Tnp2
ENSMUSG00000109524,0.39912331046254435,0.0,0.0,0.39091956274359146,0.40726364923817554,Gm44691
ENSMUSG00000074892,0.399114139887065,0.0,0.0,0.3909103214691372,0.4072545502665367,B3galt5
ENSMUSG00000036882,0.39910630053351515,0.0,0.0,0.3909024216807502,0.4072467721213672,Arhgap33
ENSMUSG00000018761,0.3990456791297959,0.0,0.0,0.39084133297769197,0.40718662399970434,Mpdu1
ENSMUSG00000034111,0.3990107225050874,0.0,0.0,0.39080610692312967,0.4071519402554697,Tmed8
ENSMUSG00000099503,0.3990089758681276,0.0,0.0,0.39080434682451254,0.4071502072525949,Gm28822
ENSMUSG00000047002,0.3990016605476325,0.0,0.0,0.39079697512412753,0.4071429490341714,Msgn1
ENSMUSG00000045148,0.39899119061780597,0.0,0.0,0.3907864245033599,0.4071325608289387,Olfr1255
ENSMUSG00000012443,0.39898606811602244,0.0,0.0,0.3907812625236359,0.4071274783108371,Kif11
ENSMUSG00000022431,0.39897380201645416,0.0,0.0,0.39076890189416297,0.40711530795224604,Ribc2
ENSMUSG00000031626,0.39896508689679705,0.0,0.0,0.3907601196123759,0.407106660855233,Sorbs2
ENSMUSG00000000325,0.39895832063387676,0.0,0.0,0.3907533012070099,0.4070999474028697,Arvcf
ENSMUSG00000025035,0.3989368845418375,0.0,0.0,0.3907316999292465,0.4070786786133244,Arl3
ENSMUSG00000106466,0.3989206866606142,0.0,0.0,0.3907153772337502,0.40706260714601933,Gm42562
ENSMUSG00000094113,0.3989034894881284,0.0,0.0,0.3906980475525074,0.40704554418075206,5430401F13Rik
ENSMUSG00000017677,0.3989026193991768,0.0,0.0,0.39069717075944516,0.40704468088184814,Wsb1
ENSMUSG00000102098,0.3988887050609839,0.0,0.0,0.3906831492120956,0.40703087512715086,2310016D03Rik
ENSMUSG00000030718,0.39888597189134906,0.0,0.0,0.3906803949839971,0.4070281632859491,Ppme1
ENSMUSG00000041482,0.3988405677024431,0.0,0.0,0.3906346409874136,0.4069831133900223,Piezo2
ENSMUSG00000054618,0.39879443475983106,0.0,0.0,0.390588152664109,0.40693734038635004,Gm9951
ENSMUSG00000109957,0.39877694583216766,0.0,0.0,0.3905705290231125,0.4069199879002959,Gm45353
ENSMUSG00000029767,0.3987615871090386,0.0,0.0,0.39055505200010454,0.40690474899492646,Calu
ENSMUSG00000035606,0.39875433201624366,0.0,0.0,0.3905477410268947,0.4068975504995941,Ky
