,Mid-Hind Gut_corr,Mid-Hind Gut_pval,Mid-Hind Gut_qval,Mid-Hind Gut_ci_low,Mid-Hind Gut_ci_high,gene_annotation
ENSMUSG00000007415,0.645714880871718,0.0,0.0,0.6400116000521007,0.6513470139775267,Gatad1
ENSMUSG00000053931,0.645712413523644,0.0,0.0,0.6400091016730521,0.6513445775434886,Cnn3
ENSMUSG00000026466,0.6456849618374468,0.0,0.0,0.6399813047447261,0.651317469798665,Tor1aip1
ENSMUSG00000046798,0.6456106442281009,0.0,0.0,0.6399060525657144,0.6512440832403288,Cldn12
ENSMUSG00000034290,0.6454639522999484,0.0,0.0,0.6397575162568968,0.6510992287594031,Nek9
ENSMUSG00000063108,0.6454584834822767,0.0,0.0,0.6397519786871633,0.6510938284356125,Zfp26
ENSMUSG00000001642,0.6454350091938316,0.0,0.0,0.6397282092949083,0.6510706481430135,Akr1b3
ENSMUSG00000025240,0.6453767775779461,0.0,0.0,0.6396692456753454,0.6510131457840708,Sacm1l
ENSMUSG00000042540,0.6453494551503952,0.0,0.0,0.6396415798128937,0.6509861655035009,Acot5
ENSMUSG00000047368,0.64532192911076,0.0,0.0,0.6396137077939673,0.6509589841461917,Abhd17b
ENSMUSG00000028822,0.6453074075224822,0.0,0.0,0.6395990036875207,0.6509446443920814,Tmem50a
ENSMUSG00000043843,0.6452956256100542,0.0,0.0,0.6395870736942858,0.6509330100056174,Tmem145
ENSMUSG00000046572,0.6452746535798318,0.0,0.0,0.6395658380841894,0.6509123005678898,Zfp518b
ENSMUSG00000009035,0.6452409369527969,0.0,0.0,0.639531697719386,0.6508790060918933,Tmem184b
ENSMUSG00000004994,0.6451994148682708,0.0,0.0,0.6394896538320076,0.6508380038573013,Ccdc130
ENSMUSG00000029063,0.6451766252116327,0.0,0.0,0.6394665777951164,0.6508154995095808,Nadk
ENSMUSG00000024382,0.6451683545459653,0.0,0.0,0.6394582032008389,0.650807332383816,Ercc3
ENSMUSG00000027582,0.6450627570852311,0.0,0.0,0.6393512789288444,0.6507030567758331,Zgpat
ENSMUSG00000071054,0.6450139873028402,0.0,0.0,0.6393018964383261,0.6506548974142545,Safb
ENSMUSG00000021193,0.6449845566237616,0.0,0.0,0.6392720960363647,0.6506258350785941,Pitrm1
ENSMUSG00000039485,0.6449780549147721,0.0,0.0,0.6392655126519751,0.6506194147403442,Tspyl4
ENSMUSG00000022223,0.6449479069754268,0.0,0.0,0.6392349860008385,0.6505896441005065,Sdr39u1
ENSMUSG00000046678,0.6449326600892339,0.0,0.0,0.6392195475934659,0.6505745880215043,Olfr981
ENSMUSG00000021346,0.6449276187416076,0.0,0.0,0.639214442920818,0.6505696097628583,Prl8a8
ENSMUSG00000049299,0.6449254019718378,0.0,0.0,0.6392121983060748,0.6505674207342761,Trappc1
ENSMUSG00000000711,0.6449240520781192,0.0,0.0,0.6392108314563107,0.6505660877334047,Rab5b
ENSMUSG00000008140,0.6448950415290768,0.0,0.0,0.6391814565138315,0.6505374402199303,Emc10
ENSMUSG00000022561,0.644893650006687,0.0,0.0,0.6391800475133349,0.6505360661105309,Gpaa1
ENSMUSG00000021282,0.6448692187083891,0.0,0.0,0.6391553093539004,0.6505119405303397,Eif5
ENSMUSG00000001525,0.6448444623552338,0.0,0.0,0.6391302420689265,0.6504874939512102,Tubb5
ENSMUSG00000000826,0.6448161265028447,0.0,0.0,0.6391015503422626,0.650459512648449,Dnajc5
ENSMUSG00000033373,0.6448124186045773,0.0,0.0,0.6390977958771142,0.6504558511437687,Fntb
ENSMUSG00000028670,0.644795043877172,0.0,0.0,0.6390802029470104,0.6504386938071641,Lypla2
ENSMUSG00000002396,0.6447553637636172,0.0,0.0,0.6390400245281838,0.6503995101455098,Ocel1
ENSMUSG00000099798,0.6447379600804403,0.0,0.0,0.6390224022983381,0.6503823241964767,Gm29168
ENSMUSG00000022477,0.644731225776531,0.0,0.0,0.6390155834300496,0.6503756741426021,Aco2
ENSMUSG00000097018,0.6446419364056579,0.0,0.0,0.6389251729145936,0.6502875017515855,Gm26872
ENSMUSG00000033834,0.6446364357126252,0.0,0.0,0.6389196031583452,0.6502820698653901,Tpbpa
ENSMUSG00000044213,0.6446071136061173,0.0,0.0,0.6388899129121639,0.6502531145322726,Olfr1094
ENSMUSG00000100630,0.6446041380783736,0.0,0.0,0.6388869000275577,0.6502501762227799,Gm28450
ENSMUSG00000024807,0.6445921456720094,0.0,0.0,0.6388747570618897,0.6502383338171327,Syvn1
ENSMUSG00000074704,0.6445684070832323,0.0,0.0,0.6388507204541375,0.6502148921419354,Rad21l
ENSMUSG00000097181,0.6445537408316813,0.0,0.0,0.63883587008512,0.6502004093251179,4930594M17Rik
ENSMUSG00000027012,0.6444879553877044,0.0,0.0,0.6387692588350106,0.6501354466268103,Dync1i2
ENSMUSG00000043827,0.6444786463723624,0.0,0.0,0.6387598329703169,0.6501262540280024,Olfr94
ENSMUSG00000029810,0.6444431747495232,0.0,0.0,0.6387239161135273,0.6500912259904603,Tmem176b
ENSMUSG00000079423,0.6444412137802219,0.0,0.0,0.6387219305311903,0.6500892895430794,Gm3286
ENSMUSG00000042229,0.644418430595409,0.0,0.0,0.6386988613896356,0.650066791256607,Rabif
ENSMUSG00000040614,0.6444104235875853,0.0,0.0,0.638690753886545,0.6500588843721716,Nlrp9c
ENSMUSG00000062873,0.6443708441142545,0.0,0.0,0.6386506776733015,0.6500197998012075,Olfr1355
ENSMUSG00000011837,0.644356307090603,0.0,0.0,0.6386359582113591,0.6500054445412277,Snapc2
ENSMUSG00000035818,0.6443317961052882,0.0,0.0,0.6386111396249445,0.6499812400198818,Plekhs1
ENSMUSG00000050989,0.6443000667575678,0.0,0.0,0.6385790121068151,0.6499499073712118,Selenon
ENSMUSG00000042388,0.6442681661129122,0.0,0.0,0.6385467111622559,0.6499184055478993,Dlgap3
ENSMUSG00000071644,0.644266682450303,0.0,0.0,0.6385452088826453,0.6499169404335436,Eef1g
ENSMUSG00000049152,0.6442485325535507,0.0,0.0,0.6385268312444801,0.6498990174373276,Ugt3a2
