,Gut_corr,Gut_pval,Gut_qval,Gut_ci_low,Gut_ci_high,gene_annotation
ENSMUSG00000052446,-0.1950021911449199,0.0,0.0,-0.20130467712794045,-0.18868356005310813,Zfp961
ENSMUSG00000057069,-0.19506697067571402,0.0,0.0,-0.20136928843445215,-0.18874850286900816,Ero1lb
ENSMUSG00000032601,-0.1950905440848402,0.0,0.0,-0.20139280061279377,-0.1887721357116469,Prkar2a
ENSMUSG00000036223,-0.1950981980812851,0.0,0.0,-0.20140043472679303,-0.18877980900699737,Ska1
ENSMUSG00000062510,-0.19509887472597523,0.0,0.0,-0.20140110961375654,-0.18878048735782704,Nsl1
ENSMUSG00000034486,-0.1951030110003869,0.0,0.0,-0.20140523514319716,-0.18878463406186327,Gbx2
ENSMUSG00000021943,-0.19511206703092196,0.0,0.0,-0.20141426764772657,-0.1887937129279849,Gdf10
ENSMUSG00000021732,-0.1951915410446458,0.0,0.0,-0.20149353515569154,-0.18887338738883494,Fgf10
ENSMUSG00000104588,-0.19524662245960248,0.0,0.0,-0.2015484733983347,-0.1889286077773946,Gm43666
ENSMUSG00000009090,-0.19526591912036462,0.0,0.0,-0.201567719892191,-0.1889479531342015,Ap1b1
ENSMUSG00000005124,-0.19534515328912633,0.0,0.0,-0.20164674801921517,-0.18902738730558044,Wisp1
ENSMUSG00000021298,-0.19542231751823647,0.0,0.0,-0.20172371151042884,-0.18910474639184335,Gpr132
ENSMUSG00000022150,-0.19542703258927502,0.0,0.0,-0.20172841431298338,-0.18910947337204628,Dab2
ENSMUSG00000028871,-0.1954603029203286,0.0,0.0,-0.20176159806730057,-0.18914282774448063,Rspo1
ENSMUSG00000000753,-0.1955145270199628,0.0,0.0,-0.20181568103287104,-0.18919718884628672,Serpinf1
ENSMUSG00000021252,-0.19570909047823942,0.0,0.0,-0.20200973776659154,-0.18939224420577244,0610007P14Rik
ENSMUSG00000039058,-0.19572012219129734,0.0,0.0,-0.20202074073363757,-0.18940330382447565,Ak5
ENSMUSG00000091243,-0.195743048838588,0.0,0.0,-0.2020436076344687,-0.18942628847177426,Vgll3
ENSMUSG00000020787,-0.19577031357650942,0.0,0.0,-0.20207080131199676,-0.18945362219324985,P2rx1
ENSMUSG00000026469,-0.19578126544101332,0.0,0.0,-0.20208172462979793,-0.1894646017702403,Xpr1
ENSMUSG00000037940,-0.1958814984963372,0.0,0.0,-0.20218169634872735,-0.18956508852765463,Inpp4b
ENSMUSG00000070709,-0.19588388354117262,0.0,0.0,-0.2021840751734658,-0.18956747961094117,Zfp974
ENSMUSG00000026489,-0.1958980677531533,0.0,0.0,-0.2021982223920805,-0.18958169973602526,Coq8a
ENSMUSG00000019823,-0.19592577043655468,0.0,0.0,-0.20222585281746294,-0.1896094725676816,Mical1
ENSMUSG00000020232,-0.19594981580379747,0.0,0.0,-0.20224983545808017,-0.1896335788303805,Hmg20b
ENSMUSG00000044768,-0.19597367876524988,0.0,0.0,-0.2022736361612746,-0.18965750223287042,D1Ertd622e
ENSMUSG00000000149,-0.19605912809197848,0.0,0.0,-0.20235886249041987,-0.1897431680504884,Gna12
ENSMUSG00000026163,-0.19606671569954556,0.0,0.0,-0.2023664302919524,-0.1897507748863536,Sphkap
ENSMUSG00000020061,-0.19618371603706358,0.0,0.0,-0.20248312512665687,-0.18986807181877133,Mybpc1
ENSMUSG00000085582,-0.19620039657810723,0.0,0.0,-0.20249976209810797,-0.18988479465953415,3110099E03Rik
ENSMUSG00000063652,-0.19620370710558258,0.0,0.0,-0.20250306397804926,-0.18988811358251967,Slc22a21
ENSMUSG00000032120,-0.19622369810687038,0.0,0.0,-0.20252300275716323,-0.1899081552841297,C2cd2l
ENSMUSG00000000594,-0.19626367397357988,0.0,0.0,-0.2025628741798891,-0.18994823255170812,Gm2a
ENSMUSG00000034321,-0.19627271476740302,0.0,0.0,-0.20257189135015236,-0.18995729628089408,Exosc1
ENSMUSG00000073805,-0.19628369429855366,0.0,0.0,-0.2025828421903935,-0.1899683036671891,Fam196a
ENSMUSG00000029212,-0.1962917548471193,0.0,0.0,-0.202590881674719,-0.18997638466643127,Gabrb1
ENSMUSG00000014503,-0.19629346931107333,0.0,0.0,-0.20259259165823812,-0.18997810348031718,Pkd2l2
ENSMUSG00000071553,-0.1962967595222097,0.0,0.0,-0.20259587327090778,-0.1899814020394741,Cpa2
ENSMUSG00000029231,-0.1963040974960785,0.0,0.0,-0.2026031920675875,-0.18998875863197973,Pdgfra
ENSMUSG00000004110,-0.1963089481798391,0.0,0.0,-0.2026080300741001,-0.18999362162376673,Cacna1e
ENSMUSG00000019932,-0.1964024399140577,0.0,0.0,-0.20270127740786273,-0.19008735064255725,Kera
ENSMUSG00000002930,-0.19642215012574216,0.0,0.0,-0.20272093607972003,-0.19010711089398963,Ppp1r17
ENSMUSG00000064215,-0.19646153497311186,0.0,0.0,-0.20276021792525392,-0.19014659574586237,Ifi27
ENSMUSG00000052798,-0.19648798914932106,0.0,0.0,-0.20278660290538542,-0.19017311710497678,Nup107
ENSMUSG00000008976,-0.19650180657331587,0.0,0.0,-0.20280038418356622,-0.19018696962330284,Gabpa
ENSMUSG00000003779,-0.19658769960394679,0.0,0.0,-0.202886052465591,-0.19027308086665898,Kif20a
ENSMUSG00000080115,-0.1966494835949815,0.0,0.0,-0.20294767473236544,-0.19033502188107163,Mettl21b
ENSMUSG00000022012,-0.1966891352257194,0.0,0.0,-0.2029872225456849,-0.19037477431250746,Enox1
ENSMUSG00000057103,-0.19670969925562504,0.0,0.0,-0.20300773272596837,-0.1903953906275741,Nat8f1
ENSMUSG00000020101,-0.19672253586817828,0.0,0.0,-0.20302053572135842,-0.19040825988073412,Vsir
ENSMUSG00000019146,-0.19672844422824248,0.0,0.0,-0.20302642860759,-0.190414183265153,Cacng2
ENSMUSG00000066800,-0.19673822283580142,0.0,0.0,-0.20303618160424214,-0.19042398673971986,Rnasel
ENSMUSG00000036403,-0.19674998740099478,0.0,0.0,-0.20304791535550054,-0.19043578122388216,Cep135
ENSMUSG00000068877,-0.19680361570956967,0.0,0.0,-0.20310140317704714,-0.1904895459399961,Selenbp2
ENSMUSG00000111565,-0.19686986859239566,0.0,0.0,-0.20316748244906702,-0.19055596739419509,RP23-177D16.3
ENSMUSG00000044258,-0.1969185454087864,0.0,0.0,-0.20321603167488494,-0.1906047680989088,Ctla2a
ENSMUSG00000037458,-0.1969340384036728,0.0,0.0,-0.20323148405338637,-0.19062030053186818,Azin1
ENSMUSG00000020846,-0.19696654395816193,0.0,0.0,-0.20326390438122463,-0.1906528888408938,Rflnb
ENSMUSG00000071847,-0.19699739035858896,0.0,0.0,-0.20329466989238476,-0.19068381378475477,Apcdd1
ENSMUSG00000029844,-0.19706047636517515,0.0,0.0,-0.2033575904282784,-0.19074706046471734,Hoxa1
ENSMUSG00000074212,-0.19710630091180054,0.0,0.0,-0.20340329474734145,-0.1907930017544744,Dnajb14
ENSMUSG00000040690,-0.19714244486616125,0.0,0.0,-0.20343934385326468,-0.19082923780909056,Col16a1
ENSMUSG00000027601,-0.19717088900308372,0.0,0.0,-0.2034677133354936,-0.19085775443806863,Mtfr1
ENSMUSG00000047419,-0.19719673705131802,0.0,0.0,-0.20349349353357815,-0.1908836683712696,Cmya5
ENSMUSG00000092341,-0.1973066257741249,0.0,0.0,-0.2036030937051751,-0.19099383729139346,Malat1
ENSMUSG00000032595,-0.1973319700892834,0.0,0.0,-0.20362837144758944,-0.1910192462527608,Cdhr4
