,Somitic mesoderm_corr,Somitic mesoderm_pval,Somitic mesoderm_qval,Somitic mesoderm_ci_low,Somitic mesoderm_ci_high,gene_annotation
ENSMUSG00000003348,-0.04148162699452154,2.593240746888826e-35,2.738085468154182e-35,-0.04802855522434962,-0.03493113470275541,Mob3a
ENSMUSG00000028430,-0.04152706122976878,2.188271739663433e-35,2.3109850455839404e-35,-0.04807396277495086,-0.03497659173246135,Nol6
ENSMUSG00000044906,-0.041536359859470996,2.1134857859052617e-35,2.2322410075045012e-35,-0.04808325594000292,-0.03498589503064838,4930503L19Rik
ENSMUSG00000045160,-0.04156778092347607,1.879072386612133e-35,1.984865730022323e-35,-0.048114658529984825,-0.03501733187836253,Bola3
ENSMUSG00000028964,-0.04165135165167334,1.3739272466853415e-35,1.451433812260027e-35,-0.048198180059762646,-0.03510094464964341,Park7
ENSMUSG00000027082,-0.041688226851529654,1.1964020015617875e-35,1.2640274712749998e-35,-0.0482350335219315,-0.03513783842997584,Tfpi
ENSMUSG00000024537,-0.041703815003116235,1.1283946589194073e-35,1.1923020487314109e-35,-0.048250612479045205,-0.035153434441404854,Psmg2
ENSMUSG00000074497,-0.04197930268389867,3.9969555495512456e-36,4.22466499265537e-36,-0.04852593714134753,-0.03542906155475632,A430078G23Rik
ENSMUSG00000060913,-0.04206448297920951,2.8957952278309675e-36,3.061094321174384e-36,-0.04861106683027744,-0.03551428516405931,Trim55
ENSMUSG00000025981,-0.04209062384655953,2.62276147851642e-36,2.7727682403176023e-36,-0.04863719214802943,-0.035540439343087454,Coq10b
ENSMUSG00000005687,-0.04210364089688544,2.496503681968599e-36,2.6395682829018812e-36,-0.04865020145196996,-0.03555346302541449,Bcas2
ENSMUSG00000021681,-0.04220846562368996,1.6770531558207483e-36,1.7735333712148354e-36,-0.04875496371710965,-0.03565834124001701,Aggf1
ENSMUSG00000030276,-0.042245931954296635,1.4544092655450942e-36,1.5382435383871965e-36,-0.048792407687799876,-0.035695826723169254,Ttll3
ENSMUSG00000025175,-0.042341938000980794,1.0090752912497775e-36,1.0674656630167961e-36,-0.04888835635406155,-0.03579188193164992,Fn3k
ENSMUSG00000109129,-0.04243337692051757,7.1183682156321964e-37,7.531070901007402e-37,-0.048979740510495626,-0.035883367786821066,Gm44973
ENSMUSG00000053128,-0.04256118298923744,4.365376221677616e-37,4.6194457372249905e-37,-0.04910746985203909,-0.036011239642410035,Rnf26
ENSMUSG00000013822,-0.04262194374183661,3.458127821326579e-37,3.659781798419493e-37,-0.04916819405239469,-0.03607203174620695,Elof1
ENSMUSG00000026418,-0.042626831433956514,3.3938737419544248e-37,3.592161030857774e-37,-0.04917307880209062,-0.03607692196237393,Tnni1
ENSMUSG00000036949,-0.04288055174273307,1.2781919424190418e-37,1.3531568308480222e-37,-0.049426645939463026,-0.03633077372531443,Slc39a12
ENSMUSG00000040167,-0.042951613568208334,9.713293301627743e-38,1.0285147502782447e-37,-0.04949766471351899,-0.03640187251991309,Ikzf5
ENSMUSG00000038173,-0.043139816409503894,4.684325620118003e-38,4.961158250495661e-38,-0.04968575321599191,-0.03659017359198908,Enpp6
ENSMUSG00000004056,-0.04317238203330926,4.1276611575353154e-38,4.372522412643343e-38,-0.04971829900809156,-0.036622756260329764,Akt2
