,Mesenchyme_corr,Mesenchyme_pval,Mesenchyme_qval,Mesenchyme_ci_low,Mesenchyme_ci_high,gene_annotation
ENSMUSG00000052363,-0.021550983571974387,1.1962943458738217e-10,1.2636467158274234e-10,-0.028107007690980016,-0.014993105482868876,Zdhhc19
ENSMUSG00000059851,-0.021642357205203053,9.989193090063658e-11,1.0553822599116385e-10,-0.02819835150813385,-0.015084501078908661,Kmt5c
ENSMUSG00000022900,-0.021728821522841134,8.416620218775071e-11,8.895180954105972e-11,-0.02828478751082947,-0.015170986280250948,Ildr1
ENSMUSG00000048647,-0.021765476442107363,7.825544124150878e-11,8.272245374366679e-11,-0.028321430396918177,-0.015207650082386483,Exd1
ENSMUSG00000064115,-0.02182362548904791,6.97016340073453e-11,7.36959547550701e-11,-0.02837956031838331,-0.015265813257211713,Cadm2
ENSMUSG00000057286,-0.021841608659227605,6.724653857755642e-11,7.110768592318538e-11,-0.028397537564842777,-0.015283800805564789,St6galnac2
ENSMUSG00000030029,-0.022018197552726403,4.7216558491861473e-11,4.995403987712809e-11,-0.028574068064041964,-0.015460432916789094,Lrig1
ENSMUSG00000018727,-0.02226801279154244,2.849761926664898e-11,3.016259448205862e-11,-0.02882379999566588,-0.015710309993539735,Cpsf4l
ENSMUSG00000029513,-0.022325315427671057,2.5361437119558426e-11,2.6846022144128745e-11,-0.028881083407393423,-0.0157676269295506,Prkab1
ENSMUSG00000026442,-0.022393590898902763,2.2063780108645773e-11,2.3360275392954762e-11,-0.028949335916741488,-0.01583591949520445,Nfasc
ENSMUSG00000020363,-0.022423291702698793,2.0763893542685508e-11,2.1986333696193887e-11,-0.028979026712710427,-0.015865627754414937,Gfpt2
ENSMUSG00000018341,-0.022653503682553398,1.2934983531526925e-11,1.3706668996001827e-11,-0.029209160729216477,-0.016095897914125096,Il12rb2
ENSMUSG00000097655,-0.022655643192375008,1.287793321283116e-11,1.3647661310757906e-11,-0.02921129951121442,-0.01609803796791239,Gm26713
ENSMUSG00000040420,-0.02289226821825285,7.878690554665659e-12,8.356693418185892e-12,-0.029447843670971283,-0.016334723525958907,Cdh18
ENSMUSG00000111535,-0.0229374428058254,7.16922727120778e-12,7.60499339260399e-12,-0.029493002736751612,-0.01637990975340057,RP24-167A12.1
ENSMUSG00000027452,-0.02328264347512275,3.4653181082855876e-12,3.6779007729628395e-12,-0.029838083913025094,-0.016725200252888855,Acss1
ENSMUSG00000045838,-0.023420816347504172,2.582815279518033e-12,2.741842122630608e-12,-0.029976208518223912,-0.016863409519762566,A430105I19Rik
ENSMUSG00000032265,-0.023466086536465803,2.3448362337278332e-12,2.4894747146489367e-12,-0.03002146283874504,-0.01690869168731284,Fam46a
ENSMUSG00000040600,-0.02359641010031157,1.7734618273578362e-12,1.883255630623167e-12,-0.030151740570570917,-0.017039049885233797,Eps8l3
ENSMUSG00000057606,-0.02360183623853941,1.7529024497630868e-12,1.8616211233677644e-12,-0.03015716479571196,-0.017044477470316458,Colq
ENSMUSG00000031662,-0.0236611671192211,1.54280921968961e-12,1.639019674587921e-12,-0.030216474732987636,-0.017103824196519596,Snx20
ENSMUSG00000027293,-0.023831319207925937,1.0679667491667014e-12,1.1346863038320244e-12,-0.030386566503119765,-0.017274021984065874,Ehd4
ENSMUSG00000035000,-0.023890518743500976,9.391103721427292e-13,9.978858486268506e-13,-0.03044574496355578,-0.01733323750834747,Dpp4
ENSMUSG00000040557,-0.023899670105835963,9.206032453277771e-13,9.784283614919515e-13,-0.030454893063888447,-0.017342391346402287,Wbscr27
ENSMUSG00000026525,-0.02395759373604363,8.114938080439564e-13,8.625571939242734e-13,-0.030512796021749077,-0.017400330672198892,Opn3
ENSMUSG00000024856,-0.024196963590103534,4.803057759178178e-13,5.107462525710525e-13,-0.030752079980584362,-0.017639765855432993,Cdk2ap2
ENSMUSG00000032034,-0.024332538914224197,3.5607650582148827e-13,3.7868393685152424e-13,-0.03088760632170591,-0.01777537851458209,Kcnj5
ENSMUSG00000096883,-0.024724932485079443,1.483894106153929e-13,1.578778706409117e-13,-0.031279856763487955,-0.018167881503274665,Shisa8
ENSMUSG00000051166,-0.024809963193374047,1.225326336769736e-13,1.3038160638111685e-13,-0.03136485618990191,-0.01825293618856725,Eml5
ENSMUSG00000084869,-0.02486924781706899,1.0718008314637836e-13,1.1406990543463002e-13,-0.03142411894732765,-0.0183122375855177,Gm13063
ENSMUSG00000028528,-0.025241781111438405,4.588944041506843e-14,4.884973431452888e-14,-0.03179651378350188,-0.018684877335590634,Dnajc6
ENSMUSG00000041439,-0.025376211695366725,3.3687598676992303e-14,3.588750258548237e-14,-0.031930893957234883,-0.01881934678189085,Mfsd6
ENSMUSG00000069830,-0.025385452940694185,3.297739382697772e-14,3.513466207860401e-14,-0.03194013172847787,-0.018828590707472257,Nlrp1a
ENSMUSG00000061510,-0.02549322611144033,2.5707296427569372e-14,2.7403577899551616e-14,-0.03204786430110298,-0.018936395218618708,Gm10101
ENSMUSG00000097648,-0.025563796103053264,2.182691732675454e-14,2.327211571250084e-14,-0.03211840762650421,-0.01900698581456035,9330185C12Rik
ENSMUSG00000029268,-0.02589056200847465,1.0173133332124559e-14,1.085249982091376e-14,-0.03244504920596553,-0.019333847977977495,Ugt2a2
ENSMUSG00000030538,-0.025955444281613314,8.732501504293106e-15,9.31764991922013e-15,-0.03250990662647598,-0.019398749530770018,Cib1
ENSMUSG00000099364,-0.02601107157940632,7.65867742107508e-15,8.173615177241281e-15,-0.032565512572732574,-0.019454393402113492,5730419F03Rik
ENSMUSG00000030539,-0.026225476385045573,4.606891553669638e-15,4.9176895320982475e-15,-0.03277983470336089,-0.019668862467318114,Sema4b
ENSMUSG00000053025,-0.02628478494419594,3.9997657975090974e-15,4.2705165465610694e-15,-0.03283912028655499,-0.01972818890846233,Sv2b
ENSMUSG00000031129,-0.026287522604149856,3.973729826853465e-15,4.243171197921479e-15,-0.032841856884834056,-0.019730927394956927,Slc9a9
ENSMUSG00000030881,-0.026293940181585936,3.913348958424318e-15,4.179142416087482e-15,-0.03284827197312421,-0.019737346910341683,Arfip2
ENSMUSG00000073600,-0.02631703325657043,3.703454067294436e-15,3.955413934950802e-15,-0.032871356086672986,-0.019760446963332835,Prob1
ENSMUSG00000039016,-0.026507671149234035,2.345221468714129e-15,2.5053108308024024e-15,-0.03306191973377726,-0.019951142728234707,Timm8b
