,Neural Crest/Mid-HindBrain_corr,Neural Crest/Mid-HindBrain_pval,Neural Crest/Mid-HindBrain_qval,Neural Crest/Mid-HindBrain_ci_low,Neural Crest/Mid-HindBrain_ci_high,gene_annotation
ENSMUSG00000019892,0.017658799406068515,0.0037437720712327127,0.003997090445856043,0.005720444484465762,0.029592121263613526,Lrriq1
ENSMUSG00000037306,0.017624029852344243,0.0038125081050720084,0.004069946475747987,0.005685665237635312,0.0295573713067579,Man1c1
ENSMUSG00000006958,0.017612829240481426,0.0038348936041109247,0.004093665555136149,0.005674461509400436,0.029546177001658097,Chrd
ENSMUSG00000023830,0.01759137298803889,0.003878109761686033,0.004139617880479783,0.005652999295505377,0.02952473282229417,Igf2r
ENSMUSG00000066108,0.01756249596099713,0.003936970808858886,0.004201899986919813,0.005624114262569025,0.029495872026537785,Muc5b
ENSMUSG00000097071,0.017549552031082025,0.0039636172472007,0.0042301556467407775,0.005611166750532775,0.029482935365727134,4930544I03Rik
ENSMUSG00000000489,0.01754665130795305,0.003969611105655243,0.004236368419805595,0.0056082652252026684,0.02948003627104964,Pdgfb
ENSMUSG00000100371,0.01754503102811189,0.003972962723786441,0.004239760976850728,0.005606644497357189,0.0294784169007381,Gm29669
ENSMUSG00000079103,0.01752947880948845,0.0040052640844961285,0.004273859959257201,0.0055910879817648845,0.02946287340902746,Tgm7
ENSMUSG00000078926,0.01746549909939485,0.004140670326106547,0.0044179626199021315,0.005527090655309454,0.029398929539558156,Cdc20b
ENSMUSG00000056121,0.01744791429013811,0.004178607430380774,0.0044578591131793155,0.005509501021332695,0.02938135456397741,Fez2
ENSMUSG00000028007,0.01742661243174497,0.004224985801770479,0.004506749420214137,0.005488193328272859,0.02936006460800448,Snx7
ENSMUSG00000074061,0.017408744062846822,0.004264248296794356,0.004548037540525414,0.005470320073515542,0.02934220621471299,Fbxw19
ENSMUSG00000056043,0.01738342612061772,0.004320446497231747,0.004607375337707243,0.005444995221504997,0.02931690239401615,Rgs9bp
ENSMUSG00000109907,0.017368214613788346,0.004354533518764552,0.0046435244506909,0.00542977957051042,0.029301699364319783,Gm45321
ENSMUSG00000070605,0.01735378974283598,0.004387082799947424,0.00467803070159866,0.005415350774807573,0.029287282527020383,Zfp992
ENSMUSG00000097838,0.01732695459219805,0.0044482227866806485,0.004743019450125219,0.005388508336029116,0.029260462308491112,C530050E15Rik
ENSMUSG00000037736,0.017305460829582384,0.004497748922043037,0.004795619556781198,0.005367008748345301,0.029238980493437636,Limch1
ENSMUSG00000029468,0.017298240133382776,0.004514498685268177,0.0048130930895334744,0.0053597860977269,0.02923176380847378,P2rx7
ENSMUSG00000063458,0.01729822700367133,0.004514529193502215,0.0048130930895334744,0.005359772964462783,0.02923175068605501,1700112E06Rik
ENSMUSG00000059323,0.017281183804243483,0.004554288652118871,0.00485506035286451,0.0053427251569139,0.02921471694951355,Tonsl
ENSMUSG00000070419,0.017262459892558726,0.004598334372761857,0.004901802080585669,0.005323996190678764,0.02919600342590631,Cyp3a57
ENSMUSG00000027338,0.0171933292510515,0.004764317066506535,0.005078077387317927,0.005254846959791237,0.029126911065809297,Prnd
ENSMUSG00000105340,0.01715920945544465,0.004848220890634668,0.005167058180616502,0.005220718031378538,0.02909281012216618,Gm42878
ENSMUSG00000037627,0.01715136628370894,0.004867695973767028,0.0051873636680380255,0.005212872764201646,0.029084971280034778,Rgs22
ENSMUSG00000093593,0.01713732771429259,0.00490273139227278,0.005224246393085425,0.00519883044780416,0.029070940456554395,Gm20683
ENSMUSG00000099576,0.017081768772073704,0.005043635849613526,0.0053739247224628426,0.005143256722748645,0.029015412123463882,Gm29040
ENSMUSG00000031563,0.017058742794668853,0.005103098012379838,0.005436573045211741,0.005120224640325278,0.028992398810189206,Wwc2
ENSMUSG00000049420,0.017027983269597837,0.005183519685926349,0.0055212917713172984,0.005089456979555114,0.028961656182908593,Tmem200a
ENSMUSG00000058216,0.017026584877226407,0.005187202889306432,0.005524975286896512,0.005088058217854942,0.02896025855820956,Gstp3
