,Endothelial_corr,Endothelial_pval,Endothelial_qval,Endothelial_ci_low,Endothelial_ci_high,gene_annotation
ENSMUSG00000021850,-0.03289123580648795,3.2626862672613126e-11,4.682385572992699e-11,-0.04259798602127546,-0.023178276820091857,1700011H14Rik
ENSMUSG00000027884,-0.03289201690662684,3.259201076769015e-11,4.678055227169535e-11,-0.04259876654843352,-0.023179058346085198,Clcc1
ENSMUSG00000057914,-0.03291535947559146,3.1567137850788686e-11,4.5322523834585334e-11,-0.04262209198884451,-0.023202413646856653,Cacnb2
ENSMUSG00000047904,-0.032915580649379335,3.1557579513019054e-11,4.531530659537486e-11,-0.042622313000286564,-0.02320263494133071,Sstr2
ENSMUSG00000018809,-0.03292201128546886,3.1280905533100954e-11,4.492446579506097e-11,-0.04262873891575017,-0.02320906908679156,Smyd4
ENSMUSG00000060798,-0.0329346879495094,3.0742435012290326e-11,4.4157476317567254e-11,-0.04264140627170474,-0.023221752671185595,Intu
ENSMUSG00000031749,-0.032942140078081175,3.04301338031852e-11,4.372145661377184e-11,-0.04264885292695032,-0.023229208869429283,St3gal2
ENSMUSG00000106317,-0.0329467865182255,3.0236986183560925e-11,4.3450188509212425e-11,-0.04265349595390201,-0.023233857847581703,Gm43848
ENSMUSG00000059395,-0.03295679904800997,2.9824845375536714e-11,4.286410660468053e-11,-0.042663501127234243,-0.02324387584790179,Nkapl
ENSMUSG00000027200,-0.032978591475539255,2.894672867395372e-11,4.1608061914551847e-11,-0.04268527753660014,-0.02326568018888045,Sema6d
ENSMUSG00000060671,-0.03299279172246771,2.8388205600510092e-11,4.0811106383712036e-11,-0.0426994673409091,-0.02327988820374959,Atp8b2
ENSMUSG00000034793,-0.03300671625716085,2.7850774686532786e-11,4.0050006739333886e-11,-0.04271338163193409,-0.023293820359370974,G6pc3
ENSMUSG00000027102,-0.03305189534500134,2.6174718469209166e-11,3.7645215689931204e-11,-0.042758527457577064,-0.023339024199803275,Hoxd8
ENSMUSG00000046408,-0.03305778756315572,2.5963540944372645e-11,3.734686557015628e-11,-0.04276441533478198,-0.02334491964909722,1700067K01Rik
ENSMUSG00000043639,-0.03306588332343687,2.5676106005293607e-11,3.6938722493588846e-11,-0.04277250512960761,-0.023353019849984998,Rbm20
ENSMUSG00000021072,-0.033086641442738145,2.495325891951135e-11,3.590396966836166e-11,-0.042793247947230335,-0.02337378936115236,Tmx1
ENSMUSG00000021373,-0.03310010788632171,2.4495018620449258e-11,3.5249703008273503e-11,-0.042806704459659506,-0.023387263199480902,Cap2
ENSMUSG00000021313,-0.03310071212325928,2.447465172208406e-11,3.522546304272317e-11,-0.04280730825090539,-0.02338786776830208,Ryr2
ENSMUSG00000028696,-0.03310778342012386,2.423752956165223e-11,3.4889203341949377e-11,-0.042814374331377976,-0.02339494294968027,Ipp
ENSMUSG00000056648,-0.03311007843669788,2.4161055144461212e-11,3.478412776340514e-11,-0.0428166676547432,-0.023397239227197237,Hoxb8
ENSMUSG00000054079,-0.03313684196984197,2.328649540726075e-11,3.353469960723034e-11,-0.0428434114348357,-0.023424017472502178,Utp18
ENSMUSG00000032743,-0.033164597599215626,2.2412261285024215e-11,3.228502057767821e-11,-0.04287114656423936,-0.023451788374122956,D430042O09Rik
ENSMUSG00000034484,-0.03316804617989611,2.2305909308785588e-11,3.213644908339661e-11,-0.042874592596795234,-0.023455238853396107,Snx2
