,Mixed_corr,Mixed_pval,Mixed_qval,Mixed_ci_low,Mixed_ci_high,gene_annotation
ENSMUSG00000110463,-0.09315143251153973,3.7864831337153286e-79,5.946668566751969e-79,-0.10277873925132194,-0.08350667556685078,RP23-187D7.1
ENSMUSG00000109398,-0.09315808297969755,3.6909571676820186e-79,5.797107240335781e-79,-0.10278537706460183,-0.0835133374658542,Gm3854
ENSMUSG00000021047,-0.09315922130662332,3.6748490432210464e-79,5.772176681540728e-79,-0.10278651322537036,-0.08351447774942629,Nova1
ENSMUSG00000020834,-0.09316083696925885,3.652106566865623e-79,5.73682152461195e-79,-0.10278812581346873,-0.08351609618923383,Dhrs13
ENSMUSG00000111363,-0.09316207382820757,3.6347911200963016e-79,5.709987304408754e-79,-0.10278936031869337,-0.08351733517426108,RP23-93J3.1
ENSMUSG00000010601,-0.09316663592866559,3.571628707480374e-79,5.61112285807897e-79,-0.102793913737286,-0.08352190511692513,Apol7a
ENSMUSG00000110408,-0.09316937143933599,3.5342816082912466e-79,5.552804891966897e-79,-0.10279664404197325,-0.08352464533010616,RP23-357C16.1
ENSMUSG00000030310,-0.09317020869714296,3.522928805045972e-79,5.535322412740862e-79,-0.10279747970635586,-0.08352548402723982,Slc6a1
ENSMUSG00000045725,-0.09317643417779506,3.4396470098410025e-79,5.404813656679443e-79,-0.10280369333857928,-0.08353172021052027,Prr15
ENSMUSG00000028525,-0.09317813099996741,3.417290103085508e-79,5.370027304848655e-79,-0.1028053869312038,-0.08353341994994092,Pde4b
ENSMUSG00000096991,-0.09318449618477315,3.334707697119421e-79,5.240590371866865e-79,-0.1028117400007076,-0.08353979607854108,Gm26789
ENSMUSG00000007570,-0.09318616268301516,3.313417118344203e-79,5.207464926999543e-79,-0.10281340332685708,-0.08354146544215858,Fance
ENSMUSG00000052560,-0.09319104443489612,3.2518265419801723e-79,5.1109945111514753e-79,-0.10281827578626797,-0.08354635558803061,Cpne8
ENSMUSG00000028195,-0.09319271356087286,3.2310310069188705e-79,5.078634653128817e-79,-0.10281994173493848,-0.08354802758411405,Cyr61
ENSMUSG00000090356,-0.09319776702050118,3.168875344295078e-79,4.9812553590583744e-79,-0.10282498557459889,-0.08355308973363226,Teddm3
ENSMUSG00000051056,-0.09319916083303843,3.1519427366924707e-79,4.9549556967136345e-79,-0.10282637673373174,-0.08355448594304629,Gja10
ENSMUSG00000070661,-0.09320312771152792,3.1042436462061024e-79,4.880283665342398e-79,-0.1028303360602586,-0.08355845964340569,Rnf186
ENSMUSG00000040502,-0.093204647816338,3.08615675251259e-79,4.8521593614042716e-79,-0.10283185327108153,-0.08355998236243242,March9
ENSMUSG00000040118,-0.09320833746108166,3.042691576100899e-79,4.78412831101052e-79,-0.102835535891265,-0.08356367835266974,Cacna2d1
